,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,5,Florida (15),SEC,0-0,1416.0,DNP,PreseasonAug 21[1],1994
1,2,<,2,Notre Dame (13),Ind,0-0,1414.0,DNP,PreseasonAug 21[1],1994
2,3,<,1,Florida State (10),ACC,0-0,1407.0,DNP,PreseasonAug 21[1],1994
3,4,<,3,Nebraska (18),Big 8,0-0,1398.0,DNP,PreseasonAug 21[1],1994
4,5,<,21,Michigan (2),Big Ten,0-0,1283.0,DNP,PreseasonAug 21[1],1994
5,6,<,15,Miami (FL) (1),Big East,0-0,1190.0,DNP,PreseasonAug 21[1],1994
6,7,<,10,Arizona (2),Pac-10,0-0,1070.0,DNP,PreseasonAug 21[1],1994
7,8,<,16,Colorado,Big 8,0-0,1057.0,DNP,PreseasonAug 21[1],1994
8,9,<,8,Penn State,Big Ten,0-0,1012.0,DNP,PreseasonAug 21[1],1994
9,10,<,6,Wisconsin,Big Ten,0-0,932.0,DNP,PreseasonAug 21[1],1994
10,11,<,4,Auburn,SEC,0-0,924.0,DNP,PreseasonAug 21[1],1994
11,12,<,14,Alabama (1),SEC,0-0,923.0,DNP,PreseasonAug 21[1],1994
12,13,<,12,Tennessee,SEC,0-0,793.0,DNP,PreseasonAug 21[1],1994
13,14,<,18,UCLA,Pac-10,0-0,661.0,DNP,PreseasonAug 21[1],1994
14,15,<,9,Texas A&M,Southwest,0-0,603.0,DNP,PreseasonAug 21[1],1994
15,16,<,17,Oklahoma,Big 8,0-0,560.0,DNP,PreseasonAug 21[1],1994
16,17,<,NR,USC,Pac-10,0-0,557.0,DNP,PreseasonAug 21[1],1994
17,18,<,NR,Texas,Southwest,0-0,527.0,DNP,PreseasonAug 21[1],1994
18,19,<,19,North Carolina,ACC,0-0,526.0,DNP,PreseasonAug 21[1],1994
19,20,<,11,Ohio State,Big Ten,0-0,320.0,DNP,PreseasonAug 21[1],1994
20,21,<,NR,Illinois,Big Ten,0-0,249.0,DNP,PreseasonAug 21[1],1994
21,22,<,22,Virginia Tech,Big East,0-0,235.0,DNP,PreseasonAug 21[1],1994
22,23,<,NR,Washington,Pac-10,0-0,181.0,DNP,PreseasonAug 21[1],1994
23,24,<,7,West Virginia,Big East,0-0,121.0,DNP,PreseasonAug 21[1],1994
24,25,<,23,Clemson,ACC,0-0,113.0,DNP,PreseasonAug 21[1],1994
25,NR,<,13,Boston College,Big East,0-0,0.0,DNP,PreseasonAug 21[1],1994
26,NR,<,20,Kansas State,Big 8,0-0,0.0,DNP,PreseasonAug 21[1],1994
27,NR,<,24,Louisville,Ind,0-0,0.0,DNP,PreseasonAug 21[1],1994
28,NR,<,25,California,Pac-10,0-0,0.0,DNP,PreseasonAug 21[1],1994
29,1,<,1,Florida (14),SEC,0-0,1456.0,DNP,Week 1Aug 31[2],1994
30,2,<,4,Nebraska (23),Big 8,1-0,1449.0,,Week 1Aug 31[2],1994
31,3,<,2,Notre Dame (12),Ind,0-0,1417.0,DNP,Week 1Aug 31[2],1994
32,4,<,3,Florida State (8),ACC,0-0,1352.0,DNP,Week 1Aug 31[2],1994
33,5,<,5,Michigan (1),Big Ten,0-0,1254.0,DNP,Week 1Aug 31[2],1994
34,6,<,6,Miami (FL) (1),Big East,0-0,1201.0,DNP,Week 1Aug 31[2],1994
35,7,<,7,Arizona (2),Pac-10,0-0,1146.0,DNP,Week 1Aug 31[2],1994
36,8,<,8,Colorado,Big 8,0-0,1075.0,DNP,Week 1Aug 31[2],1994
37,9,<,9,Penn State,Big Ten,0-0,1007.0,DNP,Week 1Aug 31[2],1994
38,10,<,10,Wisconsin,Big Ten,0-0,937.0,DNP,Week 1Aug 31[2],1994
39,11,<,12,Alabama (1),SEC,0-0,921.0,DNP,Week 1Aug 31[2],1994
