,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,1,Notre Dame (17),Ind,0-0,296,DNP,PreseasonAug[2],1967
1,2,<,3,Alabama (11),SEC,0-0,282,DNP,PreseasonAug[2],1967
2,3,<,2,Michigan State (1),Big Ten,0-0,183,DNP,PreseasonAug[2],1967
3,4,<,NR,Texas (2),Southwest,0-0,176,DNP,PreseasonAug[2],1967
4,5,<,9,Miami (FL),Ind,0-0,134,DNP,PreseasonAug[2],1967
5,6,<,4,Georgia,SEC,0-0,128,DNP,PreseasonAug[2],1967
6,7,<,NR,USC (1),AAWU,0-0,114,DNP,PreseasonAug[2],1967
7,8,<,5,UCLA,AAWU,0-0,113,DNP,PreseasonAug[2],1967
8,9,<,NR,Tennessee,SEC,0-0,88,DNP,PreseasonAug[2],1967
9,10,<,NR,Colorado,Big 8,0-0,43,DNP,PreseasonAug[2],1967
10,NR,<,6,Nebraska,Big 8,0-0,0,DNP,PreseasonAug[2],1967
11,NR,<,7,Purdue,Big Ten,0-0,0,DNP,PreseasonAug[2],1967
12,NR,<,8,Georgia Tech,Ind,0-0,0,DNP,PreseasonAug[2],1967
13,NR,<,10,SMU,Southwest,0-0,0,DNP,PreseasonAug[2],1967
14,1,<,1,Notre Dame (22),Ind,0-0,309,DNP,Week 1Sep 18[3],1967
15,2,<,2,Alabama (7),SEC,0-0,263,DNP,Week 1Sep 18[3],1967
16,3,<,3,Michigan State (1),Big Ten,0-0,209,DNP,Week 1Sep 18[3],1967
17,4,<,7,USC,AAWU,1-0,184,,Week 1Sep 18[3],1967
18,5,<,4,Texas (2),Southwest,0-0,175,DNP,Week 1Sep 18[3],1967
19,6,<,8,UCLA (3),AAWU,1-0,170,,Week 1Sep 18[3],1967
20,7,<,6,Georgia,SEC,0-0,124,DNP,Week 1Sep 18[3],1967
21,8,<,5,Miami (FL),Ind,0-0,114,DNP,Week 1Sep 18[3],1967
22,9,<,10,Colorado,Big 8,1-0,102,,Week 1Sep 18[3],1967
23,10,<,NR,Nebraska (1),Big 8,1-0,88,,Week 1Sep 18[3],1967
24,NR,<,9,Tennessee,SEC,,0,,Week 1Sep 18[3],1967
25,1,<,1,Notre Dame (31),Ind,1-0,390,W 41-8 H California,Week 2Sep 25[4],1967
26,2,<,4,USC (4),AAWU,2-0,340,,Week 2Sep 25[4],1967
27,3,<,NR,Houston (6),Ind,2-0,279,,Week 2Sep 25[4],1967
28,4,<,6,UCLA,AAWU,2-0,275,,Week 2Sep 25[4],1967
29,5,<,7,Georgia,SEC,1-0,260,,Week 2Sep 25[4],1967
30,6,<,9,Colorado,Big 8,2-0,118,,Week 2Sep 25[4],1967
31,7,<,10,Nebraska,Big 8,1-0,79,,Week 2Sep 25[4],1967
32,8,<,5,Texas,Southwest,0-1,76,,Week 2Sep 25[4],1967
33,9,<,2,Alabama,SEC,0-0-1,75,,Week 2Sep 25[4],1967
34,10,<,NR,Purdue,Big Ten,1-0,70,,Week 2Sep 25[4],1967
35,NR,<,3,Michigan State,Big Ten,,0,,Week 2Sep 25[4],1967
36,NR,<,8,Miami (FL),Ind,,0,,Week 2Sep 25[4],1967
37,1,<,2,USC (20),AAWU,3-0,428,W 21-17 A Michigan State,Week 3Oct 2[5],1967
38,2,<,3,Houston (10),Ind,3-0,389,,Week 3Oct 2[5],1967
39,3,<,4,UCLA (6),AAWU,3-0,368,,Week 3Oct 2[5],1967
40,4,<,10,Purdue (9),Big Ten,2-0,354,,Week 3Oct 2[5],1967
