,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,3,Auburn (30),SEC,0-0,1057.0,DNP,PreseasonAug[1],1984
1,2,<,2,Nebraska (5),Big 8,0-0,922.0,DNP,PreseasonAug[1],1984
2,3,<,18,Pittsburgh (2),Ind,0-0,890.0,DNP,PreseasonAug[1],1984
3,4,<,11,Clemson (11),ACC,0-0,817.0,DNP,PreseasonAug[1],1984
4,5,<,17,UCLA (5),Pac-10,0-0,816.0,DNP,PreseasonAug[1],1984
5,6,<,5,Texas,Southwest,0-0,734.0,DNP,PreseasonAug[1],1984
6,7,<,9,Ohio State,Big Ten,0-0,661.0,DNP,PreseasonAug[1],1984
7,8,<,NR,Notre Dame (1),Ind,0-0,639.0,DNP,PreseasonAug[1],1984
8,9,<,15,Alabama (1),SEC,0-0,632.0,DNP,PreseasonAug[1],1984
9,10,<,1,Miami (FL) (1),Ind,0-0,602.0,DNP,PreseasonAug[1],1984
10,11,<,NR,Penn State,Ind,0-0,589.0,DNP,PreseasonAug[1],1984
11,12,<,14,Iowa (1),Big Ten,0-0,581.0,DNP,PreseasonAug[1],1984
12,13,<,NR,Arizona State (2),Pac-10,0-0,578.0,DNP,PreseasonAug[1],1984
13,14,<,8,Michigan (1),Big Ten,0-0,453.0,DNP,PreseasonAug[1],1984
14,15,<,12,SMU,Southwest,0-0,419.0,DNP,PreseasonAug[1],1984
15,16,<,NR,Oklahoma,Big 8,0-0,374.0,DNP,PreseasonAug[1],1984
16,17,<,6,Florida,SEC,0-0,295.0,DNP,PreseasonAug[1],1984
17,18,<,NR,Washington,Pac-10,0-0,285.0,DNP,PreseasonAug[1],1984
18,19,<,19,Boston College,Ind,0-0,184.0,DNP,PreseasonAug[1],1984
19,20,<,NR,Florida State,Ind,0-0,119.0,DNP,PreseasonAug[1],1984
20,NR,<,4,Georgia,SEC,0-0,0.0,DNP,PreseasonAug[1],1984
21,NR,<,7,BYU,WAC,0-0,0.0,DNP,PreseasonAug[1],1984
22,NR,<,10,Illinois,Big Ten,0-0,0.0,DNP,PreseasonAug[1],1984
23,NR,<,13,Air Force,WAC,0-0,0.0,DNP,PreseasonAug[1],1984
24,NR,<,16,West Virginia,Ind,0-0,0.0,DNP,PreseasonAug[1],1984
25,NR,<,20,East Carolina,Ind,0-0,0.0,DNP,PreseasonAug[1],1984
26,1,<,10,Miami (FL) (36),Ind,2-0,1040.0,W 32-20 N #17 Florida,Week 1Sep 4[2],1984
27,2,<,2,Nebraska (7),Big 8,0-0,949.0,DNP,Week 1Sep 4[2],1984
28,3,<,4,Clemson (2),ACC,1-0,900.0,,Week 1Sep 4[2],1984
29,4,<,5,UCLA (6),Pac-10,0-0,866.0,DNP,Week 1Sep 4[2],1984
30,5,<,6,Texas,Southwest,0-0,783.0,DNP,Week 1Sep 4[2],1984
31,6,<,7,Ohio State,Big Ten,0-0,696.0,DNP,Week 1Sep 4[2],1984
32,7,<,8,Notre Dame (1),Ind,0-0,619.0,DNP,Week 1Sep 4[2],1984
33,8,<,1,Auburn,SEC,0-1,602.0,L 20-18 N #10 Miami (FL) (Kickoff Classic),Week 1Sep 4[2],1984
34,9,<,9,Alabama (1),SEC,0-0,595.0,DNP,Week 1Sep 4[2],1984
35,10,<,12,Iowa (1),Big Ten,0-0,581.0,DNP,Week 1Sep 4[2],1984
