,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,,Michigan (34),Big Ten,2-0,688,W 27-7 A Stanford,Week 1Oct 3[1],1949
1,2,<,,Notre Dame (15),Ind,2-0,627,W 27-7 A Washington,Week 1Oct 3[1],1949
2,3,<,,Oklahoma (17),Big 7,2-0,505,W 33-13 H Texas A&M,Week 1Oct 3[1],1949
3,4,<,,Tulane (4),SEC,2-0,442,W 18-0 H Georgia Tech,Week 1Oct 3[1],1949
4,5,<,,Minnesota (2),Big Ten,2-0,353,,Week 1Oct 3[1],1949
5,6,<,,North Carolina (3),Southern,2-0,294,,Week 1Oct 3[1],1949
6,7,<,,Army (1),Ind,2-0,280,,Week 1Oct 3[1],1949
7,8,<,,USC,PCC,2-0,210,,Week 1Oct 3[1],1949
8,9,<,,SMU,Southwest,2-0,194,,Week 1Oct 3[1],1949
9,10,<,,California,PCC,3-0,129,,Week 1Oct 3[1],1949
10,11,<,,Ohio State,Big Ten,2-0,120,,Week 1Oct 3[1],1949
11,12,<,,Texas,Southwest,3-0,106,,Week 1Oct 3[1],1949
12,13,<,,Michigan State,Ind,2-0,86,,Week 1Oct 3[1],1949
13,14,<,,Duke (3),Southern,2-0,76,,Week 1Oct 3[1],1949
14,15,<,,Kentucky (1),SEC,3-0,75,,Week 1Oct 3[1],1949
15,16,<,,Villanova,Ind,3-0,72,W 34-7 A Detroit Mercy,Week 1Oct 3[1],1949
16,17,<,,Cornell,Ind,2-0,39,W 39-27 H Colgate,Week 1Oct 3[1],1949
17,18,<,,UCLA,PCC,3-0,32,,Week 1Oct 3[1],1949
18,19,<,,Pittsburgh,Ind,2-0,28,,Week 1Oct 3[1],1949
19,20,<,,Missouri,Big 7,0-2,11,,Week 1Oct 3[1],1949
20,20,<,,Northwestern,Big Ten,1-1,11,,Week 1Oct 3[1],1949
21,20,<,,Penn,Ind,2-0,11,,Week 1Oct 3[1],1949
22,1,<,2,Notre Dame (67),Ind,3-0,1489,W 35-12 A Purdue,Week 2Oct 10[2],1949
23,2,<,7,Army (58),Ind,3-0,1459,,Week 2Oct 10[2],1949
24,3,<,3,Oklahoma (28),Big 7,3-0,1205,W 20-14 N #12 Texas,Week 2Oct 10[2],1949
25,4,<,4,Tulane (1),SEC,3-0,1052,W 40-0 H Southeastern Louisiana,Week 2Oct 10[2],1949
26,5,<,5,Minnesota (6),Big Ten,3-0,900,,Week 2Oct 10[2],1949
27,6,<,6,North Carolina (3),Southern,3-0,594,,Week 2Oct 10[2],1949
28,7,<,1,Michigan,Big Ten,2-1,476,L 21-7 H #7 Army,Week 2Oct 10[2],1949
29,8,<,15,Kentucky (8),SEC,4-0,436,,Week 2Oct 10[2],1949
30,9,<,10,California,PCC,4-0,358,,Week 2Oct 10[2],1949
31,10,<,9,SMU (1),Southwest,2-0,341,,Week 2Oct 10[2],1949
32,11,<,11,Ohio State,Big Ten,2-0-1,206,,Week 2Oct 10[2],1949
33,12,<,8,USC,PCC,2-0-1,181,,Week 2Oct 10[2],1949
34,13,<,18,UCLA,PCC,4-0,125,,Week 2Oct 10[2],1949
35,14,<,17,Cornell,Ind,3-0,98,W 33-14 A Harvard,Week 2Oct 10[2],1949
36,15,<,19,Pittsburgh,Ind,3-0,65,,Week 2Oct 10[2],1949
37,16,<,12,Texas,Southwest,3-1,63,,Week 2Oct 10[2],1949
38,17,<,16,Villanova,Ind,4-0,43,W 28-20 H St. Mary's,Week 2Oct 10[2],1949
39,18,<,NR,Navy,Ind,2-1,36,,Week 2Oct 10[2],1949
40,19,<,13,Michigan State,Ind,2-1,30,,Week 2Oct 10[2],1949
41,20,<,NR,Baylor,Southwest,3-0,25,,Week 2Oct 10[2],1949
42,NR,<,14,Duke,Southern,,0,,Week 2Oct 10[2],1949
43,NR,<,20,Missouri,Big 7,,0,,Week 2Oct 10[2],1949
44,NR,<,20,Northwestern,Big Ten,,0,,Week 2Oct 10[2],1949
45,NR,<,20,Penn,Ind,,0,,Week 2Oct 10[2],1949
46,1,<,1,Notre Dame (146),Ind,4-0,1745,W 46-7 H #4 Tulane,Week 3Oct 17[3],1949
47,2,<,2,Army (10),Ind,4-0,1552,,Week 3Oct 17[3],1949
48,3,<,5,Minnesota (8),Big Ten,4-0,1370,,Week 3Oct 17[3],1949
49,4,<,3,Oklahoma (6),Big 7,4-0,1171,W 48-26 H Kansas,Week 3Oct 17[3],1949
50,5,<,9,California,PCC,5-0,875,,Week 3Oct 17[3],1949
51,6,<,6,North Carolina (6),Southern,4-0,856,,Week 3Oct 17[3],1949
