,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
0,1,<,1,Florida (58),SEC,0-0,1498,1,DNP,PreseasonAug 22[1],2009,
1,2,<,4,Texas (2),Big 12,0-0,1424,2,DNP,PreseasonAug 22[1],2009,
2,3,<,5,Oklahoma,Big 12,0-0,1370,3,DNP,PreseasonAug 22[1],2009,
3,4,<,3,USC,Pac-10,0-0,1313,4,DNP,PreseasonAug 22[1],2009,
4,5,<,6,Alabama,SEC,0-0,1156,5,DNP,PreseasonAug 22[1],2009,
5,6,<,9,Ohio State,Big Ten,0-0,1113,6,DNP,PreseasonAug 22[1],2009,
6,7,<,15,Virginia Tech,ACC,0-0,1054,7,DNP,PreseasonAug 22[1],2009,
7,8,<,14,Mississippi,SEC,0-0,1047,10,DNP,PreseasonAug 22[1],2009,
8,9,<,8,Penn State,Big Ten,0-0,989,8,DNP,PreseasonAug 22[1],2009,
9,9,<,16,Oklahoma State,Big 12,0-0,989,11,DNP,PreseasonAug 22[1],2009,
10,11,<,NR,LSU,SEC,0-0,914,9,DNP,PreseasonAug 22[1],2009,
11,12,<,NR,California,Pac-10,0-0,746,12,DNP,PreseasonAug 22[1],2009,
12,13,<,13,Georgia,SEC,0-0,714,13,DNP,PreseasonAug 22[1],2009,
13,14,<,11,Boise State,WAC,0-0,659,16,DNP,PreseasonAug 22[1],2009,
14,15,<,22,Georgia Tech,ACC,0-0,593,15,DNP,PreseasonAug 22[1],2009,
15,16,<,10,Oregon,Pac-10,0-0,587,14,DNP,PreseasonAug 22[1],2009,
16,17,<,7,TCU,MWC,0-0,521,17,DNP,PreseasonAug 22[1],2009,
17,18,<,21,Florida State,ACC,0-0,307,19,DNP,PreseasonAug 22[1],2009,
18,19,<,2,Utah,MWC,0-0,289,18,DNP,PreseasonAug 22[1],2009,
19,20,<,25,BYU,MWC,0-0,267,24,DNP,PreseasonAug 22[1],2009,
20,21,<,NR,North Carolina,ACC,0-0,261,20,DNP,PreseasonAug 22[1],2009,
21,22,<,20,Iowa,Big Ten,0-0,229,21,DNP,PreseasonAug 22[1],2009,
22,23,<,NR,Notre Dame,Ind,0-0,225,23,DNP,PreseasonAug 22[1],2009,
23,24,<,NR,Nebraska,Big 12,0-0,207,22,DNP,PreseasonAug 22[1],2009,
24,25,<,NR,Kansas,Big 12,0-0,134,NR,DNP,PreseasonAug 22[1],2009,
25,RV,<,18,Oregon State,Pac-10,0-0,122,25,DNP,PreseasonAug 22[1],2009,
26,RV,<,NR,Illinois,Big Ten,0-0,105,NR,DNP,PreseasonAug 22[1],2009,
27,RV,<,NR,Pittsburgh,Big East,0-0,103,NR,DNP,PreseasonAug 22[1],2009,
28,RV,<,24,Michigan State,Big Ten,0-0,100,NR,DNP,PreseasonAug 22[1],2009,
29,RV,<,NR,Rutgers,Big East,0-0,83,NR,DNP,PreseasonAug 22[1],2009,
30,RV,<,12,Texas Tech,Big 12,0-0,76,NR,DNP,PreseasonAug 22[1],2009,
31,RV,<,23,West Virginia,Big East,0-0,57,NR,DNP,PreseasonAug 22[1],2009,
32,RV,<,17,Cincinnati,Big East,0-0,44,NR,DNP,PreseasonAug 22[1],2009,
33,RV,<,NR,Clemson,ACC,0-0,42,NR,DNP,PreseasonAug 22[1],2009,
34,RV,<,NR,Miami (FL),ACC,0-0,40,NR,DNP,PreseasonAug 22[1],2009,
35,RV,<,NR,East Carolina,CUSA,0-0,30,NR,DNP,PreseasonAug 22[1],2009,
36,RV,<,NR,Tennessee,SEC,0-0,15,NR,DNP,PreseasonAug 22[1],2009,
37,RV,<,NR,Arizona,Pac-10,0-0,13,NR,DNP,PreseasonAug 22[1],2009,
38,RV,<,NR,NC State,ACC,0-0,10,NR,DNP,PreseasonAug 22[1],2009,
39,RV,<,NR,Boston College,ACC,0-0,9,NR,DNP,PreseasonAug 22[1],2009,
40,RV,<,NR,Auburn,SEC,0-0,7,NR,DNP,PreseasonAug 22[1],2009,
41,RV,<,NR,Central Michigan,MAC,0-0,7,NR,DNP,PreseasonAug 22[1],2009,
42,RV,<,NR,UCLA,Pac-10,0-0,7,NR,DNP,PreseasonAug 22[1],2009,
43,RV,<,NR,Northwestern,Big Ten,0-0,5,NR,DNP,PreseasonAug 22[1],2009,
44,RV,<,19,Missouri,Big 12,0-0,3,NR,DNP,PreseasonAug 22[1],2009,
45,RV,<,NR,South Florida,Big East,0-0,3,NR,DNP,PreseasonAug 22[1],2009,
46,RV,<,NR,Southern Miss,CUSA,0-0,3,NR,DNP,PreseasonAug 22[1],2009,
47,RV,<,NR,Vanderbilt,SEC,0-0,3,NR,DNP,PreseasonAug 22[1],2009,
48,RV,<,NR,South Carolina,SEC,0-0,2,NR,DNP,PreseasonAug 22[1],2009,
49,RV,<,NR,Arkansas,SEC,0-0,1,NR,DNP,PreseasonAug 22[1],2009,
50,RV,<,NR,Houston,CUSA,0-0,1,NR,DNP,PreseasonAug 22[1],2009,
51,RV,<,NR,Nevada,WAC,0-0,1,NR,DNP,PreseasonAug 22[1],2009,
52,RV,<,NR,Troy,Sun Belt,0-0,1,NR,DNP,PreseasonAug 22[1],2009,
53,RV,<,NR,Tulsa,CUSA,0-0,1,NR,DNP,PreseasonAug 22[1],2009,
54,1,<,1,Florida (56),SEC,1-0,1493,1,W 62-3 H Charleston Southern,Week 1Sep 8,2009,
55,2,<,2,Texas (2),Big 12,1-0,1424,2,W 59-20 H Louisiana-Monroe,Week 1Sep 8,2009,
56,3,<,4,USC,Pac-10,1-0,1355,3,W 56-3 H San Jose State,Week 1Sep 8,2009,
57,4,<,5,Alabama (2),SEC,1-0,1331,4,W 34-24 N #7 Virginia Tech,Week 1Sep 8,2009,
58,5,<,9,Oklahoma State,Big 12,1-0,1201,6,W 24-10 H #13 Georgia,Week 1Sep 8,2009,
59,6,<,8,Mississippi,SEC,1-0,1095,8,W 45-14 A Memphis,Week 1Sep 8,2009,
60,7,<,9,Penn State,Big Ten,1-0,1082,5,W 31-7 H Akron,Week 1Sep 8,2009,
61,8,<,6,Ohio State,Big Ten,1-0,985,7,W 31-27 H Navy,Week 1Sep 8,2009,
62,9,<,20,BYU,MWC,1-0,984,12,W 14-13 N #3 Oklahoma,Week 1Sep 8,2009,
63,10,<,12,California,Pac-10,1-0,971,10,W 52-13 H Maryland,Week 1Sep 8,2009,
64,11,<,11,LSU,SEC,1-0,890,9,W 31-23 A Washington,Week 1Sep 8,2009,
65,12,<,14,Boise State,WAC,1-0,882,11,W 19-8 H #16 Oregon,Week 1Sep 8,2009,
66,13,<,3,Oklahoma,Big 12,0-1,782,14,L 14-13 N #20 BYU,Week 1Sep 8,2009,
67,14,<,7,Virginia Tech,ACC,0-1,652,15,L 34-24 N #5 Alabama,Week 1Sep 8,2009,
68,15,<,15,Georgia Tech,ACC,1-0,630,13,W 37-17 H Jacksonville State,Week 1Sep 8,2009,
69,16,<,17,TCU,MWC,0-0,523,16,DNP,Week 1Sep 8,2009,
70,17,<,19,Utah,MWC,1-0,404,17,W 35-17 H Utah State,Week 1Sep 8,2009,
71,18,<,23,Notre Dame,Ind,1-0,383,20,W 35-0 H Nevada,Week 1Sep 8,2009,
72,19,<,21,North Carolina,ACC,1-0,338,19,W 40-6 H Citadel,Week 1Sep 8,2009,
73,20,<,NR,Miami (FL),ACC,1-0,315,22,W 38-34 A #18 Florida State,Week 1Sep 8,2009,
74,21,<,13,Georgia,SEC,0-1,294,21,L 24-10 A #9 Oklahoma State,Week 1Sep 8,2009,
75,22,<,24,Nebraska,Big 12,1-0,266,18,W 49-3 H Florida Atlantic,Week 1Sep 8,2009,
76,23,<,NR,Cincinnati,Big East,1-0,248,23,W 47-15 A Rutgers,Week 1Sep 8,2009,
77,24,<,25,Kansas,Big 12,1-0,196,25,W 49-3 H Northern Colorado,Week 1Sep 8,2009,
78,25,<,NR,Missouri,Big 12,1-0,126,NR,W 37-9 N Illinois,Week 1Sep 8,2009,
79,RV,<,NR,Oregon State,Pac-10,1-0,113,24,,Week 1Sep 8,2009,
80,RV,<,NR,Michigan State,Big Ten,,83,NR,,Week 1Sep 8,2009,
81,RV,<,NR,Pittsburgh,Big East,,82,NR,,Week 1Sep 8,2009,
82,RV,<,NR,Texas Tech,Big 12,,53,NR,,Week 1Sep 8,2009,
83,RV,<,NR,Clemson,ACC,,40,NR,,Week 1Sep 8,2009,
84,RV,<,NR,West Virginia,Big East,,32,NR,,Week 1Sep 8,2009,
85,RV,<,NR,Tennessee,SEC,,30,NR,,Week 1Sep 8,2009,
86,RV,<,NR,Michigan,Big Ten,,18,NR,,Week 1Sep 8,2009,
87,RV,<,NR,UCLA,Pac-10,,18,NR,,Week 1Sep 8,2009,
88,RV,<,NR,Baylor,Big 12,,17,NR,,Week 1Sep 8,2009,
89,RV,<,NR,Boston College,ACC,,14,NR,,Week 1Sep 8,2009,
90,RV,<,NR,Arizona,Pac-10,,12,NR,,Week 1Sep 8,2009,
91,RV,<,NR,East Carolina,CUSA,,6,NR,,Week 1Sep 8,2009,
92,RV,<,NR,Air Force,MWC,,4,NR,,Week 1Sep 8,2009,
93,RV,<,NR,Auburn,SEC,,4,NR,,Week 1Sep 8,2009,
94,RV,<,NR,Colorado State,MWC,,4,NR,,Week 1Sep 8,2009,
95,RV,<,NR,Arkansas,SEC,,3,NR,,Week 1Sep 8,2009,
96,RV,<,NR,South Carolina,SEC,,3,NR,,Week 1Sep 8,2009,
97,RV,<,NR,Houston,CUSA,,1,NR,,Week 1Sep 8,2009,
98,RV,<,NR,South Florida,Big East,,1,NR,,Week 1Sep 8,2009,
99,RV,<,NR,Southern Miss,CUSA,,1,NR,,Week 1Sep 8,2009,
100,RV,<,NR,Tulsa,CUSA,,1,NR,,Week 1Sep 8,2009,
101,NR,<,16,Oregon,Pac-10,0-1,47,NR,L 19-8 A #14 Boise State,Week 1Sep 8,2009,
102,NR,<,18,Florida State,ACC,0-1,39,NR,L 38-34 H Miami (FL),Week 1Sep 8,2009,
103,NR,<,22,Iowa,Big Ten,1-0,24,NR,W 17-16 H Northern Iowa,Week 1Sep 8,2009,
104,1,<,1,Florida (56),SEC,2-0,1491,1,W 56-6 H Troy,Week 2Sep 13,2009,
105,2,<,2,Texas (1),Big 12,2-0,1404,2,W 41-10 A Wyoming,Week 2Sep 13,2009,
106,3,<,3,USC (1),Pac-10,2-0,1396,3,W 18-15 A #8 Ohio State,Week 2Sep 13,2009,
107,4,<,4,Alabama (2),SEC,2-0,1328,4,W 40-14 H FIU,Week 2Sep 13,2009,
108,5,<,6,Mississippi,SEC,1-0,1145,6,DNP,Week 2Sep 13,2009,
109,5,<,7,Penn State,Big Ten,2-0,1145,5,W 28-7 H Syracuse,Week 2Sep 13,2009,
110,7,<,9,BYU,MWC,2-0,1122,9,W 54-3 A Tulane,Week 2Sep 13,2009,
111,8,<,10,California,Pac-10,2-0,1058,7,W 59-7 H Eastern Washington,Week 2Sep 13,2009,
112,9,<,11,LSU,SEC,2-0,951,7,W 23-9 H Vanderbilt,Week 2Sep 13,2009,
113,10,<,12,Boise State,WAC,2-0,945,10,W 48-0 H Miami (OH),Week 2Sep 13,2009,
