,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,2,Florida State (42),ACC,0-0,1522,DNP,PreseasonAug 24[1],1993
1,2,<,1,Alabama (14),SEC,0-0,1472,DNP,PreseasonAug 24[1],1993
2,3,<,5,Michigan (3),Big Ten,0-0,1413,DNP,PreseasonAug 24[1],1993
3,4,<,7,Texas A&M,Southwest,0-0,1261,DNP,PreseasonAug 24[1],1993
4,5,<,3,Miami (FL),Big East,0-0,1245,DNP,PreseasonAug 24[1],1993
5,6,<,6,Syracuse (2),Big East,0-0,1180,DNP,PreseasonAug 24[1],1993
6,7,<,4,Notre Dame,Ind,0-0,1137,DNP,PreseasonAug 24[1],1993
7,8,<,14,Nebraska,Big 8,0-0,1050,DNP,PreseasonAug 24[1],1993
8,9,<,10,Florida,SEC,0-0,998,DNP,PreseasonAug 24[1],1993
9,10,<,12,Tennessee,SEC,0-0,976,DNP,PreseasonAug 24[1],1993
10,11,<,13,Colorado,Big 8,0-0,961,DNP,PreseasonAug 24[1],1993
11,12,<,11,Washington,Pac-10,0-0,890,DNP,PreseasonAug 24[1],1993
12,13,<,8,Georgia,SEC,0-0,725,DNP,PreseasonAug 24[1],1993
13,14,<,NR,Arizona,Pac-10,0-0,695,DNP,PreseasonAug 24[1],1993
14,15,<,9,Stanford (1),Pac-10,0-0,660,DNP,PreseasonAug 24[1],1993
15,16,<,NR,Penn State,Big Ten,0-0,598,DNP,PreseasonAug 24[1],1993
16,17,<,18,Ohio State,Big Ten,0-0,470,DNP,PreseasonAug 24[1],1993
17,18,<,NR,USC,Pac-10,0-0,436,DNP,PreseasonAug 24[1],1993
18,19,<,NR,BYU,WAC,0-0,323,DNP,PreseasonAug 24[1],1993
19,20,<,19,North Carolina,ACC,0-0,322,DNP,PreseasonAug 24[1],1993
20,21,<,21,Boston College,Big East,0-0,299,DNP,PreseasonAug 24[1],1993
21,22,<,NR,Oklahoma,Big 8,0-0,269,DNP,PreseasonAug 24[1],1993
22,23,<,NR,Clemson,ACC,0-0,262,DNP,PreseasonAug 24[1],1993
23,24,<,23,Mississippi State,SEC,0-0,165,DNP,PreseasonAug 24[1],1993
24,25,<,17,NC State,ACC,0-0,162,DNP,PreseasonAug 24[1],1993
25,NR,<,15,Washington State,Pac-10,0-0,0,DNP,PreseasonAug 24[1],1993
26,NR,<,16,Mississippi,SEC,0-0,0,DNP,PreseasonAug 24[1],1993
27,NR,<,20,Hawaii,WAC,0-0,0,DNP,PreseasonAug 24[1],1993
28,NR,<,22,Kansas,Big 8,0-0,0,DNP,PreseasonAug 24[1],1993
29,NR,<,24,Fresno State,WAC,0-0,0,DNP,PreseasonAug 24[1],1993
30,NR,<,25,Wake Forest,ACC,0-0,0,DNP,PreseasonAug 24[1],1993
31,1,<,1,Florida State (47),ACC,1-0,1531,W 42-0 N Kansas (Kickoff Classic),Week 1Aug 31[2],1993
32,2,<,2,Alabama (11),SEC,0-0,1469,DNP,Week 1Aug 31[2],1993
33,3,<,3,Michigan (2),Big Ten,0-0,1415,DNP,Week 1Aug 31[2],1993
34,3,<,5,Miami (FL) (2),Big East,0-0,1415,DNP,Week 1Aug 31[2],1993
35,5,<,4,Texas A&M,Southwest,0-0,1241,DNP,Week 1Aug 31[2],1993
36,6,<,6,Syracuse (1),Big East,0-0,1195,DNP,Week 1Aug 31[2],1993
37,7,<,7,Notre Dame,Ind,0-0,1120,DNP,Week 1Aug 31[2],1993
38,8,<,9,Florida,SEC,0-0,1043,DNP,Week 1Aug 31[2],1993
39,9,<,8,Nebraska,Big 8,0-0,1039,DNP,Week 1Aug 31[2],1993
40,10,<,10,Tennessee,SEC,0-0,1004,DNP,Week 1Aug 31[2],1993
41,11,<,11,Colorado,Big 8,0-0,977,DNP,Week 1Aug 31[2],1993
42,12,<,12,Washington,Pac-10,0-0,824,DNP,Week 1Aug 31[2],1993
43,13,<,14,Arizona,Pac-10,0-0,748,DNP,Week 1Aug 31[2],1993
44,14,<,13,Georgia,SEC,0-0,732,DNP,Week 1Aug 31[2],1993
45,15,<,15,Stanford (1),Pac-10,0-0,670,DNP,Week 1Aug 31[2],1993
46,16,<,20,North Carolina,ACC,1-0,628,,Week 1Aug 31[2],1993
47,17,<,16,Penn State,Big Ten,0-0,584,DNP,Week 1Aug 31[2],1993
48,18,<,17,Ohio State,Big Ten,0-0,487,DNP,Week 1Aug 31[2],1993
49,19,<,19,BYU,WAC,0-0,366,DNP,Week 1Aug 31[2],1993
50,20,<,21,Boston College,Big East,0-0,319,DNP,Week 1Aug 31[2],1993
51,21,<,22,Oklahoma,Big 8,0-0,304,DNP,Week 1Aug 31[2],1993
52,22,<,23,Clemson,ACC,0-0,265,DNP,Week 1Aug 31[2],1993
53,23,<,24,Mississippi State,SEC,0-0,176,DNP,Week 1Aug 31[2],1993
54,24,<,25,NC State,ACC,0-0,158,DNP,Week 1Aug 31[2],1993
55,25,<,NR,Fresno State,WAC,0-0,90,DNP,Week 1Aug 31[2],1993
56,NR,<,18,USC,Pac-10,,0,,Week 1Aug 31[2],1993
57,1,<,1,Florida State (50),ACC,2-0,1535,W 45-7 A Duke,Week 2Sep 7[3],1993
58,2,<,2,Alabama (10),SEC,1-0,1464,,Week 2Sep 7[3],1993
59,3,<,3,Michigan (2),Big Ten,1-0,1426,,Week 2Sep 7[3],1993
60,4,<,3,Miami (FL),Big East,1-0,1301,,Week 2Sep 7[3],1993
61,5,<,5,Texas A&M,Southwest,1-0,1225,,Week 2Sep 7[3],1993
62,6,<,6,Syracuse,Big East,1-0,1179,,Week 2Sep 7[3],1993
63,7,<,8,Florida,SEC,1-0,1097,,Week 2Sep 7[3],1993
64,8,<,10,Tennessee,SEC,1-0,1075,,Week 2Sep 7[3],1993
65,9,<,9,Nebraska,Big 8,1-0,1057,W 76-14 H North Texas,Week 2Sep 7[3],1993
66,10,<,11,Colorado,Big 8,1-0,1051,,Week 2Sep 7[3],1993
67,11,<,7,Notre Dame,Ind,1-0,996,,Week 2Sep 7[3],1993
68,12,<,12,Washington,Pac-10,1-0,959,,Week 2Sep 7[3],1993
69,13,<,13,Arizona,Pac-10,1-0,764,W 24-6 H UTEP,Week 2Sep 7[3],1993
70,14,<,16,North Carolina,ACC,2-0,729,,Week 2Sep 7[3],1993
71,15,<,17,Penn State,Big Ten,1-0,708,,Week 2Sep 7[3],1993
72,16,<,18,Ohio State,Big Ten,1-0,637,,Week 2Sep 7[3],1993
73,17,<,21,Oklahoma,Big 8,1-0,489,W 35-3 A TCU,Week 2Sep 7[3],1993
74,18,<,24,NC State,ACC,1-0,345,,Week 2Sep 7[3],1993
75,19,<,NR,South Carolina,SEC,1-0,327,W 23-21 A Georgia,Week 2Sep 7[3],1993
76,20,<,19,BYU,WAC,1-0,323,,Week 2Sep 7[3],1993
77,21,<,22,Clemson,ACC,1-0,288,,Week 2Sep 7[3],1993
78,22,<,14,Georgia,SEC,0-1,191,,Week 2Sep 7[3],1993
79,23,<,15,Stanford,Pac-10,0-1,187,,Week 2Sep 7[3],1993
80,24,<,NR,Baylor,Southwest,1-0,153,,Week 2Sep 7[3],1993
81,25,<,20,Boston College,Big East,0-1,116,,Week 2Sep 7[3],1993
82,NR,<,23,Mississippi State,SEC,,0,,Week 2Sep 7[3],1993
83,NR,<,25,Fresno State,WAC,,0,,Week 2Sep 7[3],1993
84,1,<,1,Florida State (59),ACC,3-0,1546,W 57-0 H #21 Clemson,Week 3Sep 14[4],1993
85,2,<,2,Alabama (3),SEC,2-0,1464,,Week 3Sep 14[4],1993
86,3,<,4,Miami (FL),Big East,1-0,1384,,Week 3Sep 14[4],1993
87,4,<,11,Notre Dame,Ind,2-0,1267,,Week 3Sep 14[4],1993
88,5,<,8,Tennessee,SEC,2-0,1260,,Week 3Sep 14[4],1993
89,6,<,6,Syracuse,Big East,2-0,1240,,Week 3Sep 14[4],1993
90,7,<,10,Colorado,Big 8,2-0,1172,,Week 3Sep 14[4],1993
91,8,<,9,Nebraska,Big 8,2-0,1132,W 50-27 H Texas Tech,Week 3Sep 14[4],1993
92,9,<,7,Florida,SEC,2-0,1063,,Week 3Sep 14[4],1993
93,10,<,3,Michigan,Big Ten,1-1,970,,Week 3Sep 14[4],1993
94,11,<,16,Ohio State,Big Ten,2-0,902,,Week 3Sep 14[4],1993
95,12,<,17,Oklahoma,Big 8,2-0,876,W 44-14 H #5 Texas A&M,Week 3Sep 14[4],1993
96,13,<,14,North Carolina,ACC,3-0,829,,Week 3Sep 14[4],1993
97,14,<,15,Penn State,Big Ten,2-0,752,,Week 3Sep 14[4],1993
98,15,<,13,Arizona,Pac-10,2-0,701,W 16-13 H Pacific,Week 3Sep 14[4],1993
99,16,<,5,Texas A&M,Southwest,1-1,560,,Week 3Sep 14[4],1993
100,17,<,18,NC State,ACC,2-0,545,,Week 3Sep 14[4],1993
101,18,<,12,Washington,Pac-10,1-1,532,,Week 3Sep 14[4],1993
102,19,<,20,BYU,WAC,2-0,406,,Week 3Sep 14[4],1993
103,20,<,23,Stanford,Pac-10,1-1,237,,Week 3Sep 14[4],1993
104,21,<,NR,California,Pac-10,2-0,185,,Week 3Sep 14[4],1993
105,22,<,25,Boston College,Big East,0-1,179,,Week 3Sep 14[4],1993
106,23,<,NR,Arizona State,Pac-10,1-0,158,,Week 3Sep 14[4],1993
107,24,<,NR,Wisconsin,Big Ten,2-0,138,,Week 3Sep 14[4],1993
108,25,<,NR,Virginia,ACC,2-0,98,,Week 3Sep 14[4],1993
109,NR,<,19,South Carolina,SEC,,0,,Week 3Sep 14[4],1993
110,NR,<,21,Clemson,ACC,,0,,Week 3Sep 14[4],1993
111,NR,<,22,Georgia,SEC,,0,,Week 3Sep 14[4],1993
112,NR,<,24,Baylor,Southwest,,0,,Week 3Sep 14[4],1993
113,1,<,1,Florida State (57),ACC,4-0,1544,W 33-7 A #13 North Carolina,Week 4Sep 21[5],1993
114,2,<,2,Alabama (5),SEC,3-0,1483,,Week 4Sep 21[5],1993
115,3,<,3,Miami (FL),Big East,2-0,1396,,Week 4Sep 21[5],1993
116,4,<,4,Notre Dame,Ind,3-0,1374,,Week 4Sep 21[5],1993
117,5,<,9,Florida,SEC,3-0,1299,,Week 4Sep 21[5],1993
118,6,<,8,Nebraska,Big 8,3-0,1170,W 14-13 A UCLA,Week 4Sep 21[5],1993
119,7,<,11,Ohio State,Big Ten,3-0,1137,,Week 4Sep 21[5],1993
120,8,<,10,Michigan,Big Ten,1-1,1067,,Week 4Sep 21[5],1993
121,9,<,14,Penn State,Big Ten,3-0,986,,Week 4Sep 21[5],1993
122,10,<,12,Oklahoma,Big 8,2-0,974,DNP,Week 4Sep 21[5],1993
123,11,<,5,Tennessee,SEC,2-1,912,,Week 4Sep 21[5],1993
124,12,<,6,Syracuse,Big East,2-0-1,904,,Week 4Sep 21[5],1993
125,13,<,7,Colorado,Big 8,2-1,732,,Week 4Sep 21[5],1993
126,14,<,16,Texas A&M,Southwest,2-1,688,,Week 4Sep 21[5],1993
127,15,<,15,Arizona,Pac-10,3-0,680,W 16-14 A Illinois,Week 4Sep 21[5],1993
128,16,<,18,Washington,Pac-10,1-1,586,,Week 4Sep 21[5],1993
129,17,<,20,Stanford,Pac-10,2-1,563,,Week 4Sep 21[5],1993
130,18,<,13,North Carolina,ACC,3-1,480,,Week 4Sep 21[5],1993
131,19,<,17,NC State,ACC,2-0,463,,Week 4Sep 21[5],1993
132,20,<,21,California,Pac-10,3-0,375,,Week 4Sep 21[5],1993
