,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
0,1,<,5,Oklahoma (32),Big 12,0-0,1573,DNP,Preseason,2003,
1,2,<,1,Ohio State (27),Big Ten,0-0,1532,DNP,Preseason,2003,
2,3,<,2,Miami (FL) (2),Big East,0-0,1484,DNP,Preseason,2003,
3,4,<,9,Michigan (2),Big Ten,0-0,1329,DNP,Preseason,2003,
4,5,<,6,Texas,Big 12,0-0,1322,DNP,Preseason,2003,
5,6,<,14,Auburn (1),SEC,0-0,1300,DNP,Preseason,2003,
6,7,<,7,Kansas State (1),Big 12,0-0,1221,DNP,Preseason,2003,
7,8,<,4,USC,Pac-10,0-0,1126,DNP,Preseason,2003,
8,9,<,18,Virginia Tech,Big East,0-0,1046,DNP,Preseason,2003,
9,10,<,19,Pittsburgh,Big East,0-0,952,DNP,Preseason,2003,
10,11,<,3,Georgia,SEC,0-0,928,DNP,Preseason,2003,
11,12,<,NR,Tennessee,SEC,0-0,766,DNP,Preseason,2003,
12,13,<,21,Florida State,ACC,0-0,737,DNP,Preseason,2003,
13,14,<,NR,LSU,SEC,0-0,736,DNP,Preseason,2003,
14,15,<,13,Maryland,ACC,0-0,705,DNP,Preseason,2003,
15,16,<,12,NC State,ACC,0-0,678,DNP,Preseason,2003,
16,17,<,NR,Washington,Pac-10,0-0,643,DNP,Preseason,2003,
17,18,<,22,Virginia,ACC,0-0,557,DNP,Preseason,2003,
18,19,<,NR,Purdue,Big Ten,0-0,468,DNP,Preseason,2003,
19,20,<,17,Notre Dame,Ind,0-0,439,DNP,Preseason,2003,
20,21,<,NR,Wisconsin,Big Ten,0-0,350,DNP,Preseason,2003,
21,22,<,NR,Arizona State,Pac-10,0-0,248,DNP,Preseason,2003,
22,23,<,NR,Colorado State,MWC,0-0,205,DNP,Preseason,2003,
23,24,<,NR,Oklahoma State,Big 12,0-0,156,DNP,Preseason,2003,
24,25,<,23,TCU,CUSA,0-0,95,DNP,Preseason,2003,
25,NR,<,8,Iowa,Big Ten,0-0,0,DNP,Preseason,2003,
26,NR,<,10,Washington State,Pac-10,0-0,0,DNP,Preseason,2003,
27,NR,<,11,Alabama,SEC,0-0,0,DNP,Preseason,2003,
28,NR,<,15,Boise State,WAC,0-0,0,DNP,Preseason,2003,
29,NR,<,16,Penn State,Big Ten,0-0,0,DNP,Preseason,2003,
30,NR,<,20,Colorado,Big 12,0-0,0,DNP,Preseason,2003,
31,NR,<,24,Marshall,MAC,0-0,0,DNP,Preseason,2003,
32,NR,<,25,West Virginia,Big East,0-0,0,DNP,Preseason,2003,
33,1,<,1,Oklahoma (30),Big 12,1-0,1566,W 37-3 H North Texas,Week 1Sep 1,2003,
34,2,<,2,Ohio State (25),Big Ten,1-0,1538,,Week 1Sep 1,2003,
35,3,<,3,Miami (FL) (2),Big East,1-0,1482,,Week 1Sep 1,2003,
36,4,<,8,USC (6),Pac-10,1-0,1389,,Week 1Sep 1,2003,
37,5,<,4,Michigan (2),Big Ten,1-0,1351,,Week 1Sep 1,2003,
38,6,<,5,Texas,Big 12,1-0,1302,,Week 1Sep 1,2003,
39,7,<,7,Kansas State,Big 12,2-0,1241,,Week 1Sep 1,2003,
40,8,<,11,Georgia,SEC,1-0,1135,,Week 1Sep 1,2003,
41,9,<,9,Virginia Tech,Big East,1-0,1094,,Week 1Sep 1,2003,
42,10,<,10,Pittsburgh,Big East,0-0,996,DNP,Week 1Sep 1,2003,
43,11,<,13,Florida State,ACC,1-0,930,,Week 1Sep 1,2003,
44,12,<,12,Tennessee,SEC,1-0,883,,Week 1Sep 1,2003,
45,13,<,14,LSU,SEC,1-0,828,,Week 1Sep 1,2003,
46,14,<,16,NC State,ACC,1-0,815,,Week 1Sep 1,2003,
47,15,<,18,Virginia,ACC,1-0,641,,Week 1Sep 1,2003,
48,16,<,19,Purdue,Big Ten,0-0,533,DNP,Week 1Sep 1,2003,
49,17,<,6,Auburn,SEC,0-1,524,,Week 1Sep 1,2003,
50,18,<,21,Wisconsin,Big Ten,1-0,512,,Week 1Sep 1,2003,
51,19,<,20,Notre Dame,Ind,0-0,507,DNP,Week 1Sep 1,2003,
52,20,<,22,Arizona State,Pac-10,0-0,309,DNP,Week 1Sep 1,2003,
53,21,<,NR,Florida,SEC,1-0,268,,Week 1Sep 1,2003,
54,22,<,17,Washington,Pac-10,0-1,222,,Week 1Sep 1,2003,
55,23,<,NR,Nebraska,Big 12,1-0,204,,Week 1Sep 1,2003,
56,24,<,NR,Colorado,Big 12,1-0,188,,Week 1Sep 1,2003,
57,25,<,25,TCU,CUSA,0-0,131,DNP,Week 1Sep 1,2003,
58,NR,<,15,Maryland,ACC,,0,,Week 1Sep 1,2003,
59,NR,<,23,Colorado State,MWC,,0,,Week 1Sep 1,2003,
60,NR,<,24,Oklahoma State,Big 12,0-1,0,L 17-7 A Nebraska,Week 1Sep 1,2003,
61,1,<,1,Oklahoma (47),Big 12,2-0,1549,W 20-13 A Alabama,Week 2Sep 7,2003,
62,2,<,3,Miami (FL) (2),Big East,2-0,1448,,Week 2Sep 7,2003,
63,3,<,2,Ohio State (8),Big Ten,2-0,1398,,Week 2Sep 7,2003,
64,4,<,4,USC (4),Pac-10,2-0,1380,,Week 2Sep 7,2003,
65,5,<,5,Michigan (2),Big Ten,2-0,1332,,Week 2Sep 7,2003,
66,6,<,6,Texas,Big 12,1-0,1267,,Week 2Sep 7,2003,
67,7,<,7,Kansas State,Big 12,3-0,1198,,Week 2Sep 7,2003,
68,8,<,8,Georgia,SEC,2-0,1085,,Week 2Sep 7,2003,
69,9,<,9,Virginia Tech,Big East,2-0,1075,,Week 2Sep 7,2003,
70,10,<,11,Florida State,ACC,2-0,998,,Week 2Sep 7,2003,
71,11,<,10,Pittsburgh,Big East,1-0,980,,Week 2Sep 7,2003,
72,12,<,13,LSU,SEC,2-0,896,,Week 2Sep 7,2003,
73,13,<,12,Tennessee,SEC,2-0,879,,Week 2Sep 7,2003,
74,14,<,18,Wisconsin,Big Ten,2-0,669,,Week 2Sep 7,2003,
75,15,<,19,Notre Dame,Ind,1-0,615,,Week 2Sep 7,2003,
76,16,<,20,Arizona State,Pac-10,1-0,507,,Week 2Sep 7,2003,
77,17,<,24,Colorado,Big 12,2-0,493,,Week 2Sep 7,2003,
78,18,<,23,Nebraska,Big 12,2-0,435,,Week 2Sep 7,2003,
79,19,<,21,Florida,SEC,1-1,383,,Week 2Sep 7,2003,
80,20,<,NR,Wake Forest,ACC,2-0,330,W 38-24 H NC State,Week 2Sep 7,2003,
81,21,<,22,Washington,Pac-10,1-1,286,,Week 2Sep 7,2003,
82,22,<,25,TCU,CUSA,2-0,195,W 17-3 H Navy,Week 2Sep 7,2003,
83,23,<,NR,Iowa,Big Ten,2-0,184,,Week 2Sep 7,2003,
84,24,<,14,NC State,ACC,1-1,181,,Week 2Sep 7,2003,
85,25,<,NR,South Carolina,SEC,2-0,127,W 31-7 H Virginia,Week 2Sep 7,2003,
86,NR,<,15,Virginia,ACC,,0,,Week 2Sep 7,2003,
87,NR,<,16,Purdue,Big Ten,,0,,Week 2Sep 7,2003,
88,NR,<,17,Auburn,SEC,,0,,Week 2Sep 7,2003,
89,1,<,1,Oklahoma (50),Big 12,3-0,1601,W 52-28 H Fresno State,Week 3Sep 14,2003,
90,2,<,2,Miami (FL) (3),Big East,3-0,1508,,Week 3Sep 14,2003,
