,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,CFP
0,1,<,1,Alabama (47),SEC,0-0,1548,*1,DNP,PreseasonAug 16[1],2021,
1,2,<,6,Oklahoma (6),Big 12,0-0,1462,*3,DNP,PreseasonAug 16[1],2021,
2,3,<,3,Clemson (6),ACC,0-0,1447,2,DNP,PreseasonAug 16[1],2021,
3,4,<,2,Ohio State (1),Big Ten,0-0,1393,4,DNP,PreseasonAug 16[1],2021,
4,5,<,7,Georgia (3),SEC,0-0,1364,5,DNP,PreseasonAug 16[1],2021,
5,6,<,4,Texas A&M,SEC,0-0,1223,6,DNP,PreseasonAug 16[1],2021,
6,7,<,9,Iowa State,Big 12,0-0,1160,8,DNP,PreseasonAug 16[1],2021,
7,8,<,8,Cincinnati,AAC,0-0,1014,10,DNP,PreseasonAug 16[1],2021,
8,9,<,5,Notre Dame,Ind,0-0,1009,7,DNP,PreseasonAug 16[1],2021,
9,10,<,18,North Carolina,ACC,0-0,999,9,DNP,PreseasonAug 16[1],2021,
10,11,<,NR,Oregon,Pac-12,0-0,968,12,DNP,PreseasonAug 16[1],2021,
11,12,<,NR,Wisconsin,Big Ten,0-0,743,15,DNP,PreseasonAug 16[1],2021,
12,13,<,13,Florida,SEC,0-0,728,11,DNP,PreseasonAug 16[1],2021,
13,14,<,22,Miami (FL),ACC,0-0,663,16,DNP,PreseasonAug 16[1],2021,
14,15,<,21,USC,Pac-12,0-0,660,14,DNP,PreseasonAug 16[1],2021,
15,16,<,NR,LSU,SEC,0-0,631,13,DNP,PreseasonAug 16[1],2021,
16,17,<,12,Indiana,Big Ten,0-0,549,17,DNP,PreseasonAug 16[1],2021,
17,18,<,16,Iowa,Big Ten,0-0,513,18,DNP,PreseasonAug 16[1],2021,
18,19,<,NR,Penn State,Big Ten,0-0,456,20,DNP,PreseasonAug 16[1],2021,
19,20,<,NR,Washington,Pac-12,0-0,449,21,DNP,PreseasonAug 16[1],2021,
20,21,<,19,Texas,Big 12,0-0,350,19,DNP,PreseasonAug 16[1],2021,
21,22,<,14,Coastal Carolina,Sun Belt,0-0,232,24,DNP,PreseasonAug 16[1],2021,
22,23,<,15,Louisiana,Sun Belt,0-0,208,23,DNP,PreseasonAug 16[1],2021,
23,24,<,NR,Utah,Pac-12,0-0,176,RV,DNP,PreseasonAug 16[1],2021,
24,25,<,NR,Arizona State,Pac-12,0-0,125,RV,DNP,PreseasonAug 16[1],2021,
25,RV,<,20,Oklahoma State,Big 12,0-0,107,22,DNP,PreseasonAug 16[1],2021,
26,RV,<,NR,Mississippi,SEC,0-0,106,25,DNP,PreseasonAug 16[1],2021,
27,RV,<,NR,TCU,Big 12,0-0,40,RV,DNP,PreseasonAug 16[1],2021,
28,RV,<,17,Liberty,Ind,0-0,36,RV,DNP,PreseasonAug 16[1],2021,
29,RV,<,NR,Auburn,SEC,0-0,32,RV,DNP,PreseasonAug 16[1],2021,
30,RV,<,NR,NC State,ACC,0-0,14,RV,DNP,PreseasonAug 16[1],2021,
31,RV,<,NR,Michigan,Big Ten,0-0,12,RV,DNP,PreseasonAug 16[1],2021,
32,RV,<,10,Northwestern,Big Ten,0-0,8,RV,DNP,PreseasonAug 16[1],2021,
33,RV,<,NR,Boise State,MWC,0-0,7,RV,DNP,PreseasonAug 16[1],2021,
34,RV,<,NR,Nevada,MWC,0-0,7,RV,DNP,PreseasonAug 16[1],2021,
35,RV,<,11,BYU,Ind,0-0,6,RV,DNP,PreseasonAug 16[1],2021,
36,RV,<,23,Ball State,MAC,0-0,6,RV,DNP,PreseasonAug 16[1],2021,
37,RV,<,NR,Boston College,ACC,0-0,5,RV,DNP,PreseasonAug 16[1],2021,
38,RV,<,NR,Houston,AAC,0-0,5,RV,DNP,PreseasonAug 16[1],2021,
39,RV,<,NR,UCF,AAC,0-0,5,RV,DNP,PreseasonAug 16[1],2021,
40,RV,<,NR,West Virginia,Big 12,0-0,3,RV,DNP,PreseasonAug 16[1],2021,
41,RV,<,NR,Army,Ind,0-0,2,RV,DNP,PreseasonAug 16[1],2021,
42,RV,<,NR,UAB,CUSA,0-0,2,RV,DNP,PreseasonAug 16[1],2021,
43,RV,<,NR,UCLA,Pac-12,0-0,2,RV,DNP,PreseasonAug 16[1],2021,
44,NR,<,24,San Jose State,MWC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
45,NR,<,25,Buffalo,MAC,0-0,0,NR,DNP,PreseasonAug 16[1],2021,
46,NR,<,NR,Air Force,MWC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
47,NR,<,NR,Appalachian State,Sun Belt,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
48,NR,<,NR,Arkansas,SEC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
49,NR,<,NR,California,Pac-12,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
50,NR,<,NR,Florida State,ACC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
51,NR,<,NR,Kentucky,SEC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
52,NR,<,NR,Marshall,CUSA,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
53,NR,<,NR,Mississippi State,SEC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
54,NR,<,NR,Missouri,SEC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
55,NR,<,NR,Pittsburgh,ACC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
56,NR,<,NR,SMU,AAC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
57,NR,<,NR,Stanford,Pac-12,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
58,NR,<,NR,Tulsa,AAC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
59,NR,<,NR,Virginia Tech,ACC,0-0,0,RV,DNP,PreseasonAug 16[1],2021,
60,1,<,1,Alabama (59),SEC,1-0,1571,*1,W 44-13 N #14 Miami (FL) (Chick-fil-A Kickoff),Week 1Sep 7[2],2021,
61,2,<,5,Georgia (4),SEC,1-0,1507,*2,W 10-3 N #3 Clemson (Duke's Mayo Classic),Week 1Sep 7[2],2021,
62,3,<,4,Ohio State,Big Ten,1-0,1437,3,W 45-31 A Minnesota,Week 1Sep 7[2],2021,
63,4,<,2,Oklahoma,Big 12,1-0,1374,4,W 40-35 H Tulane,Week 1Sep 7[2],2021,
64,5,<,6,Texas A&M,SEC,1-0,1288,5,W 41-10 H Kent State,Week 1Sep 7[2],2021,
65,6,<,3,Clemson,ACC,0-1,1231,6,L 10-3 N #5 Georgia (Duke's Mayo Classic),Week 1Sep 7[2],2021,
66,7,<,8,Cincinnati,AAC,1-0,1136,8,W 49-14 H Miami (OH),Week 1Sep 7[2],2021,
67,8,<,9,Notre Dame,Ind,1-0,1070,7,W 41-38 (1OT) A Florida State,Week 1Sep 7[2],2021,
68,9,<,7,Iowa State,Big 12,1-0,1045,10,W 16-10 H Northern Iowa,Week 1Sep 7[2],2021,
69,10,<,18,Iowa,Big Ten,1-0,942,12,W 34-6 H #17 Indiana,Week 1Sep 7[2],2021,
70,11,<,19,Penn State,Big Ten,1-0,908,13,W 16-10 A #12 Wisconsin,Week 1Sep 7[2],2021,
71,12,<,11,Oregon,Pac-12,1-0,883,11,W 31-24 H Fresno State,Week 1Sep 7[2],2021,
72,13,<,13,Florida,SEC,1-0,842,9,W 35-14 H Florida Atlantic,Week 1Sep 7[2],2021,
73,14,<,15,USC,Pac-12,1-0,789,14,W 30-7 H San Jose State,Week 1Sep 7[2],2021,
74,15,<,21,Texas,Big 12,1-0,683,15,W 38-18 H #23 Louisiana,Week 1Sep 7[2],2021,
75,16,<,NR,UCLA,Pac-12,2-0,668,16,W 38-27 H #16 LSU,Week 1Sep 7[2],2021,
76,17,<,22,Coastal Carolina,Sun Belt,1-0,384,19,W 52-14 H Citadel,Week 1Sep 7[2],2021,
