,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
588,16,<,9,Nebraska,Big 12,9-2,618,15,L 9-6 A #18 Texas A&M,Week 12Nov 21,2010,15
589,17,<,18,Texas A&M,Big 12,8-3,573,18,W 9-6 H #9 Nebraska,Week 12Nov 21,2010,17
590,18,<,17,South Carolina,SEC,8-3,559,17,W 69-24 H Troy,Week 12Nov 21,2010,18
591,19,<,19,Nevada,WAC,10-1,439,19,W 52-6 H New Mexico State,Week 12Nov 21,2010,19
592,20,<,23,Arizona,Pac-10,7-3,268,20,DNP,Week 12Nov 21,2010,21
593,21,<,NR,NC State,ACC,8-3,238,23,W 29-25 A North Carolina,Week 12Nov 21,2010,23
594,22,<,NR,Florida State,ACC,8-3,232,21,W 30-16 A Maryland,Week 12Nov 21,2010,22
595,23,<,25,Utah,MWC,9-2,211,22,W 38-34 A San Diego State,Week 12Nov 21,2010,20
596,24,<,21,Iowa,Big Ten,7-4,100,24,L 20-17 H #8 Ohio State,Week 12Nov 21,2010,24
597,25,<,22,Mississippi State,SEC,7-4,94,25,L 38-31 (1OT) H #13 Arkansas,Week 12Nov 21,2010,25
598,RV,<,NR,Northern Illinois,MAC,9-2,72,RV,W 59-21 A Ball State,Week 12Nov 21,2010,NR
599,RV,<,NR,West Virginia,Big East,7-3,26,RV,W 17-10 A Louisville,Week 12Nov 21,2010,NR
600,RV,<,NR,Tulsa,CUSA,8-3,12,RV,W 31-28 H UTEP,Week 12Nov 21,2010,NR
601,RV,<,20,USC,Pac-10,7-4,8,NR,L 36-7 A Oregon State,Week 12Nov 21,2010,NR
602,RV,<,24,Miami (FL),ACC,7-4,7,RV,L 31-17 H #14 Virginia Tech,Week 12Nov 21,2010,NR
603,RV,<,NR,Hawaii,WAC,8-3,7,RV,W 41-7 H San Jose State,Week 12Nov 21,2010,NR
604,RV,<,NR,Navy,Ind,8-3,7,RV,W 35-19 H Arkansas State,Week 12Nov 21,2010,NR
605,RV,<,NR,Florida,SEC,7-4,4,RV,W 48-10 H Appalachian State,Week 12Nov 21,2010,NR
606,RV,<,NR,UCF,CUSA,8-3,4,RV,W 61-14 A Tulane,Week 12Nov 21,2010,NR
607,RV,<,NR,Southern Miss,CUSA,8-3,3,RV,W 59-41 H Houston,Week 12Nov 21,2010,NR
608,RV,<,NR,Penn State,Big Ten,7-4,2,RV,W 41-24 A Indiana,Week 12Nov 21,2010,NR
609,RV,<,NR,Ohio,MAC,8-3,1,RV,W 31-23 A Temple,Week 12Nov 21,2010,NR
610,RV,<,NR,Oregon State,Pac-10,5-5,1,NR,W 36-7 H #20 USC,Week 12Nov 21,2010,NR
611,NR,<,NR,Air Force,MWC,8-4,0,NR,W 35-20 A UNLV,Week 12Nov 21,2010,NR
612,NR,<,NR,Clemson,ACC,6-5,0,NR,W 30-10 A Wake Forest,Week 12Nov 21,2010,NR
613,NR,<,NR,Maryland,ACC,7-4,0,RV,L 30-16 H Florida State,Week 12Nov 21,2010,NR
614,NR,<,NR,Miami (OH),MAC,7-4,0,NR,W 19-14 A Akron,Week 12Nov 21,2010,NR
615,NR,<,NR,Michigan,Big Ten,7-4,0,RV,L 48-28 H #6 Wisconsin,Week 12Nov 21,2010,NR
616,NR,<,NR,Northwestern,Big Ten,7-4,0,RV,L 48-27 N Illinois,Week 12Nov 21,2010,NR
617,NR,<,NR,Notre Dame,Ind,6-5,0,NR,W 27-3 N Army,Week 12Nov 21,2010,NR
618,NR,<,NR,Pittsburgh,Big East,6-4,0,RV,W 17-10 A South Florida,Week 12Nov 21,2010,NR
619,NR,<,NR,San Diego State,MWC,7-4,0,RV,L 38-34 H #25 Utah,Week 12Nov 21,2010,NR
620,NR,<,NR,Syracuse,Big East,7-4,0,NR,L 23-6 H Connecticut,Week 12Nov 21,2010,NR
621,NR,<,NR,Temple,MAC,8-3,0,RV,L 31-23 H Ohio,Week 12Nov 21,2010,NR
622,1,<,1,Oregon (36),Pac-10,11-0,1475,*1,W 48-29 H #20 Arizona,Week 13Nov 28,2010,2
623,2,<,2,Auburn (23),SEC,12-0,1456,*2,W 28-27 A #9 Alabama,Week 13Nov 28,2010,1
624,3,<,4,TCU (1),MWC,12-0,1383,*3,W 66-17 A New Mexico,Week 13Nov 28,2010,3
625,4,<,5,Wisconsin,Big Ten,11-1,1289,4,W 70-23 H Northwestern,Week 13Nov 28,2010,5
626,5,<,7,Stanford,Pac-10,11-1,1283,5,W 38-0 H Oregon State,Week 13Nov 28,2010,4
627,6,<,8,Ohio State,Big Ten,11-1,1184,6,W 37-7 H Michigan,Week 13Nov 28,2010,6
628,7,<,11,Michigan State,Big Ten,11-1,1098,7,W 28-22 A Penn State,Week 13Nov 28,2010,8
629,8,<,12,Arkansas,SEC,10-2,1094,8,W 31-23 H #6 LSU,Week 13Nov 28,2010,7
630,9,<,3,Boise State,WAC,10-1,908,10,L 34-31 (1OT) A #19 Nevada,Week 13Nov 28,2010,11
631,10,<,14,Oklahoma,Big 12,10-2,886,9,W 47-41 A #10 Oklahoma State,Week 13Nov 28,2010,9
632,11,<,6,LSU,SEC,10-2,856,12,L 31-23 A #12 Arkansas,Week 13Nov 28,2010,10
633,12,<,13,Virginia Tech,ACC,10-2,761,11,W 37-7 H Virginia,Week 13Nov 28,2010,15
634,13,<,16,Nebraska,Big 12,10-2,740,13,W 45-17 H Colorado,Week 13Nov 28,2010,13
635,14,<,19,Nevada,WAC,11-1,736,17,W 34-31 (1OT) H #3 Boise State,Week 13Nov 28,2010,17
636,15,<,15,Missouri,Big 12,10-2,691,14,W 35-7 H Kansas,Week 13Nov 28,2010,12
637,16,<,10,Oklahoma State,Big 12,10-2,599,15,L 47-41 H #14 Oklahoma,Week 13Nov 28,2010,14
638,17,<,9,Alabama,SEC,9-3,597,19,L 28-27 H #2 Auburn,Week 13Nov 28,2010,16
639,18,<,18,South Carolina,SEC,9-3,591,16,W 29-7 A Clemson,Week 13Nov 28,2010,19
640,19,<,17,Texas A&M,Big 12,9-3,582,18,W 24-17 A Texas,Week 13Nov 28,2010,18
641,20,<,22,Florida State,ACC,9-3,356,20,W 31-7 H Florida,Week 13Nov 28,2010,21
642,21,<,23,Utah,MWC,10-2,249,21,W 17-16 H BYU,Week 13Nov 28,2010,20
643,22,<,25,Mississippi State,SEC,8-4,224,22,W 31-23 A Mississippi,Week 13Nov 28,2010,22
644,23,<,NR,West Virginia,Big East,8-3,147,24,W 35-10 A Pittsburgh,Week 13Nov 28,2010,24
645,24,<,NR,Northern Illinois,MAC,10-2,130,23,DNP,Week 13Nov 28,2010,25
646,25,<,NR,Hawaii,WAC,9-3,43,RV,W 59-24 A New Mexico State,Week 13Nov 28,2010,NR
647,RV,<,20,Arizona,Pac-10,7-4,34,RV,DNP,Week 13Nov 28,2010,23
648,RV,<,NR,Maryland,ACC,8-4,29,RV,W 38-31 H #21 NC State,Week 13Nov 28,2010,NR
649,RV,<,NR,Tulsa,CUSA,9-3,28,RV,DNP,Week 13Nov 28,2010,NR
650,RV,<,NR,Connecticut,Big East,7-4,16,RV,W 38-17 H Cincinnati,Week 13Nov 28,2010,NR
651,RV,<,NR,Navy,Ind,8-3,14,RV,DNP,Week 13Nov 28,2010,NR
652,RV,<,NR,UCF,CUSA,9-3,12,25,DNP,Week 13Nov 28,2010,NR
653,RV,<,NR,San Diego State,MWC,8-4,5,RV,DNP,Week 13Nov 28,2010,NR
654,RV,<,21,NC State,ACC,8-4,2,RV,L 38-31 A Maryland,Week 13Nov 28,2010,NR
655,RV,<,NR,Air Force,MWC,8-4,2,RV,DNP,Week 13Nov 28,2010,NR
656,NR,<,24,Iowa,Big Ten,7-5,0,RV,L 27-24 A Minnesota,Week 13Nov 28,2010,NR
657,NR,<,NR,Miami (OH),MAC,8-4,0,NR,W 23-3 H Temple,Week 13Nov 28,2010,NR
658,NR,<,NR,Notre Dame,Ind,7-5,0,NR,W 20-16 A USC,Week 13Nov 28,2010,NR
659,NR,<,NR,Ohio,MAC,8-4,0,NR,L 28-6 A Kent State,Week 13Nov 28,2010,NR
660,NR,<,NR,South Florida,Big East,7-4,0,RV,W 23-20 (1OT) A Miami (FL),Week 13Nov 28,2010,NR
661,1,<,2,Auburn (36),SEC,13-0,1473,*2,W 56-17 N #18 South Carolina (SEC CG),Week 14Dec 5,2010,1
662,2,<,1,Oregon (23),Pac-10,12-0,1462,*1,W 37-20 A Oregon State,Week 14Dec 5,2010,2
663,3,<,3,TCU (1),MWC,12-0,1379,*3,DNP,Week 14Dec 5,2010,3
664,4,<,4,Wisconsin,Big Ten,11-1,1289,4,DNP,Week 14Dec 5,2010,5
665,5,<,5,Stanford,Pac-10,11-1,1283,5,DNP,Week 14Dec 5,2010,4
666,6,<,6,Ohio State,Big Ten,11-1,1179,6,DNP,Week 14Dec 5,2010,6
667,7,<,7,Michigan State,Big Ten,11-1,1101,7,DNP,Week 14Dec 5,2010,9
668,8,<,8,Arkansas,SEC,10-2,1085,8,DNP,Week 14Dec 5,2010,8
669,9,<,10,Oklahoma,Big 12,11-2,976,8,W 23-20 N #13 Nebraska (Big 12 CG),Week 14Dec 5,2010,7
670,10,<,9,Boise State,WAC,11-1,932,10,W 50-14 H Utah State,Week 14Dec 5,2010,10
671,11,<,11,LSU,SEC,10-2,863,12,DNP,Week 14Dec 5,2010,11
672,12,<,12,Virginia Tech,ACC,11-2,817,11,W 44-33 N #20 Florida State (ACC CG),Week 14Dec 5,2010,13
673,13,<,14,Nevada,WAC,12-1,759,15,W 35-17 A Louisiana Tech,Week 14Dec 5,2010,15
674,14,<,15,Missouri,Big 12,10-2,705,14,DNP,Week 14Dec 5,2010,12
675,15,<,17,Alabama,SEC,9-3,628,18,DNP,Week 14Dec 5,2010,16
676,16,<,16,Oklahoma State,Big 12,10-2,622,13,DNP,Week 14Dec 5,2010,14
677,17,<,13,Nebraska,Big 12,10-3,608,16,L 23-20 N #10 Oklahoma (Big 12 CG),Week 14Dec 5,2010,18
678,18,<,19,Texas A&M,Big 12,9-3,601,17,DNP,Week 14Dec 5,2010,17
679,19,<,18,South Carolina,SEC,9-4,332,20,L 56-17 N #2 Auburn (SEC CG),Week 14Dec 5,2010,20
680,20,<,21,Utah,MWC,10-2,312,19,DNP,Week 14Dec 5,2010,19
681,21,<,22,Mississippi State,SEC,8-4,288,22,DNP,Week 14Dec 5,2010,21
682,22,<,23,West Virginia,Big East,9-3,283,21,W 35-14 H Rutgers,Week 14Dec 5,2010,22
683,23,<,20,Florida State,ACC,9-4,188,23,L 44-33 N #12 Virginia Tech (ACC CG),Week 14Dec 5,2010,23
684,24,<,25,Hawaii,WAC,10-3,111,25,W 59-21 H UNLV,Week 14Dec 5,2010,24
685,25,<,NR,Connecticut,Big East,8-4,74,RV,W 19-16 A South Florida,Week 14Dec 5,2010,NR
686,RV,<,NR,UCF,CUSA,10-3,63,24,W 17-7 H SMU (CUSA),Week 14Dec 5,2010,25
687,RV,<,NR,Maryland,ACC,8-4,30,RV,DNP,Week 14Dec 5,2010,NR
688,RV,<,NR,Tulsa,CUSA,9-3,18,RV,DNP,Week 14Dec 5,2010,NR
689,RV,<,NR,Navy,Ind,8-3,11,RV,DNP,Week 14Dec 5,2010,NR
690,RV,<,NR,Miami (OH),MAC,9-4,8,RV,W 26-21 N #24 Northern Illinois (MAC),Week 14Dec 5,2010,NR
691,RV,<,24,Northern Illinois,MAC,10-3,7,RV,L 26-21 N Miami (OH) (MAC CG),Week 14Dec 5,2010,NR
692,RV,<,NR,San Diego State,MWC,8-4,6,RV,DNP,Week 14Dec 5,2010,NR
693,RV,<,NR,Fresno State,WAC,8-4,2,NR,W 25-23 H Illinois,Week 14Dec 5,2010,NR
694,RV,<,NR,Pittsburgh,Big East,7-5,2,NR,W 28-10 A Cincinnati,Week 14Dec 5,2010,NR
695,RV,<,NR,Air Force,MWC,8-4,1,NR,DNP,Week 14Dec 5,2010,NR
696,RV,<,NR,Iowa,Big Ten,7-5,1,NR,DNP,Week 14Dec 5,2010,NR
697,RV,<,NR,NC State,ACC,8-4,1,RV,DNP,Week 14Dec 5,2010,NR
698,NR,<,NR,Arizona,Pac-10,7-5,0,RV,L 30-29 (2OT) H Arizona State,Week 14Dec 5,2010,NR
699,NR,<,NR,Notre Dame,Ind,7-5,0,NR,DNP,Week 14Dec 5,2010,NR
700,NR,<,NR,South Florida,Big East,7-5,0,NR,L 19-16 H Connecticut,Week 14Dec 5,2010,NR
701,1,<,1,Auburn (56),SEC,14-0,1472,*1,W 22-19 N #2 Oregon (BCS NC),Week 15 (Final)Jan 11,2010,
702,2,<,3,TCU (3),MWC,13-0,1392,*2,W 21-19 N #4 Wisconsin (Rose),Week 15 (Final)Jan 11,2010,
703,3,<,2,Oregon,Pac-10,12-1,1379,3,L 22-19 N #1 Auburn (BCS NC),Week 15 (Final)Jan 11,2010,
704,4,<,5,Stanford,Pac-10,12-1,1300,4,W 40-12 N #12 Virginia Tech (Orange),Week 15 (Final)Jan 11,2010,
705,5,<,6,Ohio State,Big Ten,12-1,1220,5,W 31-26 N #8 Arkansas (Sugar),Week 15 (Final)Jan 11,2010,
706,6,<,9,Oklahoma,Big 12,12-2,1108,6,W 48-20 N #25 Connecticut (Fiesta),Week 15 (Final)Jan 11,2010,
707,7,<,4,Wisconsin,Big Ten,11-2,1055,8,L 21-19 N #3 TCU (Rose),Week 15 (Final)Jan 11,2010,
708,8,<,11,LSU,SEC,11-2,1051,8,W 41-24 N #18 Texas A&M (Cotton),Week 15 (Final)Jan 11,2010,
709,9,<,10,Boise State,WAC,12-1,1031,7,W 26-3 N #20 Utah (MAACO),Week 15 (Final)Jan 11,2010,
710,10,<,15,Alabama,SEC,10-3,961,11,W 49-7 N #7 Michigan State (Capital One),Week 15 (Final)Jan 11,2010,
711,11,<,13,Nevada,WAC,13-1,866,13,W 20-13 N Boston College (Kraft Fight Hunger),Week 15 (Final)Jan 11,2010,
712,12,<,8,Arkansas,SEC,10-3,863,12,L 31-26 N #6 Ohio State (Sugar),Week 15 (Final)Jan 11,2010,
713,13,<,16,Oklahoma State,Big 12,11-2,833,10,W 36-10 N Arizona (Alamo),Week 15 (Final)Jan 11,2010,
714,14,<,7,Michigan State,Big Ten,11-2,696,14,L 49-7 N #15 Alabama (Capital One),Week 15 (Final)Jan 11,2010,
715,15,<,21,Mississippi State,SEC,9-4,578,17,W 52-14 N Michigan (Gator),Week 15 (Final)Jan 11,2010,
716,16,<,12,Virginia Tech,ACC,11-3,577,15,L 40-12 N #5 Stanford (Orange),Week 15 (Final)Jan 11,2010,
717,17,<,23,Florida State,ACC,10-4,502,16,W 26-17 N #19 South Carolina (Chick-fil-A),Week 15 (Final)Jan 11,2010,
718,18,<,14,Missouri,Big 12,10-3,477,18,L 27-24 N Iowa (Insight),Week 15 (Final)Jan 11,2010,
719,19,<,18,Texas A&M,Big 12,9-4,359,21,L 41-24 N #11 LSU (Cotton),Week 15 (Final)Jan 11,2010,
720,20,<,17,Nebraska,Big 12,10-4,334,19,L 19-7 N Washington (Holiday),Week 15 (Final)Jan 11,2010,
721,21,<,NR,UCF,CUSA,11-3,225,20,W 10-6 N Georgia (Liberty),Week 15 (Final)Jan 11,2010,
722,22,<,19,South Carolina,SEC,9-5,169,22,L 26-17 N #23 Florida State (Chick-fil-A),Week 15 (Final)Jan 11,2010,
723,23,<,NR,Maryland,ACC,9-4,144,24,W 51-20 N East Carolina (Military),Week 15 (Final)Jan 11,2010,
724,24,<,NR,Tulsa,CUSA,10-3,128,RV,W 62-35 A #24 Hawaii (Hawaii),Week 15 (Final)Jan 11,2010,
725,25,<,NR,NC State,ACC,9-4,119,25,W 23-7 N #22 West Virginia (Champs Sports),Week 15 (Final)Jan 11,2010,
726,RV,<,20,Utah,MWC,10-3,98,23,L 26-3 N #10 Boise State (MAACO),Week 15 (Final)Jan 11,2010,
727,RV,<,NR,Iowa,Big Ten,8-5,54,RV,W 27-24 N #14 Missouri (Insight),Week 15 (Final)Jan 11,2010,
728,RV,<,NR,San Diego State,MWC,9-4,52,RV,W 35-14 H Navy (Poinsettia),Week 15 (Final)Jan 11,2010,
729,RV,<,NR,Northern Illinois,MAC,11-3,47,RV,W 40-17 N Fresno State (Humanitarian),Week 15 (Final)Jan 11,2010,
730,RV,<,NR,Miami (OH),MAC,10-4,21,RV,W 35-21 N Middle Tennessee (GoDaddy.com),Week 15 (Final)Jan 11,2010,
731,RV,<,NR,Florida,SEC,8-5,19,RV,W 37-24 N Penn State (Outback),Week 15 (Final)Jan 11,2010,
732,RV,<,22,West Virginia,Big East,9-4,16,RV,L 23-7 N NC State (Champs Sports),Week 15 (Final)Jan 11,2010,
733,RV,<,NR,Notre Dame,Ind,8-5,9,RV,W 33-17 N Miami (FL) (Sun),Week 15 (Final)Jan 11,2010,
734,RV,<,25,Connecticut,Big East,8-5,8,RV,L 48-20 N #9 Oklahoma (Fiesta),Week 15 (Final)Jan 11,2010,
735,RV,<,NR,Air Force,MWC,9-4,5,RV,W 14-7 N Georgia Tech (Independence),Week 15 (Final)Jan 11,2010,
736,RV,<,NR,Navy,Ind,9-4,3,NR,L 35-14 A San Diego State (Poinsettia),Week 15 (Final)Jan 11,2010,
737,RV,<,24,Hawaii,WAC,10-4,2,RV,L 62-35 H Tulsa (Hawaii),Week 15 (Final)Jan 11,2010,
738,RV,<,NR,BYU,MWC,7-6,1,NR,W 52-24 N UTEP (New Mexico),Week 15 (Final)Jan 11,2010,
739,RV,<,NR,Eastern Washington,Other,13-2,1,NR,W 20-19 N Delaware (FCS NC),Week 15 (Final)Jan 11,2010,
740,NR,<,NR,Washington,Pac-10,7-6,0,RV,W 19-7 N #17 Nebraska (Holiday),Week 15 (Final)Jan 11,2010,
