,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,5,Oklahoma (23),Big 8,0-0,1068,DNP,Preseason[1][2],1977
1,2,<,3,Michigan (19),Big Ten,0-0,1020,DNP,Preseason[1][2],1977
2,3,<,12,Notre Dame (10),Ind,0-0,948,DNP,Preseason[1][2],1977
3,4,<,2,USC (3),Pac-8,0-0,766,DNP,Preseason[1][2],1977
4,5,<,6,Ohio State (2),Big Ten,0-0,673,DNP,Preseason[1][2],1977
5,6,<,11,Alabama (1),SEC,0-0,541,DNP,Preseason[1][2],1977
6,7,<,1,Pittsburgh (2),Ind,0-0,408,DNP,Preseason[1][2],1977
7,8,<,13,Texas Tech (1),Southwest,0-0,388,DNP,Preseason[1][2],1977
8,9,<,7,Texas A&M (1),Southwest,0-0,376,DNP,Preseason[1][2],1977
9,10,<,8,Maryland,ACC,0-0,361,DNP,Preseason[1][2],1977
10,11,<,15,UCLA,Pac-8,0-0,324,DNP,Preseason[1][2],1977
11,12,<,16,Colorado,Big 8,0-0,313,DNP,Preseason[1][2],1977
12,13,<,NR,Penn State,Ind,0-0,238,DNP,Preseason[1][2],1977
13,14,<,4,Houston,Southwest,0-0,219,DNP,Preseason[1][2],1977
14,15,<,9,Nebraska,Big 8,0-0,190,DNP,Preseason[1][2],1977
15,16,<,20,Mississippi State,SEC,0-0,124,DNP,Preseason[1][2],1977
16,17,<,NR,Arizona State,WAC,0-0,69,DNP,Preseason[1][2],1977
17,17,<,NR,Florida,SEC,0-0,69,DNP,Preseason[1][2],1977
18,19,<,10,Georgia,SEC,0-0,40,DNP,Preseason[1][2],1977
19,20,<,14,Oklahoma State,Big 8,0-0,37,DNP,Preseason[1][2],1977
20,NR,<,17,Rutgers,Ind,0-0,0,DNP,Preseason[1][2],1977
21,NR,<,18,Kentucky,SEC,0-0,0,DNP,Preseason[1][2],1977
22,NR,<,19,Iowa State,Big 8,0-0,0,DNP,Preseason[1][2],1977
23,1,<,2,Michigan (42),Big Ten,1-0,1162,W 37-9 A Illinois,Week 1Sep 12[1],1977
24,2,<,4,USC (4),Pac-8,1-0,980,,Week 1Sep 12[1],1977
25,3,<,3,Notre Dame (9),Ind,1-0,894,,Week 1Sep 12[1],1977
26,4,<,6,Alabama (1),SEC,1-0,771,W 34-13 H Mississippi,Week 1Sep 12[1],1977
27,5,<,1,Oklahoma (2),Big 8,1-0,701,W 25-23 H Vanderbilt,Week 1Sep 12[1],1977
28,6,<,5,Ohio State (1),Big Ten,1-0,647,,Week 1Sep 12[1],1977
29,7,<,9,Texas A&M,Southwest,1-0,502,,Week 1Sep 12[1],1977
30,8,<,8,Texas Tech (1),Southwest,1-0,498,,Week 1Sep 12[1],1977
31,9,<,14,Houston (1),Southwest,1-0,422,,Week 1Sep 12[1],1977
32,10,<,13,Penn State,Ind,1-0,375,,Week 1Sep 12[1],1977
33,11,<,10,Maryland,ACC,1-0,298,,Week 1Sep 12[1],1977
34,12,<,12,Colorado,Big 8,1-0,261,,Week 1Sep 12[1],1977
35,13,<,16,Mississippi State,SEC,2-0,150,,Week 1Sep 12[1],1977
36,14,<,11,UCLA,Pac-8,0-1,111,,Week 1Sep 12[1],1977
37,15,<,20,Oklahoma State,Big 8,1-0,86,W 34-17 A Tulsa,Week 1Sep 12[1],1977
38,16,<,7,Pittsburgh,Ind,0-1,78,,Week 1Sep 12[1],1977
39,17,<,19,Georgia,SEC,1-0,73,,Week 1Sep 12[1],1977
40,18,<,NR,Texas (1),Southwest,1-0,72,,Week 1Sep 12[1],1977
41,19,<,17,Florida,SEC,0-0,42,DNP,Week 1Sep 12[1],1977
42,20,<,NR,BYU,WAC,1-0,34,,Week 1Sep 12[1],1977
43,NR,<,15,Nebraska,Big 8,,0,,Week 1Sep 12[1],1977
44,NR,<,17,Arizona State,WAC,,0,,Week 1Sep 12[1],1977
45,1,<,1,Michigan (42),Big Ten,2-0,1094,W 21-9 H Duke,Week 2Sep 19[1],1977
46,2,<,2,USC (5),Pac-8,2-0,1032,,Week 2Sep 19[1],1977
47,3,<,5,Oklahoma (7),Big 8,2-0,955,W 62-24 H Utah,Week 2Sep 19[1],1977
48,4,<,6,Ohio State (2),Big Ten,2-0,877,,Week 2Sep 19[1],1977
49,5,<,10,Penn State (5),Ind,2-0,717,,Week 2Sep 19[1],1977
50,6,<,7,Texas A&M,Southwest,2-0,708,,Week 2Sep 19[1],1977
51,7,<,8,Texas Tech,Southwest,2-0,631,,Week 2Sep 19[1],1977
52,8,<,12,Colorado,Big 8,2-0,435,,Week 2Sep 19[1],1977
53,9,<,18,Texas (1),Southwest,2-0,287,,Week 2Sep 19[1],1977
54,10,<,4,Alabama,SEC,1-1,219,L 31-24 A Nebraska,Week 2Sep 19[1],1977
55,11,<,3,Notre Dame,Ind,1-1,206,,Week 2Sep 19[1],1977
56,12,<,13,Mississippi State,SEC,2-0,204,,Week 2Sep 19[1],1977
57,13,<,19,Florida,SEC,1-0,190,,Week 2Sep 19[1],1977
58,14,<,NR,Nebraska,Big 8,1-1,161,,Week 2Sep 19[1],1977
59,15,<,NR,Washington State,Pac-8,2-0,129,W 23-21 A Michigan State,Week 2Sep 19[1],1977
60,16,<,NR,Arkansas,Southwest,2-0,108,,Week 2Sep 19[1],1977
61,17,<,NR,West Virginia,Ind,2-0,83,,Week 2Sep 19[1],1977
62,18,<,14,UCLA,Pac-8,1-1,80,,Week 2Sep 19[1],1977
63,19,<,9,Houston,Southwest,1-1,73,,Week 2Sep 19[1],1977
64,20,<,20,BYU,WAC,1-0,64,,Week 2Sep 19[1],1977
65,NR,<,11,Maryland,ACC,,0,,Week 2Sep 19[1],1977
66,NR,<,15,Oklahoma State,Big 8,1-1,0,L 28-6 A Arkansas,Week 2Sep 19[1],1977
67,NR,<,16,Pittsburgh,Ind,,0,,Week 2Sep 19[1],1977
68,NR,<,17,Georgia,SEC,,0,,Week 2Sep 19[1],1977
69,1,<,3,Oklahoma (23),Big 8,3-0,1164,W 29-28 A #4 Ohio State,Week 3Sep 26[1],1977
70,2,<,2,USC (24),Pac-8,3-0,1116,,Week 3Sep 26[1],1977
71,3,<,1,Michigan (8),Big Ten,3-0,981,W 14-7 H Navy,Week 3Sep 26[1],1977
72,4,<,5,Penn State (7),Ind,3-0,860,,Week 3Sep 26[1],1977
73,5,<,6,Texas A&M,Southwest,3-0,798,,Week 3Sep 26[1],1977
74,6,<,4,Ohio State,Big Ten,2-1,601,,Week 3Sep 26[1],1977
75,7,<,8,Colorado,Big 8,3-0,581,,Week 3Sep 26[1],1977
76,8,<,9,Texas (1),Southwest,2-0,430,,Week 3Sep 26[1],1977
77,9,<,13,Florida,SEC,2-0,395,,Week 3Sep 26[1],1977
78,10,<,10,Alabama,SEC,2-1,320,W 24-12 A Vanderbilt,Week 3Sep 26[1],1977
79,11,<,14,Nebraska,Big 8,2-1,286,,Week 3Sep 26[1],1977
80,12,<,16,Arkansas,Southwest,3-0,224,,Week 3Sep 26[1],1977
81,13,<,7,Texas Tech,Southwest,2-1,201,,Week 3Sep 26[1],1977
82,14,<,11,Notre Dame,Ind,2-1,189,,Week 3Sep 26[1],1977
83,15,<,20,BYU,WAC,2-0,106,,Week 3Sep 26[1],1977
84,16,<,NR,Pittsburgh,Ind,2-1,84,,Week 3Sep 26[1],1977
85,17,<,NR,California,Pac-8,3-0,46,,Week 3Sep 26[1],1977
86,18,<,12,Mississippi State,SEC,2-1,31,,Week 3Sep 26[1],1977
87,19,<,19,Houston,Southwest,2-1,27,,Week 3Sep 26[1],1977
88,20,<,NR,Arizona State,WAC,2-0,16,,Week 3Sep 26[1],1977
89,NR,<,15,Washington State,Pac-8,,0,,Week 3Sep 26[1],1977
90,NR,<,17,West Virginia,Ind,,0,,Week 3Sep 26[1],1977
91,NR,<,18,UCLA,Pac-8,,0,,Week 3Sep 26[1],1977
92,1,<,2,USC (23),Pac-8,4-0,1106,W 41-7 H Washington State,Week 4Oct 3[1],1977
93,2,<,1,Oklahoma (19),Big 8,4-0,1052,W 24-9 H Kansas,Week 4Oct 3[1],1977
94,3,<,3,Michigan (16),Big Ten,4-0,1048,,Week 4Oct 3[1],1977
95,4,<,6,Ohio State,Big Ten,3-1,715,,Week 4Oct 3[1],1977
96,5,<,8,Texas (1),Southwest,3-0,706,,Week 4Oct 3[1],1977
97,6,<,7,Colorado,Big 8,4-0,647,,Week 4Oct 3[1],1977
98,7,<,10,Alabama,SEC,3-1,424,W 18-10 H Georgia,Week 4Oct 3[1],1977
99,7,<,12,Arkansas,Southwest,4-0,424,,Week 4Oct 3[1],1977
100,9,<,11,Nebraska,Big 8,3-1,376,,Week 4Oct 3[1],1977
101,10,<,4,Penn State,Ind,3-1,288,,Week 4Oct 3[1],1977
102,11,<,14,Notre Dame,Ind,3-1,205,,Week 4Oct 3[1],1977
103,12,<,5,Texas A&M,Southwest,3-1,194,,Week 4Oct 3[1],1977
104,13,<,15,BYU (1),WAC,3-0,184,,Week 4Oct 3[1],1977
105,14,<,17,California,Pac-8,4-0,178,,Week 4Oct 3[1],1977
106,15,<,16,Pittsburgh,Ind,3-1,168,,Week 4Oct 3[1],1977
107,16,<,NR,Kentucky,SEC,3-1,100,,Week 4Oct 3[1],1977
108,17,<,13,Texas Tech,Southwest,3-1,84,,Week 4Oct 3[1],1977
109,18,<,NR,LSU,SEC,2-1,57,,Week 4Oct 3[1],1977
110,19,<,NR,Wisconsin,Big Ten,4-0,31,,Week 4Oct 3[1],1977
111,20,<,9,Florida,SEC,2-1,24,,Week 4Oct 3[1],1977
112,NR,<,18,Mississippi State,SEC,,0,,Week 4Oct 3[1],1977
113,NR,<,19,Houston,Southwest,,0,,Week 4Oct 3[1],1977
114,NR,<,20,Arizona State,WAC,,0,,Week 4Oct 3[1],1977
115,1,<,3,Michigan (44),Big Ten,5-0,1180,W 24-14 A Michigan State,Week 5Oct 10[1],1977
116,2,<,5,Texas (15),Southwest,4-0,1100,,Week 5Oct 10[1],1977
117,3,<,6,Colorado (1),Big 8,5-0,775,,Week 5Oct 10[1],1977
118,4,<,7,Alabama,SEC,4-1,762,W 21-20 A #1 USC,Week 5Oct 10[1],1977
119,5,<,4,Ohio State (1),Big Ten,4-1,735,,Week 5Oct 10[1],1977
120,6,<,1,USC,Pac-8,4-1,659,L 21-20 H #7 Alabama,Week 5Oct 10[1],1977
121,7,<,2,Oklahoma,Big 8,4-1,657,L 13-6 N #5 Texas,Week 5Oct 10[1],1977
122,8,<,7,Arkansas,Southwest,4-0,475,,Week 5Oct 10[1],1977
123,9,<,9,Nebraska,Big 8,4-1,471,,Week 5Oct 10[1],1977
124,10,<,10,Penn State,Ind,4-1,304,,Week 5Oct 10[1],1977
125,11,<,11,Notre Dame,Ind,3-1,219,,Week 5Oct 10[1],1977
126,12,<,16,Kentucky,SEC,4-1,184,,Week 5Oct 10[1],1977
127,13,<,12,Texas A&M,Southwest,3-1,169,,Week 5Oct 10[1],1977
128,14,<,19,Wisconsin,Big Ten,5-0,144,,Week 5Oct 10[1],1977
129,15,<,17,Texas Tech,Southwest,4-1,95,,Week 5Oct 10[1],1977
130,16,<,18,LSU,SEC,3-1,93,,Week 5Oct 10[1],1977
131,17,<,15,Pittsburgh,Ind,3-1-1,77,,Week 5Oct 10[1],1977
132,18,<,20,Florida,SEC,2-1-1,23,,Week 5Oct 10[1],1977
133,19,<,NR,Houston,Southwest,3-1,20,,Week 5Oct 10[1],1977
134,20,<,14,California,Pac-8,4-1,18,,Week 5Oct 10[1],1977
135,NR,<,13,BYU,WAC,,0,,Week 5Oct 10[1],1977
