,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,4,Tennessee (60),SEC,0-0,923,DNP,Preseason,1951
1,2,<,8,Michigan State (18),Ind,0-0,726,DNP,Preseason,1951
2,3,<,14,Ohio State (8),Big Ten,0-0,652,DNP,Preseason,1951
3,4,<,1,Oklahoma (16),Big 7,0-0,509,DNP,Preseason,1951
4,5,<,5,California (3),PCC,0-0,403,DNP,Preseason,1951
5,6,<,7,Kentucky (1),SEC,0-0,316,DNP,Preseason,1951
6,6,<,NR,Texas A&M,Southwest,0-0,316,DNP,Preseason,1951
7,8,<,11,Washington (3),PCC,0-0,310,DNP,Preseason,1951
8,9,<,16,Alabama (2),SEC,0-0,271,DNP,Preseason,1951
9,10,<,13,Illinois (2),Big Ten,0-0,247,DNP,Preseason,1951
10,11,<,3,Texas (1),Southwest,0-0,195,DNP,Preseason,1951
11,12,<,17,Nebraska,Big 7,0-0,164,DNP,Preseason,1951
12,13,<,NR,Baylor,Southwest,0-0,142,DNP,Preseason,1951
13,14,<,NR,Notre Dame (1),Ind,0-0,139,DNP,Preseason,1951
14,15,<,NR,Wisconsin,Big Ten,0-0,105,DNP,Preseason,1951
15,16,<,NR,Maryland,Southern,0-0,101,DNP,Preseason,1951
16,17,<,9,Michigan,Big Ten,0-0,85,DNP,Preseason,1951
17,18,<,6,Princeton,Ind,0-0,79,DNP,Preseason,1951
18,19,<,NR,Penn,Ind,0-0,52,DNP,Preseason,1951
19,20,<,NR,Cornell,Ind,0-0,46,DNP,Preseason,1951
20,RV,<,2,Army,Ind,0-0,0,DNP,Preseason,1951
21,RV,<,10,Clemson,Southern,0-0,0,DNP,Preseason,1951
22,RV,<,12,Wyoming,MSAC,0-0,0,DNP,Preseason,1951
23,RV,<,15,Miami (FL),Ind,0-0,0,DNP,Preseason,1951
24,RV,<,18,Tulsa,MVC,0-0,0,DNP,Preseason,1951
25,RV,<,20,Tulane,SEC,0-0,0,DNP,Preseason,1951
26,RV,<,NR,Georgia,SEC,0-0,0,DNP,Preseason,1951
27,RV,<,NR,Holy Cross,Ind,0-0,0,DNP,Preseason,1951
28,RV,<,NR,Indiana,Big Ten,0-0,0,DNP,Preseason,1951
29,RV,<,NR,Minnesota,Big Ten,0-0,0,DNP,Preseason,1951
30,RV,<,NR,Navy,Ind,0-0,0,DNP,Preseason,1951
31,RV,<,NR,Pacific,Ind,0-0,0,DNP,Preseason,1951
32,RV,<,NR,SMU,Southwest,0-0,0,DNP,Preseason,1951
33,RV,<,NR,Stanford,PCC,0-0,0,DNP,Preseason,1951
34,RV,<,NR,Syracuse,Ind,0-0,0,DNP,Preseason,1951
35,RV,<,NR,UCLA,PCC,0-0,0,DNP,Preseason,1951
36,RV,<,NR,USC,PCC,0-0,0,DNP,Preseason,1951
37,RV,<,NR,Wake Forest,Southern,0-0,0,DNP,Preseason,1951
38,RV,<,NR,Yale,Ind,0-0,0,DNP,Preseason,1951
39,NR,<,18,Washington & Lee,Southern,0-0,0,DNP,Preseason,1951
40,1,<,2,Michigan State (37),Ind,2-0,1026,W 25-0 A #17 Michigan,Week 3Oct 1,1951
41,2,<,5,California (22),PCC,2-0,962,,Week 3Oct 1,1951
42,3,<,1,Tennessee (27),SEC,1-0,934,W 14-0 H Mississippi State,Week 3Oct 1,1951
43,4,<,4,Oklahoma (18),Big 7,1-0,805,W 49-7 H William & Mary,Week 3Oct 1,1951
44,5,<,14,Notre Dame (9),Ind,1-0,720,,Week 3Oct 1,1951
45,6,<,11,Texas (6),Southwest,2-0,616,,Week 3Oct 1,1951
46,7,<,3,Ohio State (1),Big Ten,1-0,430,,Week 3Oct 1,1951
47,8,<,10,Illinois,Big Ten,1-0,294,,Week 3Oct 1,1951
48,9,<,16,Maryland (4),Southern,1-0,237,,Week 3Oct 1,1951
49,10,<,6,Texas A&M,Southwest,1-0,222,,Week 3Oct 1,1951
50,11,<,NR,Georgia Tech (4),SEC,2-0,203,,Week 3Oct 1,1951
51,12,<,8,Washington (2),PCC,2-0,166,,Week 3Oct 1,1951
52,13,<,NR,Georgia (1),SEC,2-0,95,,Week 3Oct 1,1951
53,14,<,18,Princeton,Ind,1-0,81,W 54-20 H New York,Week 3Oct 1,1951
54,15,<,NR,Oregon State (1),PCC,1-1,42,,Week 3Oct 1,1951
55,16,<,NR,Duke,Southern,2-0,37,,Week 3Oct 1,1951
56,17,<,6,Kentucky,SEC,1-2,34,,Week 3Oct 1,1951
57,18,<,NR,Clemson (1),Southern,2-0,33,,Week 3Oct 1,1951
58,19,<,13,Baylor,Southwest,1-0,32,,Week 3Oct 1,1951
59,20,<,NR,Kansas,Big 7,2-0,30,W 53-33 H Iowa State,Week 3Oct 1,1951
60,NR,<,9,Alabama,SEC,,0,,Week 3Oct 1,1951
61,NR,<,12,Nebraska,Big 7,,0,,Week 3Oct 1,1951
62,NR,<,15,Wisconsin,Big Ten,,0,,Week 3Oct 1,1951
63,NR,<,17,Michigan,Big Ten,,0,,Week 3Oct 1,1951
64,NR,<,19,Penn,Ind,,0,,Week 3Oct 1,1951
65,NR,<,20,Cornell,Ind,,0,,Week 3Oct 1,1951
66,1,<,1,Michigan State (42),Ind,3-0,971,W 24-20 A #7 Ohio State,Week 4Oct 8,1951
67,2,<,2,California (36),PCC,3-0,961,,Week 4Oct 8,1951
68,3,<,3,Tennessee (18),SEC,2-0,821,,Week 4Oct 8,1951
69,4,<,10,Texas A&M (3),Southwest,2-0,594,,Week 4Oct 8,1951
70,5,<,5,Notre Dame (4),Ind,2-0,552,,Week 4Oct 8,1951
71,6,<,6,Texas (4),Southwest,3-0,532,,Week 4Oct 8,1951
72,7,<,8,Illinois,Big Ten,2-0,352,,Week 4Oct 8,1951
73,8,<,11,Georgia Tech (3),SEC,3-0,275,,Week 4Oct 8,1951
74,9,<,7,Ohio State,Big Ten,1-1,233,,Week 4Oct 8,1951
75,10,<,9,Maryland (1),Southern,2-0,228,,Week 4Oct 8,1951
76,11,<,4,Oklahoma,Big 7,1-1,102,L 14-7 A #10 Texas A&M,Week 4Oct 8,1951
77,12,<,19,Baylor,Southwest,2-0,100,,Week 4Oct 8,1951
78,13,<,14,Princeton,Ind,2-0,86,W 24-20 A Navy,Week 4Oct 8,1951
79,14,<,NR,USC,PCC,3-0,63,,Week 4Oct 8,1951
80,15,<,NR,Holy Cross,Ind,2-0,51,W 54-20 H Fordham,Week 4Oct 8,1951
81,16,<,18,Clemson,Southern,3-0,41,,Week 4Oct 8,1951
82,17,<,NR,Cornell,Ind,2-0,30,W 41-18 A Colgate,Week 4Oct 8,1951
83,18,<,15,Oregon State,PCC,2-1,26,,Week 4Oct 8,1951
84,19,<,NR,Stanford,PCC,3-0,20,,Week 4Oct 8,1951
85,20,<,NR,Pacific (1),Ind,3-0,16,W 34-6 H Oregon,Week 4Oct 8,1951
86,NR,<,12,Washington,PCC,,0,,Week 4Oct 8,1951
87,NR,<,13,Georgia,SEC,,0,,Week 4Oct 8,1951
88,NR,<,16,Duke,Southern,,0,,Week 4Oct 8,1951
89,NR,<,17,Kentucky,SEC,,0,,Week 4Oct 8,1951
90,NR,<,20,Kansas,Big 7,,0,,Week 4Oct 8,1951
91,1,<,2,California (50),PCC,4-0,1129,W 42-35 A Washington State,Week 5Oct 15,1951
