,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
0,1,<,2,Georgia (22),SEC,0-0,1528,1,DNP,PreseasonAug 16[2],2008,
1,2,<,5,Ohio State (21),Big Ten,0-0,1506,3,DNP,PreseasonAug 16[2],2008,
2,3,<,3,USC (12),Pac-10,0-0,1490,2,DNP,PreseasonAug 16[2],2008,
3,4,<,8,Oklahoma (4),Big 12,0-0,1444,4,DNP,PreseasonAug 16[2],2008,
4,5,<,13,Florida (6),SEC,0-0,1415,5,DNP,PreseasonAug 16[2],2008,
5,6,<,4,Missouri,Big 12,0-0,1266,7,DNP,PreseasonAug 16[2],2008,
6,7,<,1,LSU,SEC,0-0,1135,6,DNP,PreseasonAug 16[2],2008,
7,8,<,6,West Virginia,Big East,0-0,1116,8,DNP,PreseasonAug 16[2],2008,
8,9,<,21,Clemson,ACC,0-0,1105,9,DNP,PreseasonAug 16[2],2008,
9,10,<,15,Auburn,SEC,0-0,968,11,DNP,PreseasonAug 16[2],2008,
10,11,<,10,Texas,Big 12,0-0,966,10,DNP,PreseasonAug 16[2],2008,
11,12,<,22,Texas Tech,Big 12,0-0,786,14,DNP,PreseasonAug 16[2],2008,
12,13,<,24,Wisconsin,Big Ten,0-0,771,12,DNP,PreseasonAug 16[2],2008,
13,14,<,7,Kansas,Big 12,0-0,707,13,DNP,PreseasonAug 16[2],2008,
14,15,<,16,Arizona State,Pac-10,0-0,631,16,DNP,PreseasonAug 16[2],2008,
15,16,<,14,BYU,MWC,0-0,590,17,DNP,PreseasonAug 16[2],2008,
16,17,<,9,Virginia Tech,ACC,0-0,578,15,DNP,PreseasonAug 16[2],2008,
17,18,<,12,Tennessee,SEC,0-0,509,18,DNP,PreseasonAug 16[2],2008,
18,19,<,NR,South Florida,Big East,0-0,496,21,DNP,PreseasonAug 16[2],2008,
19,20,<,20,Illinois,Big Ten,0-0,483,19,DNP,PreseasonAug 16[2],2008,
