,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,,Ohio State (25),Big Ten,3-0,636.0,W 28-12 H USC,Week 1Oct 12[1],1942
1,2,<,,Georgia (12),SEC,4-0,494.0,,Week 1Oct 12[1],1942
2,3,<,,Michigan (12),Big Ten,2-1,418.0,,Week 1Oct 12[1],1942
3,4,<,,Alabama (10),SEC,3-0,356.0,,Week 1Oct 12[1],1942
4,5,<,,Illinois (18),Big Ten,3-0,326.0,,Week 1Oct 12[1],1942
5,6,<,,Georgia Tech (5),SEC,3-0,300.0,,Week 1Oct 12[1],1942
6,7,<,,Wisconsin,Big Ten,3-0-1,296.0,,Week 1Oct 12[1],1942
7,8,<,,Penn (5),Ind,2-1,289.0,,Week 1Oct 12[1],1942
8,9,<,,Colgate (2),Ind,3-0,170.0,W 27-19 A Dartmouth,Week 1Oct 12[1],1942
9,10,<,,Washington State (3),PCC,3-0,168.0,W 68-16 H Montana,Week 1Oct 12[1],1942
10,11,<,,Boston College (1),Ind,2-0,156.0,,Week 1Oct 12[1],1942
11,12,<,,Vanderbilt,SEC,3-0,151.0,W 7-6 A Kentucky,Week 1Oct 12[1],1942
12,13,<,,Duquesne (2),Ind,3-0,150.0,W 33-0 H Kansas State,Week 1Oct 12[1],1942
13,14,<,,Minnesota (1),Big Ten,1-2,149.0,L 20-13 A Illinois,Week 1Oct 12[1],1942
14,15,<,,Santa Clara (1),Ind,3-0,140.0,,Week 1Oct 12[1],1942
15,15,<,,Tennessee (1),SEC,2-0-1,140.0,,Week 1Oct 12[1],1942
16,17,<,,TCU,Southwest,3-0,120.0,W 41-6 H Kansas,Week 1Oct 12[1],1942
17,18,<,,Army,Ind,2-0,65.0,,Week 1Oct 12[1],1942
18,19,<,,Iowa,Big Ten,3-1,51.0,,Week 1Oct 12[1],1942
19,20,<,,Texas,Southwest,3-1,46.0,,Week 1Oct 12[1],1942
20,1,<,1,Ohio State (58),Big Ten,4-0,1030.0,W 26-0 H Purdue,Week 2Oct 19[2],1942
21,2,<,2,Georgia (38),SEC,5-0,973.0,,Week 2Oct 19[2],1942
22,3,<,4,Alabama (8),SEC,4-0,822.0,,Week 2Oct 19[2],1942
23,4,<,3,Michigan (2),Big Ten,3-1,606.0,,Week 2Oct 19[2],1942
24,5,<,5,Illinois (1),Big Ten,4-0,516.0,,Week 2Oct 19[2],1942
25,6,<,6,Georgia Tech (1),SEC,4-0,487.0,,Week 2Oct 19[2],1942
26,7,<,7,Wisconsin (2),Big Ten,4-0-1,430.0,,Week 2Oct 19[2],1942
27,8,<,NR,Notre Dame (3),Ind,2-1-1,387.0,,Week 2Oct 19[2],1942
28,9,<,15,Santa Clara (2),Ind,4-0,282.0,,Week 2Oct 19[2],1942
29,10,<,11,Boston College (4),Ind,3-0,248.0,,Week 2Oct 19[2],1942
30,11,<,18,Army,Ind,3-0,227.0,,Week 2Oct 19[2],1942
31,12,<,17,TCU,Southwest,4-0,225.0,W 7-2 A Texas A&M,Week 2Oct 19[2],1942
32,13,<,14,Minnesota,Big Ten,2-2,55.0,W 15-2 A Nebraska,Week 2Oct 19[2],1942
33,14,<,NR,UCLA,PCC,2-2,50.0,,Week 2Oct 19[2],1942
34,15,<,20,Texas,Southwest,4-1,45.0,,Week 2Oct 19[2],1942
35,16,<,NR,Mississippi State,SEC,2-2,31.0,,Week 2Oct 19[2],1942
36,17,<,8,Penn,Ind,2-1-1,26.0,,Week 2Oct 19[2],1942
37,17,<,15,Tennessee,SEC,2-1-1,26.0,,Week 2Oct 19[2],1942
38,19,<,NR,North Carolina,Southern,3-0-1,13.0,,Week 2Oct 19[2],1942
39,20,<,NR,Syracuse,Ind,4-0,12.0,,Week 2Oct 19[2],1942
40,NR,<,9,Colgate,Ind,,0.0,,Week 2Oct 19[2],1942
41,NR,<,10,Washington State,PCC,,0.0,,Week 2Oct 19[2],1942
42,NR,<,12,Vanderbilt,SEC,,0.0,,Week 2Oct 19[2],1942
43,NR,<,13,Duquesne,Ind,,0.0,,Week 2Oct 19[2],1942
44,NR,<,19,Iowa,Big Ten,,0.0,,Week 2Oct 19[2],1942
45,1,<,1,Ohio State (80),Big Ten,5-0,1150.0,W 20-6 A Northwestern,Week 3Oct 26[3],1942
46,2,<,2,Georgia (25),SEC,6-0,1029.5,,Week 3Oct 26[3],1942
47,3,<,3,Alabama (6),SEC,5-0,951.5,,Week 3Oct 26[3],1942
48,4,<,8,Notre Dame (3),Ind,3-1-1,704.5,,Week 3Oct 26[3],1942
49,5,<,6,Georgia Tech (3),SEC,5-0,668.0,,Week 3Oct 26[3],1942
50,6,<,7,Wisconsin (1),Big Ten,5-0-1,574.5,,Week 3Oct 26[3],1942
51,7,<,10,Boston College (4),Ind,4-0,418.0,,Week 3Oct 26[3],1942
52,8,<,11,Army (1),Ind,4-0,295.0,,Week 3Oct 26[3],1942
53,9,<,12,TCU,Southwest,5-0,254.0,W 21-0 A Pensacola NAS,Week 3Oct 26[3],1942
54,10,<,13,Minnesota,Big Ten,3-2,232.0,W 16-14 H #4 Michigan,Week 3Oct 26[3],1942
55,11,<,14,UCLA,PCC,3-2,170.0,,Week 3Oct 26[3],1942
56,12,<,5,Illinois,Big Ten,4-1,100.0,,Week 3Oct 26[3],1942
57,13,<,4,Michigan,Big Ten,4-1,90.0,,Week 3Oct 26[3],1942
58,14,<,17,Penn,Ind,3-1-1,68.0,,Week 3Oct 26[3],1942
59,15,<,20,Syracuse,Ind,5-0,33.0,,Week 3Oct 26[3],1942
60,15,<,NR,Tulsa,MVC,5-0,33.0,W 41-0 A St. Louis,Week 3Oct 26[3],1942
61,17,<,15,Texas,Southwest,5-1,23.0,,Week 3Oct 26[3],1942
62,18,<,NR,William & Mary,Southern,4-0-1,18.0,W 61-0 H George Washington,Week 3Oct 26[3],1942
63,19,<,NR,LSU,SEC,5-1,15.0,,Week 3Oct 26[3],1942
64,20,<,17,Tennessee,SEC,3-1-1,14.0,,Week 3Oct 26[3],1942
65,NR,<,9,Santa Clara,Ind,,0.0,,Week 3Oct 26[3],1942
66,NR,<,16,Mississippi State,SEC,,0.0,,Week 3Oct 26[3],1942
67,NR,<,19,North Carolina,Southern,,0.0,,Week 3Oct 26[3],1942
68,1,<,2,Georgia (84.31),SEC,7-0,1189.5,W 21-10 N #3 Alabama,Week 4Nov 2[4],1942
69,2,<,6,Wisconsin (20.33),Big Ten,6-0-1,1051.0,,Week 4Nov 2[4],1942
70,3,<,5,Georgia Tech (3.83),SEC,6-0,902.5,,Week 4Nov 2[4],1942
71,4,<,4,Notre Dame (1),Ind,4-1-1,834.31,,Week 4Nov 2[4],1942
72,5,<,7,Boston College (13),Ind,5-0,715.0,,Week 4Nov 2[4],1942
73,6,<,1,Ohio State,Big Ten,5-1,466.31,L 17-7 A #6 Wisconsin,Week 4Nov 2[4],1942
74,7,<,10,Minnesota (1),Big Ten,4-2,373.31,W 19-7 H Northwestern,Week 4Nov 2[4],1942
75,8,<,3,Alabama,SEC,5-1,337.31,,Week 4Nov 2[4],1942
76,9,<,14,Penn (1),Ind,4-1-1,328.31,,Week 4Nov 2[4],1942
77,10,<,11,UCLA (1),PCC,4-2,299.31,,Week 4Nov 2[4],1942
78,11,<,13,Michigan,Big Ten,4-2,279.31,,Week 4Nov 2[4],1942
