,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,CFP
0,1,<,2,Alabama (54),SEC,0-0,1566,1,DNP,PreseasonAug 15[1],2022,
1,2,<,6,Ohio State (6),Big Ten,0-0,1506,2,DNP,PreseasonAug 15[1],2022,
2,3,<,1,Georgia (3),SEC,0-0,1455,3,DNP,PreseasonAug 15[1],2022,
3,4,<,14,Clemson,ACC,0-0,1292,4,DNP,PreseasonAug 15[1],2022,
4,5,<,8,Notre Dame,Ind,0-0,1242,5,DNP,PreseasonAug 15[1],2022,
5,6,<,NR,Texas A&M,SEC,0-0,1212,7,DNP,PreseasonAug 15[1],2022,
6,7,<,12,Utah,Pac-12,0-0,1209,8,DNP,PreseasonAug 15[1],2022,
7,8,<,3,Michigan,Big Ten,0-0,1203,6,DNP,PreseasonAug 15[1],2022,
8,9,<,10,Oklahoma,Big 12,0-0,956,9,DNP,PreseasonAug 15[1],2022,
9,10,<,5,Baylor,Big 12,0-0,884,10,DNP,PreseasonAug 15[1],2022,
10,11,<,22,Oregon,Pac-12,0-0,831,12,DNP,PreseasonAug 15[1],2022,
11,12,<,7,Oklahoma State,Big 12,0-0,814,11,DNP,PreseasonAug 15[1],2022,
12,13,<,20,NC State,ACC,0-0,752,13,DNP,PreseasonAug 15[1],2022,
13,14,<,NR,USC,Pac-12,0-0,711,15,DNP,PreseasonAug 15[1],2022,
14,15,<,9,Michigan State,Big Ten,0-0,631,14,DNP,PreseasonAug 15[1],2022,
15,16,<,NR,Miami (FL),ACC,0-0,476,17,DNP,PreseasonAug 15[1],2022,
16,17,<,13,Pittsburgh,ACC,0-0,383,16,DNP,PreseasonAug 15[1],2022,
17,18,<,NR,Wisconsin,Big Ten,0-0,365,20,DNP,PreseasonAug 15[1],2022,
18,19,<,21,Arkansas,SEC,0-0,348,23,DNP,PreseasonAug 15[1],2022,
19,20,<,18,Kentucky,SEC,0-0,332,21,DNP,PreseasonAug 15[1],2022,
20,21,<,11,Mississippi,SEC,0-0,324,24,DNP,PreseasonAug 15[1],2022,
21,22,<,15,Wake Forest,ACC,0-0,303,19,DNP,PreseasonAug 15[1],2022,
22,23,<,4,Cincinnati,AAC,0-0,265,22,DNP,PreseasonAug 15[1],2022,
23,24,<,17,Houston,AAC,0-0,263,25,DNP,PreseasonAug 15[1],2022,
24,25,<,19,BYU,Ind,0-0,234,RV,DNP,PreseasonAug 15[1],2022,
25,RV,<,NR,Tennessee,SEC,,180,RV,DNP,PreseasonAug 15[1],2022,
26,RV,<,NR,Texas,Big 12,,164,18,DNP,PreseasonAug 15[1],2022,
27,RV,<,23,Iowa,Big Ten,,163,RV,DNP,PreseasonAug 15[1],2022,
28,RV,<,NR,Penn State,Big Ten,,160,RV,DNP,PreseasonAug 15[1],2022,
29,RV,<,NR,LSU,SEC,,55,RV,DNP,PreseasonAug 15[1],2022,
30,RV,<,NR,Fresno State,MWC,,32,RV,DNP,PreseasonAug 15[1],2022,
31,RV,<,NR,Minnesota,Big Ten,,31,RV,DNP,PreseasonAug 15[1],2022,
32,RV,<,NR,UCF,AAC,,27,RV,DNP,PreseasonAug 15[1],2022,
33,RV,<,NR,Purdue,Big Ten,,17,RV,DNP,PreseasonAug 15[1],2022,
34,RV,<,NR,Auburn,SEC,,15,RV,DNP,PreseasonAug 15[1],2022,
35,RV,<,NR,Mississippi State,SEC,,15,RV,DNP,PreseasonAug 15[1],2022,
36,RV,<,NR,Florida,SEC,,14,RV,DNP,PreseasonAug 15[1],2022,
37,RV,<,NR,Kansas State,Big 12,,14,RV,DNP,PreseasonAug 15[1],2022,
38,RV,<,NR,North Carolina,ACC,,9,RV,DNP,PreseasonAug 15[1],2022,
39,RV,<,NR,Boise State,MWC,,5,RV,DNP,PreseasonAug 15[1],2022,
40,RV,<,NR,Air Force,MWC,,4,RV,DNP,PreseasonAug 15[1],2022,
41,RV,<,NR,Appalachian State,Sun Belt,,4,RV,DNP,PreseasonAug 15[1],2022,
42,RV,<,24,Utah State,MWC,,2,RV,DNP,PreseasonAug 15[1],2022,
43,RV,<,25,San Diego State,MWC,,2,RV,DNP,PreseasonAug 15[1],2022,
44,RV,<,NR,South Carolina,SEC,,2,RV,DNP,PreseasonAug 15[1],2022,
45,RV,<,NR,UCLA,Pac-12,,2,RV,DNP,PreseasonAug 15[1],2022,
46,RV,<,NR,Nebraska,Big Ten,,1,NR,DNP,PreseasonAug 15[1],2022,
47,NR,<,16,Louisiana,Sun Belt,,0,RV,DNP,PreseasonAug 15[1],2022,
48,NR,<,NR,Army,Ind,,0,RV,DNP,PreseasonAug 15[1],2022,
49,NR,<,NR,Coastal Carolina,Sun Belt,,0,RV,DNP,PreseasonAug 15[1],2022,
50,NR,<,NR,Florida State,ACC,,0,RV,DNP,PreseasonAug 15[1],2022,
51,NR,<,NR,Iowa State,Big 12,,0,RV,DNP,PreseasonAug 15[1],2022,
52,NR,<,NR,Louisville,ACC,,0,RV,DNP,PreseasonAug 15[1],2022,
53,NR,<,NR,Oregon State,Pac-12,,0,RV,DNP,PreseasonAug 15[1],2022,
54,NR,<,NR,SMU,AAC,,0,RV,DNP,PreseasonAug 15[1],2022,
55,NR,<,NR,UTSA,CUSA,,0,RV,DNP,PreseasonAug 15[1],2022,
56,1,<,1,Alabama (44),SEC,1-0,1552,*1,W 55-0 H Utah State,Week 1Sep 6[2],2022,
57,2,<,3,Georgia (17),SEC,1-0,1511,*2,W 49-3 N #11 Oregon (Chick-fil-A Kickoff),Week 1Sep 6[2],2022,
58,3,<,2,Ohio State (2),Big Ten,1-0,1471,*3,W 21-10 H #5 Notre Dame,Week 1Sep 6[2],2022,
59,4,<,8,Michigan,Big Ten,1-0,1299,5,W 51-7 H Colorado State,Week 1Sep 6[2],2022,
60,5,<,4,Clemson,ACC,1-0,1280,4,W 41-10 N Georgia Tech (Chick-fil-A Kickoff),Week 1Sep 6[2],2022,
61,6,<,6,Texas A&M,SEC,1-0,1241,6,W 31-0 H Sam Houston,Week 1Sep 6[2],2022,
62,7,<,9,Oklahoma,Big 12,1-0,1130,7,W 45-13 H UTEP,Week 1Sep 6[2],2022,
63,8,<,5,Notre Dame,Ind,0-1,1085,9,L 21-10 A #2 Ohio State,Week 1Sep 6[2],2022,
64,9,<,10,Baylor,Big 12,1-0,1057,8,W 69-10 H Albany,Week 1Sep 6[2],2022,
65,10,<,14,USC,Pac-12,1-0,898,12,W 66-14 H Rice,Week 1Sep 6[2],2022,
66,11,<,12,Oklahoma State,Big 12,1-0,818,10,W 58-44 H Central Michigan,Week 1Sep 6[2],2022,
67,12,<,NR,Florida,SEC,1-0,763,19,W 29-26 H #7 Utah,Week 1Sep 6[2],2022,
68,13,<,7,Utah,Pac-12,0-1,717,15,L 29-26 A Florida,Week 1Sep 6[2],2022,
69,14,<,15,Michigan State,Big Ten,1-0,690,11,W 35-13 H Western Michigan,Week 1Sep 6[2],2022,
70,15,<,16,Miami (FL),ACC,1-0,679,16,W 70-13 H Bethune-Cookman,Week 1Sep 6[2],2022,
71,16,<,19,Arkansas,SEC,1-0,678,17,W 31-24 H #23 Cincinnati,Week 1Sep 6[2],2022,
72,17,<,17,Pittsburgh,ACC,1-0,535,14,W 38-31 H West Virginia,Week 1Sep 6[2],2022,
73,18,<,13,NC State,ACC,1-0,513,13,W 21-20 A East Carolina,Week 1Sep 6[2],2022,
74,19,<,18,Wisconsin,Big Ten,1-0,476,18,W 38-0 H Illinois State,Week 1Sep 6[2],2022,
75,20,<,20,Kentucky,SEC,1-0,373,20,W 37-13 H Miami (OH),Week 1Sep 6[2],2022,
76,21,<,25,BYU,Ind,1-0,266,25,W 50-21 A South Florida,Week 1Sep 6[2],2022,
77,22,<,21,Mississippi,SEC,1-0,254,23,W 28-10 H Troy,Week 1Sep 6[2],2022,
78,23,<,22,Wake Forest,ACC,1-0,246,21,W 44-10 H VMI,Week 1Sep 6[2],2022,
79,24,<,NR,Tennessee,SEC,1-0,194,RV,W 59-10 H Ball State,Week 1Sep 6[2],2022,
80,25,<,24,Houston,AAC,1-0,143,RV,W 37-35 (3OT) A UTSA,Week 1Sep 6[2],2022,
81,RV,<,11,Oregon,Pac-12,,131,24,L 49-3 N #3 Georgia (Chick-fil-A Kickoff),Week 1Sep 6[2],2022,
82,RV,<,NR,Penn State,Big Ten,,122,RV,W 35-31 A Purdue,Week 1Sep 6[2],2022,
83,RV,<,NR,Texas,Big 12,,118,22,W 52-10 H Louisiana-Monroe,Week 1Sep 6[2],2022,
84,RV,<,23,Cincinnati,AAC,,63,RV,L 31-24 A #19 Arkansas,Week 1Sep 6[2],2022,
85,RV,<,NR,Florida State,ACC,,42,RV,W 24-23 N LSU (Allstate Louisiana Kickoff),Week 1Sep 6[2],2022,
86,RV,<,NR,Fresno State,MWC,,22,RV,W 35-7 H Cal Poly,Week 1Sep 6[2],2022,
87,RV,<,NR,Minnesota,Big Ten,,22,RV,W 38-0 H New Mexico State,Week 1Sep 6[2],2022,
88,RV,<,NR,UCF,AAC,,22,RV,W 56-10 H South Carolina State,Week 1Sep 6[2],2022,
89,RV,<,NR,Kansas State,Big 12,,18,NR,W 34-0 H South Dakota,Week 1Sep 6[2],2022,
90,RV,<,NR,Auburn,SEC,,15,RV,W 42-16 H Mercer,Week 1Sep 6[2],2022,
91,RV,<,NR,Mississippi State,SEC,,10,RV,W 49-23 H Memphis,Week 1Sep 6[2],2022,
92,RV,<,NR,Air Force,MWC,,8,RV,W 48-17 H Northern Iowa,Week 1Sep 6[2],2022,
93,RV,<,NR,Oregon State,Pac-12,,5,RV,W 34-17 H Boise State,Week 1Sep 6[2],2022,
94,RV,<,NR,North Carolina,ACC,,3,RV,W 63-61 A Appalachian State,Week 1Sep 6[2],2022,
95,RV,<,NR,South Carolina,SEC,,2,RV,W 35-14 H Georgia State,Week 1Sep 6[2],2022,
96,RV,<,NR,Arizona,Pac-12,,1,NR,W 38-20 A San Diego State,Week 1Sep 6[2],2022,
97,RV,<,NR,Purdue,Big Ten,,1,NR,L 35-31 H Penn State,Week 1Sep 6[2],2022,
98,RV,<,NR,UCLA,Pac-12,,1,RV,W 45-17 H Bowling Green,Week 1Sep 6[2],2022,
