,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,2,Michigan State (77),Ind,0-0,1720,DNP,PreseasonAug[1],1952
1,2,<,3,Maryland (79),Ind,0-0,1696,DNP,PreseasonAug[1],1952
2,3,<,5,Georgia Tech (15),SEC,0-0,1233,DNP,PreseasonAug[1],1952
3,4,<,10,Oklahoma (16),Big 7,0-0,1058,DNP,PreseasonAug[1],1952
4,5,<,4,Illinois (7),Big Ten,0-0,1045,DNP,PreseasonAug[1],1952
5,6,<,1,Tennessee (5),SEC,0-0,708,DNP,PreseasonAug[1],1952
6,7,<,8,Wisconsin (4),Big Ten,0-0,534,DNP,PreseasonAug[1],1952
7,8,<,12,California (2),PCC,0-0,526,DNP,PreseasonAug[1],1952
8,9,<,11,TCU (1),Southwest,0-0,509,DNP,PreseasonAug[1],1952
9,10,<,NR,Notre Dame,Ind,0-0,482,DNP,PreseasonAug[1],1952
10,11,<,NR,Texas,Southwest,0-0,255,DNP,PreseasonAug[1],1952
11,12,<,NR,Penn,Ind,0-0,218,DNP,PreseasonAug[1],1952
12,13,<,7,Stanford,PCC,0-0,210,DNP,PreseasonAug[1],1952
13,14,<,6,Princeton,Ind,0-0,195,DNP,PreseasonAug[1],1952
14,15,<,18,Washington State,PCC,0-0,154,DNP,PreseasonAug[1],1952
15,16,<,NR,USC (1),PCC,0-0,129,DNP,PreseasonAug[1],1952
16,17,<,NR,Kansas (1),Big 7,0-0,106,DNP,PreseasonAug[1],1952
17,18,<,17,UCLA,PCC,0-0,105,DNP,PreseasonAug[1],1952
18,19,<,NR,Duke,Southern,0-0,96,DNP,PreseasonAug[1],1952
19,20,<,NR,Ohio State,Big Ten,0-0,89,DNP,PreseasonAug[1],1952
20,NR,<,9,Baylor,Southwest,0-0,0,DNP,PreseasonAug[1],1952
21,NR,<,13,Virginia,Ind,0-0,0,DNP,PreseasonAug[1],1952
22,NR,<,14,San Francisco,Ind,0-0,0,DNP,PreseasonAug[1],1952
23,NR,<,15,Kentucky,SEC,0-0,0,DNP,PreseasonAug[1],1952
24,NR,<,16,Boston,Ind,0-0,0,DNP,PreseasonAug[1],1952
25,NR,<,19,Clemson,Ind,0-0,0,DNP,PreseasonAug[1],1952
26,NR,<,19,Holy Cross,Ind,0-0,0,DNP,PreseasonAug[1],1952
27,1,<,1,Michigan State (52),Ind,1-0,752,W 27-13 A Michigan,Week 1Sep 29[2],1952
28,2,<,5,Illinois (4),Big Ten,1-0,435,,Week 1Sep 29[2],1952
29,3,<,2,Maryland (7),Ind,2-0,383,,Week 1Sep 29[2],1952
30,4,<,8,California,PCC,2-0,371,,Week 1Sep 29[2],1952
31,5,<,11,Texas (5),Southwest,2-0,365,,Week 1Sep 29[2],1952
32,6,<,3,Georgia Tech,SEC,2-0,342,,Week 1Sep 29[2],1952
33,7,<,16,USC (5),PCC,2-0,263,,Week 1Sep 29[2],1952
34,8,<,7,Wisconsin (1),Big Ten,1-0,207,,Week 1Sep 29[2],1952
35,9,<,17,Kansas,Big 7,2-0,163,W 21-9 H Santa Clara,Week 1Sep 29[2],1952
36,10,<,19,Duke,Southern,2-0,130,,Week 1Sep 29[2],1952
37,11,<,6,Tennessee (2),SEC,1-0,118,,Week 1Sep 29[2],1952
38,12,<,NR,Villanova (2),Ind,2-0,100,W 14-7 A Clemson,Week 1Sep 29[2],1952
39,13,<,14,Princeton (1),Ind,1-0,97,W 14-0 A Columbia,Week 1Sep 29[2],1952
40,14,<,18,UCLA,PCC,2-0,89,,Week 1Sep 29[2],1952
41,15,<,20,Ohio State,Big Ten,1-0,74,,Week 1Sep 29[2],1952
42,16,<,NR,Virginia (2),Ind,1-0,68,,Week 1Sep 29[2],1952
43,17,<,NR,Rice,Southwest,1-0,47,,Week 1Sep 29[2],1952
44,18,<,NR,Mississippi,SEC,1-0-1,37,,Week 1Sep 29[2],1952
45,19,<,10,Notre Dame,Ind,0-0-1,36,,Week 1Sep 29[2],1952
46,20,<,4,Oklahoma,Big 7,0-0-1,35,T 21-21 A Colorado,Week 1Sep 29[2],1952
47,NR,<,9,TCU,Southwest,,0,,Week 1Sep 29[2],1952
48,NR,<,12,Penn,Ind,,0,,Week 1Sep 29[2],1952
49,NR,<,13,Stanford,PCC,,0,,Week 1Sep 29[2],1952
50,NR,<,15,Washington State,PCC,,0,,Week 1Sep 29[2],1952
51,1,<,8,Wisconsin (27),Big Ten,2-0,1128,W 20-6 H #2 Illinois,Week 2Oct 6[3],1952
52,2,<,1,Michigan State (24),Ind,2-0,980,W 17-14 A Oregon State,Week 2Oct 6[3],1952
53,3,<,4,California (23),PCC,3-0,961,,Week 2Oct 6[3],1952
54,4,<,3,Maryland (22),Ind,3-0,834,,Week 2Oct 6[3],1952
55,5,<,6,Georgia Tech (12),SEC,3-0,734,,Week 2Oct 6[3],1952
56,6,<,10,Duke (12),Southern,3-0,530,,Week 2Oct 6[3],1952
57,7,<,7,USC (6),PCC,3-0,493,,Week 2Oct 6[3],1952
58,8,<,19,Notre Dame (3),Ind,1-0-1,332,,Week 2Oct 6[3],1952
59,9,<,9,Kansas (1),Big 7,3-0,301,W 21-12 H Colorado,Week 2Oct 6[3],1952
60,10,<,13,Princeton (3),Ind,2-0,264,W 61-19 H Rutgers,Week 2Oct 6[3],1952
61,11,<,14,UCLA,PCC,3-0,221,,Week 2Oct 6[3],1952
62,12,<,20,Oklahoma (1),Big 7,1-0-1,183,W 49-20 H Pittsburgh,Week 2Oct 6[3],1952
63,13,<,2,Illinois,Big Ten,1-1,137,,Week 2Oct 6[3],1952
64,14,<,12,Villanova,Ind,3-0,132,W 21-7 A Detroit Mercy,Week 2Oct 6[3],1952
65,15,<,16,Virginia (3),Ind,2-0,128,,Week 2Oct 6[3],1952
66,16,<,NR,Purdue,Big Ten,1-0-1,98,,Week 2Oct 6[3],1952
67,17,<,NR,Navy,Ind,2-0,54,,Week 2Oct 6[3],1952
68,18,<,NR,Alabama,SEC,3-0,52,,Week 2Oct 6[3],1952
69,19,<,NR,Georgia,SEC,3-0,40,,Week 2Oct 6[3],1952
70,20,<,NR,Penn State (1),Ind,2-0-1,38,,Week 2Oct 6[3],1952
71,NR,<,5,Texas,Southwest,,0,,Week 2Oct 6[3],1952
72,NR,<,11,Tennessee,SEC,,0,,Week 2Oct 6[3],1952
73,NR,<,15,Ohio State,Big Ten,,0,,Week 2Oct 6[3],1952
74,NR,<,17,Rice,Southwest,,0,,Week 2Oct 6[3],1952
75,NR,<,18,Mississippi,SEC,,0,,Week 2Oct 6[3],1952
76,1,<,2,Michigan State (39),Ind,3-0,1026,W 48-6 H Texas A&M,Week 3Oct 13[4],1952
77,2,<,4,Maryland (31),Ind,4-0,961,,Week 3Oct 13[4],1952
78,3,<,3,California (21),PCC,4-0,889,,Week 3Oct 13[4],1952
79,4,<,5,Georgia Tech (4),SEC,4-0,704,,Week 3Oct 13[4],1952
80,5,<,6,Duke (9),Southern,4-0,620,,Week 3Oct 13[4],1952
81,6,<,12,Oklahoma (5),Big 7,2-0-1,545,W 49-20 N Texas,Week 3Oct 13[4],1952
82,7,<,7,USC (2),PCC,4-0,367,,Week 3Oct 13[4],1952
83,8,<,9,Kansas (1),Big 7,4-0,319,W 43-0 A Iowa State,Week 3Oct 13[4],1952
84,9,<,16,Purdue,Big Ten,2-0-1,204,,Week 3Oct 13[4],1952
85,10,<,11,UCLA,PCC,4-0,203,,Week 3Oct 13[4],1952
86,11,<,15,Virginia (7),Ind,3-0,181,,Week 3Oct 13[4],1952
87,12,<,1,Wisconsin,Big Ten,2-0,108,L 23-14 A Ohio State,Week 3Oct 13[4],1952
88,13,<,NR,Stanford,PCC,4-0,105,,Week 3Oct 13[4],1952
89,14,<,NR,Penn,Ind,2-0-1,103,,Week 3Oct 13[4],1952
90,15,<,14,Villanova,Ind,4-0,91,W 20-0 H Wake Forest,Week 3Oct 13[4],1952
91,16,<,NR,Ohio State,Big Ten,2-1,74,,Week 3Oct 13[4],1952
92,17,<,13,Illinois,Big Ten,2-1,71,,Week 3Oct 13[4],1952
93,18,<,18,Alabama,SEC,4-0,61,,Week 3Oct 13[4],1952
94,19,<,20,Penn State,Ind,3-0-1,48,,Week 3Oct 13[4],1952
95,20,<,17,Navy,Ind,3-0,43,,Week 3Oct 13[4],1952
96,NR,<,8,Notre Dame,Ind,,0,,Week 3Oct 13[4],1952
97,NR,<,10,Princeton,Ind,,0,,Week 3Oct 13[4],1952
98,NR,<,19,Georgia,SEC,,0,,Week 3Oct 13[4],1952
99,1,<,1,Michigan State (49),Ind,4-0,1191,W 48-7 H Syracuse,Week 4Oct 20[5],1952
100,2,<,2,Maryland (36),Ind,5-0,1141,,Week 4Oct 20[5],1952
101,3,<,6,Oklahoma (23),Big 7,3-0-1,913,W 42-20 A #8 Kansas,Week 4Oct 20[5],1952
102,4,<,3,California (9),PCC,5-0,883,,Week 4Oct 20[5],1952
103,5,<,4,Georgia Tech (5),SEC,5-0,803,,Week 4Oct 20[5],1952
104,6,<,5,Duke (5),Southern,5-0,574,,Week 4Oct 20[5],1952
105,7,<,7,USC (1),PCC,5-0,503,,Week 4Oct 20[5],1952
106,8,<,10,UCLA (3),PCC,5-0,476,,Week 4Oct 20[5],1952
107,9,<,11,Virginia (5),Ind,4-0,188,,Week 4Oct 20[5],1952
108,10,<,12,Wisconsin,Big Ten,3-1,162,,Week 4Oct 20[5],1952
109,11,<,14,Penn,Ind,3-0-1,112,,Week 4Oct 20[5],1952
110,12,<,15,Villanova,Ind,5-0,111,W 28-7 A Boston College,Week 4Oct 20[5],1952
111,13,<,NR,Tennessee,SEC,3-1,77,,Week 4Oct 20[5],1952
