,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,,Army (86),Ind,2-0,1076,W 54-0 H Wake Forest,Week 1Oct 7[1],1945
1,2,<,,Navy (14),Ind,2-0,955,,Week 1Oct 7[1],1945
2,3,<,,Notre Dame (3),Ind,2-0,699,W 40-7 A Georgia Tech,Week 1Oct 7[1],1945
3,4,<,,Ohio State (3),Big Ten,2-0,658,,Week 1Oct 7[1],1945
4,5,<,,Minnesota (2),Big Ten,2-0,605,,Week 1Oct 7[1],1945
5,6,<,,USC (1),PCC,3-0,435,,Week 1Oct 7[1],1945
6,7,<,,Alabama,SEC,2-0,305,,Week 1Oct 7[1],1945
7,8,<,,Indiana,Big Ten,2-0-1,216,W 6-0 A Illinois,Week 1Oct 7[1],1945
8,9,<,,Michigan (1),Big Ten,3-1,185,,Week 1Oct 7[1],1945
9,10,<,,Texas,Southwest,3-0,167,,Week 1Oct 7[1],1945
10,11,<,,Penn,Ind,2-0,140,,Week 1Oct 7[1],1945
11,12,<,,Holy Cross,Ind,2-0,118,W 21-0 A Yale,Week 1Oct 7[1],1945
12,13,<,,Duke,Southern,2-1,82,,Week 1Oct 7[1],1945
13,14,<,,Oklahoma State,MVC,2-0,74,W 31-7 A Denver,Week 1Oct 7[1],1945
14,15,<,,Purdue,Big Ten,3-0,41,,Week 1Oct 7[1],1945
15,16,<,,Tulsa,MVC,3-0,39,W 19-0 H Drake,Week 1Oct 7[1],1945
16,17,<,,Texas A&M,Southwest,3-0,34,,Week 1Oct 7[1],1945
17,18,<,,Tennessee,SEC,2-0,32,,Week 1Oct 7[1],1945
18,19,<,,St. Mary's,Ind,3-0,22,,Week 1Oct 7[1],1945
19,20,<,,Mississippi State,SEC,2-0,20,,Week 1Oct 7[1],1945
20,20,<,,Virginia,Ind,3-0,20,,Week 1Oct 7[1],1945
21,1,<,1,Army (90),Ind,3-0,1035,W 28-7 N #9 Michigan,Week 2Oct 14[2],1945
22,2,<,2,Navy (14),Ind,3-0,803,,Week 2Oct 14[2],1945
23,3,<,3,Notre Dame,Ind,3-0,768,W 34-0 H Dartmouth,Week 2Oct 14[2],1945
24,4,<,4,Ohio State (1),Big Ten,3-0,655,,Week 2Oct 14[2],1945
25,5,<,5,Minnesota,Big Ten,3-0,581,,Week 2Oct 14[2],1945
26,6,<,7,Alabama,SEC,3-0,511,,Week 2Oct 14[2],1945
27,7,<,11,Penn,Ind,3-0,310,,Week 2Oct 14[2],1945
28,8,<,8,Indiana,Big Ten,3-0-1,292,W 54-14 H Nebraska,Week 2Oct 14[2],1945
29,9,<,15,Purdue,Big Ten,4-0,184,,Week 2Oct 14[2],1945
30,10,<,10,Texas,Southwest,4-0,117,,Week 2Oct 14[2],1945
31,11,<,19,St. Mary's,Ind,4-0,114,,Week 2Oct 14[2],1945
32,12,<,NR,Georgia,SEC,4-0,113,,Week 2Oct 14[2],1945
33,13,<,9,Michigan,Big Ten,3-2,94,,Week 2Oct 14[2],1945
34,14,<,6,USC,PCC,3-1,45,,Week 2Oct 14[2],1945
35,15,<,14,Oklahoma State,MVC,3-0,42,W 26-12 N SMU,Week 2Oct 14[2],1945
36,16,<,13,Duke,Southern,3-1,40,,Week 2Oct 14[2],1945
37,17,<,NR,Columbia,Ind,3-0,27,W 27-13 H Yale,Week 2Oct 14[2],1945
38,18,<,16,Tulsa,MVC,3-0,24,W 18-7 A Texas Tech,Week 2Oct 14[2],1945
39,19,<,12,Holy Cross,Ind,3-0,22,W 26-7 H Villanova,Week 2Oct 14[2],1945
40,20,<,20,Mississippi State,SEC,3-0,18,,Week 2Oct 14[2],1945
