,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,7,Penn State (21),Big Ten,0-0,1566.0,DNP,PreseasonAug 11[1],1997
1,2,<,1,Florida (12),SEC,0-0,1548.0,DNP,PreseasonAug 11[1],1997
2,3,<,3,Florida State (7),ACC,0-0,1507.0,DNP,PreseasonAug 11[1],1997
3,4,<,16,Washington (10),Pac-10,0-0,1484.0,DNP,PreseasonAug 11[1],1997
4,5,<,9,Tennessee (8),SEC,0-0,1480.0,DNP,PreseasonAug 11[1],1997
5,6,<,6,Nebraska (4),Big 12,0-0,1442.0,DNP,PreseasonAug 11[1],1997
6,7,<,10,North Carolina (4),ACC,0-0,1333.0,DNP,PreseasonAug 11[1],1997
7,8,<,8,Colorado (3),Big 12,0-0,1302.0,DNP,PreseasonAug 11[1],1997
8,9,<,2,Ohio State (1),Big Ten,0-0,1172.0,DNP,PreseasonAug 11[1],1997
9,10,<,12,LSU,SEC,0-0,1096.0,DNP,PreseasonAug 11[1],1997
10,11,<,19,Notre Dame,Ind,0-0,1071.0,DNP,PreseasonAug 11[1],1997
11,12,<,23,Texas,Big 12,0-0,1042.0,DNP,PreseasonAug 11[1],1997
12,13,<,14,Miami (FL),Big East,0-0,820.0,DNP,PreseasonAug 11[1],1997
13,14,<,20,Michigan,Big Ten,0-0,797.0,DNP,PreseasonAug 11[1],1997
14,15,<,11,Alabama,SEC,0-0,673.0,DNP,PreseasonAug 11[1],1997
15,16,<,24,Auburn,SEC,0-0,592.0,DNP,PreseasonAug 11[1],1997
16,17,<,21,Syracuse,Big East,0-0,585.0,DNP,PreseasonAug 11[1],1997
17,18,<,NR,Stanford,Pac-10,0-0,533.0,DNP,PreseasonAug 11[1],1997
18,19,<,5,BYU,WAC,0-0,375.0,DNP,PreseasonAug 11[1],1997
19,20,<,NR,Clemson,ACC,0-0,352.0,DNP,PreseasonAug 11[1],1997
20,21,<,18,Iowa,Big Ten,0-0,347.0,DNP,PreseasonAug 11[1],1997
21,22,<,NR,USC,Pac-10,0-0,219.0,DNP,PreseasonAug 11[1],1997
22,23,<,17,Kansas State,Big 12,0-0,210.0,DNP,PreseasonAug 11[1],1997
23,24,<,NR,Wisconsin,Big Ten,0-0,198.0,DNP,PreseasonAug 11[1],1997
24,25,<,NR,Michigan State,Big Ten,0-0,148.0,DNP,PreseasonAug 11[1],1997
25,NR,<,4,Arizona State,Pac-10,0-0,0.0,DNP,PreseasonAug 11[1],1997
26,NR,<,13,Virginia Tech,Big East,0-0,0.0,DNP,PreseasonAug 11[1],1997
27,NR,<,15,Northwestern,Big Ten,0-0,0.0,DNP,PreseasonAug 11[1],1997
28,NR,<,22,Wyoming,WAC,0-0,0.0,DNP,PreseasonAug 11[1],1997
29,NR,<,25,Army,Ind,0-0,0.0,DNP,PreseasonAug 11[1],1997
30,1,<,1,Penn State (22),Big Ten,0-0,1602.0,DNP,Week 1Aug 25[2],1997
31,2,<,2,Florida (14),SEC,0-0,1563.0,DNP,Week 1Aug 25[2],1997
32,3,<,3,Florida State (6),ACC,0-0,1503.0,DNP,Week 1Aug 25[2],1997
33,4,<,4,Washington (9),Pac-10,0-0,1498.0,DNP,Week 1Aug 25[2],1997
34,5,<,5,Tennessee (7),SEC,0-0,1480.0,DNP,Week 1Aug 25[2],1997
35,6,<,6,Nebraska (4),Big 12,0-0,1425.0,DNP,Week 1Aug 25[2],1997
36,7,<,7,North Carolina (4),ACC,0-0,1343.0,DNP,Week 1Aug 25[2],1997
37,8,<,8,Colorado (3),Big 12,0-0,1318.0,DNP,Week 1Aug 25[2],1997
38,9,<,9,Ohio State (1),Big Ten,0-0,1166.0,DNP,Week 1Aug 25[2],1997
39,10,<,10,LSU,SEC,0-0,1092.0,DNP,Week 1Aug 25[2],1997
40,11,<,11,Notre Dame,Ind,0-0,1037.0,DNP,Week 1Aug 25[2],1997
41,12,<,12,Texas,Big 12,0-0,978.0,DNP,Week 1Aug 25[2],1997
42,13,<,17,Syracuse,Big East,1-0,869.0,,Week 1Aug 25[2],1997
43,14,<,13,Miami (FL),Big East,0-0,800.0,DNP,Week 1Aug 25[2],1997
44,15,<,14,Michigan,Big Ten,0-0,792.0,DNP,Week 1Aug 25[2],1997
45,16,<,15,Alabama,SEC,0-0,664.0,DNP,Week 1Aug 25[2],1997
46,17,<,16,Auburn,SEC,0-0,557.0,DNP,Week 1Aug 25[2],1997
47,18,<,18,Stanford,Pac-10,0-0,505.0,DNP,Week 1Aug 25[2],1997
48,19,<,19,BYU,WAC,0-0,365.0,DNP,Week 1Aug 25[2],1997
49,20,<,20,Clemson,ACC,0-0,359.0,DNP,Week 1Aug 25[2],1997
50,21,<,21,Iowa,Big Ten,0-0,348.0,DNP,Week 1Aug 25[2],1997
51,22,<,23,Kansas State,Big 12,0-0,220.0,DNP,Week 1Aug 25[2],1997
52,23,<,22,USC,Pac-10,0-0,214.0,DNP,Week 1Aug 25[2],1997
53,24,<,NR,Northwestern,Big Ten,1-0,194.0,,Week 1Aug 25[2],1997
54,25,<,25,Michigan State,Big Ten,0-0,166.0,DNP,Week 1Aug 25[2],1997
55,NR,<,24,Wisconsin,Big Ten,,0.0,,Week 1Aug 25[2],1997
56,1,<,1,Penn State (23),Big Ten,0-0,1616.0,DNP,Week 2Sep 2[3],1997
57,2,<,2,Florida (14),SEC,1-0,1543.0,,Week 2Sep 2[3],1997
58,3,<,5,Tennessee (7),SEC,1-0,1523.0,,Week 2Sep 2[3],1997
59,4,<,4,Washington (9),Pac-10,0-0,1502.0,DNP,Week 2Sep 2[3],1997
60,5,<,3,Florida State (6),ACC,0-0,1494.0,DNP,Week 2Sep 2[3],1997
61,6,<,6,Nebraska (4),Big 12,1-0,1434.0,,Week 2Sep 2[3],1997
62,7,<,7,North Carolina (4),ACC,0-0,1335.0,DNP,Week 2Sep 2[3],1997
63,8,<,8,Colorado (3),Big 12,0-0,1323.0,DNP,Week 2Sep 2[3],1997
64,9,<,9,Ohio State,Big Ten,1-0,1149.0,,Week 2Sep 2[3],1997
65,10,<,10,LSU,SEC,0-0,1098.0,DNP,Week 2Sep 2[3],1997
66,11,<,11,Notre Dame,Ind,0-0,1051.0,DNP,Week 2Sep 2[3],1997
67,12,<,12,Texas,Big 12,0-0,999.0,DNP,Week 2Sep 2[3],1997
68,13,<,14,Miami (FL),Big East,1-0,887.0,,Week 2Sep 2[3],1997
69,14,<,15,Michigan,Big Ten,0-0,820.0,DNP,Week 2Sep 2[3],1997
70,15,<,16,Alabama,SEC,1-0,783.0,,Week 2Sep 2[3],1997
71,16,<,17,Auburn,SEC,0-0,619.0,DNP,Week 2Sep 2[3],1997
72,17,<,18,Stanford,Pac-10,0-0,561.0,DNP,Week 2Sep 2[3],1997
73,18,<,20,Clemson,ACC,0-0,417.0,DNP,Week 2Sep 2[3],1997
74,19,<,19,BYU,WAC,0-0,411.0,DNP,Week 2Sep 2[3],1997
75,20,<,21,Iowa,Big Ten,0-0,374.0,DNP,Week 2Sep 2[3],1997
76,21,<,22,Kansas State,Big 12,0-0,245.0,DNP,Week 2Sep 2[3],1997
77,21,<,24,Northwestern,Big Ten,1-0,245.0,,Week 2Sep 2[3],1997
78,23,<,23,USC,Pac-10,0-0,216.0,DNP,Week 2Sep 2[3],1997
79,24,<,NR,Colorado State,WAC,1-0,197.0,W 45-13 H Nevada,Week 2Sep 2[3],1997
80,25,<,25,Michigan State,Big Ten,0-0,162.0,DNP,Week 2Sep 2[3],1997
81,NR,<,13,Syracuse,Big East,,0.0,,Week 2Sep 2[3],1997
82,1,<,1,Penn State (22),Big Ten,1-0,1620.0,W 34-17 H Pittsburgh,Week 3Sep 8[4],1997
83,2,<,2,Florida (15),SEC,2-0,1590.0,,Week 3Sep 8[4],1997
84,3,<,4,Washington (14),Pac-10,1-0,1580.0,,Week 3Sep 8[4],1997
85,4,<,3,Tennessee (6),SEC,2-0,1518.0,,Week 3Sep 8[4],1997
86,5,<,5,Florida State (4),ACC,1-0,1442.0,,Week 3Sep 8[4],1997
87,6,<,6,Nebraska (4),Big 12,1-0,1433.0,,Week 3Sep 8[4],1997
88,7,<,7,North Carolina (2),ACC,1-0,1342.0,,Week 3Sep 8[4],1997
89,8,<,8,Colorado (3),Big 12,1-0,1331.0,,Week 3Sep 8[4],1997
90,9,<,9,Ohio State,Big Ten,1-0,1144.0,,Week 3Sep 8[4],1997
91,10,<,10,LSU,SEC,1-0,1127.0,,Week 3Sep 8[4],1997
92,11,<,12,Texas,Big 12,1-0,1054.0,,Week 3Sep 8[4],1997
93,12,<,11,Notre Dame,Ind,1-0,911.0,,Week 3Sep 8[4],1997
94,13,<,13,Miami (FL),Big East,1-0,904.0,,Week 3Sep 8[4],1997
95,14,<,14,Michigan,Big Ten,0-0,838.0,DNP,Week 3Sep 8[4],1997
96,15,<,15,Alabama,SEC,1-0,812.0,,Week 3Sep 8[4],1997
97,16,<,16,Auburn,SEC,1-0,688.0,,Week 3Sep 8[4],1997
98,17,<,17,Stanford,Pac-10,1-0,587.0,,Week 3Sep 8[4],1997
99,18,<,20,Iowa,Big Ten,1-0,527.0,,Week 3Sep 8[4],1997
100,19,<,18,Clemson,ACC,1-0,402.0,,Week 3Sep 8[4],1997
101,20,<,21,Kansas State,Big 12,1-0,377.0,,Week 3Sep 8[4],1997
102,21,<,25,Michigan State,Big Ten,1-0,305.0,,Week 3Sep 8[4],1997
103,22,<,NR,Virginia Tech,Big East,1-0,213.0,,Week 3Sep 8[4],1997
104,23,<,23,USC,Pac-10,0-1,182.0,,Week 3Sep 8[4],1997
105,24,<,NR,Arizona State,Pac-10,1-0,150.0,,Week 3Sep 8[4],1997
106,25,<,24,Colorado State,WAC,1-1,127.0,L 31-21 A Colorado,Week 3Sep 8[4],1997
107,NR,<,19,BYU,WAC,,0.0,,Week 3Sep 8[4],1997
108,NR,<,21,Northwestern,Big Ten,,0.0,,Week 3Sep 8[4],1997
109,1,<,1,Penn State (25),Big Ten,2-0,1641.0,W 52-10 H Temple,Week 4Sep 15[5],1997
110,2,<,3,Washington (19),Pac-10,2-0,1615.0,,Week 4Sep 15[5],1997
111,3,<,2,Florida (14),SEC,2-0,1598.0,,Week 4Sep 15[5],1997
112,4,<,4,Tennessee (6),SEC,2-0,1543.0,,Week 4Sep 15[5],1997
113,5,<,5,Florida State (3),ACC,2-0,1483.0,,Week 4Sep 15[5],1997
114,6,<,7,North Carolina (1),ACC,2-0,1379.0,,Week 4Sep 15[5],1997
115,7,<,6,Nebraska (2),Big 12,2-0,1364.0,,Week 4Sep 15[5],1997
116,8,<,14,Michigan,Big Ten,1-0,1253.0,,Week 4Sep 15[5],1997
117,9,<,9,Ohio State,Big Ten,2-0,1235.0,,Week 4Sep 15[5],1997
118,10,<,10,LSU,SEC,2-0,1165.0,,Week 4Sep 15[5],1997
119,11,<,15,Alabama,SEC,2-0,1007.0,,Week 4Sep 15[5],1997
120,12,<,16,Auburn,SEC,2-0,878.0,,Week 4Sep 15[5],1997
121,13,<,18,Iowa,Big Ten,2-0,850.0,,Week 4Sep 15[5],1997
122,14,<,24,Arizona State,Pac-10,2-0,698.0,,Week 4Sep 15[5],1997
123,15,<,8,Colorado,Big 12,1-1,696.0,,Week 4Sep 15[5],1997
124,16,<,19,Clemson,ACC,2-0,669.0,,Week 4Sep 15[5],1997
125,17,<,21,Michigan State,Big Ten,2-0,660.0,,Week 4Sep 15[5],1997
126,18,<,22,Virginia Tech,Big East,2-0,603.0,,Week 4Sep 15[5],1997
127,19,<,NR,Washington State,Pac-10,2-0,490.0,W 28-21 A USC,Week 4Sep 15[5],1997
128,20,<,20,Kansas State,Big 12,2-0,431.0,,Week 4Sep 15[5],1997
129,21,<,17,Stanford,Pac-10,1-1,323.0,,Week 4Sep 15[5],1997
130,22,<,13,Miami (FL),Big East,1-1,244.0,,Week 4Sep 15[5],1997
131,23,<,25,Colorado State,WAC,2-1,172.0,W 35-24 A Utah State,Week 4Sep 15[5],1997
132,24,<,NR,UCLA,Pac-10,1-2,131.0,,Week 4Sep 15[5],1997
133,25,<,NR,Georgia,SEC,2-0,127.0,,Week 4Sep 15[5],1997
134,NR,<,11,Texas,Big 12,,0.0,L 66-3 H UCLA,Week 4Sep 15[5],1997
135,NR,<,12,Notre Dame,Ind,,0.0,,Week 4Sep 15[5],1997
136,NR,<,23,USC,Pac-10,,0.0,,Week 4Sep 15[5],1997
137,1,<,3,Florida (32),SEC,3-0,1699.0,W 33-20 H #4 Tennessee,Week 5Sep 22[6],1997
138,2,<,1,Penn State (28),Big Ten,3-0,1675.0,W 57-21 A Louisville,Week 5Sep 22[6],1997
139,3,<,7,Nebraska (7),Big 12,3-0,1601.0,,Week 5Sep 22[6],1997
140,4,<,5,Florida State (1),ACC,3-0,1530.0,,Week 5Sep 22[6],1997
141,5,<,6,North Carolina (2),ACC,3-0,1475.0,,Week 5Sep 22[6],1997
142,6,<,8,Michigan,Big Ten,2-0,1412.0,,Week 5Sep 22[6],1997
143,7,<,9,Ohio State,Big Ten,3-0,1287.0,,Week 5Sep 22[6],1997
144,8,<,12,Auburn,SEC,3-0,1180.0,,Week 5Sep 22[6],1997
145,9,<,4,Tennessee,SEC,2-1,1158.0,,Week 5Sep 22[6],1997
146,10,<,2,Washington,Pac-10,2-1,1148.0,,Week 5Sep 22[6],1997
147,11,<,13,Iowa,Big Ten,3-0,1062.0,,Week 5Sep 22[6],1997
148,12,<,17,Michigan State,Big Ten,3-0,968.0,,Week 5Sep 22[6],1997
149,13,<,10,LSU,SEC,2-1,805.0,,Week 5Sep 22[6],1997
150,14,<,18,Virginia Tech,Big East,3-0,770.0,,Week 5Sep 22[6],1997
151,15,<,19,Washington State,Pac-10,3-0,767.0,W 35-22 A Illinois,Week 5Sep 22[6],1997
152,16,<,15,Colorado,Big 12,1-1,725.0,,Week 5Sep 22[6],1997
153,17,<,16,Clemson,ACC,2-1,547.0,,Week 5Sep 22[6],1997
154,18,<,20,Kansas State,Big 12,2-0,495.0,,Week 5Sep 22[6],1997
155,19,<,25,Georgia,SEC,3-0,444.0,,Week 5Sep 22[6],1997
156,20,<,21,Stanford,Pac-10,2-1,403.0,,Week 5Sep 22[6],1997
157,21,<,11,Alabama,SEC,2-1,329.0,,Week 5Sep 22[6],1997
158,22,<,NR,Texas A&M,Big 12,2-0,290.0,,Week 5Sep 22[6],1997
159,23,<,NR,BYU,WAC,1-1,215.0,,Week 5Sep 22[6],1997
160,24,<,24,UCLA,Pac-10,1-2,181.0,,Week 5Sep 22[6],1997
161,25,<,14,Arizona State,Pac-10,2-1,177.0,,Week 5Sep 22[6],1997
162,NR,<,22,Miami (FL),Big East,,0.0,,Week 5Sep 22[6],1997
163,NR,<,23,Colorado State,WAC,,0.0,,Week 5Sep 22[6],1997
164,1,<,1,Florida (36),SEC,4-0,1704.0,W 55-28 A Kentucky,Week 6Sep 29[7],1997
165,2,<,2,Penn State (25),Big Ten,3-0,1673.0,,Week 6Sep 29[7],1997
166,3,<,3,Nebraska (6),Big 12,3-0,1606.0,,Week 6Sep 29[7],1997
167,4,<,4,Florida State (1),ACC,3-0,1529.0,,Week 6Sep 29[7],1997
168,5,<,5,North Carolina (2),ACC,4-0,1483.0,,Week 6Sep 29[7],1997
169,6,<,6,Michigan,Big Ten,3-0,1404.0,,Week 6Sep 29[7],1997
170,7,<,7,Ohio State,Big Ten,4-0,1285.0,,Week 6Sep 29[7],1997
171,8,<,8,Auburn,SEC,4-0,1215.0,,Week 6Sep 29[7],1997
172,9,<,9,Tennessee,SEC,2-1,1150.0,,Week 6Sep 29[7],1997
173,10,<,10,Washington,Pac-10,2-1,1111.0,,Week 6Sep 29[7],1997
174,11,<,11,Iowa,Big Ten,4-0,1103.0,,Week 6Sep 29[7],1997
175,12,<,12,Michigan State,Big Ten,3-0,967.0,,Week 6Sep 29[7],1997
176,13,<,13,LSU,SEC,3-1,847.0,,Week 6Sep 29[7],1997
177,14,<,14,Virginia Tech,Big East,4-0,824.0,,Week 6Sep 29[7],1997
178,15,<,15,Washington State,Pac-10,4-0,818.0,W 58-0 H Boise State,Week 6Sep 29[7],1997
179,16,<,16,Colorado,Big 12,2-1,637.0,,Week 6Sep 29[7],1997
180,17,<,18,Kansas State,Big 12,3-0,563.0,,Week 6Sep 29[7],1997
181,18,<,19,Georgia,SEC,3-0,513.0,,Week 6Sep 29[7],1997
182,19,<,20,Stanford,Pac-10,3-1,458.0,,Week 6Sep 29[7],1997
183,20,<,21,Alabama,SEC,3-1,407.0,,Week 6Sep 29[7],1997
184,21,<,22,Texas A&M,Big 12,3-0,388.0,,Week 6Sep 29[7],1997
185,22,<,24,UCLA,Pac-10,2-2,276.0,,Week 6Sep 29[7],1997
186,23,<,NR,Air Force,WAC,5-0,202.0,,Week 6Sep 29[7],1997
187,24,<,23,BYU,WAC,2-1,186.0,,Week 6Sep 29[7],1997
188,25,<,25,Arizona State,Pac-10,3-1,168.0,,Week 6Sep 29[7],1997
189,NR,<,17,Clemson,ACC,,0.0,,Week 6Sep 29[7],1997
190,1,<,1,Florida (35),SEC,5-0,1704.0,W 56-7 H Arkansas,Week 7Oct 6[8],1997
191,2,<,2,Penn State (26),Big Ten,4-0,1672.0,,Week 7Oct 6[8],1997
192,3,<,3,Nebraska (6),Big 12,4-0,1606.0,,Week 7Oct 6[8],1997
193,4,<,4,Florida State (1),ACC,4-0,1540.0,,Week 7Oct 6[8],1997
194,5,<,5,North Carolina (2),ACC,5-0,1464.0,,Week 7Oct 6[8],1997
195,6,<,6,Michigan,Big Ten,4-0,1404.0,,Week 7Oct 6[8],1997
196,7,<,7,Ohio State,Big Ten,5-0,1334.0,,Week 7Oct 6[8],1997
197,8,<,8,Auburn,SEC,5-0,1227.0,,Week 7Oct 6[8],1997
198,9,<,9,Tennessee,SEC,3-1,1158.0,,Week 7Oct 6[8],1997
199,10,<,10,Washington,Pac-10,3-1,1143.0,,Week 7Oct 6[8],1997
200,11,<,12,Michigan State,Big Ten,4-0,1065.0,,Week 7Oct 6[8],1997
201,12,<,15,Washington State,Pac-10,5-0,980.0,W 24-13 A Oregon,Week 7Oct 6[8],1997
202,13,<,18,Georgia,SEC,4-0,814.0,,Week 7Oct 6[8],1997
203,14,<,13,LSU,SEC,4-1,770.0,,Week 7Oct 6[8],1997
204,15,<,21,Texas A&M,Big 12,4-0,750.0,,Week 7Oct 6[8],1997
205,16,<,19,Stanford,Pac-10,4-1,714.0,,Week 7Oct 6[8],1997
206,17,<,11,Iowa,Big Ten,4-1,702.0,,Week 7Oct 6[8],1997
207,18,<,22,UCLA,Pac-10,3-2,560.0,,Week 7Oct 6[8],1997
208,19,<,23,Air Force,WAC,6-0,416.0,,Week 7Oct 6[8],1997
209,20,<,NR,Oklahoma State,Big 12,5-0,321.0,W 42-16 H Texas,Week 7Oct 6[8],1997
210,21,<,24,BYU,WAC,3-1,309.0,,Week 7Oct 6[8],1997
211,22,<,17,Kansas State,Big 12,3-1,227.0,,Week 7Oct 6[8],1997
212,23,<,14,Virginia Tech,Big East,4-1,174.0,,Week 7Oct 6[8],1997
213,24,<,16,Colorado,Big 12,2-2,140.0,,Week 7Oct 6[8],1997
214,25,<,NR,Georgia Tech,ACC,3-1,125.0,,Week 7Oct 6[8],1997
215,NR,<,20,Alabama,SEC,,0.0,,Week 7Oct 6[8],1997
