,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,,California (24),PCC,5-0,432,W 14-0 H UC Davis,Week 1Oct 18[1],1937
1,2,<,,Alabama (7),SEC,4-0,355,,Week 1Oct 18[1],1937
2,3,<,,Pittsburgh (8),Ind,3-0-1,347,T 0-0 A Fordham,Week 1Oct 18[1],1937
3,4,<,,Minnesota (5),Big Ten,3-1,291,,Week 1Oct 18[1],1937
4,5,<,,Yale (6),Ind,3-0,256,W 15-7 H Army,Week 1Oct 18[1],1937
5,6,<,,LSU (2),SEC,4-0,244,,Week 1Oct 18[1],1937
6,7,<,,Northwestern,Big Ten,3-0,165,,Week 1Oct 18[1],1937
7,8,<,,Nebraska,Big 6,2-0-1,153,,Week 1Oct 18[1],1937
8,9,<,,Fordham,Ind,2-0-1,103,,Week 1Oct 18[1],1937
9,10,<,,Duke,Southern,3-0-1,94,,Week 1Oct 18[1],1937
10,11,<,,USC,PCC,3-1,84,,Week 1Oct 18[1],1937
11,12,<,,Ohio State,Big Ten,2-1,63,,Week 1Oct 18[1],1937
12,13,<,,Texas A&M,Southwest,2-0-1,51,,Week 1Oct 18[1],1937
13,14,<,,Santa Clara,Ind,3-0,45,,Week 1Oct 18[1],1937
14,15,<,,Baylor,Southwest,4-0,41,,Week 1Oct 18[1],1937
15,16,<,,Wisconsin,Big Ten,4-0,36,,Week 1Oct 18[1],1937
16,17,<,,Syracuse,Ind,3-0,35,,Week 1Oct 18[1],1937
17,18,<,,Dartmouth,Ind,4-0,34,W 41-0 A Brown,Week 1Oct 18[1],1937
18,19,<,,Cornell,Ind,3-1,17,L 14-6 H Syracuse,Week 1Oct 18[1],1937
19,20,<,,Auburn,SEC,2-0-2,13,,Week 1Oct 18[1],1937
20,20,<,,Holy Cross,Ind,4-0,13,W 7-6 N Georgia,Week 1Oct 18[1],1937
21,20,<,,Vanderbilt,SEC,4-0,13,W 6-0 A SMU,Week 1Oct 18[1],1937
22,1,<,1,California (48),PCC,6-0,556,W 20-6 H #11 USC,Week 2Oct 25[2],1937
23,2,<,3,Pittsburgh (3),Ind,4-0-1,408,W 21-0 H #16 Wisconsin,Week 2Oct 25[2],1937
24,3,<,2,Alabama,SEC,5-0,337,,Week 2Oct 25[2],1937
25,4,<,4,Minnesota (2),Big Ten,3-1,321,,Week 2Oct 25[2],1937
26,5,<,5,Yale (2),Ind,4-0,278,W 9-0 H Cornell,Week 2Oct 25[2],1937
27,6,<,15,Baylor (1),Southwest,5-0,226,,Week 2Oct 25[2],1937
28,7,<,20,Vanderbilt (1),SEC,5-0,167,W 7-6 H LSU,Week 2Oct 25[2],1937
29,8,<,12,Ohio State,Big Ten,3-1,146,,Week 2Oct 25[2],1937
30,9,<,18,Dartmouth,Ind,5-0,130,W 20-2 A Harvard,Week 2Oct 25[2],1937
31,10,<,9,Fordham,Ind,3-0-1,122,,Week 2Oct 25[2],1937
32,11,<,8,Nebraska,Big 6,3-0-1,121,,Week 2Oct 25[2],1937
33,12,<,20,Auburn,SEC,3-0-2,85,,Week 2Oct 25[2],1937
34,13,<,10,Duke,Southern,4-0-1,84,,Week 2Oct 25[2],1937
35,14,<,14,Santa Clara,Ind,4-0,33,,Week 2Oct 25[2],1937
36,15,<,NR,North Carolina,Southern,4-0-1,16,,Week 2Oct 25[2],1937
37,16,<,NR,Villanova,Ind,3-0-1,13,W 21-0 H Bucknell,Week 2Oct 25[2],1937
38,17,<,6,LSU,SEC,4-1,12,,Week 2Oct 25[2],1937
39,18,<,20,Holy Cross,Ind,5-0,9,W 6-0 H McDaniel College,Week 2Oct 25[2],1937
40,18,<,NR,Detroit,Ind,5-0,9,W 14-0 A Boston College,Week 2Oct 25[2],1937
41,20,<,NR,Arkansas,Southwest,3-1-1,8,,Week 2Oct 25[2],1937
42,NR,<,7,Northwestern,Big Ten,,0,,Week 2Oct 25[2],1937
43,NR,<,11,USC,PCC,,0,,Week 2Oct 25[2],1937
44,NR,<,13,Texas A&M,Southwest,,0,,Week 2Oct 25[2],1937
45,NR,<,16,Wisconsin,Big Ten,,0,,Week 2Oct 25[2],1937
46,NR,<,17,Syracuse,Ind,,0,,Week 2Oct 25[2],1937
47,NR,<,19,Cornell,Ind,,0,,Week 2Oct 25[2],1937
48,1,<,1,California (49),PCC,7-0,600,W 27-14 A UCLA,Week 3Nov 1[3],1937
49,2,<,3,Alabama (6),SEC,6-0,503,,Week 3Nov 1[3],1937
50,3,<,2,Pittsburgh (4),Ind,5-0-1,482,W 25-14 H Carnegie Mellon,Week 3Nov 1[3],1937
51,4,<,6,Baylor (2),Southwest,6-0,331,,Week 3Nov 1[3],1937
52,5,<,10,Fordham,Ind,4-0-1,281,,Week 3Nov 1[3],1937
53,6,<,11,Nebraska,Big 6,4-0-1,191,,Week 3Nov 1[3],1937
54,7,<,5,Yale,Ind,4-0-1,181,T 9-9 H Dartmouth,Week 3Nov 1[3],1937
55,8,<,8,Ohio State,Big Ten,4-1,178,,Week 3Nov 1[3],1937
56,9,<,9,Dartmouth,Ind,5-0-1,146,T 9-9 A Yale,Week 3Nov 1[3],1937
57,10,<,14,Santa Clara,Ind,5-0,113,,Week 3Nov 1[3],1937
58,11,<,13,Duke,Southern,5-0-1,107,,Week 3Nov 1[3],1937
59,12,<,NR,Notre Dame,Ind,3-1-1,75,,Week 3Nov 1[3],1937
60,13,<,16,Villanova,Ind,4-0-1,62,W 7-0 A Detroit Mercy,Week 3Nov 1[3],1937
61,14,<,4,Minnesota,Big Ten,3-2,55,,Week 3Nov 1[3],1937
62,15,<,NR,Tennessee,SEC,4-1-1,24,,Week 3Nov 1[3],1937
63,16,<,20,Arkansas,Southwest,4-1-1,10,,Week 3Nov 1[3],1937
64,16,<,NR,Duquesne,Ind,4-1,10,W 24-0 H Richmond,Week 3Nov 1[3],1937
65,18,<,17,LSU,SEC,5-1,8,,Week 3Nov 1[3],1937
66,19,<,NR,Northwestern,Big Ten,4-1,6,,Week 3Nov 1[3],1937
67,19,<,NR,Tulane,SEC,4-1-1,6,W 14-7 H Mississippi,Week 3Nov 1[3],1937
68,NR,<,7,Vanderbilt,SEC,,0,,Week 3Nov 1[3],1937
69,NR,<,12,Auburn,SEC,,0,,Week 3Nov 1[3],1937
70,NR,<,15,North Carolina,Southern,,0,,Week 3Nov 1[3],1937
71,NR,<,18,Detroit,Ind,,0,,Week 3Nov 1[3],1937
72,NR,<,18,Holy Cross,Ind,,0,,Week 3Nov 1[3],1937
73,1,<,3,Pittsburgh (32),Ind,6-0-1,510,W 21-6 A #12 Notre Dame,Week 4Nov 8[4],1937
74,2,<,1,California (9),PCC,7-0-1,449,T 0-0 H Washington,Week 4Nov 8[4],1937
75,3,<,2,Alabama (13),SEC,7-0,422,,Week 4Nov 8[4],1937
76,4,<,5,Fordham (2),Ind,5-0-1,388,,Week 4Nov 8[4],1937
77,5,<,9,Dartmouth,Ind,6-0-1,253,W 33-9 A Princeton,Week 4Nov 8[4],1937
78,6,<,7,Yale,Ind,5-0-1,215,W 19-0 H Brown,Week 4Nov 8[4],1937
79,7,<,10,Santa Clara,Ind,6-0,166,,Week 4Nov 8[4],1937
80,8,<,11,Duke,Southern,6-0-1,159,,Week 4Nov 8[4],1937
81,9,<,13,Villanova,Ind,5-0-1,62,W 25-7 H Marquette,Week 4Nov 8[4],1937
82,10,<,14,Minnesota,Big Ten,4-2,61,,Week 4Nov 8[4],1937
