,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
0,1,<,12,Ohio State (30),Big Ten,0-0,1668,DNP,PreseasonAug 16[1][2],1998,
1,2,<,3,Florida State (22),ACC,0-0,1663,DNP,PreseasonAug 16[1][2],1998,
2,3,<,4,Florida (5),SEC,0-0,1547,DNP,PreseasonAug 16[1][2],1998,
3,4,<,2,Nebraska (4),Big 12,0-0,1534,DNP,PreseasonAug 16[1][2],1998,
4,5,<,1,Michigan (4),Big Ten,0-0,1475,DNP,PreseasonAug 16[1][2],1998,
5,6,<,8,Kansas State (2),Big 12,0-0,1335,DNP,PreseasonAug 16[1][2],1998,
6,7,<,5,UCLA (1),Pac-10,0-0,1331,DNP,PreseasonAug 16[1][2],1998,
7,8,<,14,Arizona State (2),Pac-10,0-0,1256,DNP,PreseasonAug 16[1][2],1998,
8,9,<,13,LSU,SEC,0-0,1237,DNP,PreseasonAug 16[1][2],1998,
9,10,<,7,Tennessee,SEC,0-0,1094,DNP,PreseasonAug 16[1][2],1998,
10,11,<,NR,West Virginia,Big East,0-0,985,DNP,PreseasonAug 16[1][2],1998,
11,12,<,6,North Carolina,ACC,0-0,864,DNP,PreseasonAug 16[1][2],1998,
12,13,<,16,Penn State,Big Ten,0-0,804,DNP,PreseasonAug 16[1][2],1998,
13,14,<,20,Texas A&M,Big 12,0-0,760,DNP,PreseasonAug 16[1][2],1998,
14,15,<,17,Colorado State,WAC,0-0,631,DNP,PreseasonAug 16[1][2],1998,
15,16,<,NR,Virginia,ACC,0-0,620,DNP,PreseasonAug 16[1][2],1998,
16,17,<,21,Syracuse,Big East,0-0,608,DNP,PreseasonAug 16[1][2],1998,
17,18,<,18,Washington,Pac-10,0-0,494,DNP,PreseasonAug 16[1][2],1998,
18,19,<,10,Georgia,SEC,0-0,480,DNP,PreseasonAug 16[1][2],1998,
19,20,<,NR,Wisconsin,Big Ten,0-0,444,DNP,PreseasonAug 16[1][2],1998,
20,21,<,19,Southern Miss,CUSA,0-0,341,DNP,PreseasonAug 16[1][2],1998,
21,22,<,NR,Notre Dame,Ind,0-0,291,DNP,PreseasonAug 16[1][2],1998,
22,23,<,NR,Michigan State,Big Ten,0-0,211,DNP,PreseasonAug 16[1][2],1998,
23,24,<,NR,Arizona,Pac-10,0-0,208,DNP,PreseasonAug 16[1][2],1998,
24,25,<,11,Auburn,SEC,0-0,201,DNP,PreseasonAug 16[1][2],1998,
25,NR,<,9,Washington State,Pac-10,0-0,0,DNP,PreseasonAug 16[1][2],1998,
26,NR,<,15,Purdue,Big Ten,0-0,0,DNP,PreseasonAug 16[1][2],1998,
27,NR,<,22,Mississippi,SEC,0-0,0,DNP,PreseasonAug 16[1][2],1998,
28,NR,<,23,Missouri,Big 12,0-0,0,DNP,PreseasonAug 16[1][2],1998,
29,NR,<,24,Oklahoma State,Big 12,0-0,0,DNP,PreseasonAug 16[1][2],1998,
30,NR,<,25,Georgia Tech,ACC,0-0,0,DNP,PreseasonAug 16[1][2],1998,
31,1,<,1,Ohio State (39),Big Ten,1-0,1708,W 34-17 A #11 West Virginia,Week 1Sep 7[3],1998,
32,2,<,2,Florida State (22),ACC,1-0,1667,W 23-14 N #14 Texas A&M (Kick-off Classic),Week 1Sep 7[3],1998,
33,3,<,3,Florida (4),SEC,1-0,1571,,Week 1Sep 7[3],1998,
34,4,<,4,Nebraska (2),Big 12,2-0,1546,,Week 1Sep 7[3],1998,
35,5,<,6,Kansas State (2),Big 12,1-0,1418,,Week 1Sep 7[3],1998,
36,6,<,7,UCLA (1),Pac-10,0-0,1394,DNP,Week 1Sep 7[3],1998,
37,7,<,9,LSU,SEC,0-0,1279,DNP,Week 1Sep 7[3],1998,
38,8,<,10,Tennessee,SEC,1-0,1274,,Week 1Sep 7[3],1998,
39,9,<,13,Penn State,Big Ten,1-0,1131,,Week 1Sep 7[3],1998,
40,10,<,22,Notre Dame,Ind,1-0,1104,,Week 1Sep 7[3],1998,
41,11,<,18,Washington,Pac-10,1-0,1051,,Week 1Sep 7[3],1998,
42,12,<,16,Virginia,ACC,1-0,963,,Week 1Sep 7[3],1998,
43,13,<,5,Michigan,Big Ten,0-1,818,,Week 1Sep 7[3],1998,
44,14,<,8,Arizona State,Pac-10,0-1,737,,Week 1Sep 7[3],1998,
45,15,<,19,Georgia,SEC,1-0,716,,Week 1Sep 7[3],1998,
46,16,<,NR,Colorado,Big 12,1-0,619,,Week 1Sep 7[3],1998,
47,17,<,20,Wisconsin,Big Ten,1-0,534,,Week 1Sep 7[3],1998,
48,18,<,14,Texas A&M,Big 12,0-1,487,,Week 1Sep 7[3],1998,
49,19,<,17,Syracuse,Big East,0-1,470,,Week 1Sep 7[3],1998,
50,20,<,11,West Virginia,Big East,0-1,445,,Week 1Sep 7[3],1998,
51,21,<,24,Arizona,Pac-10,1-0,361,W 27-6 A Hawaii,Week 1Sep 7[3],1998,
52,22,<,NR,USC,Pac-10,1-0,287,,Week 1Sep 7[3],1998,
53,23,<,NR,Texas,Big 12,1-0,250,,Week 1Sep 7[3],1998,
54,24,<,NR,Oregon,Pac-10,1-0,141,,Week 1Sep 7[3],1998,
55,25,<,NR,Missouri,Big 12,1-0,123,,Week 1Sep 7[3],1998,
56,NR,<,12,North Carolina,ACC,,0,,Week 1Sep 7[3],1998,
57,NR,<,15,Colorado State,WAC,,0,,Week 1Sep 7[3],1998,
58,NR,<,21,Southern Miss,CUSA,,0,,Week 1Sep 7[3],1998,
59,NR,<,23,Michigan State,Big Ten,,0,,Week 1Sep 7[3],1998,
60,NR,<,25,Auburn,SEC,,0,,Week 1Sep 7[3],1998,
61,1,<,1,Ohio State (57),Big Ten,2-0,1733,W 49-0 H Toledo,Week 2Sep 14[4],1998,
62,2,<,3,Florida (9),SEC,2-0,1625,,Week 2Sep 14[4],1998,
63,3,<,4,Nebraska (1),Big 12,3-0,1582,,Week 2Sep 14[4],1998,
64,4,<,6,UCLA (1),Pac-10,1-0,1527,,Week 2Sep 14[4],1998,
65,5,<,5,Kansas State (2),Big 12,2-0,1466,,Week 2Sep 14[4],1998,
66,6,<,8,Tennessee,SEC,1-0,1353,,Week 2Sep 14[4],1998,
67,7,<,7,LSU,SEC,1-0,1348,,Week 2Sep 14[4],1998,
68,8,<,9,Penn State,Big Ten,2-0,1283,,Week 2Sep 14[4],1998,
69,9,<,11,Washington,Pac-10,1-0,1157,,Week 2Sep 14[4],1998,
70,10,<,12,Virginia,ACC,2-0,1074,,Week 2Sep 14[4],1998,
71,11,<,2,Florida State,ACC,1-1,987,,Week 2Sep 14[4],1998,
72,12,<,15,Georgia,SEC,2-0,919,,Week 2Sep 14[4],1998,
73,13,<,19,Syracuse,Big East,1-1,874,,Week 2Sep 14[4],1998,
74,14,<,17,Wisconsin,Big Ten,2-0,771,,Week 2Sep 14[4],1998,
75,15,<,16,Colorado,Big 12,2-0,722,,Week 2Sep 14[4],1998,
76,16,<,21,Arizona,Pac-10,2-0,608,W 31-14 A Stanford,Week 2Sep 14[4],1998,
77,17,<,18,Texas A&M,Big 12,1-1,562,,Week 2Sep 14[4],1998,
78,18,<,22,USC,Pac-10,2-0,520,,Week 2Sep 14[4],1998,
