,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,6,Nebraska (11),Big 8,0-0,311,DNP,PreseasonAug[4],1965
1,2,<,5,Texas (7),Southwest,0-0,292,DNP,PreseasonAug[4],1965
2,3,<,3,Notre Dame (7),Ind,0-0,282,DNP,PreseasonAug[4],1965
3,4,<,4,Michigan (5),Big Ten,0-0,277,DNP,PreseasonAug[4],1965
4,5,<,1,Alabama (4),SEC,0-0,267,DNP,PreseasonAug[4],1965
5,6,<,2,Arkansas (6),Southwest,0-0,252,DNP,PreseasonAug[4],1965
6,7,<,10,USC (4),AAWU,0-0,210,DNP,PreseasonAug[4],1965
7,8,<,7,LSU,SEC,0-0,147,DNP,PreseasonAug[4],1965
8,9,<,NR,Purdue (1),Big Ten,0-0,118,DNP,PreseasonAug[4],1965
9,10,<,9,Ohio State (1),Big Ten,0-0,77,DNP,PreseasonAug[4],1965
10,NR,<,8,Oregon State,AAWU,0-0,0,DNP,PreseasonAug[4],1965
11,1,<,3,Notre Dame (24),Ind,1-0,472,W 48-6 A California,Week 1Sep 20[5],1965
12,2,<,1,Nebraska (16),Big 8,1-0,429,W 34-14 H TCU,Week 1Sep 20[5],1965
13,3,<,2,Texas (7),Southwest,1-0,376,,Week 1Sep 20[5],1965
14,4,<,4,Michigan (2),Big Ten,1-0,289,,Week 1Sep 20[5],1965
15,5,<,6,Arkansas (4),Southwest,1-0,280,,Week 1Sep 20[5],1965
16,6,<,9,Purdue,Big Ten,1-0,208,,Week 1Sep 20[5],1965
17,7,<,8,LSU,SEC,1-0,164,,Week 1Sep 20[5],1965
18,8,<,NR,Florida,SEC,1-0,95,,Week 1Sep 20[5],1965
19,9,<,NR,Syracuse,Ind,1-0,84,,Week 1Sep 20[5],1965
20,10,<,NR,Kentucky,SEC,1-0,78,,Week 1Sep 20[5],1965
21,NR,<,5,Alabama,SEC,0-1,0,L 18-17 A Georgia,Week 1Sep 20[5],1965
22,NR,<,7,USC,AAWU,,0,,Week 1Sep 20[5],1965
23,NR,<,10,Ohio State,Big Ten,,0,,Week 1Sep 20[5],1965
24,1,<,3,Texas (15),Southwest,2-0,389,W 33-7 H Texas Tech,Week 2Sep 27[6],1965
25,2,<,6,Purdue (14),Big Ten,2-0,381,,Week 2Sep 27[6],1965
26,3,<,2,Nebraska (13),Big 8,2-0,363,,Week 2Sep 27[6],1965
27,4,<,5,Arkansas (3),Southwest,2-0,264,,Week 2Sep 27[6],1965
28,5,<,7,LSU,SEC,2-0,248,,Week 2Sep 27[6],1965
29,6,<,10,Kentucky (1),SEC,2-0,168,,Week 2Sep 27[6],1965
30,7,<,4,Michigan,Big Ten,2-0,166,,Week 2Sep 27[6],1965
31,8,<,1,Notre Dame,Ind,1-1,144,L 25-21 A #6 Purdue,Week 2Sep 27[6],1965
32,9,<,NR,Michigan State,Big Ten,2-0,73,,Week 2Sep 27[6],1965
33,10,<,NR,Georgia,SEC,2-0,69,,Week 2Sep 27[6],1965
34,NR,<,8,Florida,SEC,,0,,Week 2Sep 27[6],1965
35,NR,<,9,Syracuse,Ind,,0,,Week 2Sep 27[6],1965
36,1,<,1,Texas (25),Southwest,3-0,368,W 27-12 H Indiana,Week 3Oct 4[7],1965
37,2,<,3,Nebraska (10),Big 8,3-0,355,,Week 3Oct 4[7],1965
38,3,<,4,Arkansas (1),Southwest,3-0,285,,Week 3Oct 4[7],1965
39,4,<,10,Georgia (3),SEC,3-0,258,,Week 3Oct 4[7],1965
40,5,<,9,Michigan State,Big Ten,3-0,219,,Week 3Oct 4[7],1965
41,6,<,2,Purdue (1),Big Ten,2-0-1,182,,Week 3Oct 4[7],1965
42,7,<,8,Notre Dame,Ind,2-1,172,,Week 3Oct 4[7],1965
43,8,<,NR,USC,AAWU,2-0-1,108,,Week 3Oct 4[7],1965
44,9,<,NR,Mississippi State,SEC,3-0,47,,Week 3Oct 4[7],1965
45,10,<,NR,Florida,SEC,2-1,46,,Week 3Oct 4[7],1965
46,NR,<,5,LSU,SEC,,0,,Week 3Oct 4[7],1965
47,NR,<,6,Kentucky,SEC,,0,,Week 3Oct 4[7],1965
48,NR,<,7,Michigan,Big Ten,,0,,Week 3Oct 4[7],1965
49,1,<,1,Texas (22),Southwest,4-0,438,W 19-0 N Oklahoma,Week 4Oct 11[8],1965
50,2,<,2,Nebraska (16),Big 8,4-0,435,W 37-0 H Wisconsin,Week 4Oct 11[8],1965
51,3,<,3,Arkansas (4),Southwest,4-0,384,W 38-7 A Baylor,Week 4Oct 11[8],1965
52,4,<,5,Michigan State (3),Big Ten,4-0,335,W 24-7 A Michigan,Week 4Oct 11[8],1965
53,5,<,4,Georgia (2),SEC,4-0,280,W 23-9 H Clemson,Week 4Oct 11[8],1965
54,6,<,8,USC,AAWU,3-0-1,204,W 34-0 A Washington,Week 4Oct 11[8],1965
55,7,<,6,Purdue (1),Big Ten,3-0-1,187,W 17-14 A Iowa,Week 4Oct 11[8],1965
56,8,<,7,Notre Dame,Ind,3-1,162,W 17-0 A Army,Week 4Oct 11[8],1965
57,9,<,10,Florida,SEC,3-1,98,W 17-0 A Mississippi,Week 4Oct 11[8],1965
58,10,<,9,Mississippi State,SEC,4-0,79,W 27-9 H Southern Miss,Week 4Oct 11[8],1965
59,1,<,3,Arkansas (28),Southwest,5-0,468,W 27-24 H #1 Texas,Week 5Oct 18[9],1965
60,2,<,4,Michigan State (14),Big Ten,5-0,420,,Week 5Oct 18[9],1965
61,3,<,2,Nebraska (8),Big 8,5-0,393,,Week 5Oct 18[9],1965
62,4,<,6,USC,AAWU,4-0-1,268,,Week 5Oct 18[9],1965
63,5,<,1,Texas,Southwest,4-0-1,253,L 27-24 A #3 Arkansas,Week 5Oct 18[9],1965
64,6,<,7,Purdue,Big Ten,4-0-1,239,,Week 5Oct 18[9],1965
65,7,<,8,Notre Dame,Ind,3-1,192,,Week 5Oct 18[9],1965
66,8,<,9,Florida,SEC,4-1,139,,Week 5Oct 18[9],1965
67,9,<,NR,LSU,SEC,4-1,79,,Week 5Oct 18[9],1965
68,10,<,5,Georgia,SEC,4-1,65,,Week 5Oct 18[9],1965
69,NR,<,10,Mississippi State,SEC,,0,,Week 5Oct 18[9],1965
70,1,<,2,Michigan State (19),Big Ten,6-0,473,W 14-10 A #6 Purdue,Week 6Oct 25[10],1965
71,2,<,1,Arkansas (23),Southwest,6-0,466,W 55-20 H North Texas,Week 6Oct 25[10],1965
72,3,<,3,Nebraska (9),Big 8,6-0,424,,Week 6Oct 25[10],1965
73,4,<,7,Notre Dame,Ind,4-1,346,,Week 6Oct 25[10],1965
74,5,<,9,LSU,SEC,5-1,230,,Week 6Oct 25[10],1965
75,6,<,6,Purdue,Big Ten,4-1-1,201,,Week 6Oct 25[10],1965
76,7,<,8,Florida,SEC,4-1,200,,Week 6Oct 25[10],1965
77,8,<,4,USC,AAWU,4-1-1,93,,Week 6Oct 25[10],1965
78,9,<,5,Texas,Southwest,4-2,68,,Week 6Oct 25[10],1965
79,10,<,NR,Alabama,SEC,4-1-1,62,,Week 6Oct 25[10],1965
80,NR,<,10,Georgia,SEC,,0,,Week 6Oct 25[10],1965
81,1,<,1,Michigan State (36),Big Ten,7-0,481,W 49-7 H Northwestern,Week 7Nov 1[11],1965
82,2,<,2,Arkansas (11),Southwest,7-0,457,,Week 7Nov 1[11],1965
83,3,<,3,Nebraska (3),Big 8,7-0,392,,Week 7Nov 1[11],1965
84,4,<,4,Notre Dame,Ind,5-1,362,,Week 7Nov 1[11],1965
85,5,<,10,Alabama,SEC,5-1-1,209,,Week 7Nov 1[11],1965
86,6,<,8,USC,AAWU,4-1-1,201,,Week 7Nov 1[11],1965
87,7,<,NR,Georgia Tech,Ind,5-1-1,115,,Week 7Nov 1[11],1965
88,8,<,NR,UCLA,AAWU,4-1-1,105,,Week 7Nov 1[11],1965
89,9,<,NR,Missouri,Big 8,4-2-1,52,,Week 7Nov 1[11],1965
90,10,<,NR,Kentucky,SEC,5-2,49,,Week 7Nov 1[11],1965
91,NR,<,5,LSU,SEC,,0,,Week 7Nov 1[11],1965
92,NR,<,6,Purdue,Big Ten,,0,,Week 7Nov 1[11],1965
93,NR,<,7,Florida,SEC,,0,,Week 7Nov 1[11],1965
94,NR,<,9,Texas,Southwest,,0,,Week 7Nov 1[11],1965
95,1,<,1,Michigan State (32),Big Ten,8-0,482,W 35-0 A Iowa,Week 8Nov 8[12],1965
96,2,<,2,Arkansas (14),Southwest,8-0,459,,Week 8Nov 8[12],1965
97,3,<,3,Nebraska (4),Big 8,8-0,406,,Week 8Nov 8[12],1965
98,4,<,4,Notre Dame (1),Ind,6-1,381,,Week 8Nov 8[12],1965
99,5,<,5,Alabama,SEC,6-1-1,288,,Week 8Nov 8[12],1965
100,6,<,6,USC,AAWU,5-1-1,240,,Week 8Nov 8[12],1965
101,7,<,8,UCLA,AAWU,5-1-1,170,,Week 8Nov 8[12],1965
102,8,<,NR,Tennessee,SEC,4-0-2,96,,Week 8Nov 8[12],1965
103,9,<,9,Missouri,Big 8,5-2-1,94,,Week 8Nov 8[12],1965
104,10,<,10,Kentucky,SEC,6-2,73,,Week 8Nov 8[12],1965
105,NR,<,7,Georgia Tech,Ind,,0,,Week 8Nov 8[12],1965
106,1,<,1,Michigan State (31),Big Ten,9-0,456,W 27-13 H Indiana,Week 9Nov 15[13],1965
107,2,<,2,Arkansas (15),Southwest,9-0,439,,Week 9Nov 15[13],1965
108,3,<,3,Nebraska (2),Big 8,9-0,378,,Week 9Nov 15[13],1965
109,4,<,4,Notre Dame,Ind,7-1,346,,Week 9Nov 15[13],1965
