,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,1,Nebraska (50),Big 12,0-0,1644.0,DNP,PreseasonAug 12 [1],1996
1,2,<,3,Tennessee (7),SEC,0-0,1538.0,DNP,PreseasonAug 12 [1],1996
2,3,<,4,Florida State (5),ACC,0-0,1529.0,DNP,PreseasonAug 12 [1],1996
3,4,<,2,Florida (1),SEC,0-0,1490.0,DNP,PreseasonAug 12 [1],1996
4,5,<,5,Colorado (3),Big 12,0-0,1377.0,DNP,PreseasonAug 12 [1],1996
5,6,<,11,Notre Dame (1),Ind,0-0,1295.0,DNP,PreseasonAug 12 [1],1996
6,7,<,12,USC,Pac-10,0-0,1171.0,DNP,PreseasonAug 12 [1],1996
7,8,<,14,Texas,Big 12,0-0,1026.0,DNP,PreseasonAug 12 [1],1996
8,9,<,6,Ohio State,Big Ten,0-0,987.0,DNP,PreseasonAug 12 [1],1996
9,10,<,19,Syracuse,Big East,0-0,982.0,DNP,PreseasonAug 12 [1],1996
10,11,<,13,Penn State,Big Ten,0-0,981.0,DNP,PreseasonAug 12 [1],1996
11,12,<,20,Miami (FL),Big East,0-0,877.0,DNP,PreseasonAug 12 [1],1996
12,13,<,15,Texas A&M,Big 12,0-0,803.0,DNP,PreseasonAug 12 [1],1996
13,14,<,17,Michigan,Big Ten,0-0,766.0,DNP,PreseasonAug 12 [1],1996
14,15,<,21,Alabama,SEC,0-0,601.0,DNP,PreseasonAug 12 [1],1996
15,16,<,10,Virginia Tech,Big East,0-0,563.0,DNP,PreseasonAug 12 [1],1996
16,17,<,22,Auburn,SEC,0-0,536.0,DNP,PreseasonAug 12 [1],1996
17,18,<,8,Northwestern,Big Ten,0-0,496.0,DNP,PreseasonAug 12 [1],1996
18,19,<,NR,LSU,SEC,0-0,465.0,DNP,PreseasonAug 12 [1],1996
19,20,<,NR,Arizona State,Pac-10,0-0,380.0,DNP,PreseasonAug 12 [1],1996
20,21,<,7,Kansas State,Big 12,0-0,366.0,DNP,PreseasonAug 12 [1],1996
21,22,<,25,Iowa,Big Ten,0-0,356.0,DNP,PreseasonAug 12 [1],1996
22,23,<,16,Virginia,ACC,0-0,288.0,DNP,PreseasonAug 12 [1],1996
23,24,<,9,Kansas,Big 12,0-0,217.0,DNP,PreseasonAug 12 [1],1996
24,25,<,NR,Clemson,ACC,0-0,212.0,DNP,PreseasonAug 12 [1],1996
25,NR,<,18,Oregon,Pac-10,0-0,0.0,DNP,PreseasonAug 12 [1],1996
26,NR,<,23,Texas Tech,Big 12,0-0,0.0,DNP,PreseasonAug 12 [1],1996
27,NR,<,24,Toledo,MAC,0-0,0.0,DNP,PreseasonAug 12 [1],1996
28,1,<,1,Nebraska (50),Big 12,0-0,1646.0,DNP,Week 1Aug 26 [2],1996
