,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
0,1,<,4,Ohio State (35),Big Ten,0-0,1558,DNP,1,2006,
1,2,<,9,Notre Dame (10),Ind,0-0,1470,DNP,1,2006,
2,3,<,1,Texas (8),Big 12,0-0,1411,DNP,1,2006,
3,4,<,14,Auburn (3),SEC,0-0,1395,DNP,1,2006,
4,5,<,5,West Virginia (6),Big East,0-0,1354,DNP,1,2006,
5,6,<,2,USC (3),Pac-10,0-0,1345,DNP,1,2006,
6,7,<,12,Florida,SEC,0-0,1178,DNP,1,2006,
7,8,<,6,LSU,SEC,0-0,1144,DNP,1,2006,
8,9,<,25,California,Pac-10,0-0,975,DNP,1,2006,
9,10,<,22,Oklahoma,Big 12,0-0,960,DNP,1,2006,
10,11,<,23,Florida State,ACC,0-0,949,DNP,1,2006,
11,12,<,17,Miami (FL),ACC,0-0,893,DNP,1,2006,
12,13,<,19,Louisville,Big East,0-0,844,DNP,1,2006,
13,14,<,NR,Michigan,Big Ten,0-0,824,DNP,1,2006,
14,15,<,10,Georgia,SEC,0-0,743,DNP,1,2006,
15,16,<,NR,Iowa,Big Ten,0-0,720,DNP,1,2006,
16,17,<,7,Virginia Tech,ACC,0-0,614,DNP,1,2006,
17,18,<,21,Clemson,ACC,0-0,479,DNP,1,2006,
18,19,<,3,Penn State,Big Ten,0-0,386,DNP,1,2006,
19,20,<,24,Nebraska,Big 12,0-0,332,DNP,1,2006,
20,21,<,12,Oregon,Pac-10,0-0,324,DNP,1,2006,
21,22,<,11,TCU,MWC,0-0,257,DNP,1,2006,
22,23,<,NR,Tennessee,SEC,0-0,215,DNP,1,2006,
23,24,<,NR,Arizona State,Pac-10,0-0,182,DNP,1,2006,
24,25,<,20,Texas Tech,Big 12,0-0,181,DNP,1,2006,
25,RV,<,8,Alabama,SEC,0-0,141,DNP,1,2006,
26,RV,<,NR,Utah,MWC,,52,,1,2006,
27,RV,<,18,Boston College,ACC,0-0,41,DNP,1,2006,
28,RV,<,NR,Georgia Tech,ACC,,39,,1,2006,
29,RV,<,NR,Boise State,WAC,,23,,1,2006,
30,RV,<,15,Wisconsin,Big Ten,0-0,18,DNP,1,2006,
31,RV,<,NR,Arkansas,SEC,,18,,1,2006,
32,RV,<,NR,South Carolina,SEC,,15,,1,2006,
33,RV,<,NR,Tulsa,CUSA,,11,,1,2006,
34,RV,<,NR,Texas A&M,Big 12,,10,,1,2006,
35,RV,<,NR,BYU,MWC,,4,,1,2006,
36,RV,<,NR,Purdue,Big Ten,,4,,1,2006,
37,RV,<,NR,UTEP,CUSA,,4,,1,2006,
