,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,CP
0,1,<,1,Notre Dame (101),Ind,0-0,1219,DNP,PreseasonAug[2],1950,
1,2,<,4,Army (7),Ind,0-0,930,DNP,PreseasonAug[2],1950,
2,3,<,7,Michigan (3),Big Ten,0-0,688,DNP,PreseasonAug[2],1950,
3,4,<,17,Tennessee (1),SEC,0-0,553,DNP,PreseasonAug[2],1950,
4,5,<,NR,Texas (7),Southwest,0-0,539,DNP,PreseasonAug[2],1950,
5,6,<,2,Oklahoma (3),Big 7,0-0,469,DNP,PreseasonAug[2],1950,
6,7,<,NR,Stanford,PCC,0-0,435,DNP,PreseasonAug[2],1950,
7,8,<,NR,Illinois (1),Big Ten,0-0,361,DNP,PreseasonAug[2],1950,
8,9,<,12,Cornell,Ind,0-0,321,DNP,PreseasonAug[2],1950,
9,10,<,NR,SMU,Southwest,0-0,229,DNP,PreseasonAug[2],1950,
10,11,<,6,Ohio State,Big Ten,0-0,218,DNP,PreseasonAug[2],1950,
11,12,<,NR,USC,PCC,0-0,208,DNP,PreseasonAug[2],1950,
12,13,<,11,Kentucky,SEC,0-0,143,DNP,PreseasonAug[2],1950,
13,14,<,3,California,PCC,0-0,97,DNP,PreseasonAug[2],1950,
14,15,<,14,Maryland,Southern,0-0,82,DNP,PreseasonAug[2],1950,
15,16,<,NR,Duke,Southern,0-0,73,DNP,PreseasonAug[2],1950,
16,17,<,20,Missouri,Big 7,0-0,32,DNP,PreseasonAug[2],1950,
17,18,<,8,Minnesota,Big Ten,0-0,31,DNP,PreseasonAug[2],1950,
18,19,<,19,Michigan State,Ind,0-0,30,DNP,PreseasonAug[2],1950,
19,20,<,16,North Carolina,Southern,0-0,27,DNP,PreseasonAug[2],1950,
20,NR,<,5,Rice,Southwest,0-0,0,DNP,PreseasonAug[2],1950,
21,NR,<,9,LSU,SEC,0-0,0,DNP,PreseasonAug[2],1950,
22,NR,<,10,Pacific,Ind,0-0,0,DNP,PreseasonAug[2],1950,
23,NR,<,13,Villanova,Ind,0-0,0,DNP,PreseasonAug[2],1950,
24,NR,<,15,Santa Clara,Ind,0-0,0,DNP,PreseasonAug[2],1950,
25,NR,<,18,Princeton,Ind,0-0,0,DNP,PreseasonAug[2],1950,
26,NR,<,20,Baylor,Southwest,0-0,0,DNP,PreseasonAug[2],1950,
27,1,<,1,Notre Dame (63),Ind,1-0,1500,W 14-7 H #20 North Carolina,Week 1Oct 2[3],1950,
28,2,<,19,Michigan State (32),Ind,2-0,1298,,Week 1Oct 2[3],1950,
29,3,<,10,SMU (28),Southwest,2-0,1296,,Week 1Oct 2[3],1950,
30,4,<,2,Army (29),Ind,1-0,1290,,Week 1Oct 2[3],1950,
31,5,<,6,Oklahoma (17),Big 7,1-0,1025,W 28-0 H Boston College,Week 1Oct 2[3],1950,
32,6,<,13,Kentucky (5),SEC,3-0,539,,Week 1Oct 2[3],1950,
33,7,<,5,Texas (2),Southwest,1-0,502,,Week 1Oct 2[3],1950,
34,8,<,7,Stanford (3),PCC,2-0,464,,Week 1Oct 2[3],1950,
35,9,<,14,California (2),PCC,2-0,442,,Week 1Oct 2[3],1950,
36,10,<,NR,Washington,PCC,2-0,211,,Week 1Oct 2[3],1950,
37,11,<,20,North Carolina (1),Southern,1-1,187,,Week 1Oct 2[3],1950,
38,12,<,NR,Alabama (2),SEC,2-0,177,,Week 1Oct 2[3],1950,
39,13,<,NR,UCLA,PCC,2-0,176,,Week 1Oct 2[3],1950,
40,14,<,16,Duke,Southern,2-0,175,,Week 1Oct 2[3],1950,
41,15,<,8,Illinois (1),Big Ten,1-0,170,,Week 1Oct 2[3],1950,
42,16,<,9,Cornell,Ind,1-0,167,W 27-0 H Lafayette,Week 1Oct 2[3],1950,
43,17,<,NR,Iowa (2),Big Ten,1-0,136,,Week 1Oct 2[3],1950,
44,18,<,NR,Clemson (3),Southern,2-0,110,,Week 1Oct 2[3],1950,
45,19,<,3,Michigan,Big Ten,0-1,95,,Week 1Oct 2[3],1950,
46,20,<,NR,Penn,Ind,1-0,67,,Week 1Oct 2[3],1950,
47,NR,<,4,Tennessee,SEC,,0,,Week 1Oct 2[3],1950,
48,NR,<,11,Ohio State,Big Ten,,0,,Week 1Oct 2[3],1950,
49,NR,<,12,USC,PCC,,0,,Week 1Oct 2[3],1950,
50,NR,<,15,Maryland,Southern,,0,,Week 1Oct 2[3],1950,
51,NR,<,17,Missouri,Big 7,,0,,Week 1Oct 2[3],1950,
52,NR,<,18,Minnesota,Big Ten,,0,,Week 1Oct 2[3],1950,
53,NR,<,NR,Princeton,Other,,0,,Week 1Oct 2[3],1950,
54,1,<,4,Army (115),Ind,2-0,2101,W 41-7 H Penn State,Week 2Oct 9[4],1950,
55,2,<,3,SMU (53),Southwest,3-0,1990,,Week 2Oct 9[4],1950,
