,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,1,Ohio State (26),Big Ten,0-0,611,DNP,PreseasonAug[1],1969
1,2,<,6,Arkansas (2),Southwest,0-0,420,DNP,PreseasonAug[1],1969
2,3,<,2,Penn State (3),Ind,0-0,390,DNP,PreseasonAug[1],1969
3,4,<,3,Texas (1),Southwest,0-0,343,DNP,PreseasonAug[1],1969
4,5,<,4,USC,Pac-8,0-0,290,DNP,PreseasonAug[1],1969
5,6,<,11,Oklahoma,Big 8,0-0,264,DNP,PreseasonAug[1],1969
6,7,<,18,Houston (1),Ind,0-0,231,DNP,PreseasonAug[1],1969
7,8,<,8,Georgia,SEC,0-0,219,DNP,PreseasonAug[1],1969
8,9,<,NR,Mississippi,SEC,0-0,211,DNP,PreseasonAug[1],1969
9,10,<,9,Missouri,Big 8,0-0,209,DNP,PreseasonAug[1],1969
10,11,<,5,Notre Dame,Ind,0-0,204,DNP,PreseasonAug[1],1969
11,12,<,NR,Michigan State,Big Ten,0-0,148,DNP,PreseasonAug[1],1969
12,13,<,17,Alabama,SEC,0-0,120,DNP,PreseasonAug[1],1969
13,14,<,NR,Indiana,Big Ten,0-0,98,DNP,PreseasonAug[1],1969
14,15,<,13,Tennessee,SEC,0-0,67,DNP,PreseasonAug[1],1969
15,16,<,NR,Stanford,Pac-8,0-0,53,DNP,PreseasonAug[1],1969
16,17,<,NR,UCLA,Pac-8,0-0,52,DNP,PreseasonAug[1],1969
17,18,<,10,Purdue,Big Ten,0-0,42,DNP,PreseasonAug[1],1969
18,19,<,NR,Minnesota,Big Ten,0-0,40,DNP,PreseasonAug[1],1969
19,20,<,16,Auburn,SEC,0-0,37,DNP,PreseasonAug[1],1969
20,NR,<,7,Kansas,Big 8,0-0,0,DNP,PreseasonAug[1],1969
21,NR,<,12,Michigan,Big Ten,0-0,0,DNP,PreseasonAug[1],1969
22,NR,<,14,SMU,Southwest,0-0,0,DNP,PreseasonAug[1],1969
23,NR,<,15,Oregon State,Pac-8,0-0,0,DNP,PreseasonAug[1],1969
24,NR,<,19,LSU,SEC,0-0,0,DNP,PreseasonAug[1],1969
25,NR,<,20,Ohio,MAC,0-0,0,DNP,PreseasonAug[1],1969
26,1,<,1,Ohio State (25),Big Ten,0-0,632,DNP,Week 1Sep 22[2],1969
27,2,<,3,Penn State (5),Ind,1-0,548,,Week 1Sep 22[2],1969
28,3,<,2,Arkansas (1),Southwest,1-0,513,,Week 1Sep 22[2],1969
29,4,<,4,Texas (2),Southwest,1-0,440,,Week 1Sep 22[2],1969
30,5,<,5,USC (1),Pac-8,1-0,409,,Week 1Sep 22[2],1969
31,6,<,6,Oklahoma,Big 8,1-0,352,W 48-21 A Wisconsin,Week 1Sep 22[2],1969
32,7,<,8,Georgia,SEC,1-0,269,,Week 1Sep 22[2],1969
33,8,<,9,Mississippi,SEC,1-0,221,,Week 1Sep 22[2],1969
34,9,<,11,Notre Dame,Ind,1-0,205,,Week 1Sep 22[2],1969
35,10,<,14,Indiana,Big Ten,1-0,167,W 58-30 A Kentucky,Week 1Sep 22[2],1969
36,11,<,10,Missouri,Big 8,1-0,166,,Week 1Sep 22[2],1969
37,12,<,NR,Florida (2),SEC,1-0,135,W 59-34 H #7 Houston,Week 1Sep 22[2],1969
38,13,<,12,Michigan State,Big Ten,1-0,122,,Week 1Sep 22[2],1969
39,14,<,17,UCLA,Pac-8,2-0,109,,Week 1Sep 22[2],1969
40,15,<,13,Alabama,SEC,1-0,61,,Week 1Sep 22[2],1969
41,16,<,18,Purdue,Big Ten,1-0,60,,Week 1Sep 22[2],1969
42,17,<,20,Auburn,SEC,1-0,58,,Week 1Sep 22[2],1969
43,18,<,NR,Arizona State,WAC,1-0,57,,Week 1Sep 22[2],1969
44,19,<,15,Tennessee,SEC,1-0,55,,Week 1Sep 22[2],1969
45,20,<,NR,Michigan,Big Ten,1-0,54,,Week 1Sep 22[2],1969
46,NR,<,7,Houston,Ind,,0,L 59-34 A Florida,Week 1Sep 22[2],1969
47,NR,<,16,Stanford,Pac-8,,0,,Week 1Sep 22[2],1969
48,NR,<,19,Minnesota,Big Ten,,0,,Week 1Sep 22[2],1969
49,1,<,1,Ohio State (35),Big Ten,1-0,784,W 62-0 H TCU,Week 2Sep 29[3],1969
50,2,<,2,Penn State (2),Ind,2-0,619,,Week 2Sep 29[3],1969
51,3,<,3,Arkansas,Southwest,2-0,584,,Week 2Sep 29[3],1969
52,4,<,4,Texas (3),Southwest,2-0,582,,Week 2Sep 29[3],1969
53,5,<,5,USC,Pac-8,2-0,449,,Week 2Sep 29[3],1969
54,6,<,6,Oklahoma,Big 8,2-0,389,W 37-8 H Pittsburgh,Week 2Sep 29[3],1969
55,7,<,7,Georgia,SEC,2-0,360,,Week 2Sep 29[3],1969
56,8,<,16,Purdue,Big Ten,2-0,251,W 28-14 H #9 Notre Dame,Week 2Sep 29[3],1969
57,9,<,11,Missouri,Big 8,2-0,236,,Week 2Sep 29[3],1969
58,10,<,19,Tennessee,SEC,2-0,171,,Week 2Sep 29[3],1969
59,11,<,14,UCLA,Pac-8,3-0,158,,Week 2Sep 29[3],1969
60,12,<,12,Florida,SEC,2-0,155,,Week 2Sep 29[3],1969
61,13,<,20,Michigan,Big Ten,2-0,148,,Week 2Sep 29[3],1969
62,14,<,13,Michigan State,Big Ten,2-0,118,,Week 2Sep 29[3],1969
63,15,<,15,Alabama,SEC,2-0,84,,Week 2Sep 29[3],1969
64,16,<,NR,LSU,SEC,2-0,79,,Week 2Sep 29[3],1969
65,17,<,NR,Stanford,Pac-8,2-0,41,,Week 2Sep 29[3],1969
66,18,<,NR,West Virginia,Ind,3-0,22,,Week 2Sep 29[3],1969
67,19,<,NR,Wyoming,WAC,2-0,20,W 27-25 A Air Force,Week 2Sep 29[3],1969
68,20,<,8,Mississippi,SEC,1-1,15,L 10-9 A Kentucky,Week 2Sep 29[3],1969
69,NR,<,9,Notre Dame,Ind,,0,L 28-14 A #16 Purdue,Week 2Sep 29[3],1969
70,NR,<,10,Indiana,Big Ten,,0,L 17-14 H California,Week 2Sep 29[3],1969
71,NR,<,17,Auburn,SEC,,0,,Week 2Sep 29[3],1969
72,NR,<,18,Arizona State,WAC,,0,,Week 2Sep 29[3],1969
73,1,<,1,Ohio State (34),Big Ten,2-0,806,W 41-14 A Washington,Week 3Oct 6[4],1969
74,2,<,4,Texas (5),Southwest,3-0,632,,Week 3Oct 6[4],1969
75,3,<,3,Arkansas,Southwest,3-0,533,,Week 3Oct 6[4],1969
76,4,<,5,USC (1),Pac-8,3-0,498,,Week 3Oct 6[4],1969
77,5,<,2,Penn State (1),Ind,3-0,490,,Week 3Oct 6[4],1969
78,6,<,7,Georgia,SEC,3-0,407,,Week 3Oct 6[4],1969
79,7,<,9,Missouri,Big 8,3-0,332,,Week 3Oct 6[4],1969
80,8,<,6,Oklahoma,Big 8,2-0,319,DNP,Week 3Oct 6[4],1969
81,9,<,8,Purdue,Big Ten,3-0,268,,Week 3Oct 6[4],1969
82,10,<,10,Tennessee,SEC,3-0,241,,Week 3Oct 6[4],1969
83,11,<,11,UCLA,Pac-8,4-0,198,,Week 3Oct 6[4],1969
84,12,<,12,Florida,SEC,3-0,168,,Week 3Oct 6[4],1969
85,13,<,15,Alabama,SEC,3-0,145,,Week 3Oct 6[4],1969
86,14,<,16,LSU,SEC,3-0,142,,Week 3Oct 6[4],1969
87,15,<,NR,Notre Dame,Ind,2-1,39,,Week 3Oct 6[4],1969
88,16,<,17,Stanford,Pac-8,2-1,33,,Week 3Oct 6[4],1969
89,17,<,18,West Virginia,Ind,4-0,28,,Week 3Oct 6[4],1969
90,18,<,19,Wyoming,WAC,3-0,19,W 39-3 H Colorado State,Week 3Oct 6[4],1969
91,19,<,14,Michigan State,Big Ten,2-1,16,,Week 3Oct 6[4],1969
92,20,<,NR,Auburn,SEC,2-1,13,,Week 3Oct 6[4],1969
93,20,<,NR,Nebraska,Big 8,2-1,13,W 42-14 A Minnesota,Week 3Oct 6[4],1969
94,NR,<,13,Michigan,Big Ten,,0,,Week 3Oct 6[4],1969
95,NR,<,20,Mississippi,SEC,,0,,Week 3Oct 6[4],1969
96,1,<,1,Ohio State (31),Big Ten,3-0,710,W 54-21 H #19 Michigan State,Week 4Oct 13[5],1969
97,2,<,2,Texas (5),Southwest,4-0,638,,Week 4Oct 13[5],1969
98,3,<,4,USC,Pac-8,4-0,478,,Week 4Oct 13[5],1969
99,4,<,3,Arkansas,Southwest,4-0,458,,Week 4Oct 13[5],1969
100,5,<,5,Penn State,Ind,4-0,423,,Week 4Oct 13[5],1969
101,6,<,7,Missouri,Big 8,4-0,391,,Week 4Oct 13[5],1969
102,7,<,10,Tennessee,SEC,4-0,333,,Week 4Oct 13[5],1969
103,8,<,11,UCLA,Pac-8,5-0,300,,Week 4Oct 13[5],1969
104,9,<,14,LSU,SEC,4-0,218,,Week 4Oct 13[5],1969
105,10,<,12,Florida,SEC,4-0,192,,Week 4Oct 13[5],1969
106,11,<,15,Notre Dame,Ind,3-1,130,,Week 4Oct 13[5],1969
107,12,<,8,Oklahoma,Big 8,2-1,122,L 27-17 N #2 Texas,Week 4Oct 13[5],1969
108,13,<,NR,Michigan,Big Ten,3-1,83,,Week 4Oct 13[5],1969
109,14,<,6,Georgia,SEC,3-1,71,,Week 4Oct 13[5],1969
110,15,<,20,Auburn,SEC,3-1,47,,Week 4Oct 13[5],1969
111,16,<,18,Wyoming,WAC,4-0,46,W 37-9 H UTEP,Week 4Oct 13[5],1969
112,17,<,9,Purdue,Big Ten,3-1,45,,Week 4Oct 13[5],1969
113,18,<,16,Stanford,Pac-8,2-2,39,,Week 4Oct 13[5],1969
114,19,<,NR,Mississippi,SEC,2-2,36,,Week 4Oct 13[5],1969
115,20,<,13,Alabama,SEC,3-1,31,,Week 4Oct 13[5],1969
116,NR,<,17,West Virginia,Ind,,0,,Week 4Oct 13[5],1969
117,NR,<,19,Michigan State,Big Ten,,0,,Week 4Oct 13[5],1969
118,NR,<,20,Nebraska,Big 8,,0,L 17-7 A #7 Missouri,Week 4Oct 13[5],1969
119,1,<,1,Ohio State (27),Big Ten,4-0,666,W 34-7 A Minnesota,Week 5Oct 20[6],1969
120,2,<,2,Texas (5),Southwest,4-0,612,,Week 5Oct 20[6],1969
121,3,<,7,Tennessee (1),SEC,5-0,435,,Week 5Oct 20[6],1969
122,4,<,4,Arkansas,Southwest,4-0,417,,Week 5Oct 20[6],1969
123,5,<,6,Missouri,Big 8,5-0,355,,Week 5Oct 20[6],1969
124,6,<,8,UCLA,Pac-8,6-0,341,,Week 5Oct 20[6],1969
125,7,<,3,USC,Pac-8,4-0-1,297,,Week 5Oct 20[6],1969
126,8,<,5,Penn State (1),Ind,5-0,294,,Week 5Oct 20[6],1969
127,9,<,9,LSU,SEC,5-0,226,,Week 5Oct 20[6],1969
128,10,<,10,Florida,SEC,5-0,222,,Week 5Oct 20[6],1969
129,11,<,12,Oklahoma,Big 8,3-1,152,W 42-30 H Colorado,Week 5Oct 20[6],1969
130,12,<,11,Notre Dame,Ind,3-1-1,126,,Week 5Oct 20[6],1969
131,13,<,14,Georgia,SEC,4-1,102,,Week 5Oct 20[6],1969
132,14,<,15,Auburn,SEC,4-1,67,,Week 5Oct 20[6],1969
133,15,<,17,Purdue,Big Ten,4-1,47,,Week 5Oct 20[6],1969
134,16,<,16,Wyoming,WAC,5-0,46,W 40-7 H BYU,Week 5Oct 20[6],1969
135,17,<,19,Mississippi,SEC,3-2,31,,Week 5Oct 20[6],1969
136,18,<,NR,Kansas State,Big 8,4-1,29,,Week 5Oct 20[6],1969
137,19,<,18,Stanford,Pac-8,3-2,23,,Week 5Oct 20[6],1969
138,20,<,NR,Air Force,Ind,3-2,4,,Week 5Oct 20[6],1969
139,NR,<,13,Michigan,Big Ten,,0,,Week 5Oct 20[6],1969
140,NR,<,20,Alabama,SEC,,0,,Week 5Oct 20[6],1969
141,1,<,1,Ohio State (35),Big Ten,5-0,772,W 41-0 H Illinois,Week 6Oct 27[7],1969
