,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS,CP
415,4,<,4,Washington,Pac-10,10-1,1569,,Week 14Nov 26[15],2000,4,
416,5,<,5,Oregon State,Pac-10,10-1,1472,,Week 14Nov 26[15],2000,6,
417,6,<,6,Virginia Tech,Big East,10-1,1407,,Week 14Nov 26[15],2000,5,
418,7,<,7,Florida,SEC,9-2,1277,,Week 14Nov 26[15],2000,7,
419,8,<,8,Kansas State,Big 12,10-2,1230,,Week 14Nov 26[15],2000,9,
420,9,<,10,Oregon,Pac-10,9-2,1183,,Week 14Nov 26[15],2000,10,
421,10,<,9,Nebraska,Big 12,9-2,1142,,Week 14Nov 26[15],2000,8,
422,11,<,11,Notre Dame,Ind,9-2,1082,,Week 14Nov 26[15],2000,11,
423,12,<,12,Texas,Big 12,9-2,915,,Week 14Nov 26[15],2000,12,
424,13,<,13,TCU,WAC,10-1,844,W 62-7 A SMU,Week 14Nov 26[15],2000,14,
425,14,<,14,Purdue,Big Ten,8-3,785,,Week 14Nov 26[15],2000,NR,
426,15,<,15,Clemson,ACC,9-2,750,,Week 14Nov 26[15],2000,15,
427,16,<,16,Michigan,Big Ten,8-3,747,,Week 14Nov 26[15],2000,16,
428,17,<,18,Georgia Tech,ACC,9-2,742,,Week 14Nov 26[15],2000,13,
429,18,<,17,Auburn,SEC,9-2,720,,Week 14Nov 26[15],2000,NR,
430,19,<,20,Northwestern,Big Ten,8-3,499,,Week 14Nov 26[15],2000,NR,
431,20,<,21,Ohio State,Big Ten,8-3,449,,Week 14Nov 26[15],2000,NR,
432,21,<,25,Tennessee,SEC,8-3,321,,Week 14Nov 26[15],2000,NR,
433,22,<,NR,Louisville,CUSA,9-2,201,DNP,Week 14Nov 26[15],2000,NR,
434,23,<,NR,Colorado State,MWC,9-2,170,DNP,Week 14Nov 26[15],2000,NR,
435,24,<,19,Georgia,SEC,7-4,126,,Week 14Nov 26[15],2000,NR,
436,25,<,NR,Toledo,MAC,10-1,73,W 51-17 H Bowling Green,Week 14Nov 26[15],2000,NR,
437,NR,<,22,Texas A&M,Big 12,,0,,Week 14Nov 26[15],2000,NR,
438,NR,<,23,Mississippi State,SEC,,0,,Week 14Nov 26[15],2000,NR,
439,NR,<,24,LSU,SEC,,0,,Week 14Nov 26[15],2000,NR,
440,1,<,1,Oklahoma (67),Big 12,12-0,1768,W 27-24 N #8 Kansas State (Big 12 CG),Week 15Dec 3[16],2000,1,
441,2,<,2,Miami (FL) (3),Big East,10-1,1693,,Week 15Dec 3[16],2000,3,
442,3,<,3,Florida State (1),ACC,11-1,1640,,Week 15Dec 3[16],2000,2,
443,4,<,4,Washington,Pac-10,10-1,1571,,Week 15Dec 3[16],2000,4,
444,5,<,5,Oregon State,Pac-10,10-1,1473,,Week 15Dec 3[16],2000,6,
445,6,<,6,Virginia Tech,Big East,10-1,1396,,Week 15Dec 3[16],2000,5,
446,7,<,7,Florida,SEC,10-2,1349,,Week 15Dec 3[16],2000,7,
447,8,<,9,Oregon,Pac-10,9-2,1207,,Week 15Dec 3[16],2000,10,
448,9,<,10,Nebraska,Big 12,9-2,1160,,Week 15Dec 3[16],2000,8,
449,10,<,11,Notre Dame,Ind,9-2,1086,,Week 15Dec 3[16],2000,11,
450,11,<,8,Kansas State,Big 12,10-3,1084,,Week 15Dec 3[16],2000,9,
451,12,<,12,Texas,Big 12,9-2,941,,Week 15Dec 3[16],2000,12,
452,13,<,13,TCU,WAC,10-1,867,DNP,Week 15Dec 3[16],2000,14,
453,14,<,14,Purdue,Big Ten,8-3,810,,Week 15Dec 3[16],2000,NR,
454,15,<,17,Georgia Tech,ACC,9-2,803,,Week 15Dec 3[16],2000,13,
455,16,<,15,Clemson,ACC,9-2,776,,Week 15Dec 3[16],2000,15,
456,17,<,16,Michigan,Big Ten,8-3,754,,Week 15Dec 3[16],2000,16,
457,18,<,19,Northwestern,Big Ten,8-3,553,,Week 15Dec 3[16],2000,NR,
458,19,<,20,Ohio State,Big Ten,8-3,481,,Week 15Dec 3[16],2000,NR,
459,20,<,18,Auburn,SEC,9-3,450,,Week 15Dec 3[16],2000,NR,
460,21,<,21,Tennessee,SEC,8-3,336,,Week 15Dec 3[16],2000,NR,
461,22,<,22,Louisville,CUSA,9-2,232,DNP,Week 15Dec 3[16],2000,NR,
462,23,<,23,Colorado State,MWC,9-2,198,DNP,Week 15Dec 3[16],2000,NR,
463,24,<,24,Georgia,SEC,7-4,110,,Week 15Dec 3[16],2000,NR,
464,25,<,25,Toledo,MAC,10-1,84,DNP,Week 15Dec 3[16],2000,NR,
465,1,<,1,Oklahoma (71),Big 12,13-0,1775,W 13-2 N #3 Florida State (BCS NC/Orange),Week 16 (Final)Jan 3[17],2000,,
466,2,<,2,Miami (FL),Big East,11-1,1690,W 37-20 N #7 Florida (Sugar),Week 16 (Final)Jan 3[17],2000,,
467,3,<,4,Washington,Pac-10,11-1,1634,W 34-24 N #14 Purdue (Rose),Week 16 (Final)Jan 3[17],2000,,
468,4,<,5,Oregon State,Pac-10,11-1,1539,W 41-9 N #10 Notre Dame (Fiesta),Week 16 (Final)Jan 3[17],2000,,
469,5,<,3,Florida State,ACC,11-2,1488,L 13-2 N #1 Oklahoma (BCS NC/Orange ),Week 16 (Final)Jan 3[17],2000,,
470,6,<,6,Virginia Tech,Big East,11-1,1432,W 41-20 N #16 Clemson (Gator),Week 16 (Final)Jan 3[17],2000,,
471,7,<,8,Oregon,Pac-10,10-2,1299,W 35-30 N #12 Texas (Holiday),Week 16 (Final)Jan 3[17],2000,,
472,8,<,9,Nebraska,Big 12,10-2,1282,W 66-17 N #18 Northwestern (Alamo),Week 16 (Final)Jan 3[17],2000,,
473,9,<,11,Kansas State,Big 12,11-3,1258,W 35-21 N #21 Tennessee (Cotton),Week 16 (Final)Jan 3[17],2000,,
474,10,<,7,Florida,SEC,10-3,1128,L 37-20 N #2 Miami (FL) (Sugar),Week 16 (Final)Jan 3[17],2000,,
475,11,<,17,Michigan,Big Ten,9-3,1061,W 31-28 N #20 Auburn (Citrus),Week 16 (Final)Jan 3[17],2000,,
476,12,<,12,Texas,Big 12,9-3,894,L 35-30 N #8 Oregon (Holiday),Week 16 (Final)Jan 3[17],2000,,
477,13,<,14,Purdue,Big Ten,8-4,765,L 34-24 N #4 Washington (Rose),Week 16 (Final)Jan 3[17],2000,,
478,14,<,23,Colorado State,MWC,10-2,640,W 22-17 N #22 Louisville (Liberty),Week 16 (Final)Jan 3[17],2000,,
479,15,<,10,Notre Dame,Ind,9-3,611,L 41-9 N #5 Oregon State (Fiesta),Week 16 (Final)Jan 3[17],2000,,
480,16,<,16,Clemson,ACC,9-3,563,L 41-20 N #6 Virginia Tech (Gator),Week 16 (Final)Jan 3[17],2000,,
481,17,<,15,Georgia Tech,ACC,9-3,545,L 28-14 N LSU (Peach),Week 16 (Final)Jan 3[17],2000,,
482,18,<,20,Auburn,SEC,9-4,498,L 31-28 N #17 Michigan (Citrus),Week 16 (Final)Jan 3[17],2000,,
483,19,<,NR,South Carolina,SEC,8-4,486,W 24-7 N Ohio State (Outback),Week 16 (Final)Jan 3[17],2000,,
484,20,<,24,Georgia,SEC,8-4,430,W 37-14 N Virginia (Oahu Classic),Week 16 (Final)Jan 3[17],2000,,
485,21,<,13,TCU,WAC,10-2,406,L 28-21 N Southern Miss (Mobile Alabama),Week 16 (Final)Jan 3[17],2000,,
486,22,<,NR,LSU,SEC,8-4,340,,Week 16 (Final)Jan 3[17],2000,,
487,23,<,NR,Wisconsin,Big Ten,9-4,208,,Week 16 (Final)Jan 3[17],2000,,
488,24,<,NR,Mississippi State,SEC,8-4,197,,Week 16 (Final)Jan 3[17],2000,,
489,25,<,NR,Iowa State,Big 12,9-3,188,W 37-29 N Pittsburgh (Insight.com),Week 16 (Final)Jan 3[17],2000,,
490,NR,<,18,Northwestern,Big Ten,,0,L 66-17 N #9 Nebraska (Alamo),Week 16 (Final)Jan 3[17],2000,,
491,NR,<,19,Ohio State,Big Ten,,0,L 24-7 N South Carolina (Outback),Week 16 (Final)Jan 3[17],2000,,
492,NR,<,21,Tennessee,SEC,,0,L 35-21 N #11 Kansas State (Cotton),Week 16 (Final)Jan 3[17],2000,,
493,NR,<,22,Louisville,CUSA,,0,L 22-17 N #23 Colorado State (Liberty),Week 16 (Final)Jan 3[17],2000,,
494,NR,<,25,Toledo,MAC,,0,DNP,Week 16 (Final)Jan 3[17],2000,,
