,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,CFP
0,1,<,1,Georgia (60),SEC,0-0,1572,*1,DNP,PreseasonAug 14[1],2023,
1,2,<,3,Michigan (2),Big Ten,0-0,1490,2,DNP,PreseasonAug 14[1],2023,
2,3,<,4,Ohio State (1),Big Ten,0-0,1400,*4,DNP,PreseasonAug 14[1],2023,
3,4,<,5,Alabama,SEC,0-0,1398,*3,DNP,PreseasonAug 14[1],2023,
4,5,<,16,LSU,SEC,0-0,1276,5,DNP,PreseasonAug 14[1],2023,
5,6,<,12,USC,Pac-12,0-0,1245,6,DNP,PreseasonAug 14[1],2023,
6,7,<,7,Penn State,Big Ten,0-0,1177,7,DNP,PreseasonAug 14[1],2023,
7,8,<,11,Florida State,ACC,0-0,1147,8,DNP,PreseasonAug 14[1],2023,
8,9,<,13,Clemson,ACC,0-0,1032,9,DNP,PreseasonAug 14[1],2023,
9,10,<,8,Washington,Pac-12,0-0,977,11,DNP,PreseasonAug 14[1],2023,
10,11,<,25,Texas,Big 12,0-0,882,12,DNP,PreseasonAug 14[1],2023,
11,12,<,6,Tennessee,SEC,0-0,868,10,DNP,PreseasonAug 14[1],2023,
12,13,<,18,Notre Dame,Ind,0-0,863,13,DNP,PreseasonAug 14[1],2023,
13,14,<,10,Utah,Pac-12,0-0,811,14,DNP,PreseasonAug 14[1],2023,
14,15,<,15,Oregon,Pac-12,0-0,732,15,DNP,PreseasonAug 14[1],2023,
15,16,<,14,Kansas State,Big 12,0-0,501,17,DNP,PreseasonAug 14[1],2023,
16,17,<,2,TCU,Big 12,0-0,416,16,DNP,PreseasonAug 14[1],2023,
17,18,<,17,Oregon State,Pac-12,0-0,406,18,DNP,PreseasonAug 14[1],2023,
18,19,<,NR,Wisconsin,Big Ten,0-0,386,21,DNP,PreseasonAug 14[1],2023,
19,20,<,NR,Oklahoma,Big 12,0-0,296,19,DNP,PreseasonAug 14[1],2023,
