,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
0,1,<,10,Florida (20),SEC,0-0,1716,DNP,PreseasonAug 11,2001,
1,2,<,2,Miami (FL) (33),Big East,0-0,1700,DNP,PreseasonAug 11,2001,
2,3,<,1,Oklahoma (10),Big 12,0-0,1588,DNP,PreseasonAug 11,2001,
3,4,<,8,Nebraska (4),Big 12,0-0,1525,DNP,PreseasonAug 11,2001,
4,5,<,12,Texas (5),Big 12,0-0,1461,DNP,PreseasonAug 11,2001,
5,6,<,5,Florida State,ACC,0-0,1441,DNP,PreseasonAug 11,2001,
6,7,<,7,Oregon,Pac-10,0-0,1354,DNP,PreseasonAug 11,2001,
7,8,<,NR,Tennessee,SEC,0-0,1344,DNP,PreseasonAug 11,2001,
8,9,<,6,Virginia Tech,Big East,0-0,1169,DNP,PreseasonAug 11,2001,
9,10,<,17,Georgia Tech,ACC,0-0,1005,DNP,PreseasonAug 11,2001,
10,11,<,4,Oregon State,Pac-10,0-0,974,DNP,PreseasonAug 11,2001,
11,12,<,11,Michigan,Big Ten,0-0,919,DNP,PreseasonAug 11,2001,
12,13,<,9,Kansas State,Big 12,0-0,902,DNP,PreseasonAug 11,2001,
13,14,<,22,LSU,SEC,0-0,763,DNP,PreseasonAug 11,2001,
14,15,<,3,Washington,Pac-10,0-0,683,DNP,PreseasonAug 11,2001,
15,16,<,NR,Northwestern,Big Ten,0-0,667,DNP,PreseasonAug 11,2001,
16,17,<,NR,UCLA,Pac-10,0-0,639,DNP,PreseasonAug 11,2001,
17,18,<,15,Notre Dame,Ind,0-0,599,DNP,PreseasonAug 11,2001,
18,19,<,16,Clemson,ACC,0-0,569,DNP,PreseasonAug 11,2001,
19,20,<,24,Mississippi State,SEC,0-0,521,DNP,PreseasonAug 11,2001,
20,21,<,19,South Carolina,SEC,0-0,350,DNP,PreseasonAug 11,2001,
21,22,<,23,Wisconsin,Big Ten,0-0,237,DNP,PreseasonAug 11,2001,
22,23,<,NR,Ohio State,Big Ten,0-0,181,DNP,PreseasonAug 11,2001,
23,24,<,14,Colorado State,MWC,0-0,179,DNP,PreseasonAug 11,2001,
24,25,<,NR,Alabama,SEC,0-0,136,DNP,PreseasonAug 11,2001,
25,NR,<,13,Purdue,Big Ten,0-0,0,DNP,PreseasonAug 11,2001,
26,NR,<,18,Auburn,SEC,0-0,0,DNP,PreseasonAug 11,2001,
27,NR,<,20,Georgia,SEC,0-0,0,DNP,PreseasonAug 11,2001,
28,NR,<,21,TCU,CUSA,0-0,0,DNP,PreseasonAug 11,2001,
29,NR,<,25,Iowa State,Big 12,0-0,0,DNP,PreseasonAug 11,2001,
30,1,<,1,Florida (21),SEC,0-0,1723,DNP,Week 1Aug 26,2001,
31,2,<,2,Miami (FL) (33),Big East,0-0,1710,DNP,Week 1Aug 26,2001,
32,3,<,3,Oklahoma (10),Big 12,1-0,1610,W 41-27 H North Carolina,Week 1Aug 26,2001,
33,4,<,4,Nebraska (3),Big 12,1-0,1472,,Week 1Aug 26,2001,
34,5,<,5,Texas (4),Big 12,0-0,1467,DNP,Week 1Aug 26,2001,
35,6,<,6,Florida State,ACC,0-0,1452,DNP,Week 1Aug 26,2001,
36,7,<,7,Oregon (1),Pac-10,0-0,1367,DNP,Week 1Aug 26,2001,
37,8,<,8,Tennessee,SEC,0-0,1347,DNP,Week 1Aug 26,2001,
38,9,<,9,Virginia Tech,Big East,0-0,1164,DNP,Week 1Aug 26,2001,
39,10,<,11,Oregon State,Pac-10,0-0,1024,DNP,Week 1Aug 26,2001,
40,11,<,10,Georgia Tech,ACC,1-0,945,,Week 1Aug 26,2001,
41,12,<,12,Michigan,Big Ten,0-0,926,DNP,Week 1Aug 26,2001,
42,13,<,13,Kansas State,Big 12,0-0,914,DNP,Week 1Aug 26,2001,
43,14,<,14,LSU,SEC,0-0,780,DNP,Week 1Aug 26,2001,
44,15,<,15,Washington,Pac-10,0-0,679,DNP,Week 1Aug 26,2001,
45,16,<,16,Northwestern,Big Ten,0-0,660,DNP,Week 1Aug 26,2001,
46,17,<,17,UCLA,Pac-10,0-0,641,DNP,Week 1Aug 26,2001,
47,18,<,18,Notre Dame,Ind,0-0,594,DNP,Week 1Aug 26,2001,
48,19,<,19,Clemson,ACC,0-0,568,DNP,Week 1Aug 26,2001,
49,20,<,20,Mississippi State,SEC,0-0,541,DNP,Week 1Aug 26,2001,
50,21,<,21,South Carolina,SEC,0-0,367,DNP,Week 1Aug 26,2001,
51,22,<,22,Wisconsin,Big Ten,1-0,257,,Week 1Aug 26,2001,
52,23,<,23,Ohio State,Big Ten,0-0,186,DNP,Week 1Aug 26,2001,
53,24,<,24,Colorado State,MWC,0-0,170,DNP,Week 1Aug 26,2001,
54,25,<,25,Alabama,SEC,0-0,131,DNP,Week 1Aug 26,2001,
55,1,<,2,Miami (FL) (37),Big East,1-0,1737,W 33-7 A Penn State,Week 2Sep 2,2001,
56,2,<,1,Florida (19),SEC,1-0,1721,W 49-14 H Marshall,Week 2Sep 2,2001,
57,3,<,3,Oklahoma (10),Big 12,2-0,1633,W 44-3 A Air Force,Week 2Sep 2,2001,
58,4,<,5,Texas (4),Big 12,1-0,1482,,Week 2Sep 2,2001,
59,5,<,4,Nebraska (2),Big 12,2-0,1474,,Week 2Sep 2,2001,
60,6,<,6,Florida State,ACC,1-0,1458,,Week 2Sep 2,2001,
61,7,<,7,Oregon,Pac-10,1-0,1357,,Week 2Sep 2,2001,
62,8,<,8,Tennessee,SEC,1-0,1355,,Week 2Sep 2,2001,
63,9,<,9,Virginia Tech,Big East,1-0,1200,,Week 2Sep 2,2001,
64,10,<,11,Georgia Tech,ACC,2-0,988,,Week 2Sep 2,2001,
65,11,<,12,Michigan,Big Ten,1-0,963,,Week 2Sep 2,2001,
66,12,<,13,Kansas State,Big 12,0-0,943,DNP,Week 2Sep 2,2001,
67,13,<,14,LSU,SEC,1-0,861,,Week 2Sep 2,2001,
68,14,<,17,UCLA,Pac-10,1-0,809,,Week 2Sep 2,2001,
69,15,<,15,Washington,Pac-10,0-0,728,DNP,Week 2Sep 2,2001,
70,16,<,16,Northwestern,Big Ten,0-0,674,DNP,Week 2Sep 2,2001,
71,17,<,18,Notre Dame,Ind,0-0,604,DNP,Week 2Sep 2,2001,
72,18,<,20,Mississippi State,SEC,1-0,571,,Week 2Sep 2,2001,
73,19,<,NR,Fresno State,WAC,2-0,554,W 44-24 H #10 Oregon State,Week 2Sep 2,2001,
74,20,<,19,Clemson,ACC,1-0,524,,Week 2Sep 2,2001,
75,21,<,21,South Carolina,SEC,1-0,422,W 32-13 H Boise State,Week 2Sep 2,2001,
76,22,<,10,Oregon State,Pac-10,0-1,293,L 44-24 A Fresno State,Week 2Sep 2,2001,
77,23,<,22,Wisconsin,Big Ten,1-1,208,,Week 2Sep 2,2001,
78,24,<,23,Ohio State,Big Ten,0-0,189,DNP,Week 2Sep 2,2001,
79,25,<,NR,Georgia,SEC,1-0,129,,Week 2Sep 2,2001,
