,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
80,NR,<,24,Colorado State,MWC,,0,,Week 2Sep 2,2001,
81,NR,<,25,Alabama,SEC,,0,,Week 2Sep 2,2001,
82,1,<,1,Miami (FL) (40),Big East,2-0,1749,W 61-0 H Rutgers,Week 3Sep 9,2001,
83,2,<,2,Florida (14),SEC,2-0,1715,,Week 3Sep 9,2001,
84,3,<,3,Oklahoma (11),Big 12,3-0,1638,W 37-10 H North Texas,Week 3Sep 9,2001,
85,4,<,5,Nebraska (2),Big 12,3-0,1521,,Week 3Sep 9,2001,
86,5,<,4,Texas (4),Big 12,2-0,1490,,Week 3Sep 9,2001,
87,6,<,6,Florida State,ACC,2-0,1426,,Week 3Sep 9,2001,
88,7,<,7,Oregon,Pac-10,2-0,1294,,Week 3Sep 9,2001,
89,8,<,8,Tennessee,SEC,2-0,1263,,Week 3Sep 9,2001,
90,9,<,9,Virginia Tech,Big East,2-0,1227,,Week 3Sep 9,2001,
91,10,<,10,Georgia Tech,ACC,3-0,1092,,Week 3Sep 9,2001,
92,11,<,19,Fresno State (1),WAC,3-0,973,W 32-20 A Wisconsin,Week 3Sep 9,2001,
93,12,<,12,Kansas State,Big 12,1-0,970,,Week 3Sep 9,2001,
94,13,<,15,Washington,Pac-10,1-0,947,,Week 3Sep 9,2001,
95,14,<,14,UCLA,Pac-10,2-0,895,,Week 3Sep 9,2001,
96,15,<,13,LSU,SEC,2-0,856,,Week 3Sep 9,2001,
97,16,<,16,Northwestern,Big Ten,1-0,676,,Week 3Sep 9,2001,
98,17,<,18,Mississippi State,SEC,1-0,615,,Week 3Sep 9,2001,
99,18,<,21,South Carolina,SEC,2-0,580,W 14-9 A Georgia,Week 3Sep 9,2001,
100,19,<,20,Clemson,ACC,2-0,536,,Week 3Sep 9,2001,
101,20,<,11,Michigan,Big Ten,1-1,510,,Week 3Sep 9,2001,
102,21,<,24,Ohio State,Big Ten,1-0,258,,Week 3Sep 9,2001,
103,22,<,22,Oregon State,Pac-10,1-1,212,,Week 3Sep 9,2001,
104,23,<,17,Notre Dame,Ind,0-1,211,,Week 3Sep 9,2001,
105,24,<,NR,BYU,MWC,3-0,148,,Week 3Sep 9,2001,
106,25,<,NR,Louisville,CUSA,3-0,129,W 31-7 H Western Carolina,Week 3Sep 9,2001,
107,NR,<,23,Wisconsin,Big Ten,,0,,Week 3Sep 9,2001,
108,NR,<,25,Georgia,SEC,,0,,Week 3Sep 9,2001,
109,1,<,1,Miami (FL) (39),Big East,2-0,1749,DNP,Week 4Sep 23,2001,
110,2,<,2,Florida (15),SEC,3-0,1717,,Week 4Sep 23,2001,
111,3,<,3,Oklahoma (11),Big 12,3-0,1639,DNP,Week 4Sep 23,2001,
112,4,<,4,Nebraska (2),Big 12,4-0,1549,,Week 4Sep 23,2001,
113,5,<,5,Texas (4),Big 12,3-0,1519,,Week 4Sep 23,2001,
114,6,<,7,Oregon,Pac-10,3-0,1342,,Week 4Sep 23,2001,
115,7,<,8,Tennessee,SEC,2-0,1312,,Week 4Sep 23,2001,
116,8,<,9,Virginia Tech,Big East,3-0,1298,,Week 4Sep 23,2001,
117,9,<,10,Georgia Tech,ACC,3-0,1135,,Week 4Sep 23,2001,
118,10,<,11,Fresno State (1),WAC,4-0,1102,W 37-18 A Tulsa,Week 4Sep 23,2001,
119,11,<,12,Kansas State,Big 12,2-0,1080,,Week 4Sep 23,2001,
120,12,<,14,UCLA,Pac-10,3-0,1033,,Week 4Sep 23,2001,
121,13,<,13,Washington,Pac-10,2-0,1003,,Week 4Sep 23,2001,
122,14,<,15,LSU,SEC,2-0,851,,Week 4Sep 23,2001,
123,15,<,18,South Carolina,SEC,3-0,804,W 16-14 A #17 Mississippi State,Week 4Sep 23,2001,
124,16,<,16,Northwestern,Big Ten,2-0,772,,Week 4Sep 23,2001,
125,17,<,20,Michigan,Big Ten,2-1,627,,Week 4Sep 23,2001,
126,18,<,6,Florida State,ACC,2-1,589,L 41-9 A North Carolina,Week 4Sep 23,2001,
127,19,<,22,Oregon State,Pac-10,1-1,323,,Week 4Sep 23,2001,
128,20,<,24,BYU,MWC,3-0,305,,Week 4Sep 23,2001,
129,21,<,17,Mississippi State,SEC,1-1,231,,Week 4Sep 23,2001,
130,22,<,NR,Illinois,Big Ten,3-0,227,,Week 4Sep 23,2001,
131,23,<,NR,Michigan State,Big Ten,2-0,215,,Week 4Sep 23,2001,
132,24,<,NR,Purdue,Big Ten,2-0,184,,Week 4Sep 23,2001,
133,25,<,NR,Toledo,MAC,3-0,140,W 52-28 A Central Michigan,Week 4Sep 23,2001,
134,NR,<,19,Clemson,ACC,,0,,Week 4Sep 23,2001,
135,NR,<,21,Ohio State,Big Ten,,0,,Week 4Sep 23,2001,
136,NR,<,23,Notre Dame,Ind,,0,,Week 4Sep 23,2001,
137,NR,<,25,Louisville,CUSA,,0,,Week 4Sep 23,2001,
138,1,<,1,Miami (FL) (34),Big East,3-0,1744,W 43-21 A Pittsburgh,Week 5Sep 30,2001,
139,2,<,2,Florida (22),SEC,4-0,1725,,Week 5Sep 30,2001,
140,3,<,3,Oklahoma (9),Big 12,4-0,1648,W 38-37 H #11 Kansas State,Week 5Sep 30,2001,
141,4,<,4,Nebraska (2),Big 12,5-0,1546,,Week 5Sep 30,2001,
142,5,<,5,Texas (4),Big 12,4-0,1511,,Week 5Sep 30,2001,
143,6,<,7,Tennessee (7),SEC,3-0,1355,,Week 5Sep 30,2001,
144,7,<,6,Oregon,Pac-10,4-0,1310,,Week 5Sep 30,2001,
145,8,<,8,Virginia Tech,Big East,4-0,1308,,Week 5Sep 30,2001,
146,9,<,12,UCLA,Pac-10,4-0,1252,,Week 5Sep 30,2001,
147,10,<,10,Fresno State (1),WAC,5-0,1139,W 38-28 H Louisiana Tech,Week 5Sep 30,2001,
148,11,<,13,Washington,Pac-10,3-0,1006,,Week 5Sep 30,2001,
149,12,<,11,Kansas State,Big 12,2-1,997,,Week 5Sep 30,2001,
150,13,<,15,South Carolina,SEC,4-0,952,W 37-36 H Alabama,Week 5Sep 30,2001,
151,14,<,16,Northwestern,Big Ten,3-0,884,,Week 5Sep 30,2001,
152,15,<,17,Michigan,Big Ten,3-1,803,,Week 5Sep 30,2001,
153,16,<,18,Florida State,ACC,3-1,678,,Week 5Sep 30,2001,
154,17,<,9,Georgia Tech,ACC,3-1,573,,Week 5Sep 30,2001,
155,18,<,14,LSU,SEC,2-1,539,,Week 5Sep 30,2001,
156,19,<,NR,Clemson,ACC,3-1,436,,Week 5Sep 30,2001,
157,20,<,20,BYU,MWC,4-0,426,,Week 5Sep 30,2001,
158,21,<,24,Purdue,Big Ten,3-0,321,,Week 5Sep 30,2001,
159,22,<,NR,Stanford,Pac-10,3-0,215,,Week 5Sep 30,2001,
160,23,<,25,Toledo,MAC,4-0,200,W 41-20 H Northern Illinois,Week 5Sep 30,2001,
161,24,<,NR,Texas A&M,Big 12,4-0,182,,Week 5Sep 30,2001,
162,25,<,NR,Maryland,ACC,4-0,118,,Week 5Sep 30,2001,
163,NR,<,19,Oregon State,Pac-10,,0,,Week 5Sep 30,2001,
164,NR,<,21,Mississippi State,SEC,,0,,Week 5Sep 30,2001,
165,NR,<,22,Illinois,Big Ten,,0,,Week 5Sep 30,2001,
166,NR,<,23,Michigan State,Big Ten,,0,,Week 5Sep 30,2001,
167,1,<,2,Florida (30),SEC,5-0,1739,W 44-15 A #18 LSU,Week 6Oct 7,2001,
168,2,<,1,Miami (FL) (23),Big East,4-0,1719,W 38-7 H Troy,Week 6Oct 7,2001,
169,3,<,3,Oklahoma (16),Big 12,5-0,1700,W 14-3 N #5 Texas,Week 6Oct 7,2001,
170,4,<,4,Nebraska (2),Big 12,6-0,1577,,Week 6Oct 7,2001,
171,5,<,7,Oregon,Pac-10,5-0,1437,,Week 6Oct 7,2001,
172,6,<,8,Virginia Tech,Big East,5-0,1421,,Week 6Oct 7,2001,
173,7,<,9,UCLA,Pac-10,4-0,1369,,Week 6Oct 7,2001,
174,8,<,10,Fresno State (1),WAC,5-0,1240,DNP,Week 6Oct 7,2001,
175,9,<,13,South Carolina,SEC,5-0,1160,W 42-6 H Kentucky,Week 6Oct 7,2001,
176,10,<,11,Washington,Pac-10,4-0,1148,,Week 6Oct 7,2001,
177,11,<,5,Texas,Big 12,4-1,1128,,Week 6Oct 7,2001,
178,12,<,15,Michigan,Big Ten,4-1,978,,Week 6Oct 7,2001,
179,13,<,6,Tennessee,SEC,3-1,790,,Week 6Oct 7,2001,
180,14,<,16,Florida State,ACC,3-1,756,,Week 6Oct 7,2001,
181,15,<,17,Georgia Tech,ACC,4-1,670,,Week 6Oct 7,2001,
182,16,<,19,Clemson,ACC,3-1,529,,Week 6Oct 7,2001,
183,17,<,21,Purdue,Big Ten,4-0,509,,Week 6Oct 7,2001,
184,18,<,20,BYU,MWC,5-0,480,,Week 6Oct 7,2001,
185,19,<,NR,Georgia,SEC,3-1,443,,Week 6Oct 7,2001,
186,20,<,NR,Colorado,Big 12,4-1,439,W 16-6 A #12 Kansas State,Week 6Oct 7,2001,
187,21,<,NR,Ohio State,Big Ten,3-1,381,,Week 6Oct 7,2001,
188,22,<,25,Maryland,ACC,5-0,360,,Week 6Oct 7,2001,
189,23,<,22,Stanford,Pac-10,3-0,299,,Week 6Oct 7,2001,
190,24,<,12,Kansas State,Big 12,2-2,247,L 16-6 H Colorado,Week 6Oct 7,2001,
191,25,<,24,Texas A&M,Big 12,5-0,203,,Week 6Oct 7,2001,
192,NR,<,14,Northwestern,Big Ten,,0,,Week 6Oct 7,2001,
193,NR,<,18,LSU,SEC,,0,,Week 6Oct 7,2001,
194,NR,<,23,Toledo,MAC,,0,,Week 6Oct 7,2001,
195,1,<,2,Miami (FL) (48),Big East,5-0,1772,W 49-27 A #14 Florida State,Week 7Oct 14,2001,
196,2,<,3,Oklahoma (21),Big 12,6-0,1739,W 38-10 A Kansas,Week 7Oct 14,2001,
197,3,<,4,Nebraska (2),Big 12,7-0,1631,,Week 7Oct 14,2001,
198,4,<,7,UCLA (1),Pac-10,5-0,1530,,Week 7Oct 14,2001,
199,5,<,5,Oregon,Pac-10,6-0,1506,,Week 7Oct 14,2001,
200,6,<,6,Virginia Tech,Big East,6-0,1473,,Week 7Oct 14,2001,
201,7,<,1,Florida,SEC,5-1,1298,L 23-20 A Auburn,Week 7Oct 14,2001,
202,8,<,8,Fresno State,WAC,6-0,1280,W 25-22 A Colorado State,Week 7Oct 14,2001,
203,9,<,11,Texas,Big 12,5-1,1251,,Week 7Oct 14,2001,
204,10,<,12,Michigan,Big Ten,5-1,1159,,Week 7Oct 14,2001,
205,11,<,13,Tennessee,SEC,3-1,924,,Week 7Oct 14,2001,
206,12,<,22,Maryland,ACC,6-0,832,,Week 7Oct 14,2001,
207,13,<,16,Clemson,ACC,4-1,747,,Week 7Oct 14,2001,
208,14,<,20,Colorado,Big 12,5-1,744,,Week 7Oct 14,2001,
209,15,<,10,Washington,Pac-10,4-1,725,,Week 7Oct 14,2001,
210,16,<,9,South Carolina,SEC,5-1,710,L 10-7 A Arkansas,Week 7Oct 14,2001,
211,17,<,19,Georgia,SEC,4-1,669,,Week 7Oct 14,2001,
212,18,<,18,BYU,MWC,6-0,599,,Week 7Oct 14,2001,
213,19,<,NR,Washington State,Pac-10,6-0,581,W 45-39 A Stanford,Week 7Oct 14,2001,
214,20,<,NR,Auburn,SEC,5-1,568,,Week 7Oct 14,2001,
215,21,<,14,Florida State,ACC,3-2,285,,Week 7Oct 14,2001,
216,22,<,NR,Northwestern,Big Ten,4-1,238,,Week 7Oct 14,2001,
217,23,<,15,Georgia Tech,ACC,4-2,234,,Week 7Oct 14,2001,
218,24,<,17,Purdue,Big Ten,4-1,222,,Week 7Oct 14,2001,
219,25,<,NR,Toledo,MAC,5-0,183,W 48-41 A Ohio,Week 7Oct 14,2001,
220,NR,<,21,Ohio State,Big Ten,,0,,Week 7Oct 14,2001,
221,NR,<,23,Stanford,Pac-10,,0,,Week 7Oct 14,2001,
222,NR,<,24,Kansas State,Big 12,,0,,Week 7Oct 14,2001,
223,NR,<,25,Texas A&M,Big 12,,0,,Week 7Oct 14,2001,
224,1,<,1,Miami (FL) (47),Big East,5-0,1771,DNP,Week 8Oct 21,2001,4
225,2,<,2,Oklahoma (22),Big 12,7-0,1741,W 33-17 H Baylor,Week 8Oct 21,2001,1
226,3,<,3,Nebraska (2),Big 12,8-0,1626,,Week 8Oct 21,2001,2
227,4,<,4,UCLA (1),Pac-10,6-0,1602,,Week 8Oct 21,2001,3
228,5,<,6,Virginia Tech,Big East,6-0,1513,,Week 8Oct 21,2001,5
229,6,<,7,Florida,SEC,5-1,1389,,Week 8Oct 21,2001,11
230,7,<,9,Texas,Big 12,6-1,1378,,Week 8Oct 21,2001,6
231,8,<,10,Michigan,Big Ten,5-1,1246,,Week 8Oct 21,2001,7
232,9,<,11,Tennessee,SEC,4-1,1086,,Week 8Oct 21,2001,9
233,10,<,12,Maryland,ACC,7-0,1082,,Week 8Oct 21,2001,8
234,11,<,5,Oregon,Pac-10,6-1,981,,Week 8Oct 21,2001,13
235,12,<,16,South Carolina,SEC,6-1,873,W 46-14 H Vanderbilt,Week 8Oct 21,2001,15
236,13,<,15,Washington,Pac-10,5-1,847,,Week 8Oct 21,2001,12
237,14,<,19,Washington State,Pac-10,7-0,837,W 53-28 H Montana State,Week 8Oct 21,2001,10
238,15,<,17,Georgia,SEC,5-1,812,,Week 8Oct 21,2001,NR
239,16,<,18,BYU,MWC,7-0,794,,Week 8Oct 21,2001,NR
240,17,<,20,Auburn,SEC,6-1,663,,Week 8Oct 21,2001,NR
241,18,<,8,Fresno State,WAC,6-1,499,L 35-30 H Boise State,Week 8Oct 21,2001,NR
242,19,<,21,Florida State,ACC,4-2,488,,Week 8Oct 21,2001,NR
243,20,<,NR,Stanford,Pac-10,4-1,471,,Week 8Oct 21,2001,14
244,21,<,23,Georgia Tech,ACC,5-2,299,,Week 8Oct 21,2001,NR
245,22,<,NR,Illinois,Big Ten,6-1,278,,Week 8Oct 21,2001,NR
246,23,<,NR,North Carolina,ACC,5-3,236,,Week 8Oct 21,2001,NR
247,24,<,24,Purdue,Big Ten,4-1,235,,Week 8Oct 21,2001,NR
248,25,<,14,Colorado,Big 12,5-2,203,,Week 8Oct 21,2001,NR
249,NR,<,13,Clemson,ACC,,0,,Week 8Oct 21,2001,NR
250,NR,<,22,Northwestern,Big Ten,,0,,Week 8Oct 21,2001,NR
251,NR,<,25,Toledo,MAC,,0,,Week 8Oct 21,2001,NR
252,1,<,1,Miami (FL) (55),Big East,6-0,1783,W 45-3 H West Virginia,Week 9Oct 28,2001,3
253,2,<,3,Nebraska (17),Big 12,9-0,1745,,Week 9Oct 28,2001,1
254,3,<,2,Oklahoma,Big 12,7-1,1596,L 20-10 A #3 Nebraska,Week 9Oct 28,2001,2
255,4,<,6,Florida,SEC,6-1,1587,,Week 9Oct 28,2001,8
256,5,<,7,Texas,Big 12,7-1,1522,,Week 9Oct 28,2001,5
257,6,<,8,Michigan,Big Ten,6-1,1374,,Week 9Oct 28,2001,4
258,7,<,9,Tennessee,SEC,5-1,1323,,Week 9Oct 28,2001,7
259,8,<,11,Oregon,Pac-10,7-1,1218,,Week 9Oct 28,2001,10
260,9,<,4,UCLA,Pac-10,6-1,1214,,Week 9Oct 28,2001,9
261,10,<,20,Stanford,Pac-10,5-1,1074,,Week 9Oct 28,2001,6
262,11,<,13,Washington,Pac-10,6-1,1012,,Week 9Oct 28,2001,11
263,12,<,5,Virginia Tech,Big East,6-1,981,,Week 9Oct 28,2001,15
264,13,<,16,BYU,MWC,8-0,972,,Week 9Oct 28,2001,13
265,14,<,19,Florida State,ACC,5-2,822,,Week 9Oct 28,2001,NR
266,15,<,10,Maryland,ACC,7-1,659,,Week 9Oct 28,2001,NR
267,16,<,14,Washington State,Pac-10,7-1,605,L 24-17 H Oregon,Week 9Oct 28,2001,12
268,17,<,12,South Carolina,SEC,6-2,598,L 17-10 A Tennessee,Week 9Oct 28,2001,NR
269,18,<,15,Georgia,SEC,5-2,462,,Week 9Oct 28,2001,NR
270,19,<,NR,Syracuse,Big East,7-2,459,,Week 9Oct 28,2001,NR
271,20,<,24,Purdue,Big Ten,5-1,428,,Week 9Oct 28,2001,14
272,21,<,22,Illinois,Big Ten,6-1,406,,Week 9Oct 28,2001,NR
273,22,<,23,North Carolina,ACC,5-3,319,,Week 9Oct 28,2001,NR
274,23,<,21,Georgia Tech,ACC,5-2,316,,Week 9Oct 28,2001,NR
275,24,<,NR,Texas A&M,Big 12,7-1,279,,Week 9Oct 28,2001,NR
276,25,<,25,Colorado,Big 12,6-2,218,,Week 9Oct 28,2001,NR
277,NR,<,17,Auburn,SEC,,0,,Week 9Oct 28,2001,NR
278,NR,<,18,Fresno State,WAC,,0,,Week 9Oct 28,2001,NR
279,1,<,1,Miami (FL) (55),Big East,7-0,1781,W 38-0 H Temple,Week 10Nov 4,2001,2
280,2,<,2,Nebraska (17),Big 12,10-0,1745,,Week 10Nov 4,2001,1
281,3,<,3,Oklahoma,Big 12,8-1,1623,W 58-0 H Tulsa,Week 10Nov 4,2001,3
282,4,<,4,Florida,SEC,7-1,1591,,Week 10Nov 4,2001,7
283,5,<,5,Texas,Big 12,8-1,1517,,Week 10Nov 4,2001,5
284,6,<,7,Tennessee,SEC,6-1,1399,,Week 10Nov 4,2001,4
285,7,<,8,Oregon,Pac-10,8-1,1343,,Week 10Nov 4,2001,6
286,8,<,11,Washington,Pac-10,7-1,1288,,Week 10Nov 4,2001,8
287,9,<,13,BYU,MWC,9-0,1147,,Week 10Nov 4,2001,13
288,10,<,14,Florida State,ACC,6-2,1060,,Week 10Nov 4,2001,14
289,11,<,16,Washington State,Pac-10,8-1,1050,W 20-14 H UCLA,Week 10Nov 4,2001,9
290,12,<,6,Michigan,Big Ten,6-2,922,,Week 10Nov 4,2001,10
291,13,<,15,Maryland,ACC,8-1,892,,Week 10Nov 4,2001,15
292,14,<,17,South Carolina,SEC,7-2,748,W 38-14 H Wofford,Week 10Nov 4,2001,NR
293,15,<,21,Illinois,Big Ten,7-1,739,,Week 10Nov 4,2001,12
294,16,<,10,Stanford,Pac-10,5-2,731,,Week 10Nov 4,2001,11
295,17,<,9,UCLA,Pac-10,6-2,693,,Week 10Nov 4,2001,NR
296,18,<,19,Syracuse,Big East,7-2,588,,Week 10Nov 4,2001,NR
297,19,<,18,Georgia,SEC,5-2,556,,Week 10Nov 4,2001,NR
298,20,<,23,Georgia Tech,ACC,6-2,501,,Week 10Nov 4,2001,NR
299,21,<,25,Colorado,Big 12,7-2,389,,Week 10Nov 4,2001,NR
300,22,<,NR,Michigan State,Big Ten,5-2,287,,Week 10Nov 4,2001,NR
301,23,<,12,Virginia Tech,Big East,6-2,221,,Week 10Nov 4,2001,NR
302,24,<,NR,Auburn,SEC,6-2,125,,Week 10Nov 4,2001,NR
303,25,<,NR,Louisville,CUSA,8-1,121,W 52-7 A Tulane,Week 10Nov 4,2001,NR
304,NR,<,20,Purdue,Big Ten,,0,,Week 10Nov 4,2001,NR
305,NR,<,22,North Carolina,ACC,,0,,Week 10Nov 4,2001,NR
306,NR,<,24,Texas A&M,Big 12,,0,,Week 10Nov 4,2001,NR
307,1,<,1,Miami (FL) (44),Big East,8-0,1768,W 18-7 A Boston College,Week 11Nov 11,2001,2
308,2,<,2,Nebraska (28),Big 12,11-0,1756,,Week 11Nov 11,2001,1
309,3,<,3,Oklahoma,Big 12,9-1,1609,W 31-10 H Texas A&M,Week 11Nov 11,2001,3
310,4,<,4,Florida,SEC,8-1,1608,,Week 11Nov 11,2001,5
311,5,<,5,Texas,Big 12,9-1,1518,,Week 11Nov 11,2001,6
312,6,<,6,Tennessee,SEC,7-1,1407,,Week 11Nov 11,2001,7
313,7,<,7,Oregon,Pac-10,9-1,1388,,Week 11Nov 11,2001,4
314,8,<,9,BYU,MWC,10-0,1188,,Week 11Nov 11,2001,13
315,9,<,11,Washington State,Pac-10,9-1,1187,W 28-16 A Arizona State,Week 11Nov 11,2001,8
316,10,<,13,Maryland,ACC,9-1,1103,,Week 11Nov 11,2001,12
317,11,<,12,Michigan,Big Ten,7-2,1078,,Week 11Nov 11,2001,11
318,12,<,15,Illinois,Big Ten,8-1,1020,,Week 11Nov 11,2001,10
319,13,<,16,Stanford,Pac-10,6-2,917,,Week 11Nov 11,2001,9
320,14,<,18,Syracuse,Big East,8-2,843,,Week 11Nov 11,2001,15
321,15,<,21,Colorado,Big 12,8-2,748,,Week 11Nov 11,2001,14
322,16,<,8,Washington,Pac-10,7-2,722,,Week 11Nov 11,2001,NR
