,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
0,1,<,6,Oklahoma (36),Big 12,0-0,1464,*1,DNP,PreseasonAug 20,2011,
1,2,<,10,Alabama (17),SEC,0-0,1439,*2,DNP,PreseasonAug 20,2011,
2,3,<,3,Oregon (4),Pac-12,0-0,1330,*3,DNP,PreseasonAug 20,2011,
3,4,<,8,LSU (1),SEC,0-0,1286,*4,DNP,PreseasonAug 20,2011,
4,5,<,9,Boise State (2),MWC,0-0,1200,7,DNP,PreseasonAug 20,2011,
5,6,<,17,Florida State,ACC,0-0,1168,5,DNP,PreseasonAug 20,2011,
6,7,<,4,Stanford,Pac-12,0-0,1091,6,DNP,PreseasonAug 20,2011,
7,8,<,19,Texas A&M,Big 12,0-0,965,9,DNP,PreseasonAug 20,2011,
8,9,<,13,Oklahoma State,Big 12,0-0,955,8,DNP,PreseasonAug 20,2011,
9,10,<,20,Nebraska,Big Ten,0-0,910,11,DNP,PreseasonAug 20,2011,
10,11,<,7,Wisconsin,Big Ten,0-0,900,10,DNP,PreseasonAug 20,2011,
11,12,<,22,South Carolina,SEC,0-0,848,12,DNP,PreseasonAug 20,2011,
12,13,<,16,Virginia Tech,ACC,0-0,821,13,DNP,PreseasonAug 20,2011,
13,14,<,2,TCU,MWC,0-0,690,15,DNP,PreseasonAug 20,2011,
14,15,<,12,Arkansas,SEC,0-0,686,14,DNP,PreseasonAug 20,2011,
15,16,<,NR,Notre Dame,Ind,0-0,530,18,DNP,PreseasonAug 20,2011,
16,17,<,14,Michigan State,Big Ten,0-0,519,17,DNP,PreseasonAug 20,2011,
17,18,<,5,Ohio State,Big Ten,0-0,443,16,DNP,PreseasonAug 20,2011,
18,19,<,NR,Georgia,SEC,0-0,369,22,DNP,PreseasonAug 20,2011,
19,20,<,15,Mississippi State,SEC,0-0,361,20,DNP,PreseasonAug 20,2011,
20,21,<,18,Missouri,Big 12,0-0,258,21,DNP,PreseasonAug 20,2011,
