,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
0,1,<,1,Miami (FL) (27),Big East,0-0,1746,*1,DNP,PreseasonPreseason[1],2002,
1,2,<,6,Oklahoma (21),Big 12,0-0,1732,*3,DNP,PreseasonPreseason[1],2002,
2,3,<,15,Florida State (10),ACC,0-0,1683,*4,DNP,PreseasonPreseason[1],2002,
3,4,<,5,Texas (13),Big 12,0-0,1682,*2,DNP,PreseasonPreseason[1],2002,
4,5,<,4,Tennessee (3),SEC,0-0,1601,5,DNP,PreseasonPreseason[1],2002,
5,6,<,3,Florida,SEC,0-0,1313,7,DNP,PreseasonPreseason[1],2002,
6,7,<,9,Colorado,Big 12,0-0,1291,6,DNP,PreseasonPreseason[1],2002,
7,8,<,22,Georgia,SEC,0-0,1179,11,DNP,PreseasonPreseason[1],2002,
8,9,<,19,Washington,Pac-10,0-0,1133,9,DNP,PreseasonPreseason[1],2002,
9,10,<,8,Nebraska,Big 12,0-0,1131,8,DNP,PreseasonPreseason[1],2002,
10,11,<,10,Washington State,Pac-10,0-0,1096,14,DNP,PreseasonPreseason[1],2002,
11,12,<,20,Michigan,Big Ten,0-0,1061,10,DNP,PreseasonPreseason[1],2002,
12,13,<,NR,Ohio State,Big Ten,0-0,1029,12,DNP,PreseasonPreseason[1],2002,
13,14,<,7,LSU,SEC,0-0,832,13,DNP,PreseasonPreseason[1],2002,
14,15,<,2,Oregon,Pac-10,0-0,736,15,DNP,PreseasonPreseason[1],2002,
15,16,<,18,Virginia Tech,Big East,0-0,583,16,DNP,PreseasonPreseason[1],2002,
16,17,<,17,Louisville,CUSA,0-0,574,17,DNP,PreseasonPreseason[1],2002,
17,18,<,NR,Michigan State,Big Ten,0-0,468,18,DNP,PreseasonPreseason[1],2002,
18,19,<,NR,Marshall,MAC,0-0,433,21,DNP,PreseasonPreseason[1],2002,
19,20,<,NR,USC,Pac-10,0-0,420,19,DNP,PreseasonPreseason[1],2002,
20,21,<,11,Maryland,ACC,0-0,318,20,DNP,PreseasonPreseason[1],2002,
21,22,<,13,South Carolina,SEC,0-0,268,22,DNP,PreseasonPreseason[1],2002,
22,23,<,NR,Texas A&M,Big 12,0-0,247,RV,DNP,PreseasonPreseason[1],2002,
23,24,<,NR,Penn State,Big Ten,0-0,221,24,DNP,PreseasonPreseason[1],2002,
24,25,<,NR,Wisconsin,Big Ten,0-0,193,23,DNP,PreseasonPreseason[1],2002,
25,RV,<,NR,Kansas State,Big 12,0-0,171,RV,DNP,PreseasonPreseason[1],2002,
26,RV,<,NR,NC State,ACC,0-0,154,25,DNP,PreseasonPreseason[1],2002,
27,RV,<,NR,Auburn,SEC,0-0,131,RV,DNP,PreseasonPreseason[1],2002,
28,RV,<,21,Boston College,Big East,0-0,108,RV,DNP,PreseasonPreseason[1],2002,
29,RV,<,NR,Alabama,SEC,0-0,106,NR,DNP,PreseasonPreseason[1],2002,
30,RV,<,NR,UCLA,Pac-10,0-0,59,RV,DNP,PreseasonPreseason[1],2002,
31,RV,<,NR,Oregon State,Pac-10,0-0,52,RV,DNP,PreseasonPreseason[1],2002,
32,RV,<,12,Illinois,Big Ten,0-0,51,RV,DNP,PreseasonPreseason[1],2002,
33,RV,<,NR,Arkansas,SEC,0-0,50,RV,DNP,PreseasonPreseason[1],2002,
34,RV,<,24,Georgia Tech,ACC,0-0,47,RV,DNP,PreseasonPreseason[1],2002,
35,RV,<,NR,Clemson,ACC,0-0,29,RV,DNP,PreseasonPreseason[1],2002,
36,RV,<,NR,Southern Miss,CUSA,0-0,27,RV,DNP,PreseasonPreseason[1],2002,
37,RV,<,NR,Purdue,Big Ten,0-0,24,RV,DNP,PreseasonPreseason[1],2002,
38,RV,<,NR,Texas Tech,Big 12,0-0,18,RV,DNP,PreseasonPreseason[1],2002,
39,RV,<,25,BYU,MWC,0-0,10,RV,DNP,PreseasonPreseason[1],2002,
40,RV,<,NR,Utah,MWC,0-0,10,RV,DNP,PreseasonPreseason[1],2002,
41,RV,<,NR,Mississippi,SEC,0-0,9,RV,DNP,PreseasonPreseason[1],2002,
42,RV,<,NR,Colorado State,MWC,0-0,6,RV,DNP,PreseasonPreseason[1],2002,
43,RV,<,14,Syracuse,Big East,0-0,4,RV,DNP,PreseasonPreseason[1],2002,
44,RV,<,NR,Boise State,WAC,0-0,4,RV,DNP,PreseasonPreseason[1],2002,
45,RV,<,NR,Notre Dame,Ind,0-0,3,RV,DNP,PreseasonPreseason[1],2002,
46,RV,<,23,Toledo,MAC,0-0,2,RV,DNP,PreseasonPreseason[1],2002,
47,RV,<,NR,Fresno State,WAC,0-0,2,RV,DNP,PreseasonPreseason[1],2002,
48,RV,<,NR,North Carolina,ACC,0-0,2,RV,DNP,PreseasonPreseason[1],2002,
49,RV,<,NR,Middle Tennessee,Sun Belt,0-0,1,NR,DNP,PreseasonPreseason[1],2002,
50,NR,<,16,Stanford,Pac-10,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
51,NR,<,NR,Arizona,Pac-10,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
52,NR,<,NR,Hawaii,WAC,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
53,NR,<,NR,Iowa,Big Ten,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
54,NR,<,NR,Iowa State,Big 12,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
55,NR,<,NR,Louisiana Tech,WAC,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
56,NR,<,NR,Minnesota,Big Ten,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
57,NR,<,NR,Pittsburgh,Big East,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
58,NR,<,NR,UNLV,MWC,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
59,NR,<,NR,Virginia,ACC,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
60,NR,<,NR,Wake Forest,ACC,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
61,NR,<,NR,West Virginia,Big East,0-0,0,RV,DNP,PreseasonPreseason[1],2002,
62,1,<,1,Miami (FL) (27),Big East,0-0,1758,,DNP,Week 1Aug 26[2],2002,
63,1,<,2,Oklahoma (27),Big 12,0-0,1758,,DNP,Week 1Aug 26[2],2002,
64,3,<,4,Texas (13),Big 12,0-0,1689,,DNP,Week 1Aug 26[2],2002,
65,4,<,5,Tennessee (3),SEC,0-0,1616,,DNP,Week 1Aug 26[2],2002,
66,5,<,3,Florida State (4),ACC,1-0,1589,,,Week 1Aug 26[2],2002,
67,6,<,6,Florida,SEC,0-0,1327,,DNP,Week 1Aug 26[2],2002,
68,7,<,7,Colorado,Big 12,0-0,1286,,DNP,Week 1Aug 26[2],2002,
69,8,<,8,Georgia,SEC,0-0,1212,,DNP,Week 1Aug 26[2],2002,
70,9,<,10,Nebraska,Big 12,1-0,1157,,,Week 1Aug 26[2],2002,
71,10,<,13,Ohio State,Big Ten,1-0,1142,,,Week 1Aug 26[2],2002,
72,11,<,9,Washington,Pac-10,0-0,1127,,DNP,Week 1Aug 26[2],2002,
73,12,<,11,Washington State,Pac-10,0-0,1089,,DNP,Week 1Aug 26[2],2002,
74,13,<,12,Michigan,Big Ten,0-0,1042,,DNP,Week 1Aug 26[2],2002,
75,14,<,14,LSU,SEC,0-0,822,,DNP,Week 1Aug 26[2],2002,
76,15,<,15,Oregon,Pac-10,0-0,744,,DNP,Week 1Aug 26[2],2002,
77,16,<,16,Virginia Tech,Big East,1-0,642,,,Week 1Aug 26[2],2002,
78,17,<,17,Louisville,CUSA,0-0,583,,DNP,Week 1Aug 26[2],2002,
79,18,<,18,Michigan State,Big Ten,0-0,458,,DNP,Week 1Aug 26[2],2002,
80,19,<,19,Marshall,MAC,0-0,450,,DNP,Week 1Aug 26[2],2002,
81,20,<,20,USC,Pac-10,0-0,410,,DNP,Week 1Aug 26[2],2002,
82,21,<,21,Maryland,ACC,0-0,280,,DNP,Week 1Aug 26[2],2002,
83,22,<,22,South Carolina,SEC,0-0,264,,DNP,Week 1Aug 26[2],2002,
84,23,<,23,Texas A&M,Big 12,0-0,244,,DNP,Week 1Aug 26[2],2002,
85,24,<,24,Penn State,Big Ten,0-0,208,,DNP,Week 1Aug 26[2],2002,
86,25,<,NR,NC State,ACC,1-0,161,,,Week 1Aug 26[2],2002,
87,NR,<,25,Wisconsin,Big Ten,,0,,,Week 1Aug 26[2],2002,
88,1,<,1,Miami (FL) (34),Big East,1-0,1783,,W 63-17 H Florida A&M,Week 2Sep 2[3],2002,
89,2,<,1,Oklahoma (21),Big 12,1-0,1744,,W 37-0 A Tulsa,Week 2Sep 2[3],2002,
90,3,<,3,Texas (10),Big 12,1-0,1664,,,Week 2Sep 2[3],2002,
91,4,<,4,Tennessee (5),SEC,1-0,1638,,,Week 2Sep 2[3],2002,
92,5,<,5,Florida State (4),ACC,2-0,1609,,,Week 2Sep 2[3],2002,
93,6,<,6,Florida,SEC,1-0,1444,,,Week 2Sep 2[3],2002,
94,7,<,13,Michigan,Big Ten,1-0,1245,,,Week 2Sep 2[3],2002,
95,8,<,10,Ohio State,Big Ten,1-0,1233,,,Week 2Sep 2[3],2002,
96,9,<,9,Nebraska,Big 12,2-0,1189,,,Week 2Sep 2[3],2002,
97,10,<,8,Georgia,SEC,1-0,1176,,,Week 2Sep 2[3],2002,
98,11,<,12,Washington State,Pac-10,1-0,1112,,W 31-7 N Nevada,Week 2Sep 2[3],2002,
99,12,<,16,Virginia Tech,Big East,2-0,1072,,,Week 2Sep 2[3],2002,
