,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,1,USC (55),Pac-8,0-0,1238.0,DNP,PreseasonAug[1],1973
1,2,<,9,Ohio State (2),Big Ten,0-0,896.0,DNP,PreseasonAug[1],1973
2,3,<,3,Texas (1),Southwest,0-0,785.0,DNP,PreseasonAug[1],1973
3,4,<,4,Nebraska (2),Big 8,0-0,769.0,DNP,PreseasonAug[1],1973
4,5,<,6,Michigan (2),Big Ten,0-0,712.0,DNP,PreseasonAug[1],1973
5,6,<,7,Alabama,SEC,0-0,673.0,DNP,PreseasonAug[1],1973
6,7,<,10,Penn State (1),Ind,0-0,558.0,DNP,PreseasonAug[1],1973
7,8,<,14,Notre Dame,Ind,0-0,534.0,DNP,PreseasonAug[1],1973
8,9,<,8,Tennessee,SEC,0-0,449.0,DNP,PreseasonAug[1],1973
9,10,<,15,UCLA,Pac-8,0-0,427.0,DNP,PreseasonAug[1],1973
10,11,<,2,Oklahoma,Big 8,0-0,265.0,DNP,PreseasonAug[1],1973
11,11,<,16,Colorado,Big 8,0-0,265.0,DNP,PreseasonAug[1],1973
12,13,<,5,Auburn,SEC,0-0,224.0,DNP,PreseasonAug[1],1973
13,14,<,13,Arizona State,WAC,0-0,220.0,DNP,PreseasonAug[1],1973
14,15,<,NR,Florida,SEC,0-0,102.0,DNP,PreseasonAug[1],1973
15,16,<,11,LSU,SEC,0-0,89.0,DNP,PreseasonAug[1],1973
16,17,<,17,NC State,ACC,0-0,62.0,DNP,PreseasonAug[1],1973
17,18,<,NR,Houston,Ind,0-0,54.0,DNP,PreseasonAug[1],1973
18,19,<,12,North Carolina,ACC,0-0,40.0,DNP,PreseasonAug[1],1973
19,20,<,NR,Texas Tech,Southwest,0-0,23.0,DNP,PreseasonAug[1],1973
20,NR,<,18,Louisville,MVC,0-0,0.0,DNP,PreseasonAug[1],1973
21,NR,<,19,Washington State,Pac-8,0-0,0.0,DNP,PreseasonAug[1],1973
22,NR,<,20,Georgia Tech,Ind,0-0,0.0,DNP,PreseasonAug[1],1973
23,1,<,1,USC (49),Pac-8,0-0,1168.0,DNP,Week 1Sep 10[2],1973
24,2,<,4,Nebraska (8),Big 8,1-0,1121.0,,Week 1Sep 10[2],1973
25,3,<,2,Ohio State (2),Big Ten,0-0,838.0,DNP,Week 1Sep 10[2],1973
26,4,<,3,Texas,Southwest,0-0,819.0,DNP,Week 1Sep 10[2],1973
27,5,<,5,Michigan (1),Big Ten,0-0,683.0,DNP,Week 1Sep 10[2],1973
28,6,<,6,Alabama,SEC,0-0,616.0,DNP,Week 1Sep 10[2],1973
29,7,<,7,Penn State (1),Ind,0-0,571.0,DNP,Week 1Sep 10[2],1973
30,8,<,8,Notre Dame,Ind,0-0,436.0,DNP,Week 1Sep 10[2],1973
31,9,<,9,Tennessee,SEC,0-0,433.0,DNP,Week 1Sep 10[2],1973
32,10,<,11,Colorado,Big 8,0-0,294.0,DNP,Week 1Sep 10[2],1973
33,11,<,11,Oklahoma,Big 8,0-0,248.0,DNP,Week 1Sep 10[2],1973
34,12,<,13,Auburn,SEC,0-0,237.0,DNP,Week 1Sep 10[2],1973
35,13,<,14,Arizona State,WAC,0-0,228.0,DNP,Week 1Sep 10[2],1973
36,14,<,15,Florida,SEC,0-0,133.0,DNP,Week 1Sep 10[2],1973
37,15,<,16,LSU,SEC,0-0,85.0,DNP,Week 1Sep 10[2],1973
38,16,<,10,UCLA,Pac-8,0-1,84.0,,Week 1Sep 10[2],1973
39,17,<,17,NC State,ACC,2-0,81.0,,Week 1Sep 10[2],1973
40,18,<,18,Houston,Ind,0-0,68.0,DNP,Week 1Sep 10[2],1973
41,19,<,19,North Carolina,ACC,0-0,26.0,DNP,Week 1Sep 10[2],1973
42,20,<,20,Texas Tech,Southwest,0-0,25.0,DNP,Week 1Sep 10[2],1973
43,1,<,1,USC (38),Pac-8,1-0,1106.0,W 17-0 H Arkansas,Week 2Sep 17[3],1973
44,2,<,2,Nebraska (8),Big 8,1-0,995.0,,Week 2Sep 17[3],1973
45,3,<,3,Ohio State (11),Big Ten,1-0,944.0,,Week 2Sep 17[3],1973
46,4,<,6,Alabama (2),SEC,1-0,809.0,,Week 2Sep 17[3],1973
47,5,<,5,Michigan,Big Ten,1-0,666.0,,Week 2Sep 17[3],1973
48,6,<,4,Texas,Southwest,0-0,615.0,DNP,Week 2Sep 17[3],1973
49,7,<,7,Penn State (1),Ind,1-0,588.0,,Week 2Sep 17[3],1973
50,8,<,8,Notre Dame,Ind,0-0,389.0,DNP,Week 2Sep 17[3],1973
51,9,<,11,Oklahoma,Big 8,1-0,384.0,W 42-14 A Baylor,Week 2Sep 17[3],1973
52,10,<,9,Tennessee,SEC,1-0,319.0,,Week 2Sep 17[3],1973
53,11,<,15,LSU,SEC,1-0,314.0,,Week 2Sep 17[3],1973
54,12,<,12,Auburn,SEC,1-0,247.0,,Week 2Sep 17[3],1973
55,13,<,13,Arizona State,WAC,1-0,152.0,,Week 2Sep 17[3],1973
56,14,<,17,NC State,ACC,2-0,129.0,,Week 2Sep 17[3],1973
57,15,<,14,Florida,SEC,1-0,107.0,,Week 2Sep 17[3],1973
58,16,<,18,Houston,Ind,1-0,86.0,,Week 2Sep 17[3],1973
59,17,<,NR,Oklahoma State,Big 8,1-0,35.0,W 56-7 H Texas-Arlington,Week 2Sep 17[3],1973
60,18,<,16,UCLA,Pac-8,0-1,27.0,,Week 2Sep 17[3],1973
61,19,<,10,Colorado,Big 8,0-1,22.0,,Week 2Sep 17[3],1973
62,20,<,NR,Bowling Green,MAC,1-0,19.0,W 41-14 A Syracuse,Week 2Sep 17[3],1973
63,20,<,NR,Missouri,Big 8,1-0,19.0,,Week 2Sep 17[3],1973
64,NR,<,19,North Carolina,ACC,,0.0,,Week 2Sep 17[3],1973
65,NR,<,20,Texas Tech,Southwest,,0.0,,Week 2Sep 17[3],1973
66,1,<,1,USC (36),Pac-8,2-0,1120.0,W 23-6 A Georgia Tech,Week 3Sep 24[4],1973
67,2,<,2,Nebraska (12),Big 8,2-0,1022.0,,Week 3Sep 24[4],1973
68,3,<,3,Ohio State (8),Big Ten,1-0,955.0,,Week 3Sep 24[4],1973
69,4,<,5,Michigan (1),Big Ten,2-0,844.0,,Week 3Sep 24[4],1973
70,5,<,4,Alabama (1),SEC,2-0,766.0,,Week 3Sep 24[4],1973
71,6,<,7,Penn State (2),Ind,2-0,654.0,,Week 3Sep 24[4],1973
72,7,<,8,Notre Dame,Ind,1-0,585.0,,Week 3Sep 24[4],1973
73,8,<,9,Oklahoma (1),Big 8,1-0,422.0,DNP,Week 3Sep 24[4],1973
74,9,<,10,Tennessee,SEC,2-0,354.0,,Week 3Sep 24[4],1973
75,10,<,11,LSU,SEC,2-0,281.0,,Week 3Sep 24[4],1973
76,11,<,12,Auburn,SEC,2-0,239.0,,Week 3Sep 24[4],1973
77,12,<,17,Oklahoma State,Big 8,2-0,197.0,W 38-6 A Arkansas,Week 3Sep 24[4],1973
78,13,<,13,Arizona State,WAC,2-0,166.0,,Week 3Sep 24[4],1973
79,14,<,6,Texas,Southwest,0-1,148.0,,Week 3Sep 24[4],1973
80,15,<,16,Houston,Ind,2-0,92.0,,Week 3Sep 24[4],1973
81,16,<,15,Florida,SEC,2-0,66.0,,Week 3Sep 24[4],1973
82,17,<,18,UCLA,Pac-8,1-1,60.0,,Week 3Sep 24[4],1973
83,18,<,NR,Miami (FL),Ind,1-0,59.0,,Week 3Sep 24[4],1973
84,19,<,14,NC State,ACC,2-1,53.0,,Week 3Sep 24[4],1973
85,20,<,20,Missouri,Big 8,2-0,36.0,,Week 3Sep 24[4],1973
86,NR,<,19,Colorado,Big 8,,0.0,,Week 3Sep 24[4],1973
87,NR,<,20,Bowling Green,MAC,,0.0,,Week 3Sep 24[4],1973
88,1,<,3,Ohio State (35),Big Ten,2-0,1118.0,W 37-3 H TCU,Week 4Oct 1[5],1973
89,2,<,2,Nebraska (10),Big 8,3-0,897.0,,Week 4Oct 1[5],1973
90,3,<,5,Alabama (6),SEC,3-0,837.0,,Week 4Oct 1[5],1973
91,4,<,1,USC (3.5),Pac-8,2-0-1,833.5,T 7-7 H #8 Oklahoma,Week 4Oct 1[5],1973
92,5,<,4,Michigan (2),Big Ten,3-0,741.0,,Week 4Oct 1[5],1973
93,6,<,8,Oklahoma (1.5),Big 8,1-0-1,720.5,T 7-7 A #1 USC,Week 4Oct 1[5],1973
94,7,<,6,Penn State (3),Ind,3-0,658.0,,Week 4Oct 1[5],1973
95,8,<,7,Notre Dame,Ind,2-0,512.0,,Week 4Oct 1[5],1973
96,9,<,9,Tennessee,SEC,3-0,475.0,,Week 4Oct 1[5],1973
97,10,<,10,LSU,SEC,3-0,328.0,,Week 4Oct 1[5],1973
