,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
59,17,<,20,Indiana,Big Ten,4-1,44.0,W 14-7 A Northwestern,Week 3Oct 23[3],1944
60,18,<,NR,Wake Forest,Southern,5-0,38.0,W 21-7 A NC State,Week 3Oct 23[3],1944
61,19,<,17,Tennessee,SEC,3-0-1,23.0,,Week 3Oct 23[3],1944
62,19,<,NR,3rd Air Force,Ind,4-0,23.0,,Week 3Oct 23[3],1944
63,19,<,NR,Mississippi State,SEC,4-0,23.0,,Week 3Oct 23[3],1944
64,NR,<,12,California,PCC,,0.0,,Week 3Oct 23[3],1944
65,NR,<,15,Michigan,Big Ten,,0.0,,Week 3Oct 23[3],1944
66,NR,<,15,USC,PCC,,0.0,,Week 3Oct 23[3],1944
67,1,<,2,Army (41),Ind,5-0,898.0,W 27-7 H Duke,Week 4Oct 30[4],1944
68,2,<,1,Notre Dame (15),Ind,5-0,798.0,W 13-7 A #14 Illinois,Week 4Oct 30[4],1944
69,3,<,4,Ohio State (17),Big Ten,5-0,772.0,,Week 4Oct 30[4],1944
70,4,<,3,Randolph Field (18),Ind,5-0,716.0,,Week 4Oct 30[4],1944
71,5,<,5,Georgia Tech (1),SEC,5-0,532.0,,Week 4Oct 30[4],1944
72,6,<,12,Navy (1),Ind,3-2,383.0,,Week 4Oct 30[4],1944
73,7,<,6,Iowa Pre-Flight,Ind,6-1,315.0,,Week 4Oct 30[4],1944
74,8,<,9,North Carolina Pre-Flight,Ind,5-0-1,174.0,,Week 4Oct 30[4],1944
75,9,<,14,Illinois,Big Ten,4-2-1,168.0,,Week 4Oct 30[4],1944
76,10,<,NR,Michigan,Big Ten,5-1,167.0,,Week 4Oct 30[4],1944
77,11,<,11,March Field/4th AF (6),Ind,4-0-1,149.0,,Week 4Oct 30[4],1944
78,12,<,13,Bainbridge Naval (2),Ind,5-0,105.0,,Week 4Oct 30[4],1944
79,13,<,NR,USC,PCC,4-0-2,100.0,,Week 4Oct 30[4],1944
80,14,<,16,Great Lakes Naval,Ind,4-1,80.0,,Week 4Oct 30[4],1944
81,15,<,17,Indiana,Big Ten,5-1,56.0,W 32-0 H Iowa,Week 4Oct 30[4],1944
82,16,<,19,Tennessee,SEC,4-0-1,45.0,,Week 4Oct 30[4],1944
83,17,<,18,Wake Forest,Southern,6-0,40.0,W 27-0 A Miami (FL),Week 4Oct 30[4],1944
84,18,<,19,Mississippi State,SEC,4-0,32.0,,Week 4Oct 30[4],1944
85,19,<,NR,Alabama,SEC,3-0-2,28.0,,Week 4Oct 30[4],1944
86,19,<,NR,Oklahoma State,MVC,5-0,28.0,W 46-40 A Tulsa,Week 4Oct 30[4],1944
87,NR,<,7,Penn,Ind,,0.0,,Week 4Oct 30[4],1944
88,NR,<,7,Tulsa,MVC,,0.0,,Week 4Oct 30[4],1944
89,NR,<,10,Purdue,Big Ten,,0.0,,Week 4Oct 30[4],1944
90,NR,<,15,2nd Air Force,Ind,,0.0,,Week 4Oct 30[4],1944
91,NR,<,19,3rd Air Force,Ind,,0.0,,Week 4Oct 30[4],1944
92,1,<,1,Army (58),Ind,6-0,974.0,W 83-0 H Villanova,Week 5Nov 6[5],1944
93,2,<,3,Ohio State (18),Big Ten,6-0,812.0,,Week 5Nov 6[5],1944
94,3,<,6,Navy (1),Ind,4-2,706.0,,Week 5Nov 6[5],1944
95,4,<,4,Randolph Field (18),Ind,6-0,675.0,,Week 5Nov 6[5],1944
96,5,<,2,Notre Dame,Ind,5-1,430.0,,Week 5Nov 6[5],1944
97,6,<,12,Bainbridge Naval (6),Ind,6-0,349.0,,Week 5Nov 6[5],1944
98,7,<,7,Iowa Pre-Flight,Ind,7-1,347.0,,Week 5Nov 6[5],1944
99,8,<,10,Michigan,Big Ten,6-1,342.0,,Week 5Nov 6[5],1944
100,9,<,11,March Field/4th AF (3),Ind,5-0-1,163.0,,Week 5Nov 6[5],1944
101,10,<,9,Illinois,Big Ten,4-2-1,149.0,,Week 5Nov 6[5],1944
102,11,<,13,USC,PCC,5-0-2,138.0,,Week 5Nov 6[5],1944
103,12,<,17,Wake Forest (1),Southern,7-0,114.0,W 13-7 H Clemson,Week 5Nov 6[5],1944
104,13,<,5,Georgia Tech,SEC,5-1,96.0,,Week 5Nov 6[5],1944
105,14,<,14,Great Lakes Naval,Ind,5-1,94.0,,Week 5Nov 6[5],1944
106,15,<,NR,Norman Pre-Flight,Ind,5-0,65.0,,Week 5Nov 6[5],1944
107,16,<,8,North Carolina Pre-Flight,Ind,5-1-1,59.0,,Week 5Nov 6[5],1944
108,17,<,NR,El Toro Marines,Ind,4-1,53.0,,Week 5Nov 6[5],1944
109,18,<,16,Tennessee,SEC,5-0-1,47.0,,Week 5Nov 6[5],1944
110,19,<,18,Mississippi State,SEC,5-0,41.0,,Week 5Nov 6[5],1944
111,20,<,NR,Duke,Southern,2-4,35.0,,Week 5Nov 6[5],1944
112,NR,<,15,Indiana,Big Ten,,0.0,,Week 5Nov 6[5],1944
113,NR,<,19,Alabama,SEC,,0.0,,Week 5Nov 6[5],1944
114,NR,<,19,Oklahoma State,MVC,5-1,0.0,L 15-0 H Norman NAS (OK),Week 5Nov 6[5],1944
115,1,<,1,Army (77),Ind,7-0,935.0,W 59-0 N #5 Notre Dame,Week 6Nov 13[6],1944
116,2,<,4,Randolph Field (15),Ind,7-0,770.0,,Week 6Nov 13[6],1944
117,3,<,3,Navy (5),Ind,5-2,759.0,,Week 6Nov 13[6],1944
118,4,<,2,Ohio State (3),Big Ten,7-0,741.0,,Week 6Nov 13[6],1944
119,5,<,8,Michigan,Big Ten,7-1,458.0,,Week 6Nov 13[6],1944
120,6,<,6,Bainbridge Naval (4),Ind,7-0,454.0,,Week 6Nov 13[6],1944
121,7,<,7,Iowa Pre-Flight,Ind,8-1,344.0,,Week 6Nov 13[6],1944
122,8,<,9,March Field/4th AF (2),Ind,6-0-1,195.0,,Week 6Nov 13[6],1944
123,9,<,13,Georgia Tech,SEC,6-1,165.0,,Week 6Nov 13[6],1944
124,10,<,20,Duke,Southern,3-4,108.0,,Week 6Nov 13[6],1944
125,11,<,5,Notre Dame,Ind,5-2,92.0,,Week 6Nov 13[6],1944
126,12,<,11,USC,PCC,5-0-2,87.0,,Week 6Nov 13[6],1944
127,13,<,14,Great Lakes Naval,Ind,6-1,84.0,,Week 6Nov 13[6],1944
128,14,<,NR,Purdue,Big Ten,5-3,71.0,,Week 6Nov 13[6],1944
129,15,<,17,El Toro Marines,Ind,5-1,48.0,,Week 6Nov 13[6],1944
130,16,<,19,Mississippi State,SEC,6-0,45.0,,Week 6Nov 13[6],1944
131,17,<,18,Tennessee,SEC,5-0-1,34.0,,Week 6Nov 13[6],1944
132,18,<,15,Norman Pre-Flight,Ind,6-0,33.0,,Week 6Nov 13[6],1944
133,18,<,16,North Carolina Pre-Flight,Ind,6-1-1,33.0,,Week 6Nov 13[6],1944
134,20,<,NR,Yale,Ind,6-0,23.0,W 13-0 H Brown,Week 6Nov 13[6],1944
135,NR,<,10,Illinois,Big Ten,,0.0,,Week 6Nov 13[6],1944
136,NR,<,12,Wake Forest,Southern,,0.0,,Week 6Nov 13[6],1944
137,1,<,1,Army (65.33),Ind,8-0,889.0,W 62-7 A Penn,Week 7Nov 20[7],1944
138,2,<,3,Navy (5),Ind,6-2,761.0,,Week 7Nov 20[7],1944
139,3,<,4,Ohio State (5),Big Ten,8-0,726.0,,Week 7Nov 20[7],1944
140,4,<,2,Randolph Field (11.33),Ind,8-0,690.0,,Week 7Nov 20[7],1944
141,5,<,6,Bainbridge Naval (4.33),Ind,8-0,412.0,,Week 7Nov 20[7],1944
142,6,<,5,Michigan,Big Ten,8-1,392.0,,Week 7Nov 20[7],1944
143,7,<,7,Iowa Pre-Flight (2),Ind,9-1,316.0,,Week 7Nov 20[7],1944
144,8,<,12,USC (1),PCC,6-0-2,242.0,,Week 7Nov 20[7],1944
145,9,<,8,March Field/4th AF (3),Ind,7-0-1,184.0,,Week 7Nov 20[7],1944
146,10,<,9,Georgia Tech,SEC,7-1,141.0,,Week 7Nov 20[7],1944
147,11,<,10,Duke (1),Southern,4-4,124.0,,Week 7Nov 20[7],1944
148,12,<,13,Great Lakes Naval,Ind,7-1,79.0,,Week 7Nov 20[7],1944
149,13,<,NR,Alabama,SEC,4-1-2,71.0,,Week 7Nov 20[7],1944
150,14,<,NR,Camp Peary,Ind,6-1,63.0,,Week 7Nov 20[7],1944
151,15,<,17,Tennessee,SEC,6-0-1,62.0,,Week 7Nov 20[7],1944
152,16,<,15,El Toro Marines,Ind,6-1,53.0,,Week 7Nov 20[7],1944
153,17,<,18,Norman Pre-Flight,Ind,6-0,45.0,,Week 7Nov 20[7],1944
154,18,<,11,Notre Dame,Ind,6-2,40.0,,Week 7Nov 20[7],1944
155,19,<,NR,2nd Air Force,Ind,8-2,31.0,,Week 7Nov 20[7],1944
156,20,<,18,North Carolina Pre-Flight,Ind,6-2-1,22.0,,Week 7Nov 20[7],1944
157,NR,<,14,Purdue,Big Ten,,0.0,,Week 7Nov 20[7],1944
