,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,,Cornell (90),Ind,2-0,1396.0,W 45-0 A Army,Week 1Oct 14[1],1940
1,2,<,,Texas A&M (25),Southwest,3-0,1015.0,,Week 1Oct 14[1],1940
2,3,<,,Michigan (26),Big Ten,3-0,1004.0,,Week 1Oct 14[1],1940
3,4,<,,Northwestern (1),Big Ten,2-0,898.0,,Week 1Oct 14[1],1940
4,5,<,,Tennessee (7),SEC,3-0,772.0,,Week 1Oct 14[1],1940
5,6,<,,Notre Dame (5),Ind,2-0,753.0,,Week 1Oct 14[1],1940
6,7,<,,Minnesota (2),Big Ten,2-0,630.0,DNP,Week 1Oct 14[1],1940
7,8,<,,Boston College,Ind,3-0,449.0,,Week 1Oct 14[1],1940
8,9,<,,Penn,Ind,2-0,354.0,,Week 1Oct 14[1],1940
9,10,<,,Stanford,PCC,3-0,267.0,,Week 1Oct 14[1],1940
10,11,<,,Fordham,Ind,2-0,195.0,W 20-7 H Tulane,Week 1Oct 14[1],1940
11,12,<,,Clemson,Southern,4-0,160.0,,Week 1Oct 14[1],1940
12,13,<,,Mississippi,SEC,4-0,134.0,,Week 1Oct 14[1],1940
13,14,<,,Texas,Southwest,3-0,99.0,,Week 1Oct 14[1],1940
14,15,<,,Ohio State,Big Ten,2-1,92.0,,Week 1Oct 14[1],1940
15,16,<,,Washington,PCC,2-1,72.0,,Week 1Oct 14[1],1940
16,17,<,,USC,PCC,1-0-2,34.0,,Week 1Oct 14[1],1940
17,18,<,,Oregon State,PCC,2-0-1,32.0,,Week 1Oct 14[1],1940
18,19,<,,Washington State,PCC,2-0-1,23.0,W 9-6 A California,Week 1Oct 14[1],1940
19,20,<,,Iowa,Big Ten,2-0,22.0,,Week 1Oct 14[1],1940
20,1,<,1,Cornell (83),Ind,3-0,1473.0,W 33-6 H Syracuse,Week 2Oct 21[2],1940
21,2,<,6,Notre Dame (30),Ind,3-0,1152.0,,Week 2Oct 21[2],1940
22,3,<,3,Michigan (18),Big Ten,4-0,1040.0,,Week 2Oct 21[2],1940
23,4,<,2,Texas A&M (15),Southwest,4-0,1037.0,,Week 2Oct 21[2],1940
24,5,<,5,Tennessee (6),SEC,4-0,880.0,,Week 2Oct 21[2],1940
25,6,<,7,Minnesota (8),Big Ten,3-0,817.0,W 13-7 A #15 Ohio State,Week 2Oct 21[2],1940
26,7,<,4,Northwestern,Big Ten,3-0,592.0,,Week 2Oct 21[2],1940
27,8,<,9,Penn,Ind,3-0,539.0,,Week 2Oct 21[2],1940
28,9,<,10,Stanford,PCC,4-0,350.0,,Week 2Oct 21[2],1940
29,10,<,8,Boston College,Ind,4-0,334.0,,Week 2Oct 21[2],1940
30,11,<,11,Fordham,Ind,3-0,304.0,W 24-12 A Pittsburgh,Week 2Oct 21[2],1940
31,12,<,14,Texas,Southwest,4-0,107.0,,Week 2Oct 21[2],1940
32,13,<,12,Clemson (1),Southern,4-0,86.0,,Week 2Oct 21[2],1940
33,14,<,13,Mississippi (1),SEC,5-0,80.0,,Week 2Oct 21[2],1940
34,15,<,NR,Georgetown,Ind,4-0,38.0,W 46-4 H Virginia Tech,Week 2Oct 21[2],1940
35,16,<,16,Washington,PCC,3-1,28.0,,Week 2Oct 21[2],1940
36,17,<,17,USC,PCC,2-0-2,13.0,,Week 2Oct 21[2],1940
37,18,<,NR,Nebraska,Big 6,2-1,12.0,,Week 2Oct 21[2],1940
38,19,<,NR,SMU,Southwest,3-0-1,11.0,,Week 2Oct 21[2],1940
39,20,<,NR,Columbia,Ind,3-0,8.0,W 19-13 H Georgia,Week 2Oct 21[2],1940
40,NR,<,15,Ohio State,Big Ten,,0.0,,Week 2Oct 21[2],1940
41,NR,<,18,Oregon State,PCC,,0.0,,Week 2Oct 21[2],1940
42,NR,<,19,Washington State,PCC,,0.0,,Week 2Oct 21[2],1940
43,NR,<,20,Iowa,Big Ten,,0.0,,Week 2Oct 21[2],1940
44,1,<,1,Cornell (81.5),Ind,4-0,1461.5,W 21-7 H Ohio State,Week 3Oct 28[3],1940
45,2,<,2,Notre Dame (40.5),Ind,4-0,1315.5,,Week 3Oct 28[3],1940
46,3,<,3,Michigan (16),Big Ten,5-0,1208.0,,Week 3Oct 28[3],1940
47,4,<,6,Minnesota (13),Big Ten,4-0,1044.0,W 34-6 H Iowa,Week 3Oct 28[3],1940
48,5,<,4,Texas A&M (9),Southwest,5-0,970.0,,Week 3Oct 28[3],1940
49,6,<,9,Stanford,PCC,5-0,738.0,,Week 3Oct 28[3],1940
50,7,<,5,Tennessee,SEC,5-0,665.0,,Week 3Oct 28[3],1940
51,8,<,7,Northwestern (1),Big Ten,4-0,639.0,,Week 3Oct 28[3],1940
52,9,<,10,Boston College (2),Ind,5-0,401.0,,Week 3Oct 28[3],1940
53,10,<,13,Clemson (2),Southern,5-0,132.0,,Week 3Oct 28[3],1940
54,10,<,15,Georgetown (2),Ind,5-0,132.0,W 26-0 A New York,Week 3Oct 28[3],1940
55,12,<,18,Nebraska,Big 6,3-1,42.0,,Week 3Oct 28[3],1940
56,13,<,16,Washington,PCC,4-1,35.0,,Week 3Oct 28[3],1940
57,14,<,NR,Navy,Ind,5-0,23.0,,Week 3Oct 28[3],1940
58,15,<,8,Penn,Ind,3-1,17.0,,Week 3Oct 28[3],1940
59,15,<,19,SMU,Southwest,3-0-1,17.0,,Week 3Oct 28[3],1940
60,17,<,NR,Detroit,Ind,5-0,11.0,W 10-0 A Villanova,Week 3Oct 28[3],1940
61,18,<,NR,Duke,Southern,3-1,10.0,,Week 3Oct 28[3],1940
62,18,<,NR,Penn State,Ind,4-0,10.0,,Week 3Oct 28[3],1940
63,20,<,NR,Mississippi State,SEC,4-0-1,9.0,,Week 3Oct 28[3],1940
64,20,<,NR,Santa Clara,Ind,2-1-1,9.0,,Week 3Oct 28[3],1940
65,NR,<,11,Fordham,Ind,,0.0,,Week 3Oct 28[3],1940
66,NR,<,12,Texas,Southwest,,0.0,,Week 3Oct 28[3],1940
67,NR,<,14,Mississippi,SEC,,0.0,,Week 3Oct 28[3],1940
68,NR,<,17,USC,PCC,,0.0,,Week 3Oct 28[3],1940
69,NR,<,20,Columbia,Ind,,0.0,,Week 3Oct 28[3],1940
70,1,<,1,Cornell (119),Ind,5-0,1560.0,W 27-0 H Columbia,Week 4Nov 4[4],1940
71,2,<,4,Minnesota (18),Big Ten,5-0,1420.0,W 13-12 A #8 Northwestern,Week 4Nov 4[4],1940
72,3,<,3,Michigan (11),Big Ten,5-0,1258.0,,Week 4Nov 4[4],1940
73,4,<,5,Texas A&M (14),Southwest,6-0,1185.0,,Week 4Nov 4[4],1940
74,5,<,7,Tennessee (11),SEC,6-0,929.0,,Week 4Nov 4[4],1940
75,6,<,6,Stanford (3),PCC,6-0,906.0,,Week 4Nov 4[4],1940
76,7,<,2,Notre Dame,Ind,5-0,769.0,,Week 4Nov 4[4],1940
77,8,<,9,Boston College (2),Ind,6-0,527.0,,Week 4Nov 4[4],1940
78,9,<,10,Georgetown,Ind,6-0,347.0,W 28-6 A Syracuse,Week 4Nov 4[4],1940
79,10,<,8,Northwestern,Big Ten,4-1,316.0,,Week 4Nov 4[4],1940
80,11,<,13,Washington,PCC,4-1,87.0,,Week 4Nov 4[4],1940
81,12,<,12,Nebraska,Big 6,4-1,84.0,,Week 4Nov 4[4],1940
82,12,<,18,Duke,Southern,4-1,84.0,,Week 4Nov 4[4],1940
83,14,<,15,SMU,Southwest,4-0-1,58.0,,Week 4Nov 4[4],1940
84,15,<,15,Penn,Ind,4-1,23.0,,Week 4Nov 4[4],1940
85,16,<,18,Penn State,Ind,5-0,17.0,,Week 4Nov 4[4],1940
86,17,<,NR,Fordham,Ind,4-1,16.0,W 14-0 H North Carolina,Week 4Nov 4[4],1940
87,18,<,NR,Lafayette,MID3,6-0,10.0,W 25-0 H Washington & Jefferson,Week 4Nov 4[4],1940
88,19,<,20,Mississippi State,SEC,5-0-1,9.0,,Week 4Nov 4[4],1940
89,19,<,20,Santa Clara,Ind,3-1-1,9.0,,Week 4Nov 4[4],1940
90,NR,<,10,Clemson,Southern,,0.0,,Week 4Nov 4[4],1940
91,NR,<,14,Navy,Ind,,0.0,,Week 4Nov 4[4],1940
92,NR,<,17,Detroit,Ind,,0.0,,Week 4Nov 4[4],1940
93,1,<,2,Minnesota (55.33),Big Ten,6-0,1314.0,W 7-6 H #3 Michigan,Week 5Nov 11[5],1940
94,2,<,1,Cornell (45.33),Ind,6-0,1260.0,W 21-0 A Yale,Week 5Nov 11[5],1940
95,3,<,4,Texas A&M (31.33),Southwest,7-0,1202.0,,Week 5Nov 11[5],1940
96,4,<,6,Stanford (12),PCC,7-0,1066.0,,Week 5Nov 11[5],1940
97,5,<,5,Tennessee (2),SEC,7-0,698.5,,Week 5Nov 11[5],1940
98,6,<,3,Michigan,Big Ten,5-1,585.0,,Week 5Nov 11[5],1940
99,7,<,7,Notre Dame,Ind,6-0,581.0,,Week 5Nov 11[5],1940
100,8,<,8,Boston College,Ind,7-0,548.5,,Week 5Nov 11[5],1940
101,9,<,9,Georgetown,Ind,7-0,352.5,W 41-0 A Maryland,Week 5Nov 11[5],1940
102,10,<,10,Northwestern,Big Ten,5-1,276.0,,Week 5Nov 11[5],1940
103,11,<,12,Nebraska,Big 6,5-1,139.5,,Week 5Nov 11[5],1940
104,12,<,12,Duke (2),Southern,5-1,59.0,,Week 5Nov 11[5],1940
105,13,<,17,Fordham,Ind,5-1,36.0,W 13-7 H Purdue,Week 5Nov 11[5],1940
106,14,<,NR,Alabama,SEC,5-1,26.0,,Week 5Nov 11[5],1940
107,15,<,19,Mississippi State,SEC,6-0-1,24.0,,Week 5Nov 11[5],1940
108,16,<,19,Santa Clara,Ind,3-1-1,19.0,,Week 5Nov 11[5],1940
109,17,<,11,Washington,PCC,4-2,15.0,,Week 5Nov 11[5],1940
110,17,<,NR,Mississippi,SEC,7-1,15.0,,Week 5Nov 11[5],1940
111,19,<,NR,Oregon State,PCC,5-1-1,11.0,,Week 5Nov 11[5],1940
112,20,<,14,SMU,Southwest,4-1-1,4.0,,Week 5Nov 11[5],1940
113,20,<,16,Penn State,Ind,5-0-1,4.0,,Week 5Nov 11[5],1940
114,NR,<,15,Penn,Ind,,0.0,,Week 5Nov 11[5],1940
115,NR,<,18,Lafayette,MID3,,0.0,,Week 5Nov 11[5],1940
116,1,<,1,Minnesota (68),Big Ten,7-0,1544.0,W 33-6 H Purdue,Week 6Nov 18[6],1940
117,2,<,3,Texas A&M (59),Southwest,8-0,1485.0,,Week 6Nov 18[6],1940
118,3,<,4,Stanford (24),PCC,8-0,1331.0,,Week 6Nov 18[6],1940
119,4,<,8,Boston College (12),Ind,8-0,1043.5,,Week 6Nov 18[6],1940
120,5,<,2,Cornell (6),Ind,6-1,885.0,L 3-0 A Dartmouth,Week 6Nov 18[6],1940
121,6,<,5,Tennessee (3),SEC,8-0,851.0,,Week 6Nov 18[6],1940
122,7,<,6,Michigan,Big Ten,6-1,821.0,,Week 6Nov 18[6],1940
123,8,<,11,Nebraska,Big 6,6-1,329.0,,Week 6Nov 18[6],1940
124,9,<,9,Georgetown,Ind,7-1,318.5,L 19-18 A Boston College,Week 6Nov 18[6],1940
125,10,<,10,Northwestern,Big Ten,5-2,105.0,,Week 6Nov 18[6],1940
126,11,<,17,Mississippi,SEC,8-1,86.25,,Week 6Nov 18[6],1940
127,12,<,NR,Penn,Ind,5-1-1,84.0,,Week 6Nov 18[6],1940
128,13,<,17,Washington,PCC,5-2,60.0,,Week 6Nov 18[6],1940
129,14,<,7,Notre Dame,Ind,6-1,59.25,,Week 6Nov 18[6],1940
130,15,<,13,Fordham,Ind,5-1,57.25,DNP,Week 6Nov 18[6],1940
131,16,<,15,Mississippi State,SEC,7-0-1,47.25,,Week 6Nov 18[6],1940
132,17,<,14,Alabama,SEC,6-1,47.0,,Week 6Nov 18[6],1940
133,18,<,20,SMU,Southwest,5-1-1,46.0,,Week 6Nov 18[6],1940
134,19,<,16,Santa Clara,Ind,4-1-1,33.0,,Week 6Nov 18[6],1940
135,20,<,20,Penn State,Ind,6-0-1,25.0,,Week 6Nov 18[6],1940
136,20,<,NR,Texas Tech,BIAA,7-0-1,25.0,,Week 6Nov 18[6],1940
137,NR,<,12,Duke,Southern,,0.0,,Week 6Nov 18[6],1940
138,NR,<,19,Oregon State,PCC,,0.0,,Week 6Nov 18[6],1940
139,1,<,1,Minnesota (88),Big Ten,8-0,1562.0,W 22-13 A Wisconsin,Week 7Nov 25[7],1940
140,2,<,2,Texas A&M (41),Southwest,8-0,1476.0,,Week 7Nov 25[7],1940
141,3,<,3,Stanford (15),PCC,8-0,1264.0,,Week 7Nov 25[7],1940
142,4,<,4,Boston College (15),Ind,9-0,1114.0,,Week 7Nov 25[7],1940
143,5,<,7,Michigan (3),Big Ten,7-1,1042.0,,Week 7Nov 25[7],1940
144,6,<,6,Tennessee (8),SEC,9-0,959.0,,Week 7Nov 25[7],1940
145,7,<,10,Northwestern,Big Ten,6-2,396.0,,Week 7Nov 25[7],1940
146,8,<,8,Nebraska,Big 6,7-1,391.0,,Week 7Nov 25[7],1940
147,9,<,9,Georgetown,Ind,8-1,229.43,W 8-0 N George Washington,Week 7Nov 25[7],1940
148,10,<,12,Penn,Ind,6-1-1,227.43,,Week 7Nov 25[7],1940
149,11,<,16,Mississippi State,SEC,8-0-1,177.93,,Week 7Nov 25[7],1940
150,12,<,13,Washington,PCC,6-2,135.43,,Week 7Nov 25[7],1940
151,13,<,5,Cornell,Ind,6-2,87.43,L 22-20 A Penn,Week 7Nov 25[7],1940
152,14,<,15,Fordham,Ind,6-1,85.0,W 27-7 H Arkansas,Week 7Nov 25[7],1940
153,15,<,19,Santa Clara,Ind,5-1-1,59.43,,Week 7Nov 25[7],1940
154,16,<,18,SMU,Southwest,6-1-1,34.0,,Week 7Nov 25[7],1940
155,17,<,17,Alabama,SEC,7-1,16.5,,Week 7Nov 25[7],1940
156,18,<,20,Texas Tech,BIAA,8-0-1,7.0,,Week 7Nov 25[7],1940
157,18,<,NR,Lafayette,MID3,9-0,7.0,W 46-0 H Lehigh,Week 7Nov 25[7],1940
158,20,<,NR,Duke,Southern,6-2,5.0,,Week 7Nov 25[7],1940
159,20,<,NR,Hardin-Simmons,Ind,7-0,5.0,W 28-18 H San Francisco,Week 7Nov 25[7],1940
160,NR,<,11,Mississippi,SEC,,0.0,,Week 7Nov 25[7],1940
161,NR,<,14,Notre Dame,Ind,,0.0,,Week 7Nov 25[7],1940
162,NR,<,20,Penn State,Ind,,0.0,,Week 7Nov 25[7],1940
163,1,<,1,Minnesota (65),Big Ten,8-0,1244.0,DNP,Week 8 (Final)Dec 2[8]A,1940
164,2,<,3,Stanford (44),PCC,9-0,1125.0,,Week 8 (Final)Dec 2[8]A,1940
165,3,<,5,Michigan (5),Big Ten,7-1,914.0,,Week 8 (Final)Dec 2[8]A,1940
166,4,<,6,Tennessee (10),SEC,10-0,885.0,,Week 8 (Final)Dec 2[8]A,1940
167,5,<,4,Boston College (7),Ind,10-0,798.0,,Week 8 (Final)Dec 2[8]A,1940
168,6,<,2,Texas A&M (1),Southwest,8-1,728.0,,Week 8 (Final)Dec 2[8]A,1940
169,7,<,8,Nebraska,Big 6,8-1,514.0,,Week 8 (Final)Dec 2[8]A,1940
170,8,<,7,Northwestern,Big Ten,6-2,323.0,,Week 8 (Final)Dec 2[8]A,1940
171,9,<,11,Mississippi State (1),SEC,8-0-1,233.13,,Week 8 (Final)Dec 2[8]A,1940
172,10,<,12,Washington,PCC,7-2,210.13,,Week 8 (Final)Dec 2[8]A,1940
173,11,<,15,Santa Clara,Ind,6-1-1,198.13,,Week 8 (Final)Dec 2[8]A,1940
174,12,<,14,Fordham,Ind,7-1,157.13,W 26-0 N New York,Week 8 (Final)Dec 2[8]A,1940
175,13,<,9,Georgetown,Ind,8-1,133.13,DNP,Week 8 (Final)Dec 2[8]A,1940
176,14,<,10,Penn,Ind,6-1-1,87.13,,Week 8 (Final)Dec 2[8]A,1940
177,15,<,13,Cornell,Ind,6-2,30.13,DNP,Week 8 (Final)Dec 2[8]A,1940
