,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,1,Oklahoma (127),Big 7,0-0,1659,DNP,PreseasonAug[1],1957
1,2,<,5,Texas A&M (4),Southwest,0-0,996,DNP,PreseasonAug[1],1957
2,3,<,9,Michigan State (20),Big Ten,0-0,988,DNP,PreseasonAug[1],1957
3,4,<,12,Minnesota (9),Big Ten,0-0,919,DNP,PreseasonAug[1],1957
4,5,<,2,Tennessee (3),SEC,0-0,894,DNP,PreseasonAug[1],1957
5,6,<,7,Michigan (3),Big Ten,0-0,633,DNP,PreseasonAug[1],1957
6,7,<,11,Baylor,Southwest,0-0,517,DNP,PreseasonAug[1],1957
7,8,<,13,Pittsburgh,Ind,0-0,487,DNP,PreseasonAug[1],1957
8,9,<,3,Iowa (4),Big Ten,0-0,465,DNP,PreseasonAug[1],1957
9,10,<,NR,Duke,ACC,0-0,331,DNP,PreseasonAug[1],1957
10,11,<,4,Georgia Tech,SEC,0-0,326,DNP,PreseasonAug[1],1957
11,12,<,16,Navy,Ind,0-0,301,DNP,PreseasonAug[1],1957
12,13,<,10,Oregon State,PCC,0-0,208,DNP,PreseasonAug[1],1957
13,14,<,6,Miami (FL) (1),Ind,0-0,202,DNP,PreseasonAug[1],1957
14,15,<,NR,Auburn,SEC,0-0,98,DNP,PreseasonAug[1],1957
15,16,<,NR,Penn State,Ind,0-0,71,DNP,PreseasonAug[1],1957
16,17,<,15,Ohio State (1),Big Ten,0-0,60,DNP,PreseasonAug[1],1957
17,18,<,NR,Notre Dame (2),Ind,0-0,51,DNP,PreseasonAug[1],1957
18,19,<,18,USC,PCC,0-0,40,DNP,PreseasonAug[1],1957
19,20,<,NR,Kentucky,SEC,0-0,39,DNP,PreseasonAug[1],1957
20,NR,<,8,Syracuse,Ind,0-0,0,DNP,PreseasonAug[1],1957
21,NR,<,14,TCU,Southwest,0-0,0,DNP,PreseasonAug[1],1957
22,NR,<,17,George Washington,Southern,0-0,0,DNP,PreseasonAug[1],1957
23,NR,<,19,Clemson,ACC,0-0,0,DNP,PreseasonAug[1],1957
24,NR,<,20,Colorado,Big 7,0-0,0,DNP,PreseasonAug[1],1957
25,1,<,1,Oklahoma (65),Big 7,1-0,720,W 26-0 A #8 Pittsburgh,Week 1Sep 23[2],1957
26,2,<,2,Texas A&M,Southwest,1-0,460,W 21-13 N Maryland,Week 1Sep 23[2],1957
27,3,<,11,Georgia Tech,SEC,1-0,374,W 13-0 H #20 Kentucky,Week 1Sep 23[2],1957
28,4,<,3,Michigan State (4),Big Ten,0-0,354,DNP,Week 1Sep 23[2],1957
29,5,<,12,Navy (1),Ind,1-0,297,W 46-6 A Boston College,Week 1Sep 23[2],1957
30,6,<,4,Minnesota (1),Big Ten,0-0,275,DNP,Week 1Sep 23[2],1957
31,7,<,10,Duke (2),ACC,1-0,249,W 26-14 A South Carolina,Week 1Sep 23[2],1957
32,8,<,5,Tennessee,SEC,0-0,247,DNP,Week 1Sep 23[2],1957
33,9,<,13,Oregon State,PCC,1-0,223,W 20-0 H #19 USC,Week 1Sep 23[2],1957
34,10,<,6,Michigan,Big Ten,0-0,190,DNP,Week 1Sep 23[2],1957
35,11,<,7,Baylor,Southwest,1-0,169,W 7-0 H Villanova,Week 1Sep 23[2],1957
36,12,<,9,Iowa (1),Big Ten,0-0,127,DNP,Week 1Sep 23[2],1957
37,13,<,NR,Texas,Southwest,1-0,60,W 26-7 A Georgia,Week 1Sep 23[2],1957
38,14,<,NR,Houston,MVC,1-0,53,W 7-0 H #14 Miami (FL),Week 1Sep 23[2],1957
39,15,<,NR,SMU,Southwest,1-0,35,W 13-6 A California,Week 1Sep 23[2],1957
40,16,<,8,Pittsburgh,Ind,0-1,26,L 26-0 H #1 Oklahoma,Week 1Sep 23[2],1957
41,16,<,NR,Stanford,PCC,1-0,26,W 46-7 H San Jose State,Week 1Sep 23[2],1957
42,18,<,NR,Rice,Southwest,1-0,23,W 20-14 A LSU,Week 1Sep 23[2],1957
43,19,<,16,Penn State,Ind,0-0,21,DNP,Week 1Sep 23[2],1957
44,19,<,NR,Mississippi,SEC,1-0,21,W 44-0 A Trinity (TX),Week 1Sep 23[2],1957
45,NR,<,14,Miami (FL),Ind,0-1,0,L 7-0 A Houston,Week 1Sep 23[2],1957
46,NR,<,15,Auburn,SEC,0-0,0,DNP,Week 1Sep 23[2],1957
47,NR,<,17,Ohio State,Big Ten,0-0,0,DNP,Week 1Sep 23[2],1957
48,NR,<,18,Notre Dame,Ind,0-0,0,DNP,Week 1Sep 23[2],1957
49,NR,<,19,USC,PCC,0-1,0,L 20-0 A #13 Oregon State,Week 1Sep 23[2],1957
50,NR,<,20,Kentucky,SEC,0-1,0,L 13-0 A #11 Georgia Tech,Week 1Sep 23[2],1957
51,1,<,1,Oklahoma (81),Big 7,1-0,1223,DNP,Week 2Sep 30[3],1957
52,2,<,4,Michigan State (24),Big Ten,1-0,999,,Week 2Sep 30[3],1957
53,3,<,6,Minnesota (10),Big Ten,1-0,867,,Week 2Sep 30[3],1957
54,4,<,7,Duke (8),ACC,2-0,629,,Week 2Sep 30[3],1957
55,5,<,2,Texas A&M,Southwest,2-0,628,,Week 2Sep 30[3],1957
56,6,<,5,Navy (1),Ind,2-0,472,,Week 2Sep 30[3],1957
57,7,<,NR,Auburn (6),SEC,1-0,400,,Week 2Sep 30[3],1957
58,8,<,12,Iowa (3),Big Ten,1-0,378,,Week 2Sep 30[3],1957
59,9,<,9,Oregon State,PCC,2-0,376,,Week 2Sep 30[3],1957
60,10,<,10,Michigan,Big Ten,1-0,324,,Week 2Sep 30[3],1957
61,11,<,11,Baylor (1),Southwest,2-0,214,,Week 2Sep 30[3],1957
62,12,<,NR,Army,Ind,1-0,134,,Week 2Sep 30[3],1957
63,13,<,NR,NC State,ACC,2-0,113,,Week 2Sep 30[3],1957
64,14,<,3,Georgia Tech,SEC,1-0-1,110,,Week 2Sep 30[3],1957
65,15,<,19,Mississippi,SEC,2-0,67,,Week 2Sep 30[3],1957
66,16,<,NR,Notre Dame,Ind,1-0,63,,Week 2Sep 30[3],1957
67,17,<,16,Stanford,PCC,2-0,59,,Week 2Sep 30[3],1957
68,18,<,NR,TCU,Southwest,1-0-1,56,W 18-14 A Ohio State,Week 2Sep 30[3],1957
69,19,<,NR,UCLA,PCC,2-0,43,,Week 2Sep 30[3],1957
70,20,<,13,Texas,Southwest,2-0,32,,Week 2Sep 30[3],1957
71,NR,<,8,Tennessee,SEC,,0,,Week 2Sep 30[3],1957
72,NR,<,14,Houston,MVC,,0,,Week 2Sep 30[3],1957
73,NR,<,15,SMU,Southwest,,0,,Week 2Sep 30[3],1957
74,NR,<,16,Pittsburgh,Ind,,0,,Week 2Sep 30[3],1957
75,NR,<,18,Rice,Southwest,,0,,Week 2Sep 30[3],1957
76,NR,<,19,Penn State,Ind,,0,,Week 2Sep 30[3],1957
77,1,<,1,Oklahoma (65),Big 7,2-0,1047,W 40-14 H Iowa State,Week 3Oct 7[4],1957
78,2,<,2,Michigan State (21),Big Ten,2-0,906,,Week 3Oct 7[4],1957
79,3,<,5,Texas A&M (3),Southwest,3-0,698,,Week 3Oct 7[4],1957
80,4,<,3,Minnesota (5),Big Ten,2-0,557,,Week 3Oct 7[4],1957
81,5,<,4,Duke (5),ACC,3-0,493,,Week 3Oct 7[4],1957
82,6,<,10,Michigan,Big Ten,2-0,469,,Week 3Oct 7[4],1957
83,7,<,9,Oregon State (2),PCC,3-0,423,,Week 3Oct 7[4],1957
84,8,<,8,Iowa (4),Big Ten,2-0,385,,Week 3Oct 7[4],1957
85,9,<,7,Auburn (5),SEC,2-0,351,,Week 3Oct 7[4],1957
86,10,<,12,Army,Ind,2-0,251,,Week 3Oct 7[4],1957
87,11,<,NR,Arkansas,Southwest,3-0,135,,Week 3Oct 7[4],1957
88,12,<,16,Notre Dame,Ind,2-0,124,,Week 3Oct 7[4],1957
89,13,<,13,NC State,ACC,3-0,114,,Week 3Oct 7[4],1957
90,14,<,15,Mississippi,SEC,3-0,79,,Week 3Oct 7[4],1957
91,15,<,NR,Rice,Southwest,2-0,76,,Week 3Oct 7[4],1957
92,16,<,NR,Wisconsin,Big Ten,2-0,46,,Week 3Oct 7[4],1957
93,17,<,14,Georgia Tech,SEC,1-0-1,35,,Week 3Oct 7[4],1957
