,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,2,UCLA (33),PCC,0-0,1054,DNP,PreseasonAug[1],1955
1,2,<,3,Oklahoma (32),Big 7,0-0,1001,DNP,PreseasonAug[1],1955
2,3,<,15,Michigan (34),Big Ten,0-0,870,DNP,PreseasonAug[1],1955
3,4,<,1,Ohio State (9),Big Ten,0-0,636,DNP,PreseasonAug[1],1955
4,5,<,8,Maryland (8),ACC,0-0,595,DNP,PreseasonAug[1],1955
5,6,<,4,Notre Dame (2),Ind,0-0,529,DNP,PreseasonAug[1],1955
6,7,<,7,Army,Ind,0-0,333,DNP,PreseasonAug[1],1955
7,8,<,5,Navy (1),Ind,0-0,329,DNP,PreseasonAug[1],1955
8,9,<,11,Miami (FL) (5),Ind,0-0,321,DNP,PreseasonAug[1],1955
9,10,<,NR,Georgia Tech (1),SEC,0-0,319,DNP,PreseasonAug[1],1955
10,11,<,19,Rice,Southwest,0-0,270,DNP,PreseasonAug[1],1955
11,12,<,NR,Iowa (4),Big Ten,0-0,234,DNP,PreseasonAug[1],1955
12,13,<,17,USC (2),PCC,0-0,152,DNP,PreseasonAug[1],1955
13,14,<,9,Wisconsin,Big Ten,0-0,150,DNP,PreseasonAug[1],1955
14,15,<,6,Mississippi,SEC,0-0,128,DNP,PreseasonAug[1],1955
15,16,<,NR,SMU,Southwest,0-0,93,DNP,PreseasonAug[1],1955
16,17,<,13,Auburn,SEC,0-0,56,DNP,PreseasonAug[1],1955
17,18,<,14,Duke (1),ACC,0-0,48,DNP,PreseasonAug[1],1955
18,19,<,12,West Virginia (1),Southern,0-0,45,DNP,PreseasonAug[1],1955
19,20,<,NR,Purdue (1),Big Ten,0-0,37,DNP,PreseasonAug[1],1955
20,NR,<,10,Arkansas,Southwest,0-0,0,DNP,PreseasonAug[1],1955
21,NR,<,16,Virginia Tech,Southern,0-0,0,DNP,PreseasonAug[1],1955
22,NR,<,18,Baylor,Southwest,0-0,0,DNP,PreseasonAug[1],1955
23,NR,<,20,Penn State,Ind,0-0,0,DNP,PreseasonAug[1],1955
24,1,<,1,UCLA (34),PCC,1-0,512,W 21-0 H Texas A&M,Week 1Sep 19[2],1955
25,2,<,10,Georgia Tech (3),SEC,1-0,364,,Week 1Sep 19[2],1955
26,3,<,2,Oklahoma (10),Big 7,0-0,319,DNP,Week 1Sep 19[2],1955
27,4,<,3,Michigan (6),Big Ten,0-0,284,DNP,Week 1Sep 19[2],1955
28,5,<,5,Maryland (1),ACC,1-0,198,,Week 1Sep 19[2],1955
29,6,<,4,Ohio State,Big Ten,0-0,157,DNP,Week 1Sep 19[2],1955
30,7,<,NR,Pittsburgh,Ind,1-0,142,,Week 1Sep 19[2],1955
31,8,<,15,Mississippi,SEC,1-0,130,,Week 1Sep 19[2],1955
32,9,<,8,Navy,Ind,0-0,124,DNP,Week 1Sep 19[2],1955
33,9,<,13,USC (1),PCC,1-0,124,,Week 1Sep 19[2],1955
34,11,<,6,Notre Dame,Ind,0-0,118,DNP,Week 1Sep 19[2],1955
35,12,<,NR,Texas Tech,BIAA,1-0,101,,Week 1Sep 19[2],1955
36,13,<,11,Rice,Southwest,0-0,80,DNP,Week 1Sep 19[2],1955
37,14,<,7,Army,Ind,0-0,62,DNP,Week 1Sep 19[2],1955
38,15,<,9,Miami (FL),Ind,0-1,51,,Week 1Sep 19[2],1955
39,16,<,NR,LSU,SEC,1-0,47,,Week 1Sep 19[2],1955
40,17,<,NR,Arkansas (1),Southwest,1-0,37,,Week 1Sep 19[2],1955
41,18,<,NR,Baylor,Southwest,1-0,31,,Week 1Sep 19[2],1955
42,19,<,20,Purdue (1),Big Ten,0-0,20,DNP,Week 1Sep 19[2],1955
43,19,<,NR,Florida,SEC,1-0,20,,Week 1Sep 19[2],1955
44,NR,<,12,Iowa,Big Ten,,0,,Week 1Sep 19[2],1955
