,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,9,Nebraska (25),Big 8,0-0,961.0,DNP,PreseasonAug [1],1976
1,2,<,8,Michigan (10),Big Ten,0-0,918.0,DNP,PreseasonAug [1],1976
2,3,<,2,Arizona State (7),WAC,0-0,780.0,DNP,PreseasonAug [1],1976
3,4,<,4,Ohio State (3),Big Ten,0-0,749.0,DNP,PreseasonAug [1],1976
4,5,<,1,Oklahoma (6),Big 8,0-0,683.0,DNP,PreseasonAug [1],1976
5,6,<,3,Alabama (3),SEC,0-0,624.0,DNP,PreseasonAug [1],1976
6,7,<,6,Texas (3),Southwest,0-0,610.0,DNP,PreseasonAug [1],1976
7,8,<,17,USC (2),Pac-8,0-0,517.0,DNP,PreseasonAug [1],1976
8,9,<,15,Pittsburgh (1),Ind,0-0,416.0,DNP,PreseasonAug [1],1976
9,10,<,10,Penn State,Ind,0-0,348.0,DNP,PreseasonAug [1],1976
10,11,<,NR,Notre Dame,Ind,0-0,319.0,DNP,PreseasonAug [1],1976
11,12,<,13,Maryland,ACC,0-0,211.0,DNP,PreseasonAug [1],1976
12,13,<,7,Arkansas,Southwest,0-0,193.0,DNP,PreseasonAug [1],1976
13,14,<,11,Texas A&M,Southwest,0-0,136.0,DNP,PreseasonAug [1],1976
14,15,<,14,California,Pac-8,0-0,121.0,DNP,PreseasonAug [1],1976
15,16,<,19,Georgia,SEC,0-0,108.0,DNP,PreseasonAug [1],1976
16,17,<,5,UCLA,Pac-8,0-0,102.0,DNP,PreseasonAug [1],1976
17,18,<,NR,Florida,SEC,0-0,101.0,DNP,PreseasonAug [1],1976
18,19,<,NR,Kansas,Big 8,0-0,37.0,DNP,PreseasonAug [1],1976
19,20,<,12,Miami (OH),MAC,0-0,32.0,DNP,PreseasonAug [1],1976
20,NR,<,16,Colorado,Big 8,0-0,0.0,DNP,PreseasonAug [1],1976
21,NR,<,18,Arizona,WAC,0-0,0.0,DNP,PreseasonAug [1],1976
22,NR,<,20,West Virginia,Ind,0-0,0.0,DNP,PreseasonAug [1],1976
23,1,<,2,Michigan (28),Big Ten,1-0,1077.0,W 40-27 H Wisconsin,Week 1Sep 14[2],1976
24,2,<,4,Ohio State (18),Big Ten,1-0,1076.0,,Week 1Sep 14[2],1976
25,3,<,9,Pittsburgh (9),Ind,1-0,892.0,,Week 1Sep 14[2],1976
26,4,<,5,Oklahoma (4),Big 8,1-0,865.0,W 24-3 A Vanderbilt,Week 1Sep 14[2],1976
27,5,<,17,UCLA (2),Pac-8,1-0,731.0,,Week 1Sep 14[2],1976
28,6,<,NR,Missouri,Big 8,1-0,480.0,,Week 1Sep 14[2],1976
29,7,<,10,Penn State,Ind,1-0,464.0,,Week 1Sep 14[2],1976
30,8,<,1,Nebraska,Big 8,0-0-1,446.5,T 6-6 A LSU,Week 1Sep 14[2],1976
31,9,<,16,Georgia,SEC,1-0,376.0,,Week 1Sep 14[2],1976
32,10,<,12,Maryland,ACC,1-0,370.0,,Week 1Sep 14[2],1976
33,11,<,14,Texas A&M,Southwest,1-0,281.0,,Week 1Sep 14[2],1976
34,12,<,13,Arkansas,Southwest,1-0,268.0,,Week 1Sep 14[2],1976
35,13,<,19,Kansas,Big 8,2-0,153.0,W 35-16 H Washington State,Week 1Sep 14[2],1976
36,14,<,6,Alabama,SEC,0-1,108.0,,Week 1Sep 14[2],1976
37,15,<,NR,Boston College,Ind,1-0,101.0,W 14-13 H #7 Texas,Week 1Sep 14[2],1976
38,16,<,NR,LSU,SEC,0-0-1,84.0,,Week 1Sep 14[2],1976
39,17,<,NR,North Carolina,ACC,2-0,72.0,,Week 1Sep 14[2],1976
40,18,<,3,Arizona State,WAC,0-1,66.0,L 28-10 H #17 UCLA,Week 1Sep 14[2],1976
41,19,<,7,Texas,Southwest,0-1,57.0,L 14-13 A Boston College,Week 1Sep 14[2],1976
42,20,<,NR,Mississippi,SEC,1-1,54.0,,Week 1Sep 14[2],1976
43,NR,<,8,USC,Pac-8,,0.0,L 46-25 H Missouri,Week 1Sep 14[2],1976
44,NR,<,11,Notre Dame,Ind,,0.0,,Week 1Sep 14[2],1976
45,NR,<,15,California,Pac-8,,0.0,,Week 1Sep 14[2],1976
46,NR,<,18,Florida,SEC,,0.0,,Week 1Sep 14[2],1976
47,NR,<,20,Miami (OH),MAC,,0.0,,Week 1Sep 14[2],1976
48,1,<,1,Michigan (47),Big Ten,2-0,1156.0,W 51-0 H Stanford,Week 2Sep 21[3],1976
49,2,<,2,Ohio State (3),Big Ten,2-0,998.0,,Week 2Sep 21[3],1976
50,3,<,3,Pittsburgh (7),Ind,2-0,947.0,,Week 2Sep 21[3],1976
51,4,<,4,Oklahoma (3),Big 8,2-0,820.0,W 28-17 H California,Week 2Sep 21[3],1976
52,5,<,5,UCLA,Pac-8,2-0,761.0,,Week 2Sep 21[3],1976
53,6,<,8,Nebraska,Big 8,1-0-1,511.0,,Week 2Sep 21[3],1976
54,7,<,9,Georgia,SEC,2-0,510.0,,Week 2Sep 21[3],1976
55,8,<,10,Maryland,ACC,2-0,412.0,,Week 2Sep 21[3],1976
56,9,<,11,Texas A&M,Southwest,2-0,373.0,,Week 2Sep 21[3],1976
57,10,<,13,Kansas,Big 8,3-0,288.0,W 37-16 H Kentucky,Week 2Sep 21[3],1976
58,11,<,7,Penn State,Ind,1-1,285.0,,Week 2Sep 21[3],1976
59,12,<,12,Arkansas,Southwest,2-0,262.0,,Week 2Sep 21[3],1976
60,13,<,14,Alabama,SEC,1-1,186.0,,Week 2Sep 21[3],1976
61,14,<,NR,Illinois,Big Ten,2-0,122.0,W 31-6 A #6 Missouri,Week 2Sep 21[3],1976
62,15,<,16,LSU,SEC,1-0-1,94.0,,Week 2Sep 21[3],1976
63,16,<,17,North Carolina,ACC,3-0,85.0,,Week 2Sep 21[3],1976
64,17,<,20,Mississippi,SEC,2-1,61.0,,Week 2Sep 21[3],1976
65,18,<,15,Boston College,Ind,1-0,60.0,,Week 2Sep 21[3],1976
66,19,<,NR,USC,Pac-8,1-1,49.0,,Week 2Sep 21[3],1976
67,20,<,NR,Texas Tech,Southwest,2-0,32.0,,Week 2Sep 21[3],1976
68,NR,<,6,Missouri,Big 8,,0.0,L 31-6 H Illinois,Week 2Sep 21[3],1976
69,NR,<,18,Arizona State,WAC,,0.0,,Week 2Sep 21[3],1976
70,NR,<,19,Texas,Southwest,,0.0,,Week 2Sep 21[3],1976
71,1,<,1,Michigan (56),Big Ten,3-0,1208.0,W 70-14 H Navy,Week 3Sep 28[4],1976
72,2,<,3,Pittsburgh (2),Ind,3-0,972.0,,Week 3Sep 28[4],1976
73,3,<,4,Oklahoma (2),Big 8,3-0,912.0,W 24-9 H Florida State,Week 3Sep 28[4],1976
74,4,<,5,UCLA,Pac-8,3-0,888.0,,Week 3Sep 28[4],1976
75,5,<,6,Nebraska,Big 8,2-0-1,690.0,,Week 3Sep 28[4],1976
76,6,<,7,Georgia,SEC,3-0,597.0,,Week 3Sep 28[4],1976
77,7,<,8,Maryland,ACC,3-0,491.0,,Week 3Sep 28[4],1976
78,8,<,2,Ohio State,Big Ten,2-1,426.0,,Week 3Sep 28[4],1976
79,9,<,10,Kansas,Big 8,3-0,385.0,DNP,Week 3Sep 28[4],1976
80,10,<,13,Alabama,SEC,2-1,325.0,,Week 3Sep 28[4],1976
81,11,<,15,LSU,SEC,2-0-1,264.0,,Week 3Sep 28[4],1976
82,12,<,NR,Missouri,Big 8,2-1,222.0,W 46-25 A #8 USC,Week 3Sep 28[4],1976
83,13,<,19,USC,Pac-8,2-1,156.0,,Week 3Sep 28[4],1976
84,14,<,16,North Carolina,ACC,4-0,133.0,,Week 3Sep 28[4],1976
85,15,<,18,Boston College,Ind,2-0,114.0,,Week 3Sep 28[4],1976
86,16,<,17,Mississippi,SEC,3-1,84.0,,Week 3Sep 28[4],1976
87,17,<,20,Texas Tech,Southwest,2-0,59.0,,Week 3Sep 28[4],1976
88,18,<,NR,Notre Dame,Ind,2-1,32.0,,Week 3Sep 28[4],1976
89,19,<,NR,Florida,SEC,2-1,29.0,,Week 3Sep 28[4],1976
90,20,<,11,Penn State,Ind,1-2,28.0,,Week 3Sep 28[4],1976
91,NR,<,9,Texas A&M,Southwest,,0.0,L 21-10 A Houston,Week 3Sep 28[4],1976
92,NR,<,12,Arkansas,Southwest,,0.0,,Week 3Sep 28[4],1976
93,NR,<,14,Illinois,Big Ten,,0.0,,Week 3Sep 28[4],1976
94,1,<,1,Michigan (52),Big Ten,4-0,1182.0,W 31-0 H Wake Forest,Week 4Oct 5[5],1976
95,2,<,2,Pittsburgh (3),Ind,4-0,992.0,,Week 4Oct 5[5],1976
96,3,<,3,Oklahoma (3),Big 8,4-0,914.0,W 24-10 A Iowa State,Week 4Oct 5[5],1976
97,4,<,6,Georgia (2),SEC,4-0,870.0,W 21-0 H #10 Alabama,Week 4Oct 5[5],1976
98,5,<,4,UCLA,Pac-8,3-0-1,658.0,,Week 4Oct 5[5],1976
99,6,<,5,Nebraska,Big 8,3-0-1,648.0,,Week 4Oct 5[5],1976
100,7,<,7,Maryland,ACC,4-0,515.0,,Week 4Oct 5[5],1976
101,8,<,9,Kansas,Big 8,4-0,500.0,W 34-24 H Wisconsin,Week 4Oct 5[5],1976
102,9,<,12,Missouri,Big 8,3-1,389.0,,Week 4Oct 5[5],1976
103,10,<,8,Ohio State,Big Ten,2-1-1,324.0,,Week 4Oct 5[5],1976
104,11,<,13,USC,Pac-8,3-1,314.0,,Week 4Oct 5[5],1976
105,12,<,19,Florida,SEC,3-1,207.0,,Week 4Oct 5[5],1976
106,13,<,15,Boston College,Ind,3-0,165.0,,Week 4Oct 5[5],1976
107,14,<,18,Notre Dame,Ind,3-1,142.0,,Week 4Oct 5[5],1976
108,15,<,17,Texas Tech,Southwest,2-0,106.0,,Week 4Oct 5[5],1976
109,16,<,NR,Texas,Southwest,2-1,43.0,,Week 4Oct 5[5],1976
110,17,<,NR,Texas A&M,Southwest,3-1,27.0,,Week 4Oct 5[5],1976
111,18,<,NR,Arkansas,Southwest,3-1,22.0,,Week 4Oct 5[5],1976
112,19,<,14,North Carolina,ACC,4-1,20.0,,Week 4Oct 5[5],1976
113,20,<,11,LSU,SEC,2-1-1,17.0,,Week 4Oct 5[5],1976
114,NR,<,10,Alabama,SEC,,0.0,L 21-0 A #6 Georgia,Week 4Oct 5[5],1976
115,NR,<,16,Mississippi,SEC,,0.0,,Week 4Oct 5[5],1976
116,NR,<,20,Penn State,Ind,,0.0,,Week 4Oct 5[5],1976
117,1,<,1,Michigan (57),Big Ten,5-0,1194.0,W 42-10 H Michigan State,Week 5Oct 12[6],1976
118,2,<,2,Pittsburgh (3),Ind,5-0,1057.0,,Week 5Oct 12[6],1976
119,3,<,6,Nebraska,Big 8,4-0-1,848.0,,Week 5Oct 12[6],1976
120,4,<,5,UCLA,Pac-8,4-0-1,834.0,,Week 5Oct 12[6],1976
121,5,<,7,Maryland,ACC,5-0,660.0,,Week 5Oct 12[6],1976
122,6,<,3,Oklahoma,Big 8,4-0-1,611.0,T 6-6 N #16 Texas,Week 5Oct 12[6],1976
123,7,<,9,Missouri,Big 8,4-1,485.0,,Week 5Oct 12[6],1976
124,8,<,11,USC,Pac-8,4-1,418.0,,Week 5Oct 12[6],1976
125,9,<,10,Ohio State,Big Ten,3-1-1,406.0,,Week 5Oct 12[6],1976
126,10,<,15,Texas Tech,Southwest,3-0,309.0,,Week 5Oct 12[6],1976
127,11,<,4,Georgia,SEC,4-1,302.0,,Week 5Oct 12[6],1976
128,12,<,12,Florida,SEC,3-1,230.0,,Week 5Oct 12[6],1976
129,13,<,16,Texas,Southwest,2-1-1,174.0,,Week 5Oct 12[6],1976
130,14,<,14,Notre Dame,Ind,3-1,158.0,,Week 5Oct 12[6],1976
131,15,<,8,Kansas,Big 8,4-1,130.0,L 21-14 A Oklahoma State,Week 5Oct 12[6],1976
132,16,<,20,LSU,SEC,3-1-1,42.0,,Week 5Oct 12[6],1976
133,16,<,NR,Mississippi,SEC,4-2,42.0,,Week 5Oct 12[6],1976
134,18,<,18,Arkansas,Southwest,3-1,37.0,,Week 5Oct 12[6],1976
135,19,<,NR,Houston,Southwest,3-1,28.0,,Week 5Oct 12[6],1976
136,20,<,NR,Alabama,SEC,3-2,18.0,,Week 5Oct 12[6],1976
137,NR,<,13,Boston College,Ind,3-1,0.0,L 28-9 H Florida State,Week 5Oct 12[6],1976
138,NR,<,17,Texas A&M,Southwest,,0.0,,Week 5Oct 12[6],1976
139,NR,<,19,North Carolina,ACC,,0.0,,Week 5Oct 12[6],1976
140,1,<,1,Michigan (58),Big Ten,6-0,1234.0,W 38-7 A Northwestern,Week 6Oct 19[7],1976
141,2,<,2,Pittsburgh (4),Ind,6-0,1088.0,,Week 6Oct 19[7],1976
142,3,<,3,Nebraska,Big 8,5-0-1,930.0,,Week 6Oct 19[7],1976
143,4,<,4,UCLA,Pac-8,5-0-1,896.0,,Week 6Oct 19[7],1976
144,5,<,6,Oklahoma,Big 8,5-0-1,718.0,W 28-10 A #15 Kansas,Week 6Oct 19[7],1976
145,6,<,5,Maryland,ACC,6-0,554.0,,Week 6Oct 19[7],1976
146,7,<,8,USC,Pac-8,4-1,513.0,,Week 6Oct 19[7],1976
147,8,<,10,Texas Tech,Southwest,4-0,486.0,,Week 6Oct 19[7],1976
148,9,<,9,Ohio State,Big Ten,4-1-1,463.0,,Week 6Oct 19[7],1976
149,10,<,11,Georgia,SEC,5-1,403.0,,Week 6Oct 19[7],1976
150,11,<,12,Florida,SEC,4-1,266.0,,Week 6Oct 19[7],1976
151,12,<,14,Notre Dame,Ind,4-1,263.0,,Week 6Oct 19[7],1976
152,13,<,13,Texas,Southwest,2-1-1,166.0,,Week 6Oct 19[7],1976
153,14,<,19,Houston,Southwest,4-1,100.0,,Week 6Oct 19[7],1976
154,15,<,18,Arkansas,Southwest,3-1,71.0,,Week 6Oct 19[7],1976
155,16,<,NR,Iowa State,Big 8,5-1,54.0,W 21-17 A Missouri,Week 6Oct 19[7],1976
156,17,<,7,Missouri,Big 8,4-2,40.0,,Week 6Oct 19[7],1976
157,18,<,20,Alabama,SEC,4-2,25.0,,Week 6Oct 19[7],1976
158,19,<,NR,South Carolina,Ind,5-2,16.0,W 10-7 H Mississippi,Week 6Oct 19[7],1976
159,20,<,NR,East Carolina,Southern,6-0,13.0,W 17-3 A VMI,Week 6Oct 19[7],1976
160,20,<,NR,Mississippi State,SEC,5-1,13.0,,Week 6Oct 19[7],1976
161,NR,<,15,Kansas,Big 8,,0.0,,Week 6Oct 19[7],1976
162,NR,<,16,LSU,SEC,,0.0,,Week 6Oct 19[7],1976
163,NR,<,16,Mississippi,SEC,,0.0,,Week 6Oct 19[7],1976
164,1,<,1,Michigan (53),Big Ten,7-0,1184.0,W 35-0 A Indiana,Week 7Oct 26[8],1976
165,2,<,2,Pittsburgh (6),Ind,7-0,1068.0,,Week 7Oct 26[8],1976
166,3,<,4,UCLA,Pac-8,6-0-1,944.0,,Week 7Oct 26[8],1976
167,4,<,7,USC,Pac-8,5-1,707.0,,Week 7Oct 26[8],1976
