,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,3,Oklahoma (23),Big 8,0-0,976,DNP,PreseasonAug[1],1974
1,2,<,2,Ohio State (14),Big Ten,0-0,907,DNP,PreseasonAug[1],1974
2,3,<,1,Notre Dame (13),Ind,0-0,864,DNP,PreseasonAug[1],1974
3,4,<,4,Alabama (6),SEC,0-0,859,DNP,PreseasonAug[1],1974
4,5,<,8,USC (1),Pac-8,0-0,752,DNP,PreseasonAug[1],1974
5,6,<,6,Michigan (1),Big Ten,0-0,586,DNP,PreseasonAug[1],1974
6,7,<,7,Nebraska,Big 8,0-0,472,DNP,PreseasonAug[1],1974
7,8,<,5,Penn State,Ind,0-0,451,DNP,PreseasonAug[1],1974
8,9,<,13,LSU,SEC,0-0,360,DNP,PreseasonAug[1],1974
9,10,<,14,Texas,Southwest,0-0,328,DNP,PreseasonAug[1],1974
10,11,<,9,Houston,Ind,0-0,241,DNP,PreseasonAug[1],1974
11,12,<,12,UCLA,Pac-8,0-0,182,DNP,PreseasonAug[1],1974
12,13,<,NR,Pittsburgh,Ind,0-0,141,DNP,PreseasonAug[1],1974
13,14,<,20,Maryland,ACC,0-0,137,DNP,PreseasonAug[1],1974
14,15,<,9,Arizona State,WAC,0-0,88,DNP,PreseasonAug[1],1974
15,16,<,19,Tennessee,SEC,0-0,79,DNP,PreseasonAug[1],1974
16,17,<,NR,Arizona,WAC,0-0,76,DNP,PreseasonAug[1],1974
17,18,<,16,NC State,ACC,0-0,50,DNP,PreseasonAug[1],1974
18,19,<,NR,Arkansas,Southwest,0-0,45,DNP,PreseasonAug[1],1974
19,20,<,NR,Texas A&M,Southwest,0-0,33,DNP,PreseasonAug[1],1974
20,NR,<,11,Texas Tech,Southwest,0-0,0,DNP,PreseasonAug[1],1974
21,NR,<,15,Miami (OH),MAC,0-0,0,DNP,PreseasonAug[1],1974
22,NR,<,17,Missouri,Big 8,0-0,0,DNP,PreseasonAug[1],1974
23,NR,<,18,Kansas,Big 8,0-0,0,DNP,PreseasonAug[1],1974
24,NR,<,20,Tulane,Ind,0-0,0,DNP,PreseasonAug[1],1974
25,1,<,1,Oklahoma (22),Big 8,0-0,917,DNP,Week 1Sep 9[2],1974
26,2,<,3,Notre Dame (17),Ind,1-0,863,,Week 1Sep 9[2],1974
27,3,<,4,Alabama (5),SEC,0-0,803,DNP,Week 1Sep 9[2],1974
28,4,<,2,Ohio State (9),Big Ten,0-0,802,DNP,Week 1Sep 9[2],1974
29,5,<,5,USC (1),Pac-8,0-0,687,DNP,Week 1Sep 9[2],1974
30,6,<,6,Michigan,Big Ten,0-0,539,DNP,Week 1Sep 9[2],1974
31,7,<,7,Nebraska,Big 8,0-0,416,DNP,Week 1Sep 9[2],1974
32,8,<,8,Penn State,Ind,0-0,408,DNP,Week 1Sep 9[2],1974
33,9,<,9,LSU,SEC,0-0,348,DNP,Week 1Sep 9[2],1974
34,10,<,10,Texas,Southwest,0-0,312,DNP,Week 1Sep 9[2],1974
35,11,<,15,Arizona State,WAC,1-0,245,,Week 1Sep 9[2],1974
36,12,<,12,UCLA,Pac-8,0-0-1,143,,Week 1Sep 9[2],1974
37,13,<,13,Pittsburgh,Ind,0-0,137,DNP,Week 1Sep 9[2],1974
38,14,<,14,Maryland,ACC,0-0,113,DNP,Week 1Sep 9[2],1974
39,15,<,16,Tennessee,SEC,0-0,109,DNP,Week 1Sep 9[2],1974
40,16,<,18,NC State,ACC,0-0,70,DNP,Week 1Sep 9[2],1974
41,17,<,17,Arizona,WAC,0-0,62,DNP,Week 1Sep 9[2],1974
42,18,<,NR,Missouri,Big 8,0-0,50,DNP,Week 1Sep 9[2],1974
43,19,<,11,Houston,Ind,0-1,40,,Week 1Sep 9[2],1974
44,20,<,19,Arkansas,Southwest,0-0,21,DNP,Week 1Sep 9[2],1974
45,20,<,NR,Stanford,Pac-8,0-0,21,DNP,Week 1Sep 9[2],1974
46,NR,<,20,Texas A&M,Southwest,,0,,Week 1Sep 9[2],1974
47,1,<,2,Notre Dame (19),Ind,1-0,1004,W 31-7 A Georgia Tech,Week 2Sep 16[3],1974
48,2,<,4,Ohio State (17),Big Ten,1-0,998,,Week 2Sep 16[3],1974
49,3,<,1,Oklahoma (18),Big 8,1-0,929,W 28-11 H Baylor,Week 2Sep 16[3],1974
50,4,<,7,Nebraska (10),Big 8,1-0,728,,Week 2Sep 16[3],1974
51,5,<,3,Alabama (4),SEC,1-0,714,,Week 2Sep 16[3],1974
52,6,<,6,Michigan,Big Ten,1-0,590,,Week 2Sep 16[3],1974
53,7,<,9,LSU,SEC,1-0,527,,Week 2Sep 16[3],1974
54,8,<,8,Penn State,Ind,1-0,443,,Week 2Sep 16[3],1974
55,9,<,10,Texas,Southwest,1-0,419,,Week 2Sep 16[3],1974
56,10,<,20,Arkansas,Southwest,1-0,378,,Week 2Sep 16[3],1974
57,11,<,11,Arizona State,WAC,1-0,270,,Week 2Sep 16[3],1974
58,12,<,12,UCLA,Pac-8,0-0-1,148,,Week 2Sep 16[3],1974
59,13,<,5,USC,Pac-8,0-1,117,,Week 2Sep 16[3],1974
60,14,<,14,Maryland,ACC,0-1,95,,Week 2Sep 16[3],1974
61,15,<,13,Pittsburgh,Ind,1-0,93,,Week 2Sep 16[3],1974
62,15,<,16,NC State,ACC,1-0,93,,Week 2Sep 16[3],1974
63,17,<,15,Tennessee,SEC,0-0-1,90,,Week 2Sep 16[3],1974
64,17,<,17,Arizona,WAC,1-0,90,W 17-10 H San Diego State,Week 2Sep 16[3],1974
65,19,<,19,Houston,Ind,1-1,30,,Week 2Sep 16[3],1974
66,19,<,20,Stanford,Pac-8,0-1,30,,Week 2Sep 16[3],1974
67,NR,<,18,Missouri,Big 8,,0,,Week 2Sep 16[3],1974
68,1,<,2,Ohio State (23),Big Ten,2-0,1110,W 51-10 H Oregon State,Week 3Sep 23[4],1974
69,2,<,1,Notre Dame (26),Ind,2-0,1104,W 49-3 A Northwestern,Week 3Sep 23[4],1974
70,3,<,3,Oklahoma (8),Big 8,1-0,913,DNP,Week 3Sep 23[4],1974
71,4,<,5,Alabama (4),SEC,2-0,896,,Week 3Sep 23[4],1974
72,5,<,6,Michigan,Big Ten,2-0,756,,Week 3Sep 23[4],1974
73,6,<,9,Texas,Southwest,2-0,588,,Week 3Sep 23[4],1974
74,7,<,11,Arizona State,WAC,2-0,477,,Week 3Sep 23[4],1974
75,8,<,15,Pittsburgh,Ind,2-0,273,,Week 3Sep 23[4],1974
76,9,<,NR,Texas A&M,Southwest,2-0,256,,Week 3Sep 23[4],1974
77,10,<,4,Nebraska,Big 8,1-1,237,,Week 3Sep 23[4],1974
78,11,<,NR,Wisconsin,Big Ten,2-0,200,,Week 3Sep 23[4],1974
79,12,<,NR,Oklahoma State,Big 8,2-0,192,W 26-7 A Arkansas,Week 3Sep 23[4],1974
80,13,<,15,NC State,ACC,2-0,191,,Week 3Sep 23[4],1974
81,14,<,17,Tennessee,SEC,1-0-1,171,,Week 3Sep 23[4],1974
82,15,<,17,Arizona,WAC,2-0,135,W 35-20 A Indiana,Week 3Sep 23[4],1974
83,16,<,NR,Illinois,Big Ten,2-0,115,,Week 3Sep 23[4],1974
84,17,<,7,LSU,SEC,1-1,109,,Week 3Sep 23[4],1974
85,18,<,13,USC,Pac-8,0-1,103,,Week 3Sep 23[4],1974
86,19,<,8,Penn State,Ind,1-1,97,,Week 3Sep 23[4],1974
87,20,<,NR,Miami (FL),Ind,1-0,95,,Week 3Sep 23[4],1974
88,NR,<,10,Arkansas,Southwest,,0,L 26-7 H Oklahoma State,Week 3Sep 23[4],1974
89,NR,<,12,UCLA,Pac-8,,0,,Week 3Sep 23[4],1974
90,NR,<,14,Maryland,ACC,,0,,Week 3Sep 23[4],1974
91,NR,<,19,Houston,Ind,,0,,Week 3Sep 23[4],1974
92,NR,<,19,Stanford,Pac-8,,0,,Week 3Sep 23[4],1974
93,1,<,1,Ohio State (25.2),Big Ten,3-0,1044,W 28-9 H SMU,Week 4Sep 30[5],1974
94,2,<,3,Oklahoma (24.2),Big 8,2-0,1002,W 72-3 H Utah State,Week 4Sep 30[5],1974
95,3,<,4,Alabama (3.2),SEC,3-0,898,,Week 4Sep 30[5],1974
96,4,<,5,Michigan (4.2),Big Ten,3-0,878,,Week 4Sep 30[5],1974
97,5,<,9,Texas A&M (1.2),Southwest,3-0,554,,Week 4Sep 30[5],1974
98,6,<,10,Nebraska,Big 8,2-1,452,,Week 4Sep 30[5],1974
