,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
0,1,<,1,Alabama (58),SEC,0-0,1498,*1,DNP,PreseasonAug 17[1],2013,
1,2,<,3,Ohio State (1),Big Ten,0-0,1365,*2,DNP,PreseasonAug 17[1],2013,
2,3,<,2,Oregon,Pac-12,0-0,1335,3,DNP,PreseasonAug 17[1],2013,
3,4,<,7,Stanford,Pac-12,0-0,1294,4,DNP,PreseasonAug 17[1],2013,
4,5,<,5,Georgia (1),SEC,0-0,1249,5,DNP,PreseasonAug 17[1],2013,
5,6,<,8,South Carolina,SEC,0-0,1154,7,DNP,PreseasonAug 17[1],2013,
6,7,<,5,Texas A&M,SEC,0-0,1104,*6,DNP,PreseasonAug 17[1],2013,
7,8,<,11,Clemson,ACC,0-0,1083,8,DNP,PreseasonAug 17[1],2013,
8,9,<,13,Louisville,AAC,0-0,1042,9,DNP,PreseasonAug 17[1],2013,
9,10,<,9,Florida,SEC,0-0,894,10,DNP,PreseasonAug 17[1],2013,
10,11,<,10,Florida State,ACC,0-0,845,12,DNP,PreseasonAug 17[1],2013,
11,12,<,14,LSU,SEC,0-0,802,13,DNP,PreseasonAug 17[1],2013,
12,13,<,NR,Oklahoma State,Big 12,0-0,755,14,DNP,PreseasonAug 17[1],2013,
13,14,<,4,Notre Dame,Ind,0-0,748,11,DNP,PreseasonAug 17[1],2013,
14,15,<,19,Texas,Big 12,0-0,677,15,DNP,PreseasonAug 17[1],2013,
15,16,<,15,Oklahoma,Big 12,0-0,579,16,DNP,PreseasonAug 17[1],2013,
16,17,<,24,Michigan,Big Ten,0-0,531,17,DNP,PreseasonAug 17[1],2013,
17,18,<,25,Nebraska,Big Ten,0-0,382,18,DNP,PreseasonAug 17[1],2013,
18,19,<,18,Boise State,MWC,0-0,328,19,DNP,PreseasonAug 17[1],2013,
19,20,<,NR,TCU,Big 12,0-0,323,20,DNP,PreseasonAug 17[1],2013,
20,21,<,NR,UCLA,Pac-12,0-0,286,21,DNP,PreseasonAug 17[1],2013,
21,22,<,17,Northwestern,Big Ten,0-0,199,22,DNP,PreseasonAug 17[1],2013,
22,23,<,NR,Wisconsin,Big Ten,0-0,185,23,DNP,PreseasonAug 17[1],2013,
23,24,<,NR,USC,Pac-12,0-0,134,24,DNP,PreseasonAug 17[1],2013,
24,25,<,20,Oregon State,Pac-12,0-0,129,25,DNP,PreseasonAug 17[1],2013,
25,RV,<,NR,Michigan State,Big Ten,0-0,95,RV,DNP,PreseasonAug 17[1],2013,
26,RV,<,NR,Baylor,Big 12,0-0,92,RV,DNP,PreseasonAug 17[1],2013,
27,RV,<,NR,Virginia Tech,ACC,0-0,86,RV,DNP,PreseasonAug 17[1],2013,
28,RV,<,NR,Miami (FL),ACC,0-0,85,RV,DNP,PreseasonAug 17[1],2013,
29,RV,<,NR,Arizona State,Pac-12,0-0,53,RV,DNP,PreseasonAug 17[1],2013,
30,RV,<,12,Kansas State,Big 12,0-0,43,RV,DNP,PreseasonAug 17[1],2013,
31,RV,<,NR,Fresno State,MWC,0-0,36,RV,DNP,PreseasonAug 17[1],2013,
32,RV,<,23,Vanderbilt,SEC,0-0,19,RV,DNP,PreseasonAug 17[1],2013,
33,RV,<,NR,Washington,Pac-12,0-0,17,RV,DNP,PreseasonAug 17[1],2013,
34,RV,<,22,Northern Illinois,MAC,0-0,16,RV,DNP,PreseasonAug 17[1],2013,
35,RV,<,NR,Mississippi,SEC,0-0,11,RV,DNP,PreseasonAug 17[1],2013,
36,RV,<,16,Utah State,MWC,0-0,8,RV,DNP,PreseasonAug 17[1],2013,
37,RV,<,NR,Georgia Tech,ACC,0-0,6,NR,DNP,PreseasonAug 17[1],2013,
38,RV,<,NR,Arizona,Pac-12,0-0,3,RV,DNP,PreseasonAug 17[1],2013,
39,RV,<,NR,Cincinnati,AAC,0-0,3,RV,DNP,PreseasonAug 17[1],2013,
40,RV,<,NR,North Carolina,ACC,0-0,3,RV,DNP,PreseasonAug 17[1],2013,
41,RV,<,NR,Penn State,Big Ten,0-0,2,NR,DNP,PreseasonAug 17[1],2013,
42,RV,<,NR,BYU,Ind,0-0,1,RV,DNP,PreseasonAug 17[1],2013,
43,NR,<,21,San Jose State,MWC,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
44,NR,<,NR,Arkansas,SEC,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
45,NR,<,NR,Arkansas State,Sun Belt,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
46,NR,<,NR,East Carolina,CUSA,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
47,NR,<,NR,Kent State,MAC,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
48,NR,<,NR,Mississippi State,SEC,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
49,NR,<,NR,Ohio,MAC,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
50,NR,<,NR,Rutgers,AAC,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
51,NR,<,NR,Tennessee,SEC,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
52,NR,<,NR,Toledo,MAC,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
53,NR,<,NR,Tulsa,CUSA,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
54,NR,<,NR,UCF,AAC,0-0,0,RV,DNP,PreseasonAug 17[1],2013,
55,1,<,1,Alabama (58),SEC,1-0,1497,*1,W 35-10 N Virginia Tech,Week 1Sep 3[3],2013,
56,2,<,3,Oregon,Pac-12,1-0,1355,3,W 66-3 H Nicholls State,Week 1Sep 3[3],2013,
57,3,<,2,Ohio State (1),Big Ten,1-0,1330,*2,W 40-20 H Buffalo,Week 1Sep 3[3],2013,
58,4,<,8,Clemson (1),ACC,1-0,1304,5,W 38-35 H #5 Georgia,Week 1Sep 3[3],2013,
59,5,<,4,Stanford,Pac-12,0-0,1277,4,DNP,Week 1Sep 3[3],2013,
60,6,<,6,South Carolina,SEC,1-0,1181,6,W 27-10 H North Carolina,Week 1Sep 3[3],2013,
61,7,<,7,Texas A&M,SEC,1-0,1085,*7,W 52-31 H Rice,Week 1Sep 3[3],2013,
62,8,<,9,Louisville,AAC,1-0,1073,8,W 49-7 H Ohio,Week 1Sep 3[3],2013,
63,9,<,12,LSU,SEC,1-0,971,11,W 37-27 A #20 TCU (Cowboys Classic),Week 1Sep 3[3],2013,
64,10,<,11,Florida State,ACC,1-0,953,10,W 41-13 A Pittsburgh,Week 1Sep 3[3],2013,
65,11,<,5,Georgia,SEC,0-1,894,12,L 38-35 A #8 Clemson,Week 1Sep 3[3],2013,
66,12,<,10,Florida,SEC,1-0,875,9,W 24-6 H Toledo,Week 1Sep 3[3],2013,
67,13,<,13,Oklahoma State,Big 12,1-0,780,14,W 21-3 N Mississippi State,Week 1Sep 3[3],2013,
68,14,<,14,Notre Dame,Ind,1-0,707,13,W 28-6 H Temple,Week 1Sep 3[3],2013,
69,15,<,15,Texas,Big 12,1-0,674,16,W 56-7 H New Mexico State,Week 1Sep 3[3],2013,
70,16,<,16,Oklahoma,Big 12,1-0,612,15,W 34-0 H Louisiana-Monroe,Week 1Sep 3[3],2013,
71,17,<,17,Michigan,Big Ten,1-0,583,17,W 59-9 H Central Michigan,Week 1Sep 3[3],2013,
72,18,<,21,UCLA,Pac-12,1-0,387,18,W 58-20 H Nevada,Week 1Sep 3[3],2013,
73,19,<,22,Northwestern,Big Ten,1-0,320,20,W 44-30 A California,Week 1Sep 3[3],2013,
74,20,<,NR,Washington,Pac-12,1-0,315,23,W 38-6 H #19 Boise State,Week 1Sep 3[3],2013,
75,21,<,23,Wisconsin,Big Ten,1-0,287,21,W 45-0 H Massachusetts,Week 1Sep 3[3],2013,
76,22,<,18,Nebraska,Big Ten,1-0,219,19,W 37-34 H Wyoming,Week 1Sep 3[3],2013,
77,23,<,NR,Baylor,Big 12,1-0,150,RV,W 69-3 H Wofford,Week 1Sep 3[3],2013,
78,24,<,20,TCU,Big 12,0-1,148,24,L 37-27 H #12 LSU (Cowboys Classic),Week 1Sep 3[3],2013,
79,25,<,24,USC,Pac-12,1-0,135,22,W 30-13 A Hawaii,Week 1Sep 3[3],2013,
80,RV,<,NR,Miami (FL),ACC,1-0,127,24,W 34-6 H Florida Atlantic,Week 1Sep 3[3],2013,
81,RV,<,NR,Mississippi,SEC,1-0,50,RV,W 39-35 A Vanderbilt,Week 1Sep 3[3],2013,
82,RV,<,NR,Arizona State,Pac-12,0-0,48,RV,DNP,Week 1Sep 3[3],2013,
83,RV,<,NR,Michigan State,Big Ten,1-0,42,RV,W 26-13 H Western Michigan,Week 1Sep 3[3],2013,
84,RV,<,NR,Cincinnati,AAC,1-0,27,RV,W 42-7 H Purdue,Week 1Sep 3[3],2013,
85,RV,<,NR,Northern Illinois,MAC,1-0,27,RV,W 30-27 A Iowa,Week 1Sep 3[3],2013,
86,RV,<,NR,Fresno State,MWC,1-0,22,RV,W 52-51 (1OT) H Rutgers,Week 1Sep 3[3],2013,
87,RV,<,NR,Virginia Tech,ACC,0-1,12,RV,L 35-10 N #1 Alabama,Week 1Sep 3[3],2013,
88,RV,<,NR,Bowling Green,MAC,1-0,9,RV,W 34-7 H Tulsa,Week 1Sep 3[3],2013,
89,RV,<,NR,Georgia Tech,ACC,1-0,8,RV,W 70-0 H Elon,Week 1Sep 3[3],2013,
90,RV,<,NR,Arizona,Pac-12,1-0,6,RV,W 35-0 H Northern Arizona,Week 1Sep 3[3],2013,
91,RV,<,NR,Penn State,Big Ten,1-0,4,NR,W 23-17 N Syracuse,Week 1Sep 3[3],2013,
92,RV,<,19,Boise State,MWC,0-1,3,RV,L 38-6 A Washington,Week 1Sep 3[3],2013,
93,RV,<,NR,Virginia,ACC,1-0,2,NR,W 19-16 H BYU,Week 1Sep 3[3],2013,
94,RV,<,NR,Arkansas,SEC,1-0,1,RV,W 34-14 H Louisiana-Lafayette,Week 1Sep 3[3],2013,
95,NR,<,25,Oregon State,Pac-12,0-1,0,NR,L 49-46 H Eastern Washington,Week 1Sep 3[3],2013,
96,NR,<,NR,Arkansas State,Sun Belt,1-0,0,RV,W 62-11 H Arkansas-Pine Bluff,Week 1Sep 3[3],2013,
97,NR,<,NR,East Carolina,CUSA,1-0,0,RV,W 52-38 H Old Dominion,Week 1Sep 3[3],2013,
98,NR,<,NR,Kansas State,Big 12,0-1,0,RV,L 24-21 H North Dakota State,Week 1Sep 3[3],2013,
99,NR,<,NR,Missouri,SEC,1-0,0,RV,W 58-14 H Murray State,Week 1Sep 3[3],2013,
100,NR,<,NR,North Carolina,ACC,0-1,0,RV,L 27-10 A #6 South Carolina,Week 1Sep 3[3],2013,
101,NR,<,NR,San Jose State,MWC,1-0,0,RV,W 24-0 H Sacramento State,Week 1Sep 3[3],2013,
102,NR,<,NR,Texas Tech,Big 12,1-0,0,RV,W 41-23 A SMU,Week 1Sep 3[3],2013,
103,NR,<,NR,UCF,AAC,1-0,0,RV,W 38-7 H Akron,Week 1Sep 3[3],2013,
104,NR,<,NR,Utah State,MWC,0-1,0,RV,L 30-26 A Utah,Week 1Sep 3[3],2013,
105,1,<,1,Alabama (57),SEC,1-0,1494,*1,DNP,Week 2Sep 8[4],2013,
106,2,<,2,Oregon (1),Pac-12,2-0,1385,*2,W 59-10 A Virginia,Week 2Sep 8[4],2013,
107,3,<,4,Clemson (1),ACC,2-0,1332,5,W 52-13 H South Carolina State,Week 2Sep 8[4],2013,
108,4,<,3,Ohio State (1),Big Ten,2-0,1327,*3,W 42-7 H San Diego State,Week 2Sep 8[4],2013,
109,5,<,5,Stanford,Pac-12,1-0,1271,4,W 34-13 H San Jose State,Week 2Sep 8[4],2013,
110,6,<,7,Texas A&M,SEC,2-0,1133,*6,W 65-28 H Sam Houston State,Week 2Sep 8[4],2013,
111,7,<,8,Louisville,AAC,2-0,1105,7,W 44-7 H Eastern Kentucky,Week 2Sep 8[4],2013,
112,8,<,9,LSU,SEC,2-0,1075,8,W 56-17 H UAB,Week 2Sep 8[4],2013,
113,9,<,11,Georgia,SEC,1-1,1036,10,W 41-30 H #6 South Carolina,Week 2Sep 8[4],2013,
114,10,<,10,Florida State,ACC,1-0,1011,9,DNP,Week 2Sep 8[4],2013,
115,11,<,17,Michigan,Big Ten,2-0,872,12,W 41-30 H #14 Notre Dame,Week 2Sep 8[4],2013,
116,12,<,13,Oklahoma State,Big 12,2-0,834,11,W 56-35 A UTSA,Week 2Sep 8[4],2013,
117,13,<,6,South Carolina,SEC,1-1,829,14,L 41-30 A #11 Georgia,Week 2Sep 8[4],2013,
118,14,<,16,Oklahoma,Big 12,2-0,675,13,W 16-7 H West Virginia,Week 2Sep 8[4],2013,
119,15,<,NR,Miami (FL),ACC,2-0,615,18,W 21-16 H #12 Florida,Week 2Sep 8[4],2013,
120,16,<,18,UCLA,Pac-12,1-0,488,17,DNP,Week 2Sep 8[4],2013,
121,17,<,19,Northwestern,Big Ten,2-0,452,16,W 48-27 H Syracuse,Week 2Sep 8[4],2013,
122,18,<,12,Florida,SEC,1-1,405,20,L 21-16 A Miami (FL),Week 2Sep 8[4],2013,
123,19,<,20,Washington,Pac-12,1-0,392,23,DNP,Week 2Sep 8[4],2013,
124,20,<,21,Wisconsin,Big Ten,2-0,378,18,W 48-0 H Tennessee Tech,Week 2Sep 8[4],2013,
125,21,<,14,Notre Dame,Ind,1-1,333,21,L 41-30 A #17 Michigan,Week 2Sep 8[4],2013,
126,22,<,23,Baylor,Big 12,2-0,295,22,W 70-13 H Buffalo,Week 2Sep 8[4],2013,
127,23,<,22,Nebraska,Big Ten,2-0,277,15,W 56-13 H Southern Miss,Week 2Sep 8[4],2013,
128,24,<,24,TCU,Big 12,1-1,170,24,W 38-17 H Southeastern Louisiana,Week 2Sep 8[4],2013,
129,25,<,NR,Mississippi,SEC,2-0,78,25,W 31-13 H Southeast Missouri State,Week 2Sep 8[4],2013,
130,RV,<,NR,Arizona State,Pac-12,1-0,64,RV,W 55-0 H Sacramento State,Week 2Sep 8[4],2013,
131,RV,<,15,Texas,Big 12,1-1,26,RV,L 40-21 A BYU,Week 2Sep 8[4],2013,
132,RV,<,NR,Fresno State,MWC,2-0,26,RV,W 41-25 H Cal Poly,Week 2Sep 8[4],2013,
133,RV,<,NR,Michigan State,Big Ten,2-0,26,RV,W 21-6 H South Florida,Week 2Sep 8[4],2013,
