,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,4,Ohio State (19),Big Ten,0-0,646.0,DNP,PreseasonAug[1],1970
1,2,<,1,Texas (7),Southwest,0-0,599.0,DNP,PreseasonAug[1],1970
2,3,<,3,USC (6),Pac-8,0-0,551.0,DNP,PreseasonAug[1],1970
3,4,<,7,Arkansas (1),Southwest,0-0,378.0,DNP,PreseasonAug[1],1970
4,5,<,8,Mississippi (1),SEC,0-0,361.0,DNP,PreseasonAug[1],1970
5,6,<,5,Notre Dame,Ind,0-0,341.0,DNP,PreseasonAug[1],1970
6,7,<,2,Penn State (1),Ind,0-0,308.0,DNP,PreseasonAug[1],1970
7,8,<,9,Michigan,Big Ten,0-0,237.0,DNP,PreseasonAug[1],1970
8,9,<,11,Nebraska,Big 8,0-0,216.0,DNP,PreseasonAug[1],1970
9,10,<,19,Stanford,Pac-8,0-0,201.0,DNP,PreseasonAug[1],1970
10,11,<,6,Missouri,Big 8,0-0,157.0,DNP,PreseasonAug[1],1970
11,12,<,10,LSU (1),SEC,0-0,131.0,DNP,PreseasonAug[1],1970
12,13,<,12,Houston,Ind,0-0,123.0,DNP,PreseasonAug[1],1970
13,14,<,NR,Kansas State,Big 8,0-0,107.0,DNP,PreseasonAug[1],1970
14,15,<,14,Florida,SEC,0-0,84.0,DNP,PreseasonAug[1],1970
15,16,<,NR,Alabama,SEC,0-0,49.0,DNP,PreseasonAug[1],1970
16,17,<,NR,South Carolina,ACC,0-0,40.0,DNP,PreseasonAug[1],1970
17,18,<,13,UCLA,Pac-8,0-0,38.0,DNP,PreseasonAug[1],1970
18,19,<,NR,Arizona State,WAC,0-0,35.0,DNP,PreseasonAug[1],1970
19,20,<,17,West Virginia,Ind,0-0,28.0,DNP,PreseasonAug[1],1970
20,20,<,20,Auburn,SEC,0-0,28.0,DNP,PreseasonAug[1],1970
21,20,<,NR,Oklahoma,Big 8,0-0,28.0,DNP,PreseasonAug[1],1970
22,NR,<,15,Tennessee,SEC,0-0,0.0,DNP,PreseasonAug[1],1970
23,NR,<,16,Colorado,Big 8,0-0,0.0,DNP,PreseasonAug[1],1970
24,NR,<,18,Purdue,Big Ten,0-0,0.0,DNP,PreseasonAug[1],1970
25,1,<,1,Ohio State (24),Big Ten,0-0,728.0,DNP,Week 1Sep 14[2],1970
26,2,<,2,Texas (6),Southwest,0-0,657.0,DNP,Week 1Sep 14[2],1970
27,3,<,3,USC (7),Pac-8,1-0,644.0,,Week 1Sep 14[2],1970
28,4,<,10,Stanford,Pac-8,1-0,481.0,,Week 1Sep 14[2],1970
29,5,<,5,Mississippi (1),SEC,0-0,432.0,DNP,Week 1Sep 14[2],1970
30,6,<,6,Notre Dame,Ind,0-0,364.0,DNP,Week 1Sep 14[2],1970
31,7,<,7,Penn State (1),Ind,0-0,316.0,DNP,Week 1Sep 14[2],1970
32,8,<,8,Michigan (1),Big Ten,0-0,307.0,DNP,Week 1Sep 14[2],1970
33,9,<,9,Nebraska,Big 8,1-0,299.0,,Week 1Sep 14[2],1970
34,10,<,11,Missouri,Big 8,1-0,260.0,,Week 1Sep 14[2],1970
35,11,<,4,Arkansas,Southwest,0-1,148.0,,Week 1Sep 14[2],1970
36,12,<,12,LSU,SEC,0-0,139.0,DNP,Week 1Sep 14[2],1970
37,13,<,14,Kansas State,Big 8,1-0,134.0,,Week 1Sep 14[2],1970
38,14,<,15,Florida,SEC,1-0,94.0,,Week 1Sep 14[2],1970
39,15,<,13,Houston,Ind,0-0,91.0,DNP,Week 1Sep 14[2],1970
40,16,<,18,UCLA,Pac-8,1-0,70.0,,Week 1Sep 14[2],1970
41,17,<,20,West Virginia,Ind,1-0,44.0,,Week 1Sep 14[2],1970
42,18,<,20,Oklahoma,Big 8,1-0,40.0,W 28-11 A SMU,Week 1Sep 14[2],1970
43,19,<,NR,Georgia,SEC,0-0,21.0,DNP,Week 1Sep 14[2],1970
44,20,<,19,Arizona State,WAC,0-0,16.0,DNP,Week 1Sep 14[2],1970
45,NR,<,16,Alabama,SEC,,0.0,,Week 1Sep 14[2],1970
46,NR,<,17,South Carolina,ACC,,0.0,,Week 1Sep 14[2],1970
47,NR,<,20,Auburn,SEC,,0.0,,Week 1Sep 14[2],1970
48,1,<,1,Ohio State (14),Big Ten,0-0,645.0,DNP,Week 2Sep 21[3],1970
49,2,<,2,Texas (16),Southwest,1-0,632.0,,Week 2Sep 21[3],1970
