,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,,Notre Dame (50),Ind,2-0,1200,W 40-0 A Pittsburgh,Week 1Oct 4[1],1948
1,2,<,,North Carolina (55),Southern,2-0,1190,,Week 1Oct 4[1],1948
2,3,<,,Northwestern (21),Big Ten,2-0,1025,,Week 1Oct 4[1],1948
3,4,<,,SMU (13),Southwest,2-0,882,,Week 1Oct 4[1],1948
4,5,<,,Army (7),Ind,2-0,725,,Week 1Oct 4[1],1948
5,6,<,,Georgia Tech,SEC,2-0,598,,Week 1Oct 4[1],1948
6,7,<,,Michigan (2),Big Ten,2-0,542,,Week 1Oct 4[1],1948
7,8,<,,Minnesota,Big Ten,2-0,407,,Week 1Oct 4[1],1948
8,9,<,,California (3),PCC,3-0,399,,Week 1Oct 4[1],1948
9,10,<,,Penn State (2),Ind,1-0,305,,Week 1Oct 4[1],1948
10,11,<,,Ohio State,Big Ten,2-0,253,,Week 1Oct 4[1],1948
11,12,<,,Penn,Ind,1-0,237,,Week 1Oct 4[1],1948
12,13,<,,Arkansas,Southwest,2-0,114,,Week 1Oct 4[1],1948
13,13,<,,Mississippi,SEC,2-0,114,,Week 1Oct 4[1],1948
14,15,<,,Purdue,Big Ten,0-2,61,,Week 1Oct 4[1],1948
15,16,<,,Texas,Southwest,1-0,39,,Week 1Oct 4[1],1948
16,17,<,,Indiana,Big Ten,2-0,33,W 7-0 H Iowa,Week 1Oct 4[1],1948
17,18,<,,Harvard,Ind,1-0,29,W 33-24 H Columbia,Week 1Oct 4[1],1948
18,19,<,,Nevada,Ind,2-0,24,W 26-7 A San Francisco,Week 1Oct 4[1],1948
19,20,<,,Tennessee,SEC,0-1-1,17,,Week 1Oct 4[1],1948
20,1,<,2,North Carolina (52),Southern,3-0,1200,W 28-6 A Wake Forest,Week 2Oct 11[2],1948
21,2,<,1,Notre Dame (34),Ind,3-0,1180,W 26-7 H Michigan State,Week 2Oct 11[2],1948
22,3,<,3,Northwestern (25),Big Ten,3-0,1172,,Week 2Oct 11[2],1948
23,4,<,7,Michigan (24),Big Ten,3-0,1103,,Week 2Oct 11[2],1948
24,5,<,5,Army (5),Ind,3-0,733,,Week 2Oct 11[2],1948
25,6,<,9,California (10),PCC,4-0,720,,Week 2Oct 11[2],1948
26,7,<,6,Georgia Tech,SEC,3-0,589,,Week 2Oct 11[2],1948
27,8,<,12,Penn (7),Ind,2-0,388,,Week 2Oct 11[2],1948
28,9,<,10,Penn State (1),Ind,2-0,342,,Week 2Oct 11[2],1948
29,10,<,13,Mississippi,SEC,3-0,136,,Week 2Oct 11[2],1948
30,11,<,8,Minnesota,Big Ten,3-0,121,,Week 2Oct 11[2],1948
31,12,<,NR,Missouri (1),Big 7,2-1,117,,Week 2Oct 11[2],1948
32,13,<,NR,Cornell,Ind,3-0,97,W 40-6 H Harvard,Week 2Oct 11[2],1948
33,14,<,4,SMU,Southwest,2-1,74,,Week 2Oct 11[2],1948
34,15,<,NR,Clemson,Southern,2-0,64,,Week 2Oct 11[2],1948
35,16,<,NR,Georgia,SEC,2-1,58,,Week 2Oct 11[2],1948
36,17,<,19,Nevada,Ind,3-0,44,W 48-7 H North Texas,Week 2Oct 11[2],1948
37,18,<,NR,Duke,Southern,1-0-2,42,,Week 2Oct 11[2],1948
38,19,<,NR,Baylor,Southwest,2-0-1,41,,Week 2Oct 11[2],1948
39,20,<,NR,Oklahoma,Big 7,2-1,32,W 20-14 N #16 Texas,Week 2Oct 11[2],1948
40,NR,<,11,Ohio State,Big Ten,,0,,Week 2Oct 11[2],1948
41,NR,<,13,Arkansas,Southwest,,0,,Week 2Oct 11[2],1948
42,NR,<,15,Purdue,Big Ten,,0,,Week 2Oct 11[2],1948
43,NR,<,16,Texas,Southwest,,0,,Week 2Oct 11[2],1948
44,NR,<,17,Indiana,Big Ten,,0,,Week 2Oct 11[2],1948
45,NR,<,18,Harvard,Ind,,0,,Week 2Oct 11[2],1948
46,NR,<,20,Tennessee,SEC,,0,,Week 2Oct 11[2],1948
47,1,<,4,Michigan (74),Big Ten,4-0,1336,W 28-0 H #3 Northwestern,Week 3Oct 18[3],1948
48,2,<,2,Notre Dame (23),Ind,4-0,1218,W 44-13 A Nebraska,Week 3Oct 18[3],1948
49,3,<,1,North Carolina (32),Southern,4-0,1139,W 14-0 H NC State,Week 3Oct 18[3],1948
50,4,<,6,California (14),PCC,5-0,876,,Week 3Oct 18[3],1948
51,5,<,5,Army (1),Ind,4-0,775,,Week 3Oct 18[3],1948
52,6,<,7,Georgia Tech,SEC,4-0,627,,Week 3Oct 18[3],1948
