,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,CP,BCS
478,18,<,19,Boston College,ACC,9-3,545,W 27-21 N Boise State (MPC Computers),16,2005,,
479,19,<,15,Louisville,Big East,9-3,410,L 35-24 N #12 Virginia Tech (Gator),16,2005,,
480,20,<,18,Texas Tech,Big 12,9-3,359,L 13-10 N #13 Alabama (Cotton),16,2005,,
481,21,<,23,Clemson,ACC,8-4,339,W 19-10 N Colorado (Champs Sports),16,2005,,
482,22,<,NR,Oklahoma,Big 12,8-4,329,W 17-14 N #6 Oregon (Holiday),16,2005,,
483,23,<,22,Florida State,ACC,8-5,232,L 26-23 (3OT) N #3 Penn State (Orange),16,2005,,
484,24,<,NR,Nebraska,Big 12,8-4,128,,16,2005,,
485,25,<,NR,California,Pac-10,8-4,45,,16,2005,,
486,NR,<,20,Michigan,Big Ten,,0,L 32-28 N Nebraska (Alamo),16,2005,,
487,NR,<,24,Georgia Tech,ACC,,0,L 38-10 N Utah (Emerald),16,2005,,
488,NR,<,25,Iowa,Big Ten,,0,L 31-24 N #16 Florida (Outback),16,2005,,
