,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,3,Oklahoma (55),Big 8,0-0,1193.0,DNP,PreseasonAug 28[1],1987
1,2,<,5,Nebraska (3),Big 8,0-0,1005.0,DNP,PreseasonAug 28[1],1987
2,3,<,14,UCLA (1),Pac-10,0-0,935.0,DNP,PreseasonAug 28[1],1987
3,4,<,7,Ohio State,Big Ten,0-0,906.0,DNP,PreseasonAug 28[1],1987
4,5,<,6,Auburn,SEC,0-0,835.0,DNP,PreseasonAug 28[1],1987
5,6,<,10,LSU,SEC,0-0,789.0,DNP,PreseasonAug 28[1],1987
6,7,<,8,Michigan,Big Ten,0-0,754.0,DNP,PreseasonAug 28[1],1987
7,8,<,NR,Florida State,Ind,0-0,723.0,DNP,PreseasonAug 28[1],1987
8,9,<,17,Clemson,ACC,0-0,682.0,DNP,PreseasonAug 28[1],1987
9,10,<,2,Miami (FL),Ind,0-0,676.0,DNP,PreseasonAug 28[1],1987
10,11,<,1,Penn State (1),Ind,0-0,603.0,DNP,PreseasonAug 28[1],1987
11,12,<,15,Arkansas,Southwest,0-0,598.0,DNP,PreseasonAug 28[1],1987
12,13,<,18,Washington,Pac-10,0-0,521.0,DNP,PreseasonAug 28[1],1987
13,14,<,4,Arizona State,Pac-10,0-0,440.0,DNP,PreseasonAug 28[1],1987
14,15,<,13,Texas A&M,Southwest,0-0,424.0,DNP,PreseasonAug 28[1],1987
15,16,<,16,Iowa,Big Ten,0-0,318.0,DNP,PreseasonAug 28[1],1987
16,17,<,NR,Tennessee,SEC,0-0,231.0,DNP,PreseasonAug 28[1],1987
17,18,<,NR,Notre Dame,Ind,0-0,207.0,DNP,PreseasonAug 28[1],1987
18,19,<,NR,USC,Pac-10,0-0,141.0,DNP,PreseasonAug 28[1],1987
19,20,<,NR,Florida,SEC,0-0,127.0,DNP,PreseasonAug 28[1],1987
20,20,<,NR,Georgia,SEC,0-0,127.0,DNP,PreseasonAug 28[1],1987
21,NR,<,9,Alabama,SEC,0-0,0.0,DNP,PreseasonAug 28[1],1987
22,NR,<,12,Baylor,Southwest,0-0,0.0,DNP,PreseasonAug 28[1],1987
23,NR,<,20,Virginia Tech,Ind,0-0,0.0,DNP,PreseasonAug 28[1],1987
24,1,<,1,Oklahoma (54),Big 8,1-0,1154.0,W 69-14 H North Texas,Week 1Sep 8[2],1987
25,2,<,2,Nebraska (3),Big 8,1-0,1054.0,,Week 1Sep 8[2],1987
26,3,<,3,UCLA (1),Pac-10,1-0,947.0,,Week 1Sep 8[2],1987
27,4,<,5,Auburn,SEC,1-0,937.0,,Week 1Sep 8[2],1987
28,5,<,4,Ohio State,Big Ten,0-0,857.0,DNP,Week 1Sep 8[2],1987
29,6,<,6,LSU,SEC,1-0,821.0,,Week 1Sep 8[2],1987
30,7,<,10,Miami (FL),Ind,1-0,793.0,,Week 1Sep 8[2],1987
31,8,<,8,Florida State,Ind,1-0,744.0,,Week 1Sep 8[2],1987
32,9,<,7,Michigan,Big Ten,0-0,723.0,DNP,Week 1Sep 8[2],1987
33,10,<,9,Clemson,ACC,1-0,674.0,,Week 1Sep 8[2],1987
34,11,<,11,Penn State,Ind,1-0,572.0,,Week 1Sep 8[2],1987
35,12,<,13,Washington,Pac-10,1-0,524.0,,Week 1Sep 8[2],1987
36,13,<,12,Arkansas,Southwest,0-0,475.0,DNP,Week 1Sep 8[2],1987
37,14,<,17,Tennessee,SEC,2-0,417.0,,Week 1Sep 8[2],1987
38,15,<,14,Arizona State,Pac-10,0-0,391.0,DNP,Week 1Sep 8[2],1987
39,16,<,18,Notre Dame,Ind,0-0,198.0,DNP,Week 1Sep 8[2],1987
40,17,<,NR,Michigan State,Big Ten,1-0,161.0,,Week 1Sep 8[2],1987
41,18,<,NR,Pittsburgh,Ind,1-0,159.0,,Week 1Sep 8[2],1987
42,19,<,NR,Alabama,SEC,1-0,155.0,,Week 1Sep 8[2],1987
43,20,<,20,Georgia,SEC,1-0,112.0,,Week 1Sep 8[2],1987
