,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,2,Alabama (31),SEC,0-0,1215,DNP,PreseasonPreseason[1][2],1978
1,2,<,3,Arkansas (13),Southwest,0-0,1111,DNP,PreseasonPreseason[1][2],1978
2,3,<,5,Penn State (5),Ind,0-0,1013,DNP,PreseasonPreseason[1][2],1978
3,4,<,7,Oklahoma (1),Big 8,0-0,997,DNP,PreseasonPreseason[1][2],1978
4,5,<,1,Notre Dame (9),Ind,0-0,987,DNP,PreseasonPreseason[1][2],1978
5,6,<,9,Michigan,Big Ten,0-0,908,DNP,PreseasonPreseason[1][2],1978
6,7,<,11,Ohio State,Big Ten,0-0,884,DNP,PreseasonPreseason[1][2],1978
7,8,<,4,Texas (1),Southwest,0-0,759,DNP,PreseasonPreseason[1][2],1978
8,9,<,13,USC (2),Pac-10,0-0,747,DNP,PreseasonPreseason[1][2],1978
9,10,<,12,Nebraska,Big 8,0-0,563,DNP,PreseasonPreseason[1][2],1978
10,11,<,10,Washington,Pac-10,0-0,546,DNP,PreseasonPreseason[1][2],1978
11,12,<,NR,UCLA,Pac-10,0-0,494,DNP,PreseasonPreseason[1][2],1978
12,13,<,NR,LSU,SEC,0-0,486,DNP,PreseasonPreseason[1][2],1978
13,14,<,8,Pittsburgh,Ind,0-0,434,DNP,PreseasonPreseason[1][2],1978
14,15,<,6,Kentucky,SEC,0-0,419,DNP,PreseasonPreseason[1][2],1978
15,16,<,NR,Texas A&M (1),Southwest,0-0,410,DNP,PreseasonPreseason[1][2],1978
16,17,<,14,Florida State,Ind,0-0,192,DNP,PreseasonPreseason[1][2],1978
17,18,<,19,Clemson,ACC,0-0,152,DNP,PreseasonPreseason[1][2],1978
18,19,<,17,North Carolina,ACC,0-0,150,DNP,PreseasonPreseason[1][2],1978
19,20,<,NR,Iowa State,Big 8,0-0,148,DNP,PreseasonPreseason[1][2],1978
20,NR,<,15,Stanford,Pac-10,0-0,0,DNP,PreseasonPreseason[1][2],1978
21,NR,<,16,San Diego State,WAC,0-0,0,DNP,PreseasonPreseason[1][2],1978
22,NR,<,18,Arizona State,Pac-10,0-0,0,DNP,PreseasonPreseason[1][2],1978
23,NR,<,20,BYU,WAC,0-0,0,DNP,PreseasonPreseason[1][2],1978
24,1,<,1,Alabama (51),SEC,1-0,1247,W 20-3 H #10 Nebraska,Week 1Sep 11[1],1978
25,2,<,2,Arkansas (11),Southwest,0-0,1128,DNP,Week 1Sep 11[1],1978
26,3,<,4,Oklahoma,Big 8,1-0,1044,W 35-29 A Stanford,Week 1Sep 11[1],1978
27,4,<,6,Michigan,Big Ten,0-0,933,DNP,Week 1Sep 11[1],1978
28,5,<,3,Penn State (1),Ind,2-0,922,,Week 1Sep 11[1],1978
29,6,<,7,Ohio State,Big Ten,0-0,891,DNP,Week 1Sep 11[1],1978
30,7,<,8,Texas,Southwest,0-0,833,DNP,Week 1Sep 11[1],1978
31,8,<,9,USC,Pac-10,1-0,780,,Week 1Sep 11[1],1978
32,9,<,12,UCLA,Pac-10,1-0,777,,Week 1Sep 11[1],1978
33,10,<,16,Texas A&M,Southwest,1-0,544,,Week 1Sep 11[1],1978
34,11,<,NR,Missouri,Big 8,1-0,516,,Week 1Sep 11[1],1978
35,12,<,10,Nebraska,Big 8,1-1,469,,Week 1Sep 11[1],1978
36,13,<,13,LSU,SEC,0-0,460,DNP,Week 1Sep 11[1],1978
37,14,<,14,Pittsburgh,Ind,0-0,394,DNP,Week 1Sep 11[1],1978
38,15,<,5,Notre Dame,Ind,0-1,379,,Week 1Sep 11[1],1978
39,16,<,17,Florida State,Ind,1-0,353,,Week 1Sep 11[1],1978
40,17,<,15,Kentucky,SEC,0-0,299,DNP,Week 1Sep 11[1],1978
41,18,<,11,Washington,Pac-10,0-1,235,,Week 1Sep 11[1],1978
42,19,<,20,Iowa State,Big 8,1-0,142,W 23-19 A Rice,Week 1Sep 11[1],1978
43,20,<,NR,Maryland,ACC,1-0,132,,Week 1Sep 11[1],1978
44,NR,<,18,Clemson,ACC,,0,,Week 1Sep 11[1],1978
45,NR,<,19,North Carolina,ACC,,0,,Week 1Sep 11[1],1978
46,1,<,1,Alabama (50),SEC,2-0,1207,W 38-20 A #11 Missouri,Week 2Sep 18[1],1978
47,2,<,2,Arkansas (6),Southwest,1-0,1124,,Week 2Sep 18[1],1978
48,3,<,3,Oklahoma (1),Big 8,2-0,1053,W 52-10 H West Virginia,Week 2Sep 18[1],1978
49,3,<,5,Penn State (4),Ind,3-0,1053,,Week 2Sep 18[1],1978
50,5,<,4,Michigan,Big Ten,1-0,969,,Week 2Sep 18[1],1978
51,6,<,7,Texas,Southwest,1-0,894,,Week 2Sep 18[1],1978
52,7,<,8,USC,Pac-10,2-0,829,,Week 2Sep 18[1],1978
53,8,<,9,UCLA,Pac-10,2-0,824,,Week 2Sep 18[1],1978
54,9,<,10,Texas A&M,Southwest,1-0,647,,Week 2Sep 18[1],1978
55,10,<,13,LSU,SEC,1-0,551,,Week 2Sep 18[1],1978
56,11,<,14,Pittsburgh,Ind,1-0,537,,Week 2Sep 18[1],1978
57,12,<,12,Nebraska,Big 8,2-1,532,,Week 2Sep 18[1],1978
58,13,<,16,Florida State,Ind,2-0,432,,Week 2Sep 18[1],1978
59,14,<,15,Notre Dame,Ind,0-1,325,,Week 2Sep 18[1],1978
60,15,<,18,Washington,Pac-10,1-1,311,,Week 2Sep 18[1],1978
61,16,<,6,Ohio State,Big Ten,0-1,293,,Week 2Sep 18[1],1978
62,17,<,11,Missouri,Big 8,1-1,259,,Week 2Sep 18[1],1978
63,18,<,20,Maryland,ACC,2-0,204,,Week 2Sep 18[1],1978
64,19,<,NR,Colorado,Big 8,2-0,148,,Week 2Sep 18[1],1978
65,20,<,19,Iowa State,Big 8,2-0,139,W 14-13 H San Diego State,Week 2Sep 18[1],1978
66,NR,<,17,Kentucky,SEC,,0,,Week 2Sep 18[1],1978
67,1,<,3,Oklahoma (27),Big 8,3-0,1235,W 66-7 H Rice,Week 3Sep 25[1],1978
68,2,<,2,Arkansas (17),Southwest,2-0,1208,,Week 3Sep 25[1],1978
69,3,<,7,USC (14),Pac-10,3-0,1189,,Week 3Sep 25[1],1978
70,4,<,5,Michigan (6),Big Ten,2-0,1144,,Week 3Sep 25[1],1978
71,5,<,3,Penn State (2),Ind,4-0,1087,,Week 3Sep 25[1],1978
72,6,<,6,Texas,Southwest,2-0,950,,Week 3Sep 25[1],1978
73,7,<,1,Alabama,SEC,2-1,871,L 24-14 H #7 USC,Week 3Sep 25[1],1978
74,8,<,9,Texas A&M,Southwest,2-0,819,,Week 3Sep 25[1],1978
75,9,<,11,Pittsburgh,Ind,2-0,678,,Week 3Sep 25[1],1978
76,10,<,13,Florida State,Ind,3-0,662,,Week 3Sep 25[1],1978
77,11,<,10,LSU,SEC,2-0,576,,Week 3Sep 25[1],1978
78,12,<,12,Nebraska,Big 8,2-1,508,,Week 3Sep 25[1],1978
79,13,<,16,Ohio State,Big Ten,1-1,449,,Week 3Sep 25[1],1978
80,14,<,17,Missouri,Big 8,2-1,446,,Week 3Sep 25[1],1978
81,15,<,18,Maryland,ACC,3-0,376,,Week 3Sep 25[1],1978
82,16,<,19,Colorado,Big 8,3-0,356,,Week 3Sep 25[1],1978
83,17,<,20,Iowa State,Big 8,3-0,312,W 31-0 A Iowa,Week 3Sep 25[1],1978
84,18,<,8,UCLA,Pac-10,2-1,229,,Week 3Sep 25[1],1978
85,19,<,NR,Georgia,SEC,2-0,117,,Week 3Sep 25[1],1978
86,20,<,NR,Stanford,Pac-10,2-1,85,,Week 3Sep 25[1],1978
87,NR,<,14,Notre Dame,Ind,,0,,Week 3Sep 25[1],1978
88,NR,<,15,Washington,Pac-10,,0,,Week 3Sep 25[1],1978
89,1,<,1,Oklahoma (38),Big 8,4-0,1226,W 45-23 H #14 Missouri,Week 4Oct 2[1],1978
90,2,<,3,USC (14),Pac-10,4-0,1166,,Week 4Oct 2[1],1978
91,3,<,4,Michigan (6),Big Ten,3-0,1093,,Week 4Oct 2[1],1978
92,4,<,2,Arkansas (3),Southwest,3-0,1062,,Week 4Oct 2[1],1978
93,5,<,5,Penn State (2),Ind,5-0,1049,,Week 4Oct 2[1],1978
94,6,<,6,Texas,Southwest,3-0,917,,Week 4Oct 2[1],1978
95,7,<,8,Texas A&M,Southwest,3-0,853,,Week 4Oct 2[1],1978
96,8,<,7,Alabama,SEC,3-1,842,,Week 4Oct 2[1],1978
97,9,<,9,Pittsburgh,Ind,3-0,669,,Week 4Oct 2[1],1978
98,10,<,12,Nebraska,Big 8,3-1,650,,Week 4Oct 2[1],1978
99,11,<,11,LSU,SEC,3-0,621,,Week 4Oct 2[1],1978
100,12,<,15,Maryland,ACC,4-0,536,,Week 4Oct 2[1],1978
101,13,<,16,Colorado,Big 8,4-0,484,,Week 4Oct 2[1],1978
102,14,<,13,Ohio State,Big Ten,2-1,425,,Week 4Oct 2[1],1978
103,15,<,17,Iowa State,Big 8,4-0,400,W 35-7 H Drake,Week 4Oct 2[1],1978
104,16,<,18,UCLA,Pac-10,3-1,296,,Week 4Oct 2[1],1978
105,17,<,20,Stanford,Pac-10,3-1,190,,Week 4Oct 2[1],1978
106,18,<,10,Florida State,Ind,3-1,184,,Week 4Oct 2[1],1978
107,19,<,NR,Auburn,SEC,3-0,117,,Week 4Oct 2[1],1978
108,20,<,NR,NC State,ACC,4-0,109,,Week 4Oct 2[1],1978
109,NR,<,14,Missouri,Big 8,,0,,Week 4Oct 2[1],1978
110,NR,<,19,Georgia,SEC,,0,,Week 4Oct 2[1],1978
111,1,<,1,Oklahoma (52),Big 8,5-0,1248,W 31-10 N #6 Texas,Week 5Oct 9[1],1978
112,2,<,2,USC (5),Pac-10,4-0,1144,,Week 5Oct 9[1],1978
113,3,<,4,Arkansas (3),Southwest,4-0,1071,,Week 5Oct 9[1],1978
114,3,<,5,Penn State (3),Ind,6-0,1071,,Week 5Oct 9[1],1978
115,5,<,3,Michigan,Big Ten,4-0,1040,,Week 5Oct 9[1],1978
116,6,<,7,Texas A&M,Southwest,4-0,931,,Week 5Oct 9[1],1978
117,7,<,8,Alabama,SEC,4-1,841,,Week 5Oct 9[1],1978
118,8,<,10,Nebraska,Big 8,4-1,743,,Week 5Oct 9[1],1978
119,9,<,9,Pittsburgh,Ind,4-0,733,,Week 5Oct 9[1],1978
120,10,<,12,Maryland,ACC,5-0,680,,Week 5Oct 9[1],1978
121,11,<,11,LSU,SEC,4-0,635,,Week 5Oct 9[1],1978
122,12,<,6,Texas,Southwest,3-1,597,,Week 5Oct 9[1],1978
123,13,<,13,Colorado,Big 8,5-0,571,,Week 5Oct 9[1],1978
124,14,<,16,UCLA,Pac-10,4-1,452,,Week 5Oct 9[1],1978
125,15,<,18,Florida State,Ind,4-1,226,,Week 5Oct 9[1],1978
126,16,<,14,Ohio State,Big Ten,2-1-1,158,,Week 5Oct 9[1],1978
127,17,<,NR,Houston,Southwest,3-1,124,,Week 5Oct 9[1],1978
128,18,<,17,Stanford,Pac-10,3-2,115,,Week 5Oct 9[1],1978
129,19,<,NR,Missouri,Big 8,3-2,110,,Week 5Oct 9[1],1978
130,20,<,15,Iowa State,Big 8,4-1,101,L 23-0 H Nebraska,Week 5Oct 9[1],1978
131,NR,<,19,Auburn,SEC,,0,,Week 5Oct 9[1],1978
132,NR,<,20,NC State,ACC,,0,,Week 5Oct 9[1],1978
133,1,<,1,Oklahoma (40),Big 8,6-0,1137,W 17-16 A Kansas,Week 6Oct 16[1],1978
134,2,<,3,Penn State (11),Ind,6-0,1085,,Week 6Oct 16[1],1978
135,3,<,3,Arkansas (7),Southwest,4-0,1072,,Week 6Oct 16[1],1978
136,4,<,7,Alabama,SEC,5-1,947,,Week 6Oct 16[1],1978
137,5,<,8,Nebraska,Big 8,5-1,875,,Week 6Oct 16[1],1978
138,6,<,10,Maryland,ACC,6-0,815,,Week 6Oct 16[1],1978
139,7,<,2,USC,Pac-10,4-1,792,,Week 6Oct 16[1],1978
140,8,<,12,Texas,Southwest,4-1,661,,Week 6Oct 16[1],1978
141,9,<,5,Michigan,Big Ten,4-1,644,,Week 6Oct 16[1],1978
142,10,<,14,UCLA,Pac-10,5-1,610,,Week 6Oct 16[1],1978
143,11,<,17,Houston,Southwest,4-1,593,,Week 6Oct 16[1],1978
144,12,<,6,Texas A&M,Southwest,4-1,352,,Week 6Oct 16[1],1978
145,13,<,19,Missouri,Big 8,4-2,343,,Week 6Oct 16[1],1978
146,14,<,NR,Arizona State,Pac-10,5-1,327,,Week 6Oct 16[1],1978
147,15,<,9,Pittsburgh,Ind,4-1,316,,Week 6Oct 16[1],1978
148,16,<,11,LSU,SEC,4-1,239,,Week 6Oct 16[1],1978
