,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,1,Alabama (15),SEC,0-0,296,DNP,PreseasonAug[2],1966
1,2,<,2,Michigan State (12),Big Ten,0-0,267,DNP,PreseasonAug[2],1966
2,3,<,5,Nebraska (2),Big 8,0-0,243,DNP,PreseasonAug[2],1966
3,4,<,4,UCLA (6),AAWU,0-0,219,DNP,PreseasonAug[2],1966
4,5,<,3,Arkansas,Southwest,0-0,204,DNP,PreseasonAug[2],1966
5,6,<,9,Notre Dame,Ind,0-0,184,DNP,PreseasonAug[2],1966
6,7,<,NR,Syracuse,Ind,0-0,114,DNP,PreseasonAug[2],1966
7,8,<,NR,Purdue,Big Ten,0-0,78,DNP,PreseasonAug[2],1966
8,9,<,10,USC,AAWU,0-0,67,DNP,PreseasonAug[2],1966
9,10,<,7,Tennessee,SEC,0-0,66,DNP,PreseasonAug[2],1966
10,NR,<,6,Missouri,Big 8,0-0,0,DNP,PreseasonAug[2],1966
11,NR,<,8,LSU,SEC,0-0,0,DNP,PreseasonAug[2],1966
12,1,<,2,Michigan State (12),Big Ten,1-0,338,W 28-10 H NC State,Week 1Sep 19[3],1966
13,2,<,4,UCLA (13),AAWU,1-0,328,,Week 1Sep 19[3],1966
14,3,<,1,Alabama (10),SEC,0-0,260,DNP,Week 1Sep 19[3],1966
15,4,<,3,Nebraska,Big 8,1-0,202,,Week 1Sep 19[3],1966
16,5,<,9,USC (2),AAWU,1-0,193,,Week 1Sep 19[3],1966
17,6,<,5,Arkansas (1),Southwest,1-0,140,,Week 1Sep 19[3],1966
18,7,<,8,Purdue,Big Ten,1-0,132,,Week 1Sep 19[3],1966
19,8,<,6,Notre Dame (1),Ind,0-0,120,DNP,Week 1Sep 19[3],1966
20,9,<,NR,Michigan (1),Big Ten,1-0,106,,Week 1Sep 19[3],1966
21,10,<,NR,Baylor (1),Southwest,1-0,94,,Week 1Sep 19[3],1966
22,NR,<,7,Syracuse,Ind,,0,,Week 1Sep 19[3],1966
23,NR,<,10,Tennessee,SEC,,0,,Week 1Sep 19[3],1966
24,1,<,1,Michigan State (22),Big Ten,2-0,367,W 42-8 H Penn State,Week 2Sep 26[4],1966
25,2,<,2,UCLA (11),AAWU,2-0,332,,Week 2Sep 26[4],1966
26,3,<,3,Alabama (2),SEC,1-0,266,W 34-0 H Louisiana Tech,Week 2Sep 26[4],1966
27,4,<,8,Notre Dame (2),Ind,1-0,261,,Week 2Sep 26[4],1966
28,5,<,5,USC (1),AAWU,2-0,208,,Week 2Sep 26[4],1966
29,6,<,4,Nebraska,Big 8,2-0,203,,Week 2Sep 26[4],1966
30,7,<,6,Arkansas (1),Southwest,2-0,201,,Week 2Sep 26[4],1966
31,8,<,9,Michigan (1),Big Ten,2-0,122,,Week 2Sep 26[4],1966
32,9,<,NR,Georgia Tech,Ind,2-0,66,,Week 2Sep 26[4],1966
33,10,<,NR,Tennessee,SEC,1-0,64,,Week 2Sep 26[4],1966
34,NR,<,7,Purdue,Big Ten,,0,,Week 2Sep 26[4],1966
35,NR,<,10,Baylor,Southwest,,0,,Week 2Sep 26[4],1966
36,1,<,1,Michigan State (20),Big Ten,3-0,371,W 26-10 A Illinois,Week 3Oct 3[5],1966
37,2,<,2,UCLA (7),AAWU,3-0,345,,Week 3Oct 3[5],1966
38,3,<,4,Notre Dame (8),Ind,2-0,322,,Week 3Oct 3[5],1966
39,4,<,3,Alabama (3),SEC,2-0,300,W 17-7 A Mississippi,Week 3Oct 3[5],1966
40,5,<,7,Arkansas (2),Southwest,3-0,206,,Week 3Oct 3[5],1966
41,6,<,5,USC (1),AAWU,3-0,194,,Week 3Oct 3[5],1966
42,7,<,6,Nebraska,Big 8,3-0,144,,Week 3Oct 3[5],1966
43,8,<,10,Tennessee,SEC,2-0,143,,Week 3Oct 3[5],1966
44,9,<,9,Georgia Tech,Ind,3-0,83,,Week 3Oct 3[5],1966
45,10,<,NR,Florida,SEC,3-0,69,,Week 3Oct 3[5],1966
46,NR,<,8,Michigan,Big Ten,,0,,Week 3Oct 3[5],1966
47,1,<,1,Michigan State (18),Big Ten,4-0,369,W 20-7 H Michigan,Week 4Oct 10[6],1966
48,2,<,3,Notre Dame (15),Ind,3-0,353,,Week 4Oct 10[6],1966
49,3,<,4,Alabama (4),SEC,3-0,300,W 26-0 H Clemson,Week 4Oct 10[6],1966
50,4,<,2,UCLA (2),AAWU,4-0,288,,Week 4Oct 10[6],1966
51,5,<,6,USC (1),AAWU,4-0,214,,Week 4Oct 10[6],1966
52,6,<,7,Nebraska,Big 8,4-0,196,,Week 4Oct 10[6],1966
53,7,<,9,Georgia Tech,Ind,4-0,174,,Week 4Oct 10[6],1966
54,8,<,10,Florida,SEC,4-0,112,,Week 4Oct 10[6],1966
55,9,<,NR,Purdue,Big Ten,3-1,42,,Week 4Oct 10[6],1966
56,10,<,NR,Baylor,Southwest,3-1,38,,Week 4Oct 10[6],1966
57,NR,<,5,Arkansas,Southwest,,0,,Week 4Oct 10[6],1966
58,NR,<,8,Tennessee,SEC,,0,,Week 4Oct 10[6],1966
59,1,<,2,Notre Dame (31),Ind,4-0,443,W 32-0 H North Carolina,Week 5Oct 17[7],1966
60,2,<,1,Michigan State (10),Big Ten,5-0,416,W 11-8 A Ohio State,Week 5Oct 17[7],1966
61,3,<,4,UCLA (3),AAWU,5-0,366,,Week 5Oct 17[7],1966
