,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
418,11,<,14,Miami (FL),ACC,9-3,917,W 27-10 N #20 Florida (Peach),16,2004,
419,12,<,10,Boise State,WAC,11-1,888,L 44-40 N #7 Louisville (Liberty),16,2004,
420,13,<,15,Tennessee,SEC,10-3,868,W 38-7 N #22 Texas A&M (Cotton),16,2004,
421,14,<,13,Michigan,Big Ten,9-3,842,L 38-37 N #6 Texas (Rose),16,2004,
422,15,<,17,Florida State,ACC,9-3,754,W 30-18 N West Virginia (Gator),16,2004,
423,16,<,12,LSU,SEC,9-3,711,L 30-25 N #11 Iowa (Capital One),16,2004,
424,17,<,16,Wisconsin,Big Ten,9-3,482,L 24-21 N #8 Georgia (Outback),16,2004,
425,18,<,23,Texas Tech,Big 12,8-4,476,W 45-31 N #4 California (Holiday),16,2004,
426,19,<,21,Arizona State,Pac-10,9-3,463,W 27-23 N Purdue (Sun),16,2004,
427,20,<,24,Ohio State,Big Ten,8-4,423,W 33-7 N Oklahoma State (Alamo),16,2004,
428,21,<,25,Boston College,Big East,9-3,314,W 37-24 N North Carolina (Continental Tire),16,2004,
429,22,<,NR,Fresno State,WAC,9-3,203,W 37-34 N Virginia (MPC Computers),16,2004,
430,23,<,18,Virginia,ACC,8-4,157,L 37-34 (1OT) N Fresno State (MPC Computers),16,2004,
431,24,<,NR,Navy,Ind,10-2,126,,16,2004,
432,25,<,19,Pittsburgh,Big East,8-4,99,L 35-7 N #5 Utah (Fiesta),16,2004,
433,NR,<,20,Florida,SEC,,0,L 27-10 N #13 Miami (FL) (Peach),16,2004,
434,NR,<,22,Texas A&M,Big 12,,0,L 38-7 N #15 Tennessee (Cotton),16,2004,
