,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,3,Notre Dame (84),Ind,0-0,1688,DNP,PreseasonAug[1],1953
1,2,<,1,Michigan State (24),Big Ten,0-0,1305,DNP,PreseasonAug[1],1953
2,3,<,2,Georgia Tech (24),SEC,0-0,1128,DNP,PreseasonAug[1],1953
3,4,<,6,UCLA (12),PCC,0-0,1065,DNP,PreseasonAug[1],1953
4,5,<,9,Alabama (18),SEC,0-0,968,DNP,PreseasonAug[1],1953
5,6,<,4,Oklahoma (3),Big 7,0-0,672,DNP,PreseasonAug[1],1953
6,7,<,17,Ohio State (3),Big Ten,0-0,666,DNP,PreseasonAug[1],1953
7,8,<,5,USC,PCC,0-0,165,DNP,PreseasonAug[1],1953
8,9,<,13,Maryland (1),ACC,0-0,143,DNP,PreseasonAug[1],1953
9,10,<,16,Duke (2),ACC,0-0,86,DNP,PreseasonAug[1],1953
10,11,<,10,Texas,Southwest,0-0,85,DNP,PreseasonAug[1],1953
11,12,<,NR,Rice,Southwest,0-0,66,DNP,PreseasonAug[1],1953
12,13,<,NR,Navy,Ind,0-0,56,DNP,PreseasonAug[1],1953
13,14,<,NR,California,PCC,0-0,26,DNP,PreseasonAug[1],1953
14,15,<,15,Florida,SEC,0-0,24,DNP,PreseasonAug[1],1953
15,16,<,NR,West Virginia,Southern,0-0,20,DNP,PreseasonAug[1],1953
16,17,<,8,Tennessee,SEC,0-0,18,DNP,PreseasonAug[1],1953
17,17,<,NR,Pittsburgh,Ind,0-0,18,DNP,PreseasonAug[1],1953
18,19,<,19,Princeton,Ind,0-0,17,DNP,PreseasonAug[1],1953
19,20,<,NR,Baylor,Southwest,0-0,15,DNP,PreseasonAug[1],1953
20,RV,<,7,Mississippi,SEC,0-0,14,DNP,PreseasonAug[1],1953
21,RV,<,18,Purdue,Big Ten,0-0,12,DNP,PreseasonAug[1],1953
22,RV,<,NR,Houston,MVC,0-0,9,DNP,PreseasonAug[1],1953
23,RV,<,NR,Michigan,Big Ten,0-0,8,DNP,PreseasonAug[1],1953
24,RV,<,NR,Penn,Ind,0-0,7,DNP,PreseasonAug[1],1953
25,RV,<,11,Wisconsin,Big Ten,0-0,5,DNP,PreseasonAug[1],1953
26,RV,<,NR,Minnesota,Big Ten,0-0,5,DNP,PreseasonAug[1],1953
27,RV,<,NR,SMU,Southwest,0-0,5,DNP,PreseasonAug[1],1953
28,RV,<,NR,Villanova,Ind,0-0,5,DNP,PreseasonAug[1],1953
29,RV,<,NR,Georgia,SEC,0-0,2,DNP,PreseasonAug[1],1953
30,RV,<,NR,Washington,PCC,0-0,2,DNP,PreseasonAug[1],1953
31,RV,<,NR,Penn State,Ind,0-0,1,DNP,PreseasonAug[1],1953
32,NR,<,12,Tulsa,MVC,0-0,0,DNP,PreseasonAug[1],1953
33,NR,<,14,Syracuse,Ind,0-0,0,DNP,PreseasonAug[1],1953
34,NR,<,20,Kentucky,SEC,0-0,0,DNP,PreseasonAug[1],1953
35,1,<,1,Notre Dame (71),Ind,1-0,907,W 28-21 A #6 Oklahoma,Week 1Sep 28[2],1953
36,2,<,2,Michigan State (6),Big Ten,1-0,692,,Week 1Sep 28[2],1953
37,3,<,9,Maryland (5),ACC,2-0,501,,Week 1Sep 28[2],1953
38,4,<,NR,Michigan (3),Big Ten,1-0,403,,Week 1Sep 28[2],1953
39,5,<,4,UCLA (3),PCC,2-0,391,,Week 1Sep 28[2],1953
40,6,<,7,Ohio State (2),Big Ten,1-0,380,,Week 1Sep 28[2],1953
41,7,<,8,USC (1),PCC,2-0,346,,Week 1Sep 28[2],1953
42,8,<,6,Oklahoma,Big 7,0-1,316,L 28-21 H #1 Notre Dame,Week 1Sep 28[2],1953
43,9,<,3,Georgia Tech,SEC,1-0-1,242,,Week 1Sep 28[2],1953
44,10,<,20,Baylor,Southwest,1-0,188,,Week 1Sep 28[2],1953
45,11,<,NR,Mississippi State (1),SEC,2-0,176,,Week 1Sep 28[2],1953
46,12,<,10,Duke (1),ACC,2-0,127,,Week 1Sep 28[2],1953
47,13,<,16,West Virginia (4),Southern,1-0,88,,Week 1Sep 28[2],1953
48,14,<,12,Rice,Southwest,1-0,76,,Week 1Sep 28[2],1953
49,15,<,NR,Mississippi,SEC,2-0,68,,Week 1Sep 28[2],1953
