,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,1,Miami (FL) (40),Big East,0-0,1511.0,DNP,PreseasonAug 24[1],1992
1,2,<,2,Washington (12),Pac-10,0-0,1453.0,DNP,PreseasonAug 24[1],1992
2,3,<,13,Notre Dame (6),Ind,0-0,1405.0,DNP,PreseasonAug 24[1],1992
3,4,<,7,Florida,SEC,0-0,1252.0,DNP,PreseasonAug 24[1],1992
4,5,<,4,Florida State (1),ACC,0-0,1239.0,DNP,PreseasonAug 24[1],1992
5,6,<,6,Michigan (1),Big Ten,0-0,1236.0,DNP,PreseasonAug 24[1],1992
6,7,<,12,Texas A&M (1),Southwest,0-0,1135.0,DNP,PreseasonAug 24[1],1992
7,8,<,3,Penn State,Ind,0-0,1122.0,DNP,PreseasonAug 24[1],1992
8,9,<,5,Alabama (1),SEC,0-0,1093.0,DNP,PreseasonAug 24[1],1992
9,10,<,11,Syracuse,Big East,0-0,949.0,DNP,PreseasonAug 24[1],1992
10,11,<,15,Nebraska,Big 8,0-0,820.0,DNP,PreseasonAug 24[1],1992
11,12,<,20,Colorado,Big 8,0-0,737.0,DNP,PreseasonAug 24[1],1992
12,13,<,18,Clemson,ACC,0-0,719.0,DNP,PreseasonAug 24[1],1992
13,14,<,17,Georgia,SEC,0-0,686.0,DNP,PreseasonAug 24[1],1992
14,15,<,16,Oklahoma,Big 8,0-0,662.0,DNP,PreseasonAug 24[1],1992
15,16,<,10,Iowa,Big Ten,0-0,594.0,DNP,PreseasonAug 24[1],1992
16,17,<,22,Stanford,Pac-10,0-0,543.0,DNP,PreseasonAug 24[1],1992
17,18,<,19,UCLA,Pac-10,0-0,527.0,DNP,PreseasonAug 24[1],1992
18,19,<,NR,Ohio State,Big Ten,0-0,415.0,DNP,PreseasonAug 24[1],1992
19,20,<,8,California,Pac-10,0-0,377.0,DNP,PreseasonAug 24[1],1992
20,21,<,14,Tennessee,SEC,0-0,283.0,DNP,PreseasonAug 24[1],1992
21,22,<,NR,Mississippi State,SEC,0-0,239.0,DNP,PreseasonAug 24[1],1992
22,23,<,NR,Georgia Tech,ACC,0-0,175.0,DNP,PreseasonAug 24[1],1992
23,24,<,23,BYU,WAC,0-0,141.0,DNP,PreseasonAug 24[1],1992
24,25,<,NR,Texas,Southwest,0-0,140.0,DNP,PreseasonAug 24[1],1992
25,NR,<,9,East Carolina,Ind,0-0,0.0,DNP,PreseasonAug 24[1],1992
26,NR,<,21,Tulsa,Ind,0-0,0.0,DNP,PreseasonAug 24[1],1992
27,NR,<,24,NC State,ACC,0-0,0.0,DNP,PreseasonAug 24[1],1992
28,NR,<,25,Air Force,WAC,0-0,0.0,DNP,PreseasonAug 24[1],1992
29,1,<,1,Miami (FL) (43),Big East,0-0,1516.0,DNP,Week 1Sep 1[2],1992
