,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
0,1,<,4,USC (62),Pac-10,0-0,1622,1.0,DNP,PreseasonAug 18[2],2007,
1,2,<,3,LSU (2),SEC,0-0,1511,2.0,DNP,PreseasonAug 18[2],2007,
2,3,<,10,West Virginia (1),Big East,0-0,1396,6.0,DNP,PreseasonAug 18[2],2007,
3,4,<,13,Texas,Big 12,0-0,1375,4.0,DNP,PreseasonAug 18[2],2007,
4,5,<,8,Michigan,Big Ten,0-0,1371,5.0,DNP,PreseasonAug 18[2],2007,
5,6,<,1,Florida,SEC,0-0,1276,3.0,DNP,PreseasonAug 18[2],2007,
6,7,<,7,Wisconsin,Big Ten,0-0,1192,7.0,DNP,PreseasonAug 18[2],2007,
7,8,<,11,Oklahoma,Big 12,0-0,1166,8.0,DNP,PreseasonAug 18[2],2007,
8,9,<,19,Virginia Tech,ACC,0-0,1148,9.0,DNP,PreseasonAug 18[2],2007,
9,10,<,6,Louisville,Big East,0-0,1031,11.0,DNP,PreseasonAug 18[2],2007,
10,11,<,2,Ohio State,Big Ten,0-0,876,10.0,DNP,PreseasonAug 18[2],2007,
11,12,<,14,California,Pac-10,0-0,790,12.0,DNP,PreseasonAug 18[2],2007,
12,13,<,23,Georgia,SEC,0-0,782,13.0,DNP,PreseasonAug 18[2],2007,
13,14,<,NR,UCLA,Pac-10,0-0,605,17.0,DNP,PreseasonAug 18[2],2007,
14,15,<,25,Tennessee,SEC,0-0,571,15.0,DNP,PreseasonAug 18[2],2007,
15,16,<,12,Rutgers,Big East,0-0,560,16.0,DNP,PreseasonAug 18[2],2007,
16,17,<,24,Penn State,Big Ten,0-0,542,18.0,DNP,PreseasonAug 18[2],2007,
17,18,<,9,Auburn,SEC,0-0,519,14.0,DNP,PreseasonAug 18[2],2007,
18,19,<,NR,Florida State,ACC,0-0,392,21.0,DNP,PreseasonAug 18[2],2007,
19,20,<,NR,Nebraska,Big 12,0-0,377,19.0,DNP,PreseasonAug 18[2],2007,
20,21,<,15,Arkansas,SEC,0-0,376,20.0,DNP,PreseasonAug 18[2],2007,
21,22,<,22,TCU,MWC,0-0,283,22.0,DNP,PreseasonAug 18[2],2007,
22,23,<,NR,Hawaii,WAC,0-0,256,24.0,DNP,PreseasonAug 18[2],2007,
23,24,<,5,Boise State,WAC,0-0,187,23.0,DNP,PreseasonAug 18[2],2007,
24,25,<,NR,Texas A&M,Big 12,0-0,162,25.0,DNP,PreseasonAug 18[2],2007,
25,RV,<,NR,Missouri,Big 12,,128,,,PreseasonAug 18[2],2007,
26,RV,<,NR,Georgia Tech,ACC,,94,,,PreseasonAug 18[2],2007,
27,RV,<,20,Boston College,ACC,0-0,75,,DNP,PreseasonAug 18[2],2007,
28,RV,<,NR,Oregon,Pac-10,,73,,,PreseasonAug 18[2],2007,
29,RV,<,NR,South Carolina,SEC,,69,,,PreseasonAug 18[2],2007,
30,RV,<,NR,Miami (FL),ACC,,68,,,PreseasonAug 18[2],2007,
31,RV,<,NR,Alabama,SEC,,66,,,PreseasonAug 18[2],2007,
32,RV,<,21,Oregon State,Pac-10,0-0,42,,DNP,PreseasonAug 18[2],2007,
33,RV,<,18,Wake Forest,ACC,0-0,40,,DNP,PreseasonAug 18[2],2007,
34,RV,<,NR,South Florida,Big East,,28,,,PreseasonAug 18[2],2007,
35,RV,<,NR,Arizona State,Pac-10,,17,,,PreseasonAug 18[2],2007,
36,RV,<,16,BYU,MWC,0-0,14,,DNP,PreseasonAug 18[2],2007,
37,RV,<,NR,Southern Miss,CUSA,,12,,,PreseasonAug 18[2],2007,
38,RV,<,17,Notre Dame,Ind,0-0,11,,DNP,PreseasonAug 18[2],2007,
39,RV,<,NR,Virginia,ACC,,7,,,PreseasonAug 18[2],2007,
40,RV,<,NR,Clemson,ACC,,6,,,PreseasonAug 18[2],2007,
41,RV,<,NR,Oklahoma State,Big 12,,3,,,PreseasonAug 18[2],2007,
42,RV,<,NR,Texas Tech,Big 12,,2,,,PreseasonAug 18[2],2007,
43,RV,<,NR,Houston,CUSA,,1,,,PreseasonAug 18[2],2007,
44,RV,<,NR,Kentucky,SEC,,1,,,PreseasonAug 18[2],2007,
45,RV,<,NR,NC State,ACC,,1,,,PreseasonAug 18[2],2007,
46,RV,<,NR,Purdue,Big Ten,,1,,,PreseasonAug 18[2],2007,
47,1,<,1,USC (59),Pac-10,1-0,1619,1,W 38-10 H Idaho,Week 1Sept 4[3],2007,
48,2,<,2,LSU (5),SEC,1-0,1542,2,,Week 1Sept 4[3],2007,
49,3,<,3,West Virginia (1),Big East,1-0,1449,4,,Week 1Sept 4[3],2007,
50,4,<,6,Florida,SEC,1-0,1346,3,,Week 1Sept 4[3],2007,
51,5,<,7,Wisconsin,Big Ten,1-0,1275,5,,Week 1Sept 4[3],2007,
52,5,<,8,Oklahoma,Big 12,1-0,1275,6,W 79-10 H North Texas,Week 1Sept 4[3],2007,
53,7,<,4,Texas,Big 12,1-0,1221,7,,Week 1Sept 4[3],2007,
54,8,<,10,Louisville,Big East,1-0,1152,8,W 73-10 H Murray State,Week 1Sept 4[3],2007,
55,9,<,9,Virginia Tech,ACC,1-0,1085,9,,Week 1Sept 4[3],2007,
56,10,<,12,California,Pac-10,1-0,1080,10,,Week 1Sept 4[3],2007,
57,11,<,13,Georgia,SEC,1-0,959,12,,Week 1Sept 4[3],2007,
58,12,<,11,Ohio State,Big Ten,1-0,940,11,,Week 1Sept 4[3],2007,
59,13,<,14,UCLA,Pac-10,1-0,736,14,,Week 1Sept 4[3],2007,
60,14,<,17,Penn State,Big Ten,1-0,662,15,,Week 1Sept 4[3],2007,
61,15,<,16,Rutgers,Big East,1-0,659,16,,Week 1Sept 4[3],2007,
62,16,<,20,Nebraska,Big 12,1-0,541,17,,Week 1Sept 4[3],2007,
63,17,<,18,Auburn,SEC,1-0,519,13,,Week 1Sept 4[3],2007,
64,18,<,21,Arkansas,SEC,1-0,450,18,,Week 1Sept 4[3],2007,
65,19,<,22,TCU,MWC,1-0,384,19,W 27-0 H Baylor,Week 1Sept 4[3],2007,
66,20,<,23,Hawaii,WAC,1-0,335,22,W 63-6 H Northern Colorado,Week 1Sept 4[3],2007,
67,21,<,NR,Georgia Tech,ACC,1-0,278,21,,Week 1Sept 4[3],2007,
68,22,<,24,Boise State,WAC,1-0,267,20,,Week 1Sept 4[3],2007,
69,23,<,25,Texas A&M,Big 12,1-0,217,23,,Week 1Sept 4[3],2007,
70,24,<,15,Tennessee,SEC,0-1,210,24,,Week 1Sept 4[3],2007,
71,25,<,NR,Clemson,ACC,1-0,195,NR,,Week 1Sept 4[3],2007,
72,RV,<,NR,Boston College,ACC,,126,,,Week 1Sept 4[3],2007,
73,RV,<,NR,Missouri,Big 12,,116,,,Week 1Sept 4[3],2007,
74,RV,<,NR,Miami (FL),ACC,,91,,,Week 1Sept 4[3],2007,
75,RV,<,NR,Oregon,Pac-10,,90,,,Week 1Sept 4[3],2007,
76,RV,<,NR,Alabama,SEC,,74,,,Week 1Sept 4[3],2007,
77,RV,<,NR,Oregon State,Pac-10,,41,,,Week 1Sept 4[3],2007,
78,RV,<,5,Michigan,Big Ten,,39,,L 34-32 H Appalachian State,Week 1Sept 4[3],2007,
79,RV,<,NR,South Carolina,SEC,,39,,,Week 1Sept 4[3],2007,
80,RV,<,NR,BYU,MWC,,27,,,Week 1Sept 4[3],2007,
81,RV,<,NR,South Florida,Big East,,27,,,Week 1Sept 4[3],2007,
82,RV,<,19,Florida State,ACC,,22,,,Week 1Sept 4[3],2007,
83,RV,<,NR,Arizona State,Pac-10,,19,,,Week 1Sept 4[3],2007,
84,RV,<,NR,Southern Miss,CUSA,,9,,,Week 1Sept 4[3],2007,
85,RV,<,NR,Wake Forest,ACC,,7,,,Week 1Sept 4[3],2007,
86,RV,<,NR,Kansas,Big 12,,1,,,Week 1Sept 4[3],2007,
87,RV,<,NR,Washington,Pac-10,,1,,,Week 1Sept 4[3],2007,
88,1,<,1,USC (40),Pac-10,1-0,1594,1.0,DNP,Week 2Sept 9[4],2007,
89,2,<,2,LSU (25),SEC,2-0,1582,2.0,,Week 2Sept 9[4],2007,
90,3,<,5,Oklahoma,Big 12,2-0,1418,5.0,W 51-13 H Miami (FL),Week 2Sept 9[4],2007,
91,4,<,3,West Virginia,Big East,2-0,1408,4.0,,Week 2Sept 9[4],2007,
92,5,<,4,Florida,SEC,2-0,1370,3.0,,Week 2Sept 9[4],2007,
93,6,<,7,Texas,Big 12,2-0,1290,6.0,,Week 2Sept 9[4],2007,
94,7,<,5,Wisconsin,Big Ten,2-0,1171,7.0,,Week 2Sept 9[4],2007,
95,8,<,10,California,Pac-10,2-0,1126,8.0,,Week 2Sept 9[4],2007,
96,9,<,8,Louisville,Big East,2-0,1097,9.0,W 58-42 H Middle Tennessee,Week 2Sept 9[4],2007,
97,10,<,12,Ohio State,Big Ten,2-0,962,10.0,,Week 2Sept 9[4],2007,
98,11,<,13,UCLA,Pac-10,2-0,910,11.0,,Week 2Sept 9[4],2007,
99,12,<,14,Penn State,Big Ten,2-0,896,12.0,,Week 2Sept 9[4],2007,
100,13,<,15,Rutgers,Big East,2-0,820,13.0,,Week 2Sept 9[4],2007,
101,14,<,16,Nebraska,Big 12,2-0,693,14.0,,Week 2Sept 9[4],2007,
102,15,<,21,Georgia Tech,ACC,2-0,590,15.0,,Week 2Sept 9[4],2007,
103,16,<,18,Arkansas,SEC,1-0,537,16.0,,Week 2Sept 9[4],2007,
104,17,<,NR,South Carolina,SEC,2-0,477,23.0,W 16-12 A #11 Georgia,Week 2Sept 9[4],2007,
105,18,<,9,Virginia Tech,ACC,1-1,382,17.0,,Week 2Sept 9[4],2007,
106,19,<,NR,Oregon,Pac-10,2-0,367,21.0,,Week 2Sept 9[4],2007,
107,20,<,25,Clemson,ACC,2-0,349,20.0,,Week 2Sept 9[4],2007,
108,21,<,NR,Boston College,ACC,2-0,323,19.0,,Week 2Sept 9[4],2007,
109,22,<,24,Tennessee,SEC,1-1,284,24.0,,Week 2Sept 9[4],2007,
110,23,<,11,Georgia,SEC,1-1,261,25.0,L 16-12 H South Carolina,Week 2Sept 9[4],2007,
111,24,<,20,Hawaii,WAC,2-0,247,22.0,W 45-44 A Louisiana Tech,Week 2Sept 9[4],2007,
112,25,<,23,Texas A&M,Big 12,2-0,243,18.0,,Week 2Sept 9[4],2007,
113,RV,<,NR,South Florida,Big East,,220,,,Week 2Sept 9[4],2007,
114,RV,<,NR,Missouri,Big 12,,144,,,Week 2Sept 9[4],2007,
115,RV,<,NR,Alabama,SEC,,116,,,Week 2Sept 9[4],2007,
116,RV,<,NR,Washington,Pac-10,,95,,,Week 2Sept 9[4],2007,
117,RV,<,19,TCU,MWC,,66,,,Week 2Sept 9[4],2007,
118,RV,<,NR,Arizona State,Pac-10,,28,,,Week 2Sept 9[4],2007,
119,RV,<,17,Auburn,SEC,,23,,,Week 2Sept 9[4],2007,
120,RV,<,NR,Appalachian State,Southern,,19,,,Week 2Sept 9[4],2007,
121,RV,<,NR,Cincinnati,Big East,,12,,,Week 2Sept 9[4],2007,
122,RV,<,NR,Florida State,ACC,,2,,,Week 2Sept 9[4],2007,
123,RV,<,NR,Iowa,Big Ten,,1,,,Week 2Sept 9[4],2007,
124,RV,<,NR,Kansas,Big 12,,1,,,Week 2Sept 9[4],2007,
125,RV,<,NR,Purdue,Big Ten,,1,,,Week 2Sept 9[4],2007,
126,RV,<,22,Boise State,WAC,,0,,,Week 2Sept 9[4],2007,
127,1,<,1,USC (46),Pac-10,2-0,1605,1.0,W 49-31 A #14 Nebraska,Week 3Sept 16[5],2007,
128,2,<,2,LSU (19),SEC,3-0,1577,2.0,,Week 3Sept 16[5],2007,
129,3,<,5,Florida,SEC,3-0,1437,3.0,,Week 3Sept 16[5],2007,
130,4,<,3,Oklahoma,Big 12,3-0,1434,4.0,W 54-3 H Utah State,Week 3Sept 16[5],2007,
131,5,<,4,West Virginia,Big East,3-0,1388,5.0,,Week 3Sept 16[5],2007,
132,6,<,8,California,Pac-10,3-0,1232,8.0,,Week 3Sept 16[5],2007,
133,7,<,6,Texas,Big 12,3-0,1169,6.0,,Week 3Sept 16[5],2007,
134,8,<,10,Ohio State,Big Ten,3-0,1142,9.0,,Week 3Sept 16[5],2007,
135,9,<,7,Wisconsin,Big Ten,3-0,1111,7.0,,Week 3Sept 16[5],2007,
136,10,<,12,Penn State,Big Ten,3-0,1041,10.0,,Week 3Sept 16[5],2007,
137,11,<,13,Rutgers,Big East,3-0,956,11.0,,Week 3Sept 16[5],2007,
138,12,<,17,South Carolina,SEC,3-0,814,14.0,W 38-3 H South Carolina State,Week 3Sept 16[5],2007,
139,13,<,19,Oregon,Pac-10,3-0,810,13.0,,Week 3Sept 16[5],2007,
140,14,<,21,Boston College,ACC,3-0,792,12.0,,Week 3Sept 16[5],2007,
141,15,<,20,Clemson,ACC,3-0,615,14.0,,Week 3Sept 16[5],2007,
142,16,<,NR,Alabama,SEC,3-0,516,20.0,,Week 3Sept 16[5],2007,
143,17,<,18,Virginia Tech,ACC,2-1,458,17.0,,Week 3Sept 16[5],2007,
144,18,<,9,Louisville,Big East,2-1,367,19.0,L 40-34 A Kentucky,Week 3Sept 16[5],2007,
145,19,<,24,Hawaii,WAC,3-0,343,18.0,W 49-14 A UNLV,Week 3Sept 16[5],2007,
146,20,<,25,Texas A&M,Big 12,3-0,342,16.0,,Week 3Sept 16[5],2007,
147,21,<,NR,Kentucky,SEC,3-0,338,23.0,,Week 3Sept 16[5],2007,
148,22,<,23,Georgia,SEC,2-1,333,21.0,,Week 3Sept 16[5],2007,
149,23,<,NR,South Florida,Big East,2-0,285,24.0,DNP,Week 3Sept 16[5],2007,
150,24,<,14,Nebraska,Big 12,2-1,277,22.0,,Week 3Sept 16[5],2007,
151,25,<,NR,Missouri,Big 12,3-0,228,25.0,,Week 3Sept 16[5],2007,
152,RV,<,16,Arkansas,SEC,,179,,,Week 3Sept 16[5],2007,
153,RV,<,15,Georgia Tech,ACC,,128,,,Week 3Sept 16[5],2007,
154,RV,<,NR,Arizona State,Pac-10,,69,,,Week 3Sept 16[5],2007,
155,RV,<,NR,Cincinnati,Big East,,53,,,Week 3Sept 16[5],2007,
156,RV,<,11,UCLA,Pac-10,,41,,L 44-6 A Utah,Week 3Sept 16[5],2007,
157,RV,<,NR,Texas Tech,Big 12,,16,,,Week 3Sept 16[5],2007,
158,RV,<,NR,Air Force,MWC,,8,,,Week 3Sept 16[5],2007,
159,RV,<,NR,Purdue,Big Ten,,6,,,Week 3Sept 16[5],2007,
160,RV,<,NR,Appalachian State,Southern,,5,,,Week 3Sept 16[5],2007,
161,RV,<,NR,Florida State,ACC,,5,,,Week 3Sept 16[5],2007,
162,RV,<,NR,Washington,Pac-10,,2,,,Week 3Sept 16[5],2007,
163,RV,<,NR,Kansas,Big 12,,1,,,Week 3Sept 16[5],2007,
164,RV,<,NR,Michigan State,Big Ten,,1,,,Week 3Sept 16[5],2007,
165,RV,<,NR,Tulsa,CUSA,,1,,,Week 3Sept 16[5],2007,
166,RV,<,22,Tennessee,SEC,,0,,,Week 3Sept 16[5],2007,
167,1,<,1,USC (43),Pac-10,3-0,1601,1,W 47-14 H Washington State,Week 4Sept 23[6],2007,
168,2,<,2,LSU (22),SEC,4-0,1580,2,,Week 4Sept 23[6],2007,
169,3,<,4,Oklahoma,Big 12,4-0,1456,4,W 62-21 A Tulsa,Week 4Sept 23[6],2007,
170,4,<,3,Florida,SEC,4-0,1417,3,,Week 4Sept 23[6],2007,
171,5,<,5,West Virginia,Big East,4-0,1388,5,,Week 4Sept 23[6],2007,
172,6,<,6,California,Pac-10,4-0,1263,6,,Week 4Sept 23[6],2007,
173,7,<,7,Texas,Big 12,4-0,1196,7,,Week 4Sept 23[6],2007,
174,8,<,8,Ohio State,Big Ten,4-0,1193,8,,Week 4Sept 23[6],2007,
175,9,<,9,Wisconsin,Big Ten,4-0,1030,9,,Week 4Sept 23[6],2007,
176,10,<,11,Rutgers,Big East,3-0,1008,10,,Week 4Sept 23[6],2007,
177,11,<,13,Oregon,Pac-10,4-0,944,12,,Week 4Sept 23[6],2007,
178,12,<,14,Boston College,ACC,4-0,927,11,,Week 4Sept 23[6],2007,
179,13,<,15,Clemson,ACC,4-0,807,13,,Week 4Sept 23[6],2007,
180,14,<,21,Kentucky,SEC,4-0,708,15,,Week 4Sept 23[6],2007,
181,15,<,22,Georgia,SEC,3-1,631,16,,Week 4Sept 23[6],2007,
182,16,<,12,South Carolina,SEC,3-1,586,21,L 28-16 A LSU,Week 4Sept 23[6],2007,
183,17,<,17,Virginia Tech,ACC,3-1,568,14,,Week 4Sept 23[6],2007,
184,18,<,23,South Florida,Big East,3-0,539,18,W 37-10 H North Carolina,Week 4Sept 23[6],2007,
185,19,<,19,Hawaii,WAC,4-0,471,17,W 66-10 H Charleston Southern,Week 4Sept 23[6],2007,
186,20,<,25,Missouri,Big 12,4-0,401,20,,Week 4Sept 23[6],2007,
187,21,<,10,Penn State,Big Ten,3-1,337,19,,Week 4Sept 23[6],2007,
188,22,<,16,Alabama,SEC,3-1,265,24,L 26-23 A #22 Georgia,Week 4Sept 23[6],2007,
189,23,<,NR,Arizona State,Pac-10,4-0,206,25,,Week 4Sept 23[6],2007,
190,24,<,NR,Cincinnati,Big East,4-0,164,NR,W 40-14 H Marshall,Week 4Sept 23[6],2007,
191,25,<,24,Nebraska,Big 12,3-1,134,22,,Week 4Sept 23[6],2007,
192,RV,<,NR,Purdue,Big Ten,,73,,,Week 4Sept 23[6],2007,
193,RV,<,NR,Miami (FL),ACC,,72,,,Week 4Sept 23[6],2007,
194,RV,<,NR,Michigan State,Big Ten,,60,,,Week 4Sept 23[6],2007,
195,RV,<,NR,UCLA,Pac-10,,27,,,Week 4Sept 23[6],2007,
196,RV,<,20,Texas A&M,Big 12,,21,,,Week 4Sept 23[6],2007,
197,RV,<,NR,Michigan,Big Ten,,21,,,Week 4Sept 23[6],2007,
198,RV,<,NR,Arkansas,SEC,,10,,,Week 4Sept 23[6],2007,
199,RV,<,NR,Kansas,Big 12,,6,,,Week 4Sept 23[6],2007,
200,RV,<,NR,Florida State,ACC,,5,,,Week 4Sept 23[6],2007,
201,RV,<,NR,UCF,CUSA,,4,,,Week 4Sept 23[6],2007,
202,RV,<,NR,Connecticut,Big East,,3,,,Week 4Sept 23[6],2007,
203,RV,<,NR,Virginia,ACC,,2,,,Week 4Sept 23[6],2007,
204,RV,<,NR,Tennessee,SEC,,1,,,Week 4Sept 23[6],2007,
205,RV,<,18,Louisville,Big East,,0,,,Week 4Sept 23[6],2007,
206,1,<,2,LSU (33),SEC,5-0,1593,2,W 34-9 A Tulane,Week 5Sept 30[7],2007,
207,2,<,1,USC (32),Pac-10,4-0,1591,1,W 27-24 A Washington,Week 5Sept 30[7],2007,
208,3,<,6,California,Pac-10,5-0,1475,3,,Week 5Sept 30[7],2007,
209,4,<,8,Ohio State,Big Ten,5-0,1420,4,,Week 5Sept 30[7],2007,
210,5,<,9,Wisconsin,Big Ten,5-0,1271,5,,Week 5Sept 30[7],2007,
211,6,<,18,South Florida,Big East,5-0,1203,9,W 21-13 H #5 West Virginia,Week 5Sept 30[7],2007,
212,7,<,12,Boston College,ACC,5-0,1172,6,,Week 5Sept 30[7],2007,
213,8,<,14,Kentucky,SEC,5-0,1143,8,,Week 5Sept 30[7],2007,
214,9,<,4,Florida,SEC,4-1,1031,7,,Week 5Sept 30[7],2007,
215,10,<,3,Oklahoma,Big 12,4-1,992,10,L 27-24 A Colorado,Week 5Sept 30[7],2007,
216,11,<,16,South Carolina,SEC,4-1,900,18,W 38-21 H Mississippi State,Week 5Sept 30[7],2007,
217,12,<,15,Georgia,SEC,4-1,885,11,,Week 5Sept 30[7],2007,
