,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,,Minnesota (66),Big Ten,2-0,1081.0,W 34-6 H Illinois,Week 1Oct 13[1],1941
1,2,<,,Texas (30),Southwest,3-0,934.0,,Week 1Oct 13[1],1941
2,3,<,,Duke (14),Southern,3-0,801.5,,Week 1Oct 13[1],1941
3,4,<,,Fordham,Ind,2-0,508.5,W 27-14 A North Carolina,Week 1Oct 13[1],1941
4,5,<,,Northwestern (1),Big Ten,2-0,496.0,,Week 1Oct 13[1],1941
5,6,<,,Michigan (1),Big Ten,3-0,473.0,,Week 1Oct 13[1],1941
6,7,<,,Navy (3),Ind,3-0,446.5,,Week 1Oct 13[1],1941
7,8,<,,Notre Dame,Ind,3-0,388.5,,Week 1Oct 13[1],1941
8,9,<,,Santa Clara (1),Ind,3-0,240.5,,Week 1Oct 13[1],1941
9,10,<,,Ohio State (1),Big Ten,2-0,203.0,,Week 1Oct 13[1],1941
10,11,<,,Penn,Ind,2-0,172.5,,Week 1Oct 13[1],1941
11,12,<,,Rice,Southwest,2-0,160.0,,Week 1Oct 13[1],1941
12,13,<,,Clemson (1),Southern,4-0,108.0,,Week 1Oct 13[1],1941
13,14,<,,Texas A&M,Southwest,3-0,87.0,,Week 1Oct 13[1],1941
14,15,<,,Nebraska,Big 6,2-0,84.0,,Week 1Oct 13[1],1941
15,16,<,,Oregon State,PCC,3-0,81.0,,Week 1Oct 13[1],1941
16,17,<,,Tulane (1),SEC,2-1,66.0,L 10-9 A Rice,Week 1Oct 13[1],1941
17,18,<,,Vanderbilt,SEC,3-0,41.0,W 39-15 A Kentucky,Week 1Oct 13[1],1941
18,19,<,,Mississippi State,SEC,2-0-1,28.0,,Week 1Oct 13[1],1941
19,20,<,,Columbia,Ind,2-0,20.0,W 21-0 A Princeton,Week 1Oct 13[1],1941
20,1,<,1,Minnesota (69),Big Ten,3-0,1169.0,W 39-0 H Pittsburgh,Week 2Oct 20[2],1941
21,2,<,2,Texas (33),Southwest,4-0,1095.0,,Week 2Oct 20[2],1941
22,3,<,6,Michigan (7),Big Ten,4-0,906.0,,Week 2Oct 20[2],1941
23,4,<,3,Duke (7),Southern,4-0,758.0,,Week 2Oct 20[2],1941
24,5,<,7,Navy (3),Ind,4-0,614.0,,Week 2Oct 20[2],1941
25,6,<,4,Fordham,Ind,3-0,500.0,W 27-0 H West Virginia,Week 2Oct 20[2],1941
