,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,1,Nebraska (28),Big 8,0-0,920,DNP,PreseasonAug[1],1972
1,2,<,3,Colorado (13),Big 8,0-0,746,DNP,PreseasonAug[1],1972
2,3,<,NR,Ohio State (4),Big Ten,0-0,620,DNP,PreseasonAug[1],1972
3,4,<,16,Arkansas (2),Southwest,0-0,578,DNP,PreseasonAug[1],1972
4,5,<,5,Penn State,Ind,0-0,550,DNP,PreseasonAug[1],1972
5,6,<,2,Oklahoma (2),Big 8,0-0,538,DNP,PreseasonAug[1],1972
6,7,<,4,Alabama,SEC,0-0,410,DNP,PreseasonAug[1],1972
7,8,<,20,USC,Pac-8,0-0,299,DNP,PreseasonAug[1],1972
8,9,<,19,Washington (1),Pac-8,0-0,294,DNP,PreseasonAug[1],1972
9,10,<,6,Michigan,Big Ten,0-0,266,DNP,PreseasonAug[1],1972
10,11,<,11,LSU,SEC,0-0,257,DNP,PreseasonAug[1],1972
11,12,<,8,Arizona State,WAC,0-0,221,DNP,PreseasonAug[1],1972
12,13,<,13,Notre Dame,Ind,0-0,205,DNP,PreseasonAug[1],1972
13,14,<,18,Texas,Southwest,0-0,202,DNP,PreseasonAug[1],1972
14,15,<,9,Tennessee,SEC,0-0,163,DNP,PreseasonAug[1],1972
15,16,<,15,Mississippi,SEC,0-0,88,DNP,PreseasonAug[1],1972
16,17,<,7,Georgia,SEC,0-0,79,DNP,PreseasonAug[1],1972
17,18,<,NR,Purdue,Big Ten,0-0,67,DNP,PreseasonAug[1],1972
18,19,<,NR,Florida State,Ind,0-0,40,DNP,PreseasonAug[1],1972
19,20,<,10,Stanford,Pac-8,0-0,27,DNP,PreseasonAug[1],1972
20,NR,<,12,Auburn,SEC,0-0,0,DNP,PreseasonAug[1],1972
21,NR,<,14,Toledo,MAC,0-0,0,DNP,PreseasonAug[1],1972
22,NR,<,17,Houston,Ind,0-0,0,DNP,PreseasonAug[1],1972
23,1,<,8,USC (13),Pac-8,1-0,779,W 31-10 A #4 Arkansas,Week 1Sep 11[2],1972
24,2,<,2,Colorado (12),Big 8,1-0,769,,Week 1Sep 11[2],1972
25,3,<,3,Ohio State (5),Big Ten,0-0,710,DNP,Week 1Sep 11[2],1972
26,4,<,6,Oklahoma (12),Big 8,0-0,694,DNP,Week 1Sep 11[2],1972
27,5,<,7,Alabama,SEC,1-0,528,,Week 1Sep 11[2],1972
28,6,<,5,Penn State (1),Ind,0-0,473,DNP,Week 1Sep 11[2],1972
29,7,<,15,Tennessee (1),SEC,1-0,426,,Week 1Sep 11[2],1972
30,8,<,NR,UCLA,Pac-8,1-0,415,,Week 1Sep 11[2],1972
31,9,<,11,LSU,SEC,0-0,375,DNP,Week 1Sep 11[2],1972
32,10,<,1,Nebraska (1),Big 8,0-1,344,L 20-17 A UCLA,Week 1Sep 11[2],1972
33,11,<,10,Michigan,Big Ten,0-0,199,DNP,Week 1Sep 11[2],1972
34,12,<,9,Washington (1),Pac-8,1-0,186,,Week 1Sep 11[2],1972
35,13,<,12,Arizona State,WAC,1-0,174,,Week 1Sep 11[2],1972
36,14,<,13,Notre Dame,Ind,0-0,162,DNP,Week 1Sep 11[2],1972
37,15,<,14,Texas,Southwest,0-0,132,DNP,Week 1Sep 11[2],1972
38,16,<,17,Georgia,SEC,0-0,81,DNP,Week 1Sep 11[2],1972
39,17,<,4,Arkansas,Southwest,0-1,79,L 31-10 H #8 USC,Week 1Sep 11[2],1972
40,18,<,18,Purdue,Big Ten,0-0,55,DNP,Week 1Sep 11[2],1972
41,19,<,16,Mississippi,SEC,0-0,43,DNP,Week 1Sep 11[2],1972
42,20,<,19,Florida State,Ind,1-0,40,,Week 1Sep 11[2],1972
43,NR,<,20,Stanford,Pac-8,,0,,Week 1Sep 11[2],1972
44,1,<,1,USC (28),Pac-8,2-0,920,W 51-6 H Oregon State,Week 2Sep 18[3],1972
45,2,<,4,Oklahoma (11),Big 8,1-0,840,W 49-0 H Utah State,Week 2Sep 18[3],1972
46,3,<,2,Colorado (7),Big 8,2-0,769,,Week 2Sep 18[3],1972
47,4,<,3,Ohio State (2),Big Ten,1-0,622,,Week 2Sep 18[3],1972
48,5,<,7,Tennessee (2),SEC,2-0,615,,Week 2Sep 18[3],1972
49,6,<,8,UCLA,Pac-8,2-0,490,,Week 2Sep 18[3],1972
50,7,<,5,Alabama,SEC,1-0,463,,Week 2Sep 18[3],1972
51,8,<,9,LSU,SEC,1-0,392,,Week 2Sep 18[3],1972
52,9,<,10,Nebraska,Big 8,1-1,377,W 37-7 H Texas A&M,Week 2Sep 18[3],1972
53,10,<,13,Arizona State,WAC,2-0,190,,Week 2Sep 18[3],1972
54,11,<,6,Penn State,Ind,0-1,180,,Week 2Sep 18[3],1972
55,12,<,11,Michigan,Big Ten,1-0,162,,Week 2Sep 18[3],1972
56,13,<,14,Notre Dame,Ind,0-0,156,DNP,Week 2Sep 18[3],1972
57,14,<,15,Texas,Southwest,0-0,109,DNP,Week 2Sep 18[3],1972
58,15,<,12,Washington,Pac-8,2-0,86,,Week 2Sep 18[3],1972
59,16,<,16,Georgia,SEC,1-0,59,,Week 2Sep 18[3],1972
60,17,<,20,Florida State,Ind,2-0,58,,Week 2Sep 18[3],1972
61,18,<,NR,Michigan State,Big Ten,1-0,54,,Week 2Sep 18[3],1972
62,19,<,NR,Stanford,Pac-8,1-0,50,,Week 2Sep 18[3],1972
63,20,<,19,Mississippi,SEC,1-0,38,,Week 2Sep 18[3],1972
64,NR,<,17,Arkansas,Southwest,,0,,Week 2Sep 18[3],1972
65,NR,<,18,Purdue,Big Ten,,0,,Week 2Sep 18[3],1972
66,1,<,1,USC (28),Pac-8,3-0,940,W 55-20 A Illinois,Week 3Sep 25[4],1972
67,2,<,2,Oklahoma (14),Big 8,2-0,894,W 68-3 H Oregon,Week 3Sep 25[4],1972
68,3,<,3,Colorado (5),Big 8,3-0,728,,Week 3Sep 25[4],1972
69,4,<,5,Tennessee (1),SEC,3-0,622,,Week 3Sep 25[4],1972
