,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,2,Notre Dame (15),Ind,0-0,885.0,DNP,PreseasonAug[2],1971
1,2,<,1,Nebraska (26),Big 8,0-0,870.0,DNP,PreseasonAug[2],1971
2,3,<,3,Texas (5),Southwest,0-0,662.0,DNP,PreseasonAug[2],1971
3,4,<,9,Michigan (1),Big Ten,0-0,593.0,DNP,PreseasonAug[2],1971
4,5,<,15,USC (1),Pac-8,0-0,525.0,DNP,PreseasonAug[2],1971
5,6,<,10,Auburn (1),SEC,0-0,434.0,DNP,PreseasonAug[2],1971
6,7,<,11,Arkansas,Southwest,0-0,332.0,DNP,PreseasonAug[2],1971
7,8,<,4,Tennessee,SEC,0-0,323.0,DNP,PreseasonAug[2],1971
8,9,<,7,LSU,SEC,0-0,302.0,DNP,PreseasonAug[2],1971
9,10,<,20,Oklahoma,Big 8,0-0,242.0,DNP,PreseasonAug[2],1971
10,11,<,5,Ohio State,Big Ten,0-0,237.0,DNP,PreseasonAug[2],1971
11,12,<,18,Penn State,Ind,0-0,190.0,DNP,PreseasonAug[2],1971
12,13,<,NR,Syracuse,Ind,0-0,165.0,DNP,PreseasonAug[2],1971
13,14,<,6,Arizona State,WAC,0-0,154.0,DNP,PreseasonAug[2],1971
14,15,<,NR,UCLA,Pac-8,0-0,122.0,DNP,PreseasonAug[2],1971
15,16,<,NR,Alabama,SEC,0-0,88.0,DNP,PreseasonAug[2],1971
16,17,<,13,Georgia Tech,Ind,0-0,76.0,DNP,PreseasonAug[2],1971
17,18,<,NR,Georgia,SEC,0-0,71.0,DNP,PreseasonAug[2],1971
18,19,<,8,Stanford,Pac-8,0-0,62.0,DNP,PreseasonAug[2],1971
19,20,<,NR,Northwestern (1),Big Ten,0-0,58.0,DNP,PreseasonAug[2],1971
20,RV,<,12,Toledo,MAC,0-0,0.0,DNP,PreseasonAug[2],1971
21,RV,<,16,Air Force,Ind,0-0,0.0,DNP,PreseasonAug[2],1971
22,RV,<,19,Houston,Ind,0-0,0.0,DNP,PreseasonAug[2],1971
23,RV,<,20,Mississippi,SEC,0-0,0.0,DNP,PreseasonAug[2],1971
24,RV,<,NR,California,Pac-8,0-0,0.0,DNP,PreseasonAug[2],1971
25,RV,<,NR,Colorado,Big 8,0-0,0.0,DNP,PreseasonAug[2],1971
26,RV,<,NR,Florida,SEC,0-0,0.0,DNP,PreseasonAug[2],1971
27,RV,<,NR,Florida State,Ind,0-0,0.0,DNP,PreseasonAug[2],1971
28,RV,<,NR,Illinois,Big Ten,0-0,0.0,DNP,PreseasonAug[2],1971
29,RV,<,NR,Kansas State,Big 8,0-0,0.0,DNP,PreseasonAug[2],1971
30,RV,<,NR,Michigan State,Big Ten,0-0,0.0,DNP,PreseasonAug[2],1971
31,RV,<,NR,Missouri,Big 8,0-0,0.0,DNP,PreseasonAug[2],1971
32,RV,<,NR,Oregon,Pac-8,0-0,0.0,DNP,PreseasonAug[2],1971
33,RV,<,NR,Purdue,Big Ten,0-0,0.0,DNP,PreseasonAug[2],1971
34,RV,<,NR,San Diego State,Big West,0-0,0.0,DNP,PreseasonAug[2],1971
35,RV,<,NR,South Carolina,Ind,0-0,0.0,DNP,PreseasonAug[2],1971
