,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
0,1,<,3,Florida State (48),ACC,0-0,1720,DNP,PreseasonAug 15[1],1999,
1,2,<,1,Tennessee (15),SEC,0-0,1643,DNP,PreseasonAug 15[1],1999,
2,3,<,17,Penn State (4),Big Ten,0-0,1582,DNP,PreseasonAug 15[1],1999,
3,4,<,4,Arizona (1),Pac-10,0-0,1537,DNP,PreseasonAug 15[1],1999,
4,5,<,5,Florida (1),SEC,0-0,1361,DNP,PreseasonAug 15[1],1999,
5,6,<,19,Nebraska,Big 12,0-0,1327,DNP,PreseasonAug 15[1],1999,
6,7,<,11,Texas A&M,Big 12,0-0,1314,DNP,PreseasonAug 15[1],1999,
7,8,<,12,Michigan,Big Ten,0-0,1292,DNP,PreseasonAug 15[1],1999,
8,9,<,2,Ohio State,Big Ten,0-0,1160,DNP,PreseasonAug 15[1],1999,
9,10,<,6,Wisconsin,Big Ten,0-0,1091,DNP,PreseasonAug 15[1],1999,
10,11,<,9,Georgia Tech,ACC,0-0,979,DNP,PreseasonAug 15[1],1999,
11,12,<,20,Miami (FL),Big East,0-0,928,DNP,PreseasonAug 15[1],1999,
12,13,<,23,Virginia Tech (1),Big East,0-0,896,DNP,PreseasonAug 15[1],1999,
13,14,<,14,Georgia,SEC,0-0,829,DNP,PreseasonAug 15[1],1999,
14,15,<,NR,Colorado,Big 12,0-0,636,DNP,PreseasonAug 15[1],1999,
15,16,<,8,UCLA,Pac-10,0-0,587,DNP,PreseasonAug 15[1],1999,
16,17,<,15,Texas,Big 12,0-0,487,DNP,PreseasonAug 15[1],1999,
17,18,<,22,Notre Dame,Ind,0-0,463,DNP,PreseasonAug 15[1],1999,
18,19,<,NR,USC,Pac-10,0-0,455,DNP,PreseasonAug 15[1],1999,
19,20,<,10,Kansas State,Big 12,0-0,445,DNP,PreseasonAug 15[1],1999,
20,20,<,NR,Alabama,SEC,0-0,445,DNP,PreseasonAug 15[1],1999,
21,22,<,16,Arkansas,SEC,0-0,441,DNP,PreseasonAug 15[1],1999,
22,23,<,24,Purdue,Big Ten,0-0,370,DNP,PreseasonAug 15[1],1999,
23,24,<,18,Virginia,ACC,0-0,222,DNP,PreseasonAug 15[1],1999,
24,25,<,NR,Arizona State,Pac-10,0-0,108,DNP,PreseasonAug 15[1],1999,
25,RV,<,NR,BYU,MWC,0-0,93,DNP,PreseasonAug 15[1],1999,
26,RV,<,NR,Marshall,MAC,0-0,75,DNP,PreseasonAug 15[1],1999,
27,RV,<,NR,Mississippi State,SEC,0-0,72,DNP,PreseasonAug 15[1],1999,
28,RV,<,NR,Michigan State,Big Ten,0-0,34,DNP,PreseasonAug 15[1],1999,
29,RV,<,13,Air Force,MWC,0-0,25,DNP,PreseasonAug 15[1],1999,
30,RV,<,25,Syracuse,Big East,0-0,23,DNP,PreseasonAug 15[1],1999,
31,RV,<,NR,Mississippi,SEC,0-0,23,DNP,PreseasonAug 15[1],1999,
32,RV,<,NR,Louisville,CUSA,0-0,20,DNP,PreseasonAug 15[1],1999,
33,RV,<,NR,Wyoming,MWC,0-0,15,DNP,PreseasonAug 15[1],1999,
34,RV,<,NR,LSU,SEC,0-0,13,DNP,PreseasonAug 15[1],1999,
35,RV,<,NR,Oklahoma State,Big 12,0-0,9,DNP,PreseasonAug 15[1],1999,
36,RV,<,21,Missouri,Big 12,0-0,7,DNP,PreseasonAug 15[1],1999,
37,RV,<,NR,North Carolina,ACC,0-0,6,DNP,PreseasonAug 15[1],1999,
38,RV,<,NR,Oregon,Pac-10,0-0,6,DNP,PreseasonAug 15[1],1999,
39,RV,<,NR,Southern Miss,CUSA,0-0,2,DNP,PreseasonAug 15[1],1999,
40,RV,<,NR,Washington,Pac-10,0-0,2,DNP,PreseasonAug 15[1],1999,
41,RV,<,NR,Miami (OH),MAC,0-0,1,DNP,PreseasonAug 15[1],1999,
42,RV,<,NR,NC State,ACC,0-0,1,DNP,PreseasonAug 15[1],1999,
