,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,CFP
520,12,<,7,Michigan State,Big Ten,7-2,782,12,L 49-37 H #13 Ohio State,Week 11Nov 9[14],2014,12
521,13,<,9,Kansas State,Big 12,7-2,742,13,L 41-20 A #6 TCU,Week 11Nov 9[14],2014,13
522,14,<,18,UCLA,Pac-12,8-2,691,15,W 44-30 A Washington,Week 11Nov 9[14],2014,11
523,15,<,8,Notre Dame,Ind,7-2,630,16,L 55-31 A #11 Arizona State,Week 11Nov 9[14],2014,18
524,16,<,17,Georgia,SEC,7-2,622,14,W 63-31 A Kentucky,Week 11Nov 9[14],2014,15
525,17,<,21,Arizona,Pac-12,7-2,471,18,W 38-20 H Colorado,Week 11Nov 9[14],2014,14
526,18,<,19,Clemson,ACC,7-2,457,17,W 34-20 A Wake Forest,Week 11Nov 9[14],2014,19
527,19,<,22,Duke,ACC,8-1,431,19,W 27-10 A Syracuse,Week 11Nov 9[14],2014,21
528,20,<,14,LSU,SEC,7-3,429,20,L 20-13 (1OT) H #4 Alabama,Week 11Nov 9[14],2014,17
529,21,<,23,Marshall,CUSA,9-0,297,21,W 63-17 A Southern Miss,Week 11Nov 9[14],2014,NR
530,22,<,25,Wisconsin,Big Ten,7-2,225,22,W 34-16 A Purdue,Week 11Nov 9[14],2014,20
531,23,<,NR,Colorado State,MWC,9-1,128,25,W 49-22 H Hawaii,Week 11Nov 9[14],2014,NR
532,24,<,NR,Georgia Tech,ACC,8-2,127,23,W 56-23 A NC State,Week 11Nov 9[14],2014,22
533,25,<,20,Utah,Pac-12,6-3,87,RV,L 51-27 H #5 Oregon,Week 11Nov 9[14],2014,23
534,RV,<,16,Oklahoma,Big 12,6-3,85,24,L 48-14 H #10 Baylor,Week 11Nov 9[14],2014,NR
535,RV,<,NR,Texas A&M,SEC,7-3,83,RV,W 41-38 A #3 Auburn,Week 11Nov 9[14],2014,24
536,RV,<,NR,Missouri,SEC,7-2,68,RV,DNP,Week 11Nov 9[14],2014,NR
537,RV,<,NR,USC,Pac-12,6-3,47,RV,DNP,Week 11Nov 9[14],2014,NR
538,RV,<,NR,Minnesota,Big Ten,7-2,26,RV,W 51-14 H Iowa,Week 11Nov 9[14],2014,25
539,RV,<,NR,Louisville,ACC,7-3,12,RV,W 38-19 A Boston College,Week 11Nov 9[14],2014,NR
540,RV,<,24,West Virginia,Big 12,6-4,6,NR,L 33-16 A Texas,Week 11Nov 9[14],2014,NR
541,RV,<,NR,Stanford,Pac-12,5-4,4,RV,DNP,Week 11Nov 9[14],2014,NR
542,RV,<,NR,Boise State,MWC,7-2,1,RV,W 60-49 A New Mexico,Week 11Nov 9[14],2014,NR
543,RV,<,NR,Georgia Southern,Sun Belt,8-2,1,NR,W 28-25 A Texas State,Week 11Nov 9[14],2014,NR
544,RV,<,NR,Miami (FL),ACC,6-3,1,RV,DNP,Week 11Nov 9[14],2014,NR
545,NR,<,NR,Cincinnati,AAC,5-3,0,RV,DNP,Week 11Nov 9[14],2014,NR
546,NR,<,NR,East Carolina,AAC,6-2,0,RV,DNP,Week 11Nov 9[14],2014,NR
547,NR,<,NR,Florida,SEC,5-3,0,RV,W 34-10 A Vanderbilt,Week 11Nov 9[14],2014,NR
548,1,<,2,Florida State (43),ACC,10-0,1476,*1,W 30-26 A Miami (FL),Week 12Nov 16[15],2014,3
549,2,<,4,Alabama (16),SEC,9-1,1439,*2,W 25-20 H #1 Mississippi State,Week 12Nov 16[15],2014,1
550,3,<,3,Oregon (1),Pac-12,9-1,1385,*3,DNP,Week 12Nov 16[15],2014,2
551,4,<,1,Mississippi State,SEC,9-1,1289,4,L 25-20 A #4 Alabama,Week 12Nov 16[15],2014,4
552,5,<,5,TCU,Big 12,9-1,1237,5,W 34-30 A Kansas,Week 12Nov 16[15],2014,5
553,6,<,6,Baylor,Big 12,8-1,1232,6,DNP,Week 12Nov 16[15],2014,7
554,7,<,8,Ohio State,Big Ten,9-1,1167,7,W 31-24 A Minnesota,Week 12Nov 16[15],2014,6
555,8,<,10,Mississippi,SEC,8-2,1064,8,DNP,Week 12Nov 16[15],2014,8
556,9,<,16,Georgia,SEC,8-2,948,10,W 34-7 H #9 Auburn,Week 12Nov 16[15],2014,10
557,10,<,12,Michigan State,Big Ten,8-2,941,9,W 37-15 A Maryland,Week 12Nov 16[15],2014,11
558,11,<,14,UCLA,Pac-12,8-2,876,12,DNP,Week 12Nov 16[15],2014,9
559,12,<,13,Kansas State,Big 12,7-2,868,11,DNP,Week 12Nov 16[15],2014,12
560,13,<,7,Arizona State,Pac-12,8-2,720,14,L 35-27 A Oregon State,Week 12Nov 16[15],2014,13
561,14,<,22,Wisconsin,Big Ten,8-2,707,15,W 59-24 H #11 Nebraska,Week 12Nov 16[15],2014,16
562,15,<,17,Arizona,Pac-12,8-2,695,13,W 27-26 H Washington,Week 12Nov 16[15],2014,15
563,16,<,9,Auburn,SEC,7-3,531,17,L 34-7 A #16 Georgia,Week 12Nov 16[15],2014,14
564,17,<,24,Georgia Tech,ACC,9-2,523,16,W 28-6 H #18 Clemson,Week 12Nov 16[15],2014,18
565,18,<,21,Marshall,CUSA,10-0,383,18,W 41-14 H Rice,Week 12Nov 16[15],2014,NR
566,19,<,NR,Missouri,SEC,8-2,376,20,W 34-27 A Texas A&M,Week 12Nov 16[15],2014,20
567,20,<,25,Utah,Pac-12,7-3,349,21,W 20-17 (2OT) A Stanford,Week 12Nov 16[15],2014,17
568,21,<,11,Nebraska,Big Ten,8-2,291,19,L 59-24 A #22 Wisconsin,Week 12Nov 16[15],2014,23
569,22,<,23,Colorado State,MWC,9-1,281,23,DNP,Week 12Nov 16[15],2014,NR
570,23,<,NR,Oklahoma,Big 12,7-3,206,22,W 42-30 A Texas Tech,Week 12Nov 16[15],2014,21
571,24,<,NR,USC,Pac-12,7-3,195,24,W 38-30 H California,Week 12Nov 16[15],2014,19
572,25,<,19,Duke,ACC,8-2,85,25,L 17-16 H Virginia Tech,Week 12Nov 16[15],2014,NR
573,RV,<,15,Notre Dame,Ind,7-3,74,RV,L 43-40 (1OT) H Northwestern,Week 12Nov 16[15],2014,NR
574,RV,<,18,Clemson,ACC,7-3,52,RV,L 28-6 A #24 Georgia Tech,Week 12Nov 16[15],2014,22
575,RV,<,NR,Boise State,MWC,8-2,29,RV,W 38-29 H San Diego State,Week 12Nov 16[15],2014,NR
576,RV,<,NR,Louisville,ACC,7-3,29,RV,DNP,Week 12Nov 16[15],2014,24
577,RV,<,20,LSU,SEC,7-4,26,RV,L 17-0 A Arkansas,Week 12Nov 16[15],2014,NR
578,RV,<,NR,Minnesota,Big Ten,7-3,10,RV,L 31-24 H #8 Ohio State,Week 12Nov 16[15],2014,25
579,RV,<,NR,West Virginia,Big 12,6-4,8,RV,DNP,Week 12Nov 16[15],2014,NR
580,RV,<,NR,Miami (FL),ACC,6-4,3,RV,L 30-26 H #2 Florida State,Week 12Nov 16[15],2014,NR
581,RV,<,NR,Texas A&M,SEC,7-4,3,RV,L 34-27 H Missouri,Week 12Nov 16[15],2014,NR
582,RV,<,NR,Arkansas,SEC,5-5,2,RV,W 17-0 H #20 LSU,Week 12Nov 16[15],2014,NR
583,NR,<,NR,Cincinnati,AAC,6-3,0,RV,W 54-46 H East Carolina,Week 12Nov 16[15],2014,NR
584,NR,<,NR,Iowa,Big Ten,7-3,0,RV,W 30-14 A Illinois,Week 12Nov 16[15],2014,NR
585,NR,<,NR,Northern Illinois,MAC,8-2,0,RV,W 27-24 H Toledo,Week 12Nov 16[15],2014,NR
586,NR,<,NR,Stanford,Pac-12,5-5,0,RV,L 20-17 (2OT) H #25 Utah,Week 12Nov 16[15],2014,NR
587,NR,<,NR,Texas,Big 12,6-5,0,RV,W 28-7 A Oklahoma State,Week 12Nov 16[15],2014,NR
588,1,<,1,Florida State (37),ACC,11-0,1458,*2,W 20-17 H Boston College,Week 13Nov 23[16],2014,3
589,2,<,2,Alabama (21),SEC,10-1,1445,*1,W 48-14 H Western Carolina,Week 13Nov 23[16],2014,1
590,3,<,3,Oregon (2),Pac-12,10-1,1393,*3,W 44-10 H Colorado,Week 13Nov 23[16],2014,2
591,4,<,4,Mississippi State,SEC,10-1,1301,4,W 51-0 H Vanderbilt,Week 13Nov 23[16],2014,4
592,5,<,6,Baylor,Big 12,9-1,1234,6,W 49-28 H Oklahoma State,Week 13Nov 23[16],2014,7
593,6,<,5,TCU,Big 12,9-1,1233,5,DNP,Week 13Nov 23[16],2014,5
594,7,<,7,Ohio State,Big Ten,10-1,1163,7,W 42-27 H Indiana,Week 13Nov 23[16],2014,6
595,8,<,9,Georgia,SEC,9-2,1002,9,W 55-9 H Charleston Southern,Week 13Nov 23[16],2014,9
596,9,<,11,UCLA,Pac-12,9-2,998,10,W 38-20 H #24 USC,Week 13Nov 23[16],2014,8
597,10,<,10,Michigan State,Big Ten,9-2,971,8,W 45-3 H Rutgers,Week 13Nov 23[16],2014,10
598,11,<,12,Kansas State,Big 12,8-2,898,11,W 26-20 A West Virginia,Week 13Nov 23[16],2014,12
599,12,<,15,Arizona,Pac-12,9-2,807,12,W 42-10 A #20 Utah,Week 13Nov 23[16],2014,11
600,13,<,13,Arizona State,Pac-12,9-2,790,13,W 52-31 H Washington State,Week 13Nov 23[16],2014,13
601,14,<,14,Wisconsin,Big Ten,9-2,764,14,W 26-24 A Iowa,Week 13Nov 23[16],2014,14
602,15,<,16,Auburn,SEC,8-3,597,16,W 31-7 H Samford,Week 13Nov 23[16],2014,15
603,16,<,17,Georgia Tech,ACC,9-2,581,15,DNP,Week 13Nov 23[16],2014,16
604,17,<,19,Missouri,SEC,9-2,525,17,W 29-21 A Tennessee,Week 13Nov 23[16],2014,17
605,18,<,8,Mississippi,SEC,8-3,398,19,L 30-0 A Arkansas,Week 13Nov 23[16],2014,19
606,19,<,18,Marshall,CUSA,11-0,384,20,W 23-18 A UAB,Week 13Nov 23[16],2014,24
607,20,<,23,Oklahoma,Big 12,8-3,363,18,W 44-7 H Kansas,Week 13Nov 23[16],2014,20
608,21,<,22,Colorado State,MWC,10-1,346,21,W 58-20 H New Mexico,Week 13Nov 23[16],2014,NR
609,22,<,NR,Minnesota,Big Ten,8-3,232,22,W 28-24 A #21 Nebraska,Week 13Nov 23[16],2014,18
610,23,<,NR,Clemson,ACC,8-3,198,24,W 28-0 H Georgia State,Week 13Nov 23[16],2014,21
611,24,<,NR,Louisville,ACC,8-3,191,23,W 31-28 A Notre Dame,Week 13Nov 23[16],2014,22
612,25,<,NR,Boise State,MWC,9-2,96,25,W 63-14 A Wyoming,Week 13Nov 23[16],2014,23
613,RV,<,NR,Arkansas,SEC,6-5,40,RV,W 30-0 H #8 Mississippi,Week 13Nov 23[16],2014,NR
614,RV,<,NR,LSU,SEC,7-4,39,RV,DNP,Week 13Nov 23[16],2014,NR
615,RV,<,20,Utah,Pac-12,7-4,14,RV,L 42-10 H #15 Arizona,Week 13Nov 23[16],2014,25
616,RV,<,21,Nebraska,Big Ten,8-3,14,RV,L 28-24 H Minnesota,Week 13Nov 23[16],2014,NR
617,RV,<,25,Duke,ACC,8-3,9,RV,L 45-20 H North Carolina,Week 13Nov 23[16],2014,NR
618,RV,<,24,USC,Pac-12,7-4,8,RV,L 38-20 A #11 UCLA,Week 13Nov 23[16],2014,NR
619,RV,<,NR,Memphis,AAC,8-3,3,NR,W 31-20 H South Florida,Week 13Nov 23[16],2014,NR
620,RV,<,NR,Texas A&M,SEC,7-4,2,RV,DNP,Week 13Nov 23[16],2014,NR
621,RV,<,NR,West Virginia,Big 12,6-5,2,NR,L 26-20 H #12 Kansas State,Week 13Nov 23[16],2014,NR
622,RV,<,NR,UCF,AAC,7-3,1,NR,W 53-7 H SMU,Week 13Nov 23[16],2014,NR
623,NR,<,NR,Cincinnati,AAC,7-3,0,RV,W 41-0 H Connecticut,Week 13Nov 23[16],2014,NR
624,NR,<,NR,Iowa,Big Ten,7-4,0,RV,L 26-24 H #14 Wisconsin,Week 13Nov 23[16],2014,NR
625,NR,<,NR,Louisiana Tech,CUSA,7-4,0,RV,L 30-27 (1OT) A Old Dominion,Week 13Nov 23[16],2014,NR
626,NR,<,NR,Northern Illinois,MAC,9-2,0,RV,W 21-14 A Ohio,Week 13Nov 23[16],2014,NR
627,NR,<,NR,Notre Dame,Ind,7-4,0,RV,L 31-28 H Louisville,Week 13Nov 23[16],2014,NR
628,NR,<,NR,Stanford,Pac-12,6-5,0,RV,W 38-17 A California,Week 13Nov 23[16],2014,NR
629,NR,<,NR,Texas,Big 12,6-5,0,RV,DNP,Week 13Nov 23[16],2014,NR
630,NR,<,NR,Utah State,MWC,9-3,0,RV,W 41-7 H San Jose State,Week 13Nov 23[16],2014,NR
631,1,<,2,Alabama (25),SEC,11-1,1426,*1,W 55-44 H #15 Auburn,Week 14Nov 30[17],2014,1
632,2,<,1,Florida State (29),ACC,12-0,1423,*2,W 24-19 H Florida,Week 14Nov 30[17],2014,4
633,3,<,3,Oregon (5),Pac-12,11-1,1391,*3,W 47-19 A Oregon State,Week 14Nov 30[17],2014,2
634,4,<,6,TCU,Big 12,10-1,1274,4,W 48-10 A Texas,Week 14Nov 30[17],2014,3
635,5,<,5,Baylor,Big 12,10-1,1243,5,W 48-46 N Texas Tech,Week 14Nov 30[17],2014,6
636,6,<,7,Ohio State,Big Ten,11-1,1192,6,W 42-28 H Michigan,Week 14Nov 30[17],2014,5
637,7,<,10,Michigan State,Big Ten,10-2,1048,7,W 34-10 A Penn State,Week 14Nov 30[17],2014,8
638,8,<,12,Arizona,Pac-12,10-2,1027,8,W 42-35 H #13 Arizona State,Week 14Nov 30[17],2014,7
639,9,<,11,Kansas State,Big 12,9-2,995,9,W 51-13 H Kansas,Week 14Nov 30[17],2014,9
640,10,<,4,Mississippi State,SEC,10-2,944,10,L 31-17 A #18 Mississippi,Week 14Nov 30[17],2014,10
641,11,<,14,Wisconsin,Big Ten,10-2,910,11,W 34-24 H #22 Minnesota,Week 14Nov 30[17],2014,13
642,12,<,16,Georgia Tech,ACC,10-2,823,12,W 30-24 (1OT) A #8 Georgia,Week 14Nov 30[17],2014,11
643,13,<,18,Mississippi,SEC,9-3,753,14,W 31-17 H #4 Mississippi State,Week 14Nov 30[17],2014,12
644,14,<,17,Missouri,SEC,10-2,740,13,W 21-14 H Arkansas,Week 14Nov 30[17],2014,16
645,15,<,8,Georgia,SEC,9-3,606,15,L 30-24 (1OT) H #16 Georgia Tech,Week 14Nov 30[17],2014,14
646,16,<,9,UCLA,Pac-12,9-3,512,17,L 31-10 H Stanford,Week 14Nov 30[17],2014,15
647,17,<,13,Arizona State,Pac-12,9-3,495,18,L 42-35 A #12 Arizona,Week 14Nov 30[17],2014,17
648,18,<,20,Oklahoma,Big 12,8-3,485,16,DNP,Week 14Nov 30[17],2014,20
649,19,<,23,Clemson,ACC,9-3,418,19,W 35-17 H South Carolina,Week 14Nov 30[17],2014,18
650,20,<,15,Auburn,SEC,8-4,358,21,L 55-44 A #2 Alabama,Week 14Nov 30[17],2014,19
651,21,<,24,Louisville,ACC,9-3,346,20,W 44-40 H Kentucky,Week 14Nov 30[17],2014,21
652,22,<,25,Boise State,MWC,10-2,265,22,W 50-19 H Utah State,Week 14Nov 30[17],2014,22
653,23,<,NR,LSU,SEC,8-4,145,24,W 23-17 A Texas A&M,Week 14Nov 30[17],2014,24
654,24,<,NR,Utah,Pac-12,8-4,79,RV,W 38-34 A Colorado,Week 14Nov 30[17],2014,23
655,25,<,NR,Nebraska,Big Ten,9-3,64,23,W 37-34 (1OT) A Iowa,Week 14Nov 30[17],2014,NR
656,RV,<,NR,USC,Pac-12,8-4,61,RV,W 49-14 H Notre Dame,Week 14Nov 30[17],2014,25
657,RV,<,22,Minnesota,Big Ten,8-4,47,25,L 34-24 A #14 Wisconsin,Week 14Nov 30[17],2014,NR
658,RV,<,19,Marshall,CUSA,11-1,22,RV,L 67-66 (1OT) H Western Kentucky,Week 14Nov 30[17],2014,NR
659,RV,<,NR,Duke,ACC,9-3,22,RV,W 41-21 H Wake Forest,Week 14Nov 30[17],2014,NR
660,RV,<,NR,Memphis,AAC,9-3,21,RV,W 41-10 H Connecticut,Week 14Nov 30[17],2014,NR
661,RV,<,21,Colorado State,MWC,10-2,18,RV,L 27-24 A Air Force,Week 14Nov 30[17],2014,NR
662,RV,<,NR,Air Force,MWC,9-3,7,RV,W 27-24 H #21 Colorado State,Week 14Nov 30[17],2014,NR
663,RV,<,NR,Stanford,Pac-12,7-5,4,RV,W 31-10 A #9 UCLA,Week 14Nov 30[17],2014,NR
664,RV,<,NR,West Virginia,Big 12,7-5,4,NR,W 37-24 A Iowa State,Week 14Nov 30[17],2014,NR
665,RV,<,NR,Northern Illinois,MAC,10-2,3,RV,W 31-21 A Western Michigan,Week 14Nov 30[17],2014,NR
666,RV,<,NR,UCF,AAC,8-3,3,RV,W 16-0 A South Florida,Week 14Nov 30[17],2014,NR
667,RV,<,NR,Cincinnati,AAC,8-3,1,RV,W 14-6 A Temple,Week 14Nov 30[17],2014,NR
668,NR,<,NR,Arkansas,SEC,6-6,0,RV,L 21-14 A #17 Missouri,Week 14Nov 30[17],2014,NR
669,NR,<,NR,Louisiana Tech,CUSA,8-4,0,RV,W 76-31 H Rice,Week 14Nov 30[17],2014,NR
670,1,<,1,Alabama (27),SEC,12-1,1452,*1,W 42-13 N #14 Missouri (SEC CG),Week 15Dec 7[18],2014,1
671,2,<,2,Florida State (25),ACC,13-0,1436,*2,W 37-35 N #9 Georgia Tech (ACC CG),Week 15Dec 7[18],2014,3
672,3,<,3,Oregon (8),Pac-12,12-1,1426,*3,W 51-13 N #11 Arizona (Pac-12 CG),Week 15Dec 7[18],2014,2
673,4,<,5,Baylor,Big 12,11-1,1265,5,W 38-27 H #10 Kansas State,Week 15Dec 7[18],2014,5
674,5,<,6,Ohio State,Big Ten,12-1,1262,4,W 59-0 N #17 Wisconsin (Big Ten CG),Week 15Dec 7[18],2014,4
675,6,<,4,TCU,Big 12,11-1,1257,*6,W 55-3 H Iowa State,Week 15Dec 7[18],2014,6
676,7,<,7,Michigan State,Big Ten,10-2,1105,7,DNP,Week 15Dec 7[18],2014,8
677,8,<,10,Mississippi State,SEC,10-2,1070,8,DNP,Week 15Dec 7[18],2014,7
678,9,<,13,Mississippi,SEC,9-3,976,12,DNP,Week 15Dec 7[18],2014,9
679,10,<,12,Georgia Tech,ACC,10-3,876,9,L 37-35 N #2 Florida State (ACC CG),Week 15Dec 7[18],2014,12
680,11,<,9,Kansas State,Big 12,9-3,875,10,L 38-27 A #5 Baylor,Week 15Dec 7[18],2014,11
681,12,<,8,Arizona,Pac-12,10-3,819,11,L 51-13 N #3 Oregon (Pac-12 CG),Week 15Dec 7[18],2014,10
682,13,<,15,Georgia,SEC,9-3,745,13,DNP,Week 15Dec 7[18],2014,13
683,14,<,16,UCLA,Pac-12,9-3,663,15,DNP,Week 15Dec 7[18],2014,14
684,15,<,17,Arizona State,Pac-12,9-3,602,16,DNP,Week 15Dec 7[18],2014,15
685,16,<,14,Missouri,SEC,10-3,599,14,L 42-13 N #1 Alabama (SEC CG),Week 15Dec 7[18],2014,16
686,17,<,11,Wisconsin,Big Ten,10-3,542,17,L 59-0 N #4 Ohio State (Big Ten CG),Week 15Dec 7[18],2014,18
687,18,<,19,Clemson,ACC,9-3,509,18,DNP,Week 15Dec 7[18],2014,17
688,19,<,20,Auburn,SEC,8-4,450,19,DNP,Week 15Dec 7[18],2014,19
689,20,<,21,Louisville,ACC,9-3,406,20,DNP,Week 15Dec 7[18],2014,21
690,21,<,22,Boise State,MWC,11-2,368,21,W 28-14 H Fresno State (MWC CG),Week 15Dec 7[18],2014,20
691,22,<,23,LSU,SEC,8-4,221,23,DNP,Week 15Dec 7[18],2014,23
692,23,<,24,Utah,Pac-12,8-4,134,25,DNP,Week 15Dec 7[18],2014,22
693,24,<,NR,USC,Pac-12,8-4,112,RV,DNP,Week 15Dec 7[18],2014,24
694,25,<,25,Nebraska,Big Ten,9-3,79,22,DNP,Week 15Dec 7[18],2014,NR
695,RV,<,NR,Minnesota,Big Ten,8-4,58,RV,DNP,Week 15Dec 7[18],2014,25
696,RV,<,18,Oklahoma,Big 12,8-4,46,24,L 38-35 (1OT) H Oklahoma State,Week 15Dec 7[18],2014,NR
697,RV,<,NR,Marshall,CUSA,12-1,36,RV,W 26-23 H Louisiana Tech (C-USA CG),Week 15Dec 7[18],2014,NR
698,RV,<,NR,Memphis,AAC,9-3,34,RV,DNP,Week 15Dec 7[18],2014,NR
699,RV,<,NR,Duke,ACC,9-3,32,RV,DNP,Week 15Dec 7[18],2014,NR
700,RV,<,NR,Colorado State,MWC,10-2,13,RV,DNP,Week 15Dec 7[18],2014,NR
701,RV,<,NR,Northern Illinois,MAC,11-2,11,RV,W 51-17 N Bowling Green (MAC CG),Week 15Dec 7[18],2014,NR
702,RV,<,NR,Air Force,MWC,9-3,7,RV,DNP,Week 15Dec 7[18],2014,NR
703,RV,<,NR,Cincinnati,AAC,9-3,5,RV,W 38-31 H Houston,Week 15Dec 7[18],2014,NR
704,RV,<,NR,UCF,AAC,9-3,4,RV,W 32-30 A East Carolina,Week 15Dec 7[18],2014,NR
705,RV,<,NR,West Virginia,Big 12,7-5,4,NR,DNP,Week 15Dec 7[18],2014,NR
706,RV,<,NR,Stanford,Pac-12,7-5,1,RV,DNP,Week 15Dec 7[18],2014,NR
707,NR,<,NR,BYU,Ind,8-4,0,RV,DNP,Week 15Dec 7[18],2014,NR
708,1,<,5,Ohio State (59),Big Ten,14-1,1475,*1,W 42-20 N #3 Oregon (CFP Final),Week 16 (Final)Jan 13[19],2014,
709,2,<,3,Oregon,Pac-12,13-2,1402,2,L 42-20 N #5 Ohio State (CFP Final),Week 16 (Final)Jan 13[19],2014,
710,3,<,6,TCU,Big 12,12-1,1349,3,W 42-3 N #9 Mississippi (Peach),Week 16 (Final)Jan 13[19],2014,
711,4,<,1,Alabama,SEC,12-2,1297,4,L 42-35 N #5 Ohio State (CFP Semi/Sugar),Week 16 (Final)Jan 13[19],2014,
712,5,<,2,Florida State,ACC,13-1,1212,6,L 59-20 N #3 Oregon (CFP Semi/Rose),Week 16 (Final)Jan 13[19],2014,
713,5,<,7,Michigan State,Big Ten,11-2,1212,5,W 42-41 N #4 Baylor (Cotton),Week 16 (Final)Jan 13[19],2014,
714,7,<,4,Baylor,Big 12,11-2,1098,8,L 42-41 N #7 Michigan State (Cotton),Week 16 (Final)Jan 13[19],2014,
715,8,<,10,Georgia Tech,ACC,11-3,1071,7,W 49-34 N #8 Mississippi State (Orange),Week 16 (Final)Jan 13[19],2014,
716,9,<,13,Georgia,SEC,10-3,925,9,W 37-14 N #20 Louisville (Belk),Week 16 (Final)Jan 13[19],2014,
717,10,<,14,UCLA,Pac-12,10-3,908,10,W 40-35 N #11 Kansas State (Alamo),Week 16 (Final)Jan 13[19],2014,
718,11,<,8,Mississippi State,SEC,10-3,767,12,L 49-34 N #10 Georgia Tech (Orange),Week 16 (Final)Jan 13[19],2014,
719,12,<,15,Arizona State,Pac-12,10-3,756,14,W 36-31 N Duke (Sun),Week 16 (Final)Jan 13[19],2014,
720,13,<,17,Wisconsin,Big Ten,11-3,724,13,W 34-31 (1OT) N #19 Auburn (Outback),Week 16 (Final)Jan 13[19],2014,
721,14,<,16,Missouri,SEC,11-3,710,11,W 33-17 N Minnesota (Citrus),Week 16 (Final)Jan 13[19],2014,
722,15,<,18,Clemson,ACC,10-3,683,15,W 40-6 N Oklahoma (Russell Athletic),Week 16 (Final)Jan 13[19],2014,
723,16,<,21,Boise State,MWC,12-2,653,16,W 38-30 N #12 Arizona (Fiesta),Week 16 (Final)Jan 13[19],2014,
724,17,<,9,Mississippi,SEC,9-4,543,19,L 42-3 N #6 TCU (Peach),Week 16 (Final)Jan 13[19],2014,
725,18,<,11,Kansas State,Big 12,9-4,509,18,L 40-35 N #14 UCLA (Alamo),Week 16 (Final)Jan 13[19],2014,
726,19,<,12,Arizona,Pac-12,10-4,499,17,L 38-30 N #21 Boise State (Fiesta),Week 16 (Final)Jan 13[19],2014,
727,20,<,24,USC,Pac-12,9-4,315,21,W 45-42 N #25 Nebraska (Holiday),Week 16 (Final)Jan 13[19],2014,
728,21,<,23,Utah,Pac-12,9-4,302,20,W 45-10 N Colorado State (Las Vegas),Week 16 (Final)Jan 13[19],2014,
729,22,<,19,Auburn,SEC,8-5,216,23,L 34-31 (1OT) N #17 Wisconsin (Outback),Week 16 (Final)Jan 13[19],2014,
730,23,<,NR,Marshall,CUSA,13-1,161,22,W 52-23 N Northern Illinois (Boca Raton),Week 16 (Final)Jan 13[19],2014,
731,24,<,20,Louisville,ACC,9-4,116,24,L 37-14 N #13 Georgia (Belk),Week 16 (Final)Jan 13[19],2014,
732,25,<,NR,Memphis,AAC,10-3,94,25,W 55-48 (2OT) N BYU (Miami Beach),Week 16 (Final)Jan 13[19],2014,
733,RV,<,NR,Notre Dame,Ind,8-5,28,RV,W 31-28 N #22 LSU (Music City),Week 16 (Final)Jan 13[19],2014,
734,RV,<,NR,Stanford,Pac-12,8-5,27,RV,W 45-21 N Maryland (Foster Farms),Week 16 (Final)Jan 13[19],2014,
735,RV,<,25,Nebraska,Big Ten,9-4,22,RV,L 45-42 N #24 USC (Holiday),Week 16 (Final)Jan 13[19],2014,
736,RV,<,NR,Air Force,MWC,10-3,21,RV,W 38-24 N Western Michigan (Idaho Potato),Week 16 (Final)Jan 13[19],2014,
737,RV,<,NR,Duke,ACC,9-4,18,RV,L 36-31 N #15 Arizona State (Sun),Week 16 (Final)Jan 13[19],2014,
738,RV,<,22,LSU,SEC,8-5,12,RV,L 31-28 N Notre Dame (Music City),Week 16 (Final)Jan 13[19],2014,
739,RV,<,NR,Utah State,MWC,10-4,11,RV,W 21-6 N UTEP (New Mexico),Week 16 (Final)Jan 13[19],2014,
740,RV,<,NR,Arkansas,SEC,7-6,10,RV,W 31-7 N Texas (Texas),Week 16 (Final)Jan 13[19],2014,
741,RV,<,NR,Minnesota,Big Ten,8-5,9,RV,L 33-17 N #16 Missouri (Citrus),Week 16 (Final)Jan 13[19],2014,
742,RV,<,NR,Oklahoma,Big 12,8-5,7,RV,L 40-6 N #18 Clemson (Russell Athletic),Week 16 (Final)Jan 13[19],2014,
743,RV,<,NR,Texas A&M,SEC,8-5,7,RV,L 45-21 N Stanford (Foster Farms),Week 16 (Final)Jan 13[19],2014,
744,RV,<,NR,Northern Illinois,MAC,11-3,4,RV,L 52-23 N Marshall (Boca Raton),Week 16 (Final)Jan 13[19],2014,
745,RV,<,NR,Colorado State,MWC,10-3,2,NR,L 45-10 N #23 Utah (Las Vegas),Week 16 (Final)Jan 13[19],2014,
746,NR,<,NR,Louisiana Tech,CUSA,9-5,0,RV,W 35-18 N Illinois (Heart of Dallas),Week 16 (Final)Jan 13[19],2014,
747,NR,<,NR,Navy,Ind,8-5,0,RV,W 17-16 N San Diego State (Poinsettia),Week 16 (Final)Jan 13[19],2014,
748,NR,<,NR,Oklahoma State,Big 12,7-6,0,RV,W 30-22 N Washington (Cactus),Week 16 (Final)Jan 13[19],2014,
749,NR,<,NR,Rutgers,Big Ten,8-5,0,RV,W 40-21 N North Carolina (Quick Lane),Week 16 (Final)Jan 13[19],2014,
750,NR,<,NR,Washington,Pac-12,8-6,0,RV,L 30-22 N Oklahoma State (Cactus),Week 16 (Final)Jan 13[19],2014,
