,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
0,1,<,6,USC (25),Pac-12,0-0,1445,*3,DNP,PreseasonAug 18[2],2012,
1,2,<,1,Alabama (17),SEC,0-0,1411,*2,DNP,PreseasonAug 18[2],2012,
2,3,<,2,LSU (16),SEC,0-0,1402,*1,DNP,PreseasonAug 18[2],2012,
3,4,<,16,Oklahoma (1),Big 12,0-0,1286,4,DNP,PreseasonAug 18[2],2012,
4,5,<,4,Oregon,Pac-12,0-0,1274,5,DNP,PreseasonAug 18[2],2012,
5,6,<,19,Georgia,SEC,0-0,1107,6,DNP,PreseasonAug 18[2],2012,
6,7,<,23,Florida State,ACC,0-0,1093,7,DNP,PreseasonAug 18[2],2012,
7,8,<,12,Michigan (1),Big Ten,0-0,1000,8,DNP,PreseasonAug 18[2],2012,
8,9,<,9,South Carolina,SEC,0-0,994,9,DNP,PreseasonAug 18[2],2012,
9,10,<,5,Arkansas,SEC,0-0,963,10,DNP,PreseasonAug 18[2],2012,
10,11,<,17,West Virginia,Big 12,0-0,856,11,DNP,PreseasonAug 18[2],2012,
11,12,<,10,Wisconsin,Big Ten,0-0,838,12,DNP,PreseasonAug 18[2],2012,
12,13,<,11,Michigan State,Big Ten,0-0,742,13,DNP,PreseasonAug 18[2],2012,
13,14,<,22,Clemson,ACC,0-0,615,14,DNP,PreseasonAug 18[2],2012,
14,15,<,NR,Texas,Big 12,0-0,569,15,DNP,PreseasonAug 18[2],2012,
15,16,<,21,Virginia Tech,ACC,0-0,548,20,DNP,PreseasonAug 18[2],2012,
16,17,<,24,Nebraska,Big Ten,0-0,485,16,DNP,PreseasonAug 18[2],2012,
17,18,<,NR,Ohio State,Big Ten,0-0,474,NR,DNP,PreseasonAug 18[2],2012,
18,19,<,3,Oklahoma State,Big 12,0-0,430,19,DNP,PreseasonAug 18[2],2012,
19,20,<,14,TCU,Big 12,0-0,397,17,DNP,PreseasonAug 18[2],2012,
20,21,<,7,Stanford,Pac-12,0-0,383,18,DNP,PreseasonAug 18[2],2012,
21,22,<,15,Kansas State,Big 12,0-0,300,21,DNP,PreseasonAug 18[2],2012,
22,23,<,NR,Florida,SEC,0-0,214,23,DNP,PreseasonAug 18[2],2012,
23,24,<,8,Boise State,MWC,0-0,212,22,DNP,PreseasonAug 18[2],2012,
24,25,<,NR,Louisville,Big East,0-0,105,RV,DNP,PreseasonAug 18[2],2012,
25,RV,<,NR,Notre Dame,Ind,0-0,83,24,DNP,PreseasonAug 18[2],2012,
26,RV,<,NR,Washington,Pac-12,0-0,55,RV,DNP,PreseasonAug 18[2],2012,
27,RV,<,NR,Auburn,SEC,0-0,53,25,DNP,PreseasonAug 18[2],2012,
28,RV,<,NR,North Carolina,ACC,0-0,32,NR,DNP,PreseasonAug 18[2],2012,
29,RV,<,NR,Utah,Pac-12,0-0,30,RV,DNP,PreseasonAug 18[2],2012,
30,RV,<,NR,Georgia Tech,ACC,0-0,25,RV,DNP,PreseasonAug 18[2],2012,
31,RV,<,NR,BYU,Ind,0-0,22,RV,DNP,PreseasonAug 18[2],2012,
32,RV,<,NR,Tennessee,SEC,0-0,15,RV,DNP,PreseasonAug 18[2],2012,
33,RV,<,NR,South Florida,Big East,0-0,11,RV,DNP,PreseasonAug 18[2],2012,
34,RV,<,13,Baylor,Big 12,0-0,9,RV,DNP,PreseasonAug 18[2],2012,
35,RV,<,NR,Texas A&M,SEC,0-0,5,RV,DNP,PreseasonAug 18[2],2012,
36,RV,<,NR,UCF,CUSA,0-0,4,RV,DNP,PreseasonAug 18[2],2012,
37,RV,<,25,Cincinnati,Big East,0-0,3,RV,DNP,PreseasonAug 18[2],2012,
38,RV,<,NR,Missouri,SEC,0-0,3,RV,DNP,PreseasonAug 18[2],2012,
39,RV,<,NR,NC State,ACC,0-0,3,RV,DNP,PreseasonAug 18[2],2012,
40,RV,<,18,Houston,CUSA,0-0,1,RV,DNP,PreseasonAug 18[2],2012,
41,RV,<,NR,Louisiana Tech,WAC,0-0,1,RV,DNP,PreseasonAug 18[2],2012,
42,RV,<,NR,Mississippi State,SEC,0-0,1,RV,DNP,PreseasonAug 18[2],2012,
43,RV,<,NR,Northern Illinois,MAC,0-0,1,RV,DNP,PreseasonAug 18[2],2012,
44,NR,<,20,Southern Miss,CUSA,0-0,0,RV,DNP,PreseasonAug 18[2],2012,
45,NR,<,NR,Florida International,Sun Belt,0-0,0,RV,DNP,PreseasonAug 18[2],2012,
46,NR,<,NR,Rutgers,Big East,0-0,0,RV,DNP,PreseasonAug 18[2],2012,
47,NR,<,NR,Texas Tech,Big 12,0-0,0,RV,DNP,PreseasonAug 18[2],2012,
48,NR,<,NR,Virginia,ACC,0-0,0,RV,DNP,PreseasonAug 18[2],2012,
49,1,<,2,Alabama (45),SEC,1-0,1481,*1,W 41-14 N #8 Michigan (Cowboys Classic),Week 1Sep 4[3],2012,
50,2,<,1,USC (11),Pac-12,1-0,1435,*2,W 49-10 H Hawaii,Week 1Sep 4[3],2012,
51,3,<,3,LSU (4),SEC,1-0,1382,*3,W 41-14 H North Texas,Week 1Sep 4[3],2012,
52,4,<,5,Oregon,Pac-12,1-0,1295,*4,W 57-34 H Arkansas State,Week 1Sep 4[3],2012,
53,5,<,4,Oklahoma,Big 12,1-0,1170,5,W 24-7 A UTEP,Week 1Sep 4[3],2012,
54,6,<,7,Florida State,ACC,1-0,1135,6,W 69-3 H Murray State,Week 1Sep 4[3],2012,
55,7,<,6,Georgia,SEC,1-0,1083,7,W 45-23 H Buffalo,Week 1Sep 4[3],2012,
56,8,<,10,Arkansas,SEC,1-0,992,10,W 49-24 H Jacksonville State,Week 1Sep 4[3],2012,
57,9,<,9,South Carolina,SEC,1-0,980,9,W 17-13 A Vanderbilt,Week 1Sep 4[3],2012,
58,9,<,11,West Virginia,Big 12,1-0,980,8,W 69-34 H Marshall,Week 1Sep 4[3],2012,
59,11,<,13,Michigan State,Big Ten,1-0,915,11,W 17-13 H #24 Boise State,Week 1Sep 4[3],2012,
60,12,<,14,Clemson,ACC,1-0,788,12,W 26-19 N Auburn (Chick-fil-A Kickoff),Week 1Sep 4[3],2012,
61,13,<,12,Wisconsin,Big Ten,1-0,664,13,W 26-21 H Northern Iowa,Week 1Sep 4[3],2012,
62,14,<,18,Ohio State,Big Ten,1-0,634,NR,W 56-10 H Miami (OH),Week 1Sep 4[3],2012,
63,15,<,16,Virginia Tech,ACC,1-0,604,18,W 20-17 (1OT) H Georgia Tech,Week 1Sep 4[3],2012,
64,16,<,17,Nebraska,Big Ten,1-0,603,14,W 49-20 H Southern Miss,Week 1Sep 4[3],2012,
65,17,<,15,Texas,Big 12,1-0,584,15,W 37-17 H Wyoming,Week 1Sep 4[3],2012,
66,18,<,19,Oklahoma State,Big 12,1-0,558,16,W 84-0 H Savannah State,Week 1Sep 4[3],2012,
67,19,<,8,Michigan,Big Ten,0-1,446,19,L 41-14 N #2 Alabama (Cowboys Classic),Week 1Sep 4[3],2012,
68,20,<,20,TCU,Big 12,0-0,355,17,DNP,Week 1Sep 4[3],2012,
69,21,<,22,Kansas State,Big 12,1-0,339,20,W 51-9 H Missouri State,Week 1Sep 4[3],2012,
70,22,<,NR,Notre Dame,Ind,1-0,198,22,W 50-10 N Navy,Week 1Sep 4[3],2012,
71,23,<,25,Louisville,Big East,1-0,190,24,W 32-14 H Kentucky,Week 1Sep 4[3],2012,
72,24,<,23,Florida,SEC,1-0,145,23,W 27-14 H Bowling Green,Week 1Sep 4[3],2012,
73,25,<,21,Stanford,Pac-12,1-0,131,21,W 20-17 H San Jose State,Week 1Sep 4[3],2012,
74,RV,<,24,Boise State,MWC,0-1,79,25,L 17-13 A #13 Michigan State,Week 1Sep 4[3],2012,
75,RV,<,NR,Tennessee,SEC,1-0,73,RV,W 35-21 H NC State,Week 1Sep 4[3],2012,
76,RV,<,NR,BYU,Ind,1-0,63,RV,W 30-6 H Washington State,Week 1Sep 4[3],2012,
77,RV,<,NR,North Carolina,ACC,1-0,48,NR,W 62-0 H Elon,Week 1Sep 4[3],2012,
78,RV,<,NR,Baylor,Big 12,1-0,38,RV,W 59-24 H SMU,Week 1Sep 4[3],2012,
79,RV,<,NR,Utah,Pac-12,1-0,34,RV,W 41-0 H Northern Colorado,Week 1Sep 4[3],2012,
80,RV,<,NR,Washington,Pac-12,1-0,15,RV,W 21-12 H San Diego State,Week 1Sep 4[3],2012,
81,RV,<,NR,Georgia Tech,ACC,0-1,14,RV,L 20-17 (1OT) A #16 Virginia Tech,Week 1Sep 4[3],2012,
82,RV,<,NR,Ohio,MAC,1-0,10,RV,W 24-14 A Penn State,Week 1Sep 4[3],2012,
83,RV,<,NR,Texas State,WAC,1-0,10,NR,W 30-13 A Houston,Week 1Sep 4[3],2012,
84,RV,<,NR,Missouri,SEC,1-0,7,RV,W 62-10 H Southeastern Louisiana,Week 1Sep 4[3],2012,
85,RV,<,NR,South Florida,Big East,1-0,5,RV,W 34-13 H Chattanooga,Week 1Sep 4[3],2012,
86,RV,<,NR,Texas A&M,SEC,0-0,5,RV,DNP,Week 1Sep 4[3],2012,
87,RV,<,NR,UCF,CUSA,1-0,4,RV,W 56-14 A Akron,Week 1Sep 4[3],2012,
88,RV,<,NR,Auburn,SEC,0-1,3,RV,L 26-19 N #14 Clemson (Chick-fil-A Kickoff),Week 1Sep 4[3],2012,
89,RV,<,NR,Mississippi State,SEC,1-0,3,RV,W 56-9 H Jackson State,Week 1Sep 4[3],2012,
90,RV,<,NR,Cincinnati,Big East,0-0,2,RV,DNP,Week 1Sep 4[3],2012,
91,NR,<,NR,Arizona,Pac-12,1-0,0,RV,W 24-17 (1OT) H Toledo,Week 1Sep 4[3],2012,
92,NR,<,NR,Louisiana Tech,WAC,0-0,0,RV,DNP,Week 1Sep 4[3],2012,
93,NR,<,NR,Nevada,MWC,1-0,0,RV,W 31-24 A California,Week 1Sep 4[3],2012,
94,NR,<,NR,Northwestern,Big Ten,1-0,0,RV,W 42-41 A Syracuse,Week 1Sep 4[3],2012,
95,NR,<,NR,Rutgers,Big East,1-0,0,RV,W 24-12 A Tulane,Week 1Sep 4[3],2012,
96,NR,<,NR,Texas Tech,Big 12,1-0,0,RV,W 44-6 H Northwestern State,Week 1Sep 4[3],2012,
97,NR,<,NR,Vanderbilt,SEC,0-1,0,RV,L 17-13 H #9 South Carolina,Week 1Sep 4[3],2012,
98,NR,<,NR,Virginia,ACC,1-0,0,RV,W 43-19 H Richmond,Week 1Sep 4[3],2012,
99,1,<,1,Alabama (48),SEC,2-0,1486,*1,W 35-0 H Western Kentucky,Week 2Sep 9[4],2012,
100,2,<,2,USC (8),Pac-12,2-0,1414,*3,W 42-29 N Syracuse,Week 2Sep 9[4],2012,
101,3,<,3,LSU (4),SEC,2-0,1404,*2,W 41-3 H Washington,Week 2Sep 9[4],2012,
102,4,<,4,Oregon,Pac-12,2-0,1299,*4,W 42-25 H Fresno State,Week 2Sep 9[4],2012,
