,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,1,LSU (60),SEC,0-0,1440,DNP,PreseasonAug[2],1959
1,2,<,5,Oklahoma (48),Big 8,0-0,1370,DNP,PreseasonAug[2],1959
2,3,<,4,Auburn (17),SEC,0-0,1047,DNP,PreseasonAug[2],1959
3,4,<,18,SMU (6),Southwest,0-0,720,DNP,PreseasonAug[2],1959
4,5,<,3,Army (4),Ind,0-0,696,DNP,PreseasonAug[2],1959
5,6,<,7,Wisconsin (10),Big Ten,0-0,645,DNP,PreseasonAug[2],1959
6,7,<,8,Ohio State (2),Big Ten,0-0,548,DNP,PreseasonAug[2],1959
7,8,<,11,Mississippi (5),SEC,0-0,546,DNP,PreseasonAug[2],1959
8,9,<,2,Iowa (4),Big Ten,0-0,443,DNP,PreseasonAug[2],1959
9,10,<,NR,Northwestern (6),Big Ten,0-0,441,DNP,PreseasonAug[2],1959
10,11,<,13,Purdue (2),Big Ten,0-0,394,DNP,PreseasonAug[2],1959
11,12,<,NR,North Carolina (6),ACC,0-0,388,DNP,PreseasonAug[2],1959
12,13,<,10,TCU (2),Southwest,0-0,249,DNP,PreseasonAug[2],1959
13,14,<,15,South Carolina (4),ACC,0-0,228,DNP,PreseasonAug[2],1959
14,15,<,6,Air Force (1),Ind,0-0,209,DNP,PreseasonAug[2],1959
15,16,<,17,Notre Dame (3),Ind,0-0,202,DNP,PreseasonAug[2],1959
16,17,<,NR,Texas,Southwest,0-0,105,DNP,PreseasonAug[2],1959
17,18,<,12,Clemson (1),ACC,0-0,92,DNP,PreseasonAug[2],1959
18,19,<,NR,Michigan State (1),Big Ten,0-0,51,DNP,PreseasonAug[2],1959
19,20,<,9,Syracuse,Ind,0-0,47,DNP,PreseasonAug[2],1959
20,NR,<,14,Florida,SEC,0-0,0,DNP,PreseasonAug[2],1959
21,NR,<,16,California,AAWU,0-0,0,DNP,PreseasonAug[2],1959
22,NR,<,19,Oklahoma State,Ind,0-0,0,DNP,PreseasonAug[2],1959
23,NR,<,20,Rutgers,MID3,0-0,0,DNP,PreseasonAug[2],1959
24,1,<,1,LSU (64),SEC,1-0,1105,W 26-3 H Rice,Week 1Sep 21[3],1959
25,2,<,2,Oklahoma (12),Big 8,0-0,506,DNP,Week 1Sep 21[3],1959
26,3,<,3,Auburn (6),SEC,0-0,474,DNP,Week 1Sep 21[3],1959
27,4,<,8,Mississippi (6),SEC,1-0,468,,Week 1Sep 21[3],1959
28,5,<,18,Clemson,ACC,1-0,370,,Week 1Sep 21[3],1959
29,6,<,4,SMU,Southwest,0-0,262,DNP,Week 1Sep 21[3],1959
30,7,<,5,Army,Ind,0-0,243,DNP,Week 1Sep 21[3],1959
31,8,<,6,Wisconsin,Big Ten,0-0,218,DNP,Week 1Sep 21[3],1959
32,9,<,13,TCU,Southwest,1-0,185,W 14-7 H Kansas,Week 1Sep 21[3],1959
33,10,<,10,Northwestern,Big Ten,0-0,164,DNP,Week 1Sep 21[3],1959
34,11,<,NR,USC (4),AAWU,1-0,162,,Week 1Sep 21[3],1959
35,12,<,7,Ohio State,Big Ten,0-0,154,DNP,Week 1Sep 21[3],1959
36,13,<,9,Iowa,Big Ten,0-0,128,DNP,Week 1Sep 21[3],1959
37,13,<,NR,Navy,Ind,1-0,128,,Week 1Sep 21[3],1959
38,15,<,17,Texas,Southwest,1-0,112,,Week 1Sep 21[3],1959
39,16,<,NR,Georgia Tech,SEC,1-0,106,,Week 1Sep 21[3],1959
40,17,<,NR,Georgia,SEC,1-0,88,,Week 1Sep 21[3],1959
41,18,<,NR,Penn State (2),Ind,1-0,70,,Week 1Sep 21[3],1959
