,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,,Minnesota (32),Big Ten,3-0,345,W 26-0 H Michigan,Week 1Oct 19[1],1936
1,2,<,,Duke (1),Southern,5-0,187,W 19-6 H Georgia Tech,Week 1Oct 19[1],1936
2,3,<,,Army (1),Ind,3-0,178,W 32-0 A Harvard,Week 1Oct 19[1],1936
3,4,<,,Northwestern,Big Ten,3-0,145,W 14-13 H Ohio State,Week 1Oct 19[1],1936
4,5,<,,Purdue,Big Ten,3-0,120,W 35-7 A Chicago,Week 1Oct 19[1],1936
5,6,<,,USC (1),PCC,3-0-1,114,T 0-0 H Washington State,Week 1Oct 19[1],1936
6,7,<,,Notre Dame,Ind,3-0,98,W 27-0 H Wisconsin,Week 1Oct 19[1],1936
7,8,<,,Washington,PCC,3-1,90,W 19-7 H Oregon State,Week 1Oct 19[1],1936
8,9,<,,Pittsburgh,Ind,3-1,76,L 7-0 H Duquesne,Week 1Oct 19[1],1936
9,10,<,,Yale,Ind,3-0,61,W 12-7 A Navy,Week 1Oct 19[1],1936
10,11,<,,Duquesne,Ind,4-0,55,W 7-0 A Pittsburgh,Week 1Oct 19[1],1936
11,12,<,,St. Mary's,Ind,3-0-1,52,T 0-0 A San Francisco,Week 1Oct 19[1],1936
12,13,<,,LSU,SEC,3-0-1,43,W 13-0 H Mississippi,Week 1Oct 19[1],1936
13,14,<,,Texas A&M,Southwest,4-0,42,W 18-7 H TCU,Week 1Oct 19[1],1936
14,15,<,,Nebraska,Big 6,2-1,36,W 13-9 H Indiana,Week 1Oct 19[1],1936
15,16,<,,Fordham,Ind,3-0,34,W 20-6 N Waynesburg,Week 1Oct 19[1],1936
16,17,<,,Holy Cross,Ind,4-0,29,W 13-7 H Manhattan,Week 1Oct 19[1],1936
17,18,<,,Tulane,SEC,3-0-1,27,W 28-6 A Colgate,Week 1Oct 19[1],1936
18,19,<,,SMU,Southwest,3-1,26,W 16-0 H Vanderbilt,Week 1Oct 19[1],1936
19,20,<,,Marquette,Ind,3-0,21,W 13-0 H Kansas State,Week 1Oct 19[1],1936
20,1,<,1,Minnesota (44),Big Ten,4-0,440,W 33-0 H #5 Purdue,Week 2Oct 26[2],1936
21,2,<,9,Pittsburgh,Ind,4-1,296,,Week 2Oct 26[2],1936
22,3,<,4,Northwestern,Big Ten,4-0,258,,Week 2Oct 26[2],1936
23,4,<,8,Washington,PCC,4-1,236,,Week 2Oct 26[2],1936
24,5,<,16,Fordham,Ind,4-0,201,,Week 2Oct 26[2],1936
25,6,<,3,Army,Ind,4-0,152,,Week 2Oct 26[2],1936
26,7,<,6,USC,PCC,4-0-1,149,,Week 2Oct 26[2],1936
27,8,<,13,LSU,SEC,4-0-1,106,,Week 2Oct 26[2],1936
28,9,<,18,Tulane,SEC,4-0-1,103,W 21-7 H North Carolina,Week 2Oct 26[2],1936
29,10,<,20,Marquette,Ind,4-0,92,W 13-7 H Michigan State,Week 2Oct 26[2],1936
30,11,<,15,Nebraska,Big 6,3-1,82,,Week 2Oct 26[2],1936
31,12,<,10,Yale,Ind,4-0,54,W 28-0 H Rutgers,Week 2Oct 26[2],1936
32,13,<,2,Duke,Southern,5-1,43,,Week 2Oct 26[2],1936
33,13,<,17,Holy Cross,Ind,5-0,43,W 7-0 H Carnegie Mellon,Week 2Oct 26[2],1936
34,15,<,19,SMU,Southwest,3-1,34,,Week 2Oct 26[2],1936
35,16,<,NR,Auburn,SEC,4-0-1,30,,Week 2Oct 26[2],1936
36,17,<,5,Purdue,Big Ten,3-1,15,L 33-0 A #1 Minnesota,Week 2Oct 26[2],1936
37,17,<,NR,Princeton,Ind,3-1,15,W 7-0 H Navy,Week 2Oct 26[2],1936
38,19,<,NR,Santa Clara,Ind,4-0,14,,Week 2Oct 26[2],1936
39,20,<,12,St. Mary's,Ind,3-1-1,11,,Week 2Oct 26[2],1936
40,20,<,NR,Penn,Ind,3-1,11,,Week 2Oct 26[2],1936
41,NR,<,7,Notre Dame,Ind,,0,,Week 2Oct 26[2],1936
42,NR,<,11,Duquesne,Ind,,0,,Week 2Oct 26[2],1936
43,NR,<,14,Texas A&M,Southwest,,0,,Week 2Oct 26[2],1936
44,1,<,3,Northwestern (31),Big Ten,5-0,412,W 6-0 H #1 Minnesota,Week 3Nov 2[3],1936
45,2,<,1,Minnesota (10),Big Ten,4-1,371,L 6-0 A #3 Northwestern,Week 3Nov 2[3],1936
46,3,<,5,Fordham (2),Ind,4-0-1,227,,Week 3Nov 2[3],1936
47,4,<,10,Marquette,Ind,5-0,212,W 20-6 N St. Mary's,Week 3Nov 2[3],1936
48,5,<,2,Pittsburgh,Ind,4-1-1,191,,Week 3Nov 2[3],1936
49,6,<,4,Washington,PCC,5-1,181,,Week 3Nov 2[3],1936
50,7,<,8,LSU,SEC,5-0-1,168,,Week 3Nov 2[3],1936
51,8,<,11,Nebraska,Big 6,4-1,165,,Week 3Nov 2[3],1936
52,9,<,19,Santa Clara,Ind,5-0,145,,Week 3Nov 2[3],1936
53,10,<,9,Tulane,SEC,5-0-1,93,W 22-13 H Louisiana Tech,Week 3Nov 2[3],1936
54,11,<,7,USC,PCC,4-0-1,76,,Week 3Nov 2[3],1936
55,12,<,15,SMU,Southwest,4-1,40,,Week 3Nov 2[3],1936
56,13,<,NR,Notre Dame,Ind,4-1,17,,Week 3Nov 2[3],1936
57,14,<,NR,Alabama,SEC,5-0-1,16,W 14-0 A Kentucky,Week 3Nov 2[3],1936
58,15,<,13,Duke,Southern,6-1,10,,Week 3Nov 2[3],1936
59,15,<,20,Penn,Ind,4-1,10,,Week 3Nov 2[3],1936
60,17,<,NR,Washington State,PCC,5-0-1,8,W 14-13 A California,Week 3Nov 2[3],1936
61,18,<,NR,Dartmouth,Ind,5-1,4,W 11-7 A Yale,Week 3Nov 2[3],1936
62,18,<,NR,Tennessee,SEC,3-2-1,4,,Week 3Nov 2[3],1936
63,20,<,16,Auburn,SEC,4-1-1,3,,Week 3Nov 2[3],1936
64,NR,<,6,Army,Ind,,0,,Week 3Nov 2[3],1936
65,NR,<,12,Yale,Ind,,0,,Week 3Nov 2[3],1936
66,NR,<,13,Holy Cross,Ind,,0,,Week 3Nov 2[3],1936
67,NR,<,17,Princeton,Ind,,0,,Week 3Nov 2[3],1936
68,NR,<,17,Purdue,Big Ten,,0,,Week 3Nov 2[3],1936
69,NR,<,20,St. Mary's,Ind,,0,,Week 3Nov 2[3],1936
70,1,<,1,Northwestern (31),Big Ten,6-0,435,W 26-18 H Wisconsin,Week 4Nov 9[4],1936
71,2,<,2,Minnesota (12),Big Ten,5-1,419,W 52-0 H Iowa,Week 4Nov 9[4],1936
72,3,<,3,Fordham (3),Ind,5-0-1,348,,Week 4Nov 9[4],1936
73,4,<,14,Alabama (1),SEC,6-0-1,252,W 34-7 H Tulane,Week 4Nov 9[4],1936
74,5,<,5,Pittsburgh,Ind,5-1-1,203,,Week 4Nov 9[4],1936
75,6,<,8,Nebraska,Big 6,5-1,201,,Week 4Nov 9[4],1936
76,7,<,7,LSU,SEC,6-0-1,184,,Week 4Nov 9[4],1936
77,8,<,4,Marquette,Ind,6-0,145,W 7-6 A Creighton,Week 4Nov 9[4],1936
78,9,<,9,Santa Clara,Ind,5-0,118,,Week 4Nov 9[4],1936
79,10,<,6,Washington,PCC,5-1-1,117,,Week 4Nov 9[4],1936
80,11,<,15,Penn,Ind,5-1,38,,Week 4Nov 9[4],1936
81,12,<,18,Dartmouth,Ind,6-1,24,W 20-13 H Columbia,Week 4Nov 9[4],1936
82,13,<,15,Duke,Southern,7-1,13,,Week 4Nov 9[4],1936
83,14,<,17,Washington State,PCC,5-1-1,10,L 16-6 H Oregon State,Week 4Nov 9[4],1936
84,15,<,11,USC,PCC,4-1-1,9,,Week 4Nov 9[4],1936
85,15,<,NR,Texas A&M,Southwest,6-1-1,9,,Week 4Nov 9[4],1936
86,17,<,NR,Holy Cross,Ind,6-1,8,W 20-13 H Colgate,Week 4Nov 9[4],1936
87,18,<,NR,TCU,Southwest,5-2-1,4,W 27-6 H Texas,Week 4Nov 9[4],1936
88,19,<,12,SMU,Southwest,4-2,3,,Week 4Nov 9[4],1936
89,19,<,NR,Temple,Ind,5-1-1,3,T 7-7 A Michigan State,Week 4Nov 9[4],1936
90,NR,<,10,Tulane,SEC,,0,,Week 4Nov 9[4],1936
91,NR,<,13,Notre Dame,Ind,,0,,Week 4Nov 9[4],1936
92,NR,<,18,Tennessee,SEC,,0,,Week 4Nov 9[4],1936
93,NR,<,20,Auburn,SEC,,0,,Week 4Nov 9[4],1936
94,1,<,1,Northwestern (17),Big Ten,7-0,337,W 9-0 A Michigan,Week 5Nov 16[5],1936
95,2,<,2,Minnesota (12),Big Ten,6-1,331,W 47-19 H Texas,Week 5Nov 16[5],1936
96,3,<,3,Fordham (4),Ind,5-0-1,257,,Week 5Nov 16[5],1936
97,4,<,5,Pittsburgh,Ind,6-1-1,240,,Week 5Nov 16[5],1936
98,5,<,7,LSU (2),SEC,7-0-1,166,,Week 5Nov 16[5],1936
99,6,<,10,Washington (2),PCC,6-1-1,165,,Week 5Nov 16[5],1936
100,7,<,8,Marquette,Ind,7-0,154,W 33-0 H Mississippi,Week 5Nov 16[5],1936
101,8,<,4,Alabama,SEC,7-0-1,150,W 20-16 A Georgia Tech,Week 5Nov 16[5],1936
102,9,<,9,Santa Clara,Ind,6-0,143,,Week 5Nov 16[5],1936
103,10,<,11,Penn,Ind,6-1,25,,Week 5Nov 16[5],1936
104,11,<,NR,Notre Dame,Ind,5-2,19,,Week 5Nov 16[5],1936
105,12,<,12,Dartmouth,Ind,7-1,10,W 20-6 A Cornell,Week 5Nov 16[5],1936
106,13,<,6,Nebraska,Big 6,5-2,9,,Week 5Nov 16[5],1936
107,14,<,15,Texas A&M,Southwest,7-1-1,8,,Week 5Nov 16[5],1936
108,15,<,14,Washington State,PCC,6-1-1,7,W 32-7 A UCLA,Week 5Nov 16[5],1936
109,16,<,13,Duke,Southern,8-1,6,,Week 5Nov 16[5],1936
110,17,<,17,Holy Cross,Ind,7-1,5,W 32-0 A Brown,Week 5Nov 16[5],1936
111,18,<,NR,Ohio State,Big Ten,4-3,4,,Week 5Nov 16[5],1936
112,19,<,NR,Tennessee,SEC,5-2-1,3,,Week 5Nov 16[5],1936
113,20,<,19,Temple,Ind,6-1-1,2,W 6-0 N Villanova,Week 5Nov 16[5],1936
114,20,<,NR,Duquesne,Ind,6-2,2,W 13-0 N Carnegie Mellon,Week 5Nov 16[5],1936
115,NR,<,15,USC,PCC,,0,,Week 5Nov 16[5],1936
116,NR,<,18,TCU,Southwest,,0,,Week 5Nov 16[5],1936
117,NR,<,19,SMU,Southwest,,0,,Week 5Nov 16[5],1936
118,1,<,2,Minnesota (30),Big Ten,7-1,391,W 24-0 A Wisconsin,Week 6Nov 23[6],1936
119,2,<,5,LSU (10),SEC,8-0-1,338,,Week 6Nov 23[6],1936
120,3,<,8,Alabama,SEC,7-0-1,281,DNP,Week 6Nov 23[6],1936
121,4,<,4,Pittsburgh,Ind,6-1-1,275,,Week 6Nov 23[6],1936
122,5,<,9,Santa Clara (1),Ind,7-0,201,,Week 6Nov 23[6],1936
123,6,<,6,Washington,PCC,6-1-1,191,,Week 6Nov 23[6],1936
124,7,<,1,Northwestern,Big Ten,7-1,151,L 26-6 A #11 Notre Dame,Week 6Nov 23[6],1936
125,8,<,3,Fordham,Ind,5-0-2,129,,Week 6Nov 23[6],1936
126,9,<,11,Notre Dame (1),Ind,6-2,128,,Week 6Nov 23[6],1936
127,10,<,13,Nebraska,Big 6,6-2,50,,Week 6Nov 23[6],1936
128,11,<,16,Duke,Southern,8-1,44,,Week 6Nov 23[6],1936
129,12,<,20,Duquesne,Ind,7-2,31,W 13-0 H Marquette,Week 6Nov 23[6],1936
130,13,<,10,Penn,Ind,6-1,24,,Week 6Nov 23[6],1936
131,14,<,12,Dartmouth,Ind,7-1-1,19,T 13-13 A Princeton,Week 6Nov 23[6],1936
132,15,<,7,Marquette,Ind,7-1,15,L 13-0 A Duquesne,Week 6Nov 23[6],1936
133,16,<,NR,Yale,Ind,7-1,14,W 14-13 H Harvard,Week 6Nov 23[6],1936
134,17,<,19,Tennessee,SEC,5-2-1,10,,Week 6Nov 23[6],1936
135,18,<,NR,TCU,Southwest,7-2-1,9,W 13-0 A Rice,Week 6Nov 23[6],1936
136,19,<,NR,Tulane,SEC,6-2-1,7,W 53-6 H Sewanee,Week 6Nov 23[6],1936
137,20,<,15,Washington State,PCC,6-1-1,6,DNP,Week 6Nov 23[6],1936
138,NR,<,14,Texas A&M,Southwest,,0,,Week 6Nov 23[6],1936
139,NR,<,17,Holy Cross,Ind,,0,,Week 6Nov 23[6],1936
140,NR,<,18,Ohio State,Big Ten,,0,,Week 6Nov 23[6],1936
141,NR,<,20,Temple,Ind,,0,,Week 6Nov 23[6],1936
142,1,<,1,Minnesota (25),Big Ten,7-1,332,DNP,Week 7 (Final)Nov 30[7],1936
143,2,<,2,LSU (9),SEC,9-0-1,309,,Week 7 (Final)Nov 30[7],1936
144,3,<,4,Pittsburgh,Ind,7-1-1,227,,Week 7 (Final)Nov 30[7],1936
145,4,<,3,Alabama,SEC,8-0-1,218,W 14-6 H Vanderbilt,Week 7 (Final)Nov 30[7],1936
146,5,<,6,Washington,PCC,7-1-1,216,,Week 7 (Final)Nov 30[7],1936
147,6,<,5,Santa Clara (1),Ind,7-0,155,,Week 7 (Final)Nov 30[7],1936
148,7,<,7,Northwestern,Big Ten,7-1,130,,Week 7 (Final)Nov 30[7],1936
149,8,<,9,Notre Dame,Ind,6-2,107,,Week 7 (Final)Nov 30[7],1936
150,9,<,10,Nebraska,Big 6,7-2,69,,Week 7 (Final)Nov 30[7],1936
151,10,<,13,Penn,Ind,7-1,34,,Week 7 (Final)Nov 30[7],1936
152,11,<,11,Duke,Southern,9-1,33,,Week 7 (Final)Nov 30[7],1936
153,12,<,16,Yale,Ind,7-1,22,DNP,Week 7 (Final)Nov 30[7],1936
154,13,<,14,Dartmouth,Ind,7-1-1,13,DNP,Week 7 (Final)Nov 30[7],1936
155,14,<,12,Duquesne,Ind,7-2,12,DNP,Week 7 (Final)Nov 30[7],1936
156,15,<,8,Fordham,Ind,5-1-2,11,,Week 7 (Final)Nov 30[7],1936
157,16,<,18,TCU,Southwest,7-2-2,10,T 0-0 A SMU,Week 7 (Final)Nov 30[7],1936
158,17,<,17,Tennessee,SEC,6-2-1,8,,Week 7 (Final)Nov 30[7],1936
159,18,<,NR,Arkansas,Southwest,6-3,6,,Week 7 (Final)Nov 30[7],1936
160,18,<,NR,Navy,Ind,6-3,6,,Week 7 (Final)Nov 30[7],1936
161,20,<,15,Marquette,Ind,7-1,4,DNP,Week 7 (Final)Nov 30[7],1936
162,NR,<,19,Tulane,SEC,,0,,Week 7 (Final)Nov 30[7],1936
163,NR,<,20,Washington State,PCC,,0,,Week 7 (Final)Nov 30[7],1936
