,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,2,USC (47),Pac-10,0-0,1242.0,DNP,PreseasonPreseason[1][2],1979
1,2,<,1,Alabama (11),SEC,0-0,1141.0,DNP,PreseasonPreseason[1][2],1979
2,3,<,3,Oklahoma (4),Big 8,0-0,1058.0,DNP,PreseasonPreseason[1][2],1979
3,4,<,9,Texas (1),Southwest,0-0,1008.0,DNP,PreseasonPreseason[1][2],1979
4,5,<,4,Penn State,Ind,0-0,858.0,DNP,PreseasonPreseason[1][2],1979
5,6,<,13,Purdue,Big Ten,0-0,856.0,DNP,PreseasonPreseason[1][2],1979
6,7,<,5,Michigan,Big Ten,0-0,749.0,DNP,PreseasonPreseason[1][2],1979
7,8,<,8,Nebraska,Big 8,0-0,701.0,DNP,PreseasonPreseason[1][2],1979
8,9,<,7,Notre Dame,Ind,0-0,633.0,DNP,PreseasonPreseason[1][2],1979
9,10,<,12,Michigan State,Big Ten,0-0,496.0,DNP,PreseasonPreseason[1][2],1979
10,11,<,16,Georgia,SEC,0-0,471.0,DNP,PreseasonPreseason[1][2],1979
11,12,<,15,Missouri,Big 8,0-0,426.0,DNP,PreseasonPreseason[1][2],1979
12,13,<,17,Stanford,Pac-10,0-0,331.0,DNP,PreseasonPreseason[1][2],1979
13,14,<,19,Texas A&M,Southwest,0-0,326.0,DNP,PreseasonPreseason[1][2],1979
14,15,<,NR,Washington,Pac-10,0-0,299.0,DNP,PreseasonPreseason[1][2],1979
15,16,<,10,Houston,Southwest,0-0,292.0,DNP,PreseasonPreseason[1][2],1979
16,17,<,NR,Pittsburgh,Ind,0-0,283.0,DNP,PreseasonPreseason[1][2],1979
17,18,<,NR,Arizona State,Pac-10,0-0,266.0,DNP,PreseasonPreseason[1][2],1979
18,19,<,NR,Florida State,Ind,0-0,250.0,DNP,PreseasonPreseason[1][2],1979
19,20,<,11,Arkansas,Southwest,0-0,231.0,DNP,PreseasonPreseason[1][2],1979
20,NR,<,6,Clemson,ACC,0-0,0.0,DNP,PreseasonPreseason[1][2],1979
21,NR,<,14,UCLA,Pac-10,0-0,0.0,DNP,PreseasonPreseason[1][2],1979
22,NR,<,18,NC State,ACC,0-0,0.0,DNP,PreseasonPreseason[1][2],1979
23,NR,<,20,Maryland,ACC,0-0,0.0,DNP,PreseasonPreseason[1][2],1979
24,1,<,1,USC (45),Pac-10,1-0,1222.0,W 21-7 A Texas Tech,Week 1Sep 10[1],1979
25,2,<,2,Alabama (14),SEC,1-0,1172.0,,Week 1Sep 10[1],1979
26,3,<,3,Oklahoma (2),Big 8,0-0,1068.0,DNP,Week 1Sep 10[1],1979
27,4,<,4,Texas (1),Southwest,0-0,962.0,DNP,Week 1Sep 10[1],1979
28,5,<,6,Purdue,Big Ten,1-0,931.0,,Week 1Sep 10[1],1979
29,6,<,7,Michigan,Big Ten,1-0,898.0,,Week 1Sep 10[1],1979
30,7,<,5,Penn State,Ind,0-0,823.0,DNP,Week 1Sep 10[1],1979
31,8,<,8,Nebraska,Big 8,0-0,742.0,DNP,Week 1Sep 10[1],1979
32,9,<,9,Notre Dame,Ind,0-0,644.0,DNP,Week 1Sep 10[1],1979
33,10,<,10,Michigan State,Big Ten,1-0,594.0,,Week 1Sep 10[1],1979
34,11,<,12,Missouri,Big 8,1-0,575.0,,Week 1Sep 10[1],1979
35,12,<,11,Georgia,SEC,0-0,521.0,DNP,Week 1Sep 10[1],1979
36,13,<,16,Houston,Southwest,1-0,477.0,,Week 1Sep 10[1],1979
37,14,<,15,Washington,Pac-10,1-0,444.0,,Week 1Sep 10[1],1979
38,15,<,NR,Ohio State,Big Ten,1-0,342.0,,Week 1Sep 10[1],1979
39,16,<,17,Pittsburgh,Ind,0-0,278.0,DNP,Week 1Sep 10[1],1979
40,17,<,20,Arkansas,Southwest,0-0,241.0,DNP,Week 1Sep 10[1],1979
41,18,<,19,Florida State,Ind,1-0,170.0,,Week 1Sep 10[1],1979
42,19,<,NR,NC State,ACC,1-0,163.0,,Week 1Sep 10[1],1979
43,20,<,NR,SMU,Southwest,1-0,118.0,,Week 1Sep 10[1],1979
44,NR,<,13,Stanford,Pac-10,,0.0,,Week 1Sep 10[1],1979
45,NR,<,14,Texas A&M,Southwest,,0.0,,Week 1Sep 10[1],1979
46,NR,<,18,Arizona State,Pac-10,,0.0,,Week 1Sep 10[1],1979
47,1,<,1,USC (49),Pac-10,2-0,1227.0,W 42-5 A Oregon State,Week 2Sep 17[1],1979
48,2,<,2,Alabama (12),SEC,1-0,1153.0,,Week 2Sep 17[1],1979
49,3,<,3,Oklahoma,Big 8,1-0,1017.0,W 21-6 H Iowa,Week 2Sep 17[1],1979
50,4,<,4,Texas (1),Southwest,0-0,976.0,DNP,Week 2Sep 17[1],1979
51,5,<,9,Notre Dame,Ind,1-0,953.0,,Week 2Sep 17[1],1979
52,6,<,7,Penn State,Ind,1-0,947.0,,Week 2Sep 17[1],1979
53,7,<,8,Nebraska,Big 8,1-0,815.0,,Week 2Sep 17[1],1979
54,8,<,10,Michigan State,Big Ten,2-0,781.0,,Week 2Sep 17[1],1979
55,9,<,11,Missouri,Big 8,2-0,613.0,,Week 2Sep 17[1],1979
56,10,<,13,Houston,Southwest,2-0,578.0,,Week 2Sep 17[1],1979
57,11,<,6,Michigan,Big Ten,1-1,527.0,,Week 2Sep 17[1],1979
58,12,<,14,Washington,Pac-10,2-0,514.0,,Week 2Sep 17[1],1979
59,13,<,16,Pittsburgh,Ind,1-0,406.0,,Week 2Sep 17[1],1979
60,14,<,18,Florida State,Ind,2-0,386.0,,Week 2Sep 17[1],1979
61,15,<,17,Arkansas,Southwest,1-0,384.0,,Week 2Sep 17[1],1979
62,16,<,15,Ohio State,Big Ten,2-0,364.0,,Week 2Sep 17[1],1979
63,17,<,5,Purdue,Big Ten,1-1,293.0,L 31-21 A UCLA,Week 2Sep 17[1],1979
64,18,<,20,SMU,Southwest,2-0,204.0,,Week 2Sep 17[1],1979
65,19,<,19,NC State,ACC,2-0,198.0,,Week 2Sep 17[1],1979
66,20,<,NR,UCLA,Pac-10,1-1,162.0,W 31-21 H #5 Purdue,Week 2Sep 17[1],1979
67,NR,<,12,Georgia,SEC,,0.0,,Week 2Sep 17[1],1979
68,1,<,1,USC (51),Pac-10,3-0,1286.0,W 48-14 H Minnesota,Week 3Sep 24[1],1979
69,2,<,2,Alabama (13),SEC,2-0,1235.0,,Week 3Sep 24[1],1979
70,3,<,3,Oklahoma,Big 8,2-0,1122.0,W 49-13 H Tulsa,Week 3Sep 24[1],1979
71,4,<,4,Texas (1),Southwest,1-0,1040.0,,Week 3Sep 24[1],1979
