,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,4,Michigan (38),Big Ten,0-0,1183.0,DNP,PreseasonAug 29[1],1981
1,2,<,3,Oklahoma (7),Big 8,0-0,1100.0,DNP,PreseasonAug 29[1],1981
2,3,<,9,Notre Dame (7),Ind,0-0,1050.0,DNP,PreseasonAug 29[1],1981
3,4,<,6,Alabama (3),SEC,0-0,1020.0,DNP,PreseasonAug 29[1],1981
4,5,<,11,USC (5),Pac-10,0-0,1014.0,DNP,PreseasonAug 29[1],1981
5,6,<,7,Nebraska,Big 8,0-0,768.0,DNP,PreseasonAug 29[1],1981
6,7,<,8,Penn State (1),Ind,0-0,716.0,DNP,PreseasonAug 29[1],1981
7,8,<,2,Pittsburgh,Ind,0-0,686.0,DNP,PreseasonAug 29[1],1981
8,9,<,NR,Texas,Southwest,0-0,647.0,DNP,PreseasonAug 29[1],1981
9,10,<,1,Georgia,SEC,0-0,624.0,DNP,PreseasonAug 29[1],1981
10,11,<,15,Ohio State (1),Big Ten,0-0,594.0,DNP,PreseasonAug 29[1],1981
11,12,<,10,North Carolina,ACC,0-0,462.0,DNP,PreseasonAug 29[1],1981
12,13,<,13,UCLA,Pac-10,0-0,454.0,DNP,PreseasonAug 29[1],1981
13,14,<,19,Mississippi State,SEC,0-0,359.0,DNP,PreseasonAug 29[1],1981
14,15,<,16,Washington,Pac-10,0-0,272.0,DNP,PreseasonAug 29[1],1981
15,16,<,12,BYU,WAC,0-0,269.0,DNP,PreseasonAug 29[1],1981
16,17,<,NR,Florida,SEC,0-0,268.0,DNP,PreseasonAug 29[1],1981
17,18,<,NR,Stanford,Pac-10,0-0,205.0,DNP,PreseasonAug 29[1],1981
18,19,<,5,Florida State,Ind,0-0,198.0,DNP,PreseasonAug 29[1],1981
19,20,<,NR,Arizona State,Pac-10,0-0,158.0,DNP,PreseasonAug 29[1],1981
20,NR,<,14,Baylor,Southwest,0-0,0.0,DNP,PreseasonAug 29[1],1981
21,NR,<,17,Purdue,Big Ten,0-0,0.0,DNP,PreseasonAug 29[1],1981
22,NR,<,18,Miami (FL),Ind,0-0,0.0,DNP,PreseasonAug 29[1],1981
23,NR,<,20,SMU,Southwest,0-0,0.0,DNP,PreseasonAug 29[1],1981
24,1,<,1,Michigan (37),Big Ten,0-0,1184.0,DNP,Week 1Sep 7[2],1981
25,2,<,4,Alabama (11),SEC,1-0,1110.0,,Week 1Sep 7[2],1981
26,3,<,2,Oklahoma,Big 8,0-0,1049.0,DNP,Week 1Sep 7[2],1981
27,4,<,3,Notre Dame (4),Ind,0-0,1024.0,DNP,Week 1Sep 7[2],1981
28,5,<,5,USC (3),Pac-10,0-0,1009.0,DNP,Week 1Sep 7[2],1981
29,6,<,10,Georgia (4),SEC,1-0,929.0,,Week 1Sep 7[2],1981
30,7,<,6,Nebraska,Big 8,0-0,779.0,DNP,Week 1Sep 7[2],1981
31,8,<,9,Texas,Southwest,0-0,747.0,DNP,Week 1Sep 7[2],1981
32,9,<,7,Penn State,Ind,0-0,742.0,DNP,Week 1Sep 7[2],1981
33,10,<,8,Pittsburgh,Ind,1-0,724.0,,Week 1Sep 7[2],1981
34,11,<,11,Ohio State,Big Ten,0-0,538.0,DNP,Week 1Sep 7[2],1981
35,12,<,13,UCLA,Pac-10,0-0,466.0,DNP,Week 1Sep 7[2],1981
