,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,6,Oklahoma (23),Big 8,0-0,1090,DNP,PreseasonAug[1],1985
1,2,<,14,Auburn (13),SEC,0-0,1027,DNP,PreseasonAug[1],1985
2,3,<,8,SMU (3),Southwest,0-0,924,DNP,PreseasonAug[1],1985
3,4,<,16,Iowa (7),Big Ten,0-0,837,DNP,PreseasonAug[1],1985
4,5,<,3,Florida (4),SEC,0-0,788,DNP,PreseasonAug[1],1985
5,6,<,10,USC (2),Pac-10,0-0,754,DNP,PreseasonAug[1],1985
6,7,<,12,Maryland (3),ACC,0-0,738,DNP,PreseasonAug[1],1985
7,8,<,13,Ohio State,Big Ten,0-0,709,DNP,PreseasonAug[1],1985
8,9,<,4,Nebraska,Big 8,0-0,676,DNP,PreseasonAug[1],1985
9,10,<,1,BYU (1),WAC,0-0,608,DNP,PreseasonAug[1],1985
10,11,<,NR,Illinois (2),Big Ten,0-0,599,DNP,PreseasonAug[1],1985
11,12,<,2,Washington (2),Pac-10,0-0,578,DNP,PreseasonAug[1],1985
12,13,<,15,LSU,SEC,0-0,447,DNP,PreseasonAug[1],1985
13,14,<,NR,Notre Dame,Ind,0-0,426,DNP,PreseasonAug[1],1985
14,15,<,NR,Arkansas,Southwest,0-0,378,DNP,PreseasonAug[1],1985
15,16,<,7,Oklahoma State,Big 8,0-0,319,DNP,PreseasonAug[1],1985
16,17,<,11,South Carolina,Ind,0-0,309,DNP,PreseasonAug[1],1985
17,18,<,NR,Penn State,Ind,0-0,218,DNP,PreseasonAug[1],1985
18,19,<,17,Florida State,Ind,0-0,195,DNP,PreseasonAug[1],1985
19,20,<,9,UCLA,Pac-10,0-0,175,DNP,PreseasonAug[1],1985
20,NR,<,5,Boston College,Ind,0-0,0,DNP,PreseasonAug[1],1985
21,NR,<,18,Miami (FL),Ind,0-0,0,DNP,PreseasonAug[1],1985
22,NR,<,19,Kentucky,SEC,0-0,0,DNP,PreseasonAug[1],1985
23,NR,<,20,Virginia,ACC,0-0,0,DNP,PreseasonAug[1],1985
24,1,<,1,Oklahoma (27),Big 8,0-0,1049,DNP,Week 1Sep 3[2],1985
25,2,<,2,Auburn (10),SEC,0-0,948,DNP,Week 1Sep 3[2],1985
26,3,<,3,SMU (2),Southwest,0-0,834,DNP,Week 1Sep 3[2],1985
27,4,<,4,Iowa (5),Big Ten,0-0,810,DNP,Week 1Sep 3[2],1985
28,5,<,5,Florida (2),SEC,0-0,735,DNP,Week 1Sep 3[2],1985
29,6,<,6,USC (1),Pac-10,0-0,715,DNP,Week 1Sep 3[2],1985
30,7,<,7,Maryland (3),ACC,0-0,701,DNP,Week 1Sep 3[2],1985
31,8,<,10,BYU (3),WAC,1-0,691,,Week 1Sep 3[2],1985
32,9,<,8,Ohio State,Big Ten,0-0,645,DNP,Week 1Sep 3[2],1985
33,10,<,9,Nebraska,Big 8,0-0,640,DNP,Week 1Sep 3[2],1985
34,11,<,11,Illinois (1),Big Ten,0-0,559,DNP,Week 1Sep 3[2],1985
35,12,<,12,Washington (1),Pac-10,0-0,521,DNP,Week 1Sep 3[2],1985
36,13,<,13,LSU,SEC,0-0,383,DNP,Week 1Sep 3[2],1985
37,14,<,14,Notre Dame,Ind,0-0,367,DNP,Week 1Sep 3[2],1985
38,15,<,15,Arkansas,Southwest,0-0,307,DNP,Week 1Sep 3[2],1985
39,16,<,16,Oklahoma State,Big 8,0-0,301,DNP,Week 1Sep 3[2],1985
40,17,<,19,Florida State,Ind,1-0,291,,Week 1Sep 3[2],1985
41,18,<,17,South Carolina,Ind,1-0,286,W 56-17 H Citadel,Week 1Sep 3[2],1985
42,19,<,18,Penn State,Ind,0-0,145,DNP,Week 1Sep 3[2],1985
43,20,<,20,UCLA,Pac-10,0-0,142,DNP,Week 1Sep 3[2],1985
44,1,<,2,Auburn (16),SEC,1-0,1118,W 49-7 H Louisiana-Lafayette,Week 2Sep 10[2],1985
45,2,<,1,Oklahoma (28),Big 8,0-0,1116,DNP,Week 2Sep 10[2],1985
46,3,<,5,Florida (3),SEC,1-0,974,,Week 2Sep 10[2],1985
47,4,<,6,USC (6),Pac-10,1-0,970,,Week 2Sep 10[2],1985
48,5,<,4,Iowa (5),Big Ten,0-0,911,DNP,Week 2Sep 10[2],1985
49,6,<,3,SMU (2),Southwest,1-0,908,,Week 2Sep 10[2],1985
50,7,<,17,Florida State,Ind,2-0,755,,Week 2Sep 10[2],1985
51,8,<,16,Oklahoma State,Big 8,1-0,741,W 31-17 A Washington,Week 2Sep 10[2],1985
52,9,<,9,Ohio State,Big Ten,0-0,686,DNP,Week 2Sep 10[2],1985
53,10,<,20,UCLA,Pac-10,1-0,612,,Week 2Sep 10[2],1985
54,11,<,19,Penn State,Ind,1-0,516,,Week 2Sep 10[2],1985
55,12,<,13,LSU,SEC,0-0,476,DNP,Week 2Sep 10[2],1985
