,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,1,Syracuse (26),Ind,0-0,446.0,DNP,PreseasonAug[2],1960
1,2,<,2,Mississippi (21),SEC,0-0,426.0,DNP,PreseasonAug[2],1960
2,3,<,8,Washington (1),AAWU,0-0,345.0,DNP,PreseasonAug[2],1960
3,4,<,4,Texas,Southwest,0-0,257.0,DNP,PreseasonAug[2],1960
4,5,<,13,Illinois,Big Ten,0-0,228.0,DNP,PreseasonAug[2],1960
5,6,<,14,USC,AAWU,0-0,140.0,DNP,PreseasonAug[2],1960
6,7,<,20,Pittsburgh,Ind,0-0,127.0,DNP,PreseasonAug[2],1960
7,8,<,NR,Michigan State,Big Ten,0-0,126.0,DNP,PreseasonAug[2],1960
8,9,<,11,Clemson,ACC,0-0,76.0,DNP,PreseasonAug[2],1960
9,10,<,15,Oklahoma,Big 8,0-0,66.0,DNP,PreseasonAug[2],1960
10,11,<,7,TCU,Southwest,0-0,64.0,DNP,PreseasonAug[2],1960
11,12,<,NR,Auburn,SEC,0-0,51.0,DNP,PreseasonAug[2],1960
12,13,<,5,Georgia,SEC,0-0,48.0,DNP,PreseasonAug[2],1960
13,14,<,NR,Northwestern,Big Ten,0-0,41.0,DNP,PreseasonAug[2],1960
14,15,<,NR,Iowa,Big Ten,0-0,33.0,DNP,PreseasonAug[2],1960
15,16,<,NR,Ohio State,Big Ten,0-0,29.0,DNP,PreseasonAug[2],1960
16,17,<,17,Notre Dame,Ind,0-0,26.0,DNP,PreseasonAug[2],1960
17,18,<,NR,Tennessee,SEC,0-0,23.0,DNP,PreseasonAug[2],1960
18,19,<,9,Arkansas,Southwest,0-0,20.0,DNP,PreseasonAug[2],1960
19,19,<,12,Penn State,Ind,0-0,20.0,DNP,PreseasonAug[2],1960
20,NR,<,3,LSU,SEC,0-0,0.0,DNP,PreseasonAug[2],1960
21,NR,<,6,Wisconsin,Big Ten,0-0,0.0,DNP,PreseasonAug[2],1960
22,NR,<,10,Alabama,SEC,0-0,0.0,DNP,PreseasonAug[2],1960
23,NR,<,16,Wyoming,MSAC,0-0,0.0,DNP,PreseasonAug[2],1960
24,NR,<,18,Missouri,Big 8,0-0,0.0,DNP,PreseasonAug[2],1960
25,NR,<,19,Florida,SEC,0-0,0.0,DNP,PreseasonAug[2],1960
26,1,<,2,Mississippi (22),SEC,1-0,434.0,W 42-0 A Houston,Week 1Sep 19[3],1960
27,2,<,1,Syracuse (22),Ind,0-0,401.0,DNP,Week 1Sep 19[3],1960
28,3,<,3,Washington (3),AAWU,1-0,378.0,,Week 1Sep 19[3],1960
29,4,<,5,Illinois,Big Ten,0-0,214.0,DNP,Week 1Sep 19[3],1960
30,5,<,NR,Alabama,SEC,1-0,182.0,,Week 1Sep 19[3],1960
31,6,<,8,Michigan State,Big Ten,0-0,149.0,DNP,Week 1Sep 19[3],1960
32,7,<,NR,Kansas,Big 8,1-0,132.0,W 21-7 H TCU,Week 1Sep 19[3],1960
33,8,<,NR,UCLA,AAWU,1-0,78.0,,Week 1Sep 19[3],1960
34,9,<,9,Clemson,ACC,0-0,65.0,DNP,Week 1Sep 19[3],1960
35,10,<,NR,Oregon State,Ind,1-0,62.0,,Week 1Sep 19[3],1960
36,11,<,19,Penn State,Ind,1-0,60.0,,Week 1Sep 19[3],1960
37,12,<,NR,Nebraska,Big 8,1-0,59.0,,Week 1Sep 19[3],1960
38,13,<,NR,Georgia Tech,SEC,1-0,53.0,,Week 1Sep 19[3],1960
39,14,<,14,Northwestern,Big Ten,0-0,40.0,DNP,Week 1Sep 19[3],1960
40,15,<,4,Texas,Southwest,0-1,37.0,,Week 1Sep 19[3],1960
41,16,<,NR,Missouri,Big 8,1-0,31.0,,Week 1Sep 19[3],1960
42,17,<,7,Pittsburgh (1),Ind,0-1,27.0,,Week 1Sep 19[3],1960
43,18,<,NR,LSU,SEC,1-0,25.0,,Week 1Sep 19[3],1960
44,19,<,15,Iowa,Big Ten,0-0,19.0,DNP,Week 1Sep 19[3],1960
45,20,<,16,Ohio State,Big Ten,0-0,17.0,DNP,Week 1Sep 19[3],1960
46,NR,<,6,USC,AAWU,,0.0,,Week 1Sep 19[3],1960
47,NR,<,10,Oklahoma,Big 8,0-0,0.0,DNP,Week 1Sep 19[3],1960
48,NR,<,11,TCU,Southwest,,0.0,,Week 1Sep 19[3],1960
49,NR,<,12,Auburn,SEC,,0.0,,Week 1Sep 19[3],1960
50,NR,<,13,Georgia,SEC,,0.0,,Week 1Sep 19[3],1960
51,NR,<,17,Notre Dame,Ind,,0.0,,Week 1Sep 19[3],1960
52,NR,<,18,Tennessee,SEC,,0.0,,Week 1Sep 19[3],1960
53,NR,<,19,Arkansas,Southwest,,0.0,,Week 1Sep 19[3],1960
54,1,<,1,Mississippi (42),SEC,2-0,426.0,W 21-6 N Kentucky,Week 2Sep 26[4],1960
55,2,<,2,Syracuse,Ind,1-0,414.0,,Week 2Sep 26[4],1960
56,3,<,3,Washington (5),AAWU,2-0,353.0,,Week 2Sep 26[4],1960
57,4,<,4,Illinois,Big Ten,1-0,235.0,,Week 2Sep 26[4],1960
58,5,<,7,Kansas,Big 8,2-0,205.0,W 41-0 A Kansas State,Week 2Sep 26[4],1960
59,6,<,14,Northwestern (1),Big Ten,1-0,188.0,,Week 2Sep 26[4],1960
60,7,<,9,Clemson,ACC,1-0,137.0,,Week 2Sep 26[4],1960
61,8,<,19,Iowa,Big Ten,1-0,87.0,,Week 2Sep 26[4],1960
62,9,<,20,Ohio State,Big Ten,1-0,61.0,,Week 2Sep 26[4],1960
63,10,<,13,Georgia Tech,SEC,2-0,59.0,,Week 2Sep 26[4],1960
64,11,<,NR,Tennessee,SEC,1-0,56.0,,Week 2Sep 26[4],1960
65,12,<,NR,Notre Dame,Ind,1-0,43.0,,Week 2Sep 26[4],1960
66,13,<,15,Texas,Southwest,1-1,40.0,,Week 2Sep 26[4],1960
67,14,<,NR,Arkansas,Southwest,2-0,35.0,,Week 2Sep 26[4],1960
68,15,<,5,Alabama,SEC,1-0-1,32.0,,Week 2Sep 26[4],1960
69,16,<,8,UCLA,AAWU,1-0-1,30.0,,Week 2Sep 26[4],1960
70,17,<,NR,Navy,Ind,2-0,28.0,,Week 2Sep 26[4],1960
71,18,<,NR,Minnesota,Big Ten,1-0,27.0,,Week 2Sep 26[4],1960
72,19,<,16,Missouri,Big 8,2-0,24.0,,Week 2Sep 26[4],1960
73,20,<,11,Penn State,Ind,1-0,20.0,,Week 2Sep 26[4],1960
74,NR,<,6,Michigan State,Big Ten,,0.0,,Week 2Sep 26[4],1960
75,NR,<,10,Oregon State,Ind,,0.0,,Week 2Sep 26[4],1960
76,NR,<,12,Nebraska,Big 8,,0.0,,Week 2Sep 26[4],1960
77,NR,<,17,Pittsburgh,Ind,,0.0,,Week 2Sep 26[4],1960
78,NR,<,18,LSU,SEC,,0.0,,Week 2Sep 26[4],1960
