,date,season,week,neutral,homeTeam,homeTeamId,awayTeam,awayTeamId,homeScore,awayScore,result,spreadClose,overUnderClose,homeMoneyline,awayMoneyline,homeTeamRank,homeTeamPoints,awayTeamRank,awayTeamPoints
3998,2012-10-06,2012,6,False,Florida,57,LSU,99,14,6,1,1.5,41.5,110.0,-130.0,10.0,937.0,4.0,1310.0
4146,2012-10-27,2012,9,False,Georgia,61,Florida,57,17,9,1,6.5,45.0,200.0,-240.0,12.0,745.0,3.0,1380.0
4473,2013-08-31,2013,1,False,Clemson,228,Georgia,61,38,35,1,3.0,71.0,110.0,-130.0,8.0,1083.0,5.0,1249.0
5003,2013-11-07,2013,11,False,Stanford,24,Oregon,2483,26,20,1,10.0,60.0,335.0,-420.0,6.0,1214.0,2.0,1418.0
5142,2013-11-23,2013,13,False,OklahomaState,197,Baylor,239,49,17,1,7.5,79.0,230.0,-280.0,11.0,889.0,3.0,1351.0
5201,2013-11-30,2013,14,False,Auburn,2,Alabama,333,34,28,1,10.0,53.0,330.0,-420.0,4.0,1294.0,1.0,1496.0
5415,2014-09-13,2014,3,False,SouthCarolina,2579,Georgia,61,38,35,1,6.0,58.5,210.0,-250.0,24.0,199.0,6.0,1201.0
5596,2014-10-04,2014,6,False,TCU,2628,Oklahoma,201,37,33,1,4.5,57.0,150.0,-170.0,25.0,109.0,4.0,1357.0
5600,2014-10-04,2014,6,False,Mississippi,145,Alabama,333,23,17,1,6.0,53.0,175.0,-210.0,11.0,906.0,3.0,1387.0
5642,2014-10-11,2014,7,False,MississippiSt,344,Auburn,2,38,23,1,3.0,61.5,121.0,-140.0,3.0,1320.0,2.0,1459.0
5758,2014-10-25,2014,9,False,LSU,99,Mississippi,145,10,7,1,4.0,45.5,166.0,-195.0,24.0,177.0,3.0,1404.0
5895,2014-11-15,2014,12,False,GeorgiaTech,59,Clemson,228,28,6,1,1.5,57.0,105.0,-125.0,24.0,127.0,18.0,457.0
6042,2014-11-29,2014,14,False,Mississippi,145,MississippiSt,344,31,17,1,3.0,52.5,130.0,-150.0,18.0,398.0,4.0,1301.0
6377,2015-10-03,2015,5,False,Florida,57,Mississippi,145,38,10,1,7.5,50.5,245.0,-295.0,25.0,140.0,3.0,1349.0
6670,2015-11-07,2015,10,False,OklahomaState,197,TCU,2628,49,29,1,6.0,76.0,215.0,-265.0,12.0,879.0,5.0,1336.0
6822,2015-11-27,2015,13,False,HoustonU,248,Navy,2426,52,31,1,1.5,59.0,105.0,-125.0,21.0,275.0,16.0,647.0
6827,2015-11-27,2015,13,False,TCU,2628,Baylor,239,28,21,1,2.0,76.0,110.0,-130.0,15.0,652.0,7.0,1161.0
7188,2016-10-01,2016,5,False,Clemson,228,Louisville,97,42,36,1,1.0,64.5,100.0,-120.0,5.0,1267.0,3.0,1409.0
