,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
12,"(0.0, 2)","(0.25, 4)","(0.25, 4)","(0.3333333333333333, 3)","(0.5, 4)","(nan, 0)","(0.0, 1)","(0.3333333333333333, 3)","(0.75, 4)","(0.5, 4)","(0.8, 5)","(1.0, 2)","(nan, 0)","(0.6666666666666666, 3)","(1.0, 3)","(1.0, 2)","(0.5, 2)","(0.7142857142857143, 7)","(1.0, 2)","(0.6666666666666666, 3)","(0.25, 4)","(1.0, 2)","(0.75, 4)","(0.6666666666666666, 3)","(1.0, 1)"
13,"(0.14285714285714285, 7)","(0.5, 2)","(0.25, 4)","(0.3333333333333333, 3)","(0.5, 2)","(0.75, 4)","(0.4, 5)","(1.0, 4)","(0.5, 2)","(0.3333333333333333, 3)","(0.3333333333333333, 3)","(0.0, 1)","(0.5, 4)","(nan, 0)","(0.0, 1)","(0.5, 2)","(1.0, 3)","(1.0, 1)","(0.3333333333333333, 3)","(0.3333333333333333, 3)","(1.0, 3)","(1.0, 4)","(1.0, 1)","(1.0, 1)","(nan, 0)"
14,"(0.0, 5)","(0.0, 1)","(0.3333333333333333, 6)","(0.6666666666666666, 3)","(0.2, 5)","(1.0, 1)","(0.6666666666666666, 3)","(nan, 0)","(nan, 0)","(nan, 0)","(0.5, 4)","(0.5, 2)","(0.7142857142857143, 7)","(0.5, 2)","(nan, 0)","(1.0, 2)","(1.0, 1)","(0.7142857142857143, 7)","(0.3333333333333333, 3)","(0.5, 4)","(0.5, 2)","(0.6, 5)","(0.6666666666666666, 3)","(nan, 0)","(0.0, 1)"
15,"(0.0, 1)","(0.0, 7)","(0.0, 1)","(0.75, 4)","(0.4, 5)","(0.3333333333333333, 3)","(0.3333333333333333, 3)","(0.0, 2)","(0.3333333333333333, 9)","(0.25, 4)","(0.4, 5)","(1.0, 3)","(0.75, 4)","(0.75, 4)","(1.0, 2)","(nan, 0)","(nan, 0)","(0.75, 4)","(0.25, 4)","(nan, 0)","(0.4, 5)","(0.25, 4)","(0.3333333333333333, 3)","(0.0, 1)","(1.0, 3)"
16,"(0.5, 6)","(0.0, 1)","(0.0, 3)","(0.0, 2)","(0.6666666666666666, 3)","(0.0, 2)","(0.5, 2)","(0.25, 4)","(0.5, 2)","(0.25, 4)","(0.5, 6)","(0.3333333333333333, 3)","(0.75, 4)","(0.6, 5)","(nan, 0)","(0.5, 2)","(nan, 0)","(1.0, 3)","(0.5, 2)","(0.5, 4)","(0.6666666666666666, 3)","(0.6666666666666666, 3)","(1.0, 4)","(0.3333333333333333, 3)","(0.4, 5)"
17,"(0.5, 2)","(0.16666666666666666, 6)","(0.6666666666666666, 3)","(0.5, 4)","(1.0, 3)","(0.0, 1)","(0.0, 1)","(nan, 0)","(1.0, 4)","(0.3333333333333333, 3)","(0.6666666666666666, 3)","(0.0, 4)","(0.3333333333333333, 3)","(0.5, 4)","(0.6666666666666666, 3)","(1.0, 1)","(0.2857142857142857, 7)","(nan, 0)","(0.0, 2)","(0.6666666666666666, 3)","(0.0, 2)","(0.6666666666666666, 3)","(1.0, 2)","(0.0, 2)","(nan, 0)"
18,"(0.5, 2)","(0.0, 1)","(0.3333333333333333, 3)","(0.4, 5)","(0.0, 3)","(0.5, 2)","(0.0, 1)","(0.3333333333333333, 3)","(0.0, 1)","(0.5, 6)","(0.0, 2)","(0.5, 4)","(1.0, 3)","(0.6666666666666666, 3)","(0.5, 2)","(0.75, 4)","(0.3333333333333333, 3)","(0.0, 2)","(nan, 0)","(0.6666666666666666, 6)","(1.0, 3)","(0.8, 5)","(1.0, 2)","(0.0, 1)","(0.5, 2)"
19,"(0.0, 1)","(0.0, 3)","(0.0, 4)","(0.3333333333333333, 3)","(0.25, 4)","(0.2, 5)","(0.8, 5)","(0.0, 1)","(0.3333333333333333, 3)","(0.5714285714285714, 7)","(0.6666666666666666, 3)","(0.0, 3)","(0.25, 4)","(0.42857142857142855, 7)","(0.2857142857142857, 7)","(1.0, 4)","(0.5, 2)","(nan, 0)","(0.5, 2)","(0.0, 1)","(0.6666666666666666, 3)","(1.0, 1)","(1.0, 1)","(0.6666666666666666, 3)","(1.0, 1)"
20,"(0.0, 1)","(1.0, 1)","(0.0, 2)","(0.5, 2)","(0.2, 5)","(0.3333333333333333, 3)","(0.0, 2)","(0.0, 2)","(0.25, 4)","(0.5, 2)","(0.6666666666666666, 3)","(1.0, 2)","(1.0, 2)","(0.6666666666666666, 3)","(nan, 0)","(1.0, 1)","(1.0, 3)","(0.0, 2)","(0.3333333333333333, 3)","(0.6, 5)","(nan, 0)","(1.0, 2)","(0.3333333333333333, 3)","(1.0, 2)","(0.0, 2)"
21,"(0.0, 1)","(0.0, 1)","(1.0, 1)","(0.0, 1)","(1.0, 2)","(0.5, 2)","(0.0, 1)","(nan, 0)","(1.0, 1)","(1.0, 1)","(0.5, 4)","(1.0, 3)","(0.0, 2)","(0.5, 2)","(0.5, 2)","(0.6666666666666666, 3)","(nan, 0)","(0.0, 1)","(1.0, 1)","(nan, 0)","(nan, 0)","(nan, 0)","(0.0, 1)","(nan, 0)","(0.6666666666666666, 3)"
22,"(0.0, 4)","(0.0, 1)","(0.5, 2)","(0.5, 2)","(0.0, 2)","(0.0, 2)","(0.5, 2)","(nan, 0)","(0.6666666666666666, 3)","(1.0, 1)","(1.0, 2)","(0.6666666666666666, 3)","(0.5, 2)","(nan, 0)","(0.5, 2)","(0.25, 4)","(nan, 0)","(0.3333333333333333, 3)","(0.14285714285714285, 7)","(nan, 0)","(0.5, 2)","(0.42857142857142855, 7)","(nan, 0)","(1.0, 1)","(0.5, 2)"
23,"(0.0, 4)","(0.5, 2)","(0.5, 2)","(1.0, 1)","(0.0, 2)","(0.5, 6)","(0.5, 4)","(0.0, 4)","(1.0, 1)","(0.0, 1)","(1.0, 1)","(0.0, 2)","(1.0, 2)","(0.0, 3)","(0.6666666666666666, 3)","(0.5, 2)","(1.0, 3)","(0.3333333333333333, 3)","(0.0, 1)","(0.0, 1)","(0.3333333333333333, 3)","(0.3333333333333333, 3)","(1.0, 3)","(nan, 0)","(0.0, 2)"
24,"(nan, 0)","(0.0, 1)","(0.5, 2)","(0.6666666666666666, 3)","(0.6666666666666666, 3)","(0.0, 2)","(0.0, 1)","(0.3333333333333333, 3)","(0.0, 1)","(1.0, 1)","(0.5, 2)","(0.2857142857142857, 7)","(0.25, 4)","(0.5, 6)","(0.5, 2)","(nan, 0)","(0.5, 2)","(1.0, 2)","(1.0, 2)","(0.0, 2)","(0.0, 1)","(1.0, 1)","(1.0, 2)","(1.0, 1)","(nan, 0)"
