"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"2006","regular","1","AP Top 25","1","Ohio State","Big Ten","35","0"
"2006","regular","1","AP Top 25","2","Notre Dame","FBS Independents","10","0"
"2006","regular","1","AP Top 25","3","Texas","Big 12","8","0"
"2006","regular","1","AP Top 25","4","Auburn","SEC","3","0"
"2006","regular","1","AP Top 25","5","West Virginia","Big East","6","0"
"2006","regular","1","AP Top 25","6","USC","Pac-10","3","0"
"2006","regular","1","AP Top 25","7","Florida","SEC","0","0"
"2006","regular","1","AP Top 25","8","LSU","SEC","0","0"
"2006","regular","1","AP Top 25","9","California","Pac-10","0","0"
"2006","regular","1","AP Top 25","10","Oklahoma","Big 12","0","0"
"2006","regular","1","AP Top 25","11","Florida State","ACC","0","0"
"2006","regular","1","AP Top 25","12","Miami","ACC","0","0"
"2006","regular","1","AP Top 25","13","Louisville","Big East","0","0"
"2006","regular","1","AP Top 25","14","Michigan","Big Ten","0","0"
"2006","regular","1","AP Top 25","15","Georgia","SEC","0","0"
"2006","regular","1","AP Top 25","16","Iowa","Big Ten","0","0"
"2006","regular","1","AP Top 25","17","Virginia Tech","ACC","0","0"
"2006","regular","1","AP Top 25","18","Clemson","ACC","0","0"
"2006","regular","1","AP Top 25","19","Penn State","Big Ten","0","0"
"2006","regular","1","AP Top 25","20","Nebraska","Big 12","0","0"
"2006","regular","1","AP Top 25","21","Oregon","Pac-10","0","0"
"2006","regular","1","AP Top 25","22","TCU","Mountain West","0","0"
"2006","regular","1","AP Top 25","23","Tennessee","SEC","0","0"
"2006","regular","1","AP Top 25","24","Arizona State","Pac-10","0","0"
"2006","regular","1","AP Top 25","25","Texas Tech","Big 12","0","0"
"2006","regular","1","Coaches Poll","1","Ohio State","Big Ten","28","1487"
"2006","regular","1","Coaches Poll","2","Texas","Big 12","11","1378"
"2006","regular","1","Coaches Poll","3","Notre Dame","FBS Independents","9","1348"
"2006","regular","1","Coaches Poll","3","USC","Pac-10","1","1348"
"2006","regular","1","Coaches Poll","5","Oklahoma","Big 12","13","1320"
"2006","regular","1","Coaches Poll","6","Auburn","SEC","1","1206"
"2006","regular","1","Coaches Poll","7","West Virginia","Big East","0","1202"
"2006","regular","1","Coaches Poll","8","Florida","SEC","0","1054"
"2006","regular","1","Coaches Poll","9","LSU","SEC","0","1037"
"2006","regular","1","Coaches Poll","10","Florida State","ACC","0","874"
"2006","regular","1","Coaches Poll","11","Miami","ACC","0","839"
"2006","regular","1","Coaches Poll","12","California","Pac-10","0","798"
"2006","regular","1","Coaches Poll","13","Louisville","Big East","0","785"
"2006","regular","1","Coaches Poll","14","Georgia","SEC","0","784"
"2006","regular","1","Coaches Poll","15","Michigan","Big Ten","0","778"
"2006","regular","1","Coaches Poll","16","Virginia Tech","ACC","0","591"
"2006","regular","1","Coaches Poll","17","Iowa","Big Ten","0","519"
"2006","regular","1","Coaches Poll","18","Clemson","ACC","0","493"
"2006","regular","1","Coaches Poll","19","Penn State","Big Ten","0","406"
"2006","regular","1","Coaches Poll","20","Oregon","Pac-10","0","373"
"2006","regular","1","Coaches Poll","21","TCU","Mountain West","0","270"
"2006","regular","1","Coaches Poll","22","Nebraska","Big 12","0","261"
"2006","regular","1","Coaches Poll","23","Tennessee","SEC","0","216"
"2006","regular","1","Coaches Poll","24","Alabama","SEC","0","210"
"2006","regular","1","Coaches Poll","25","Texas Tech","Big 12","0","198"
"2006","regular","2","AP Top 25","1","Ohio State","Big Ten","39","0"
"2006","regular","2","AP Top 25","2","Texas","Big 12","7","0"
"2006","regular","2","AP Top 25","3","USC","Pac-10","3","0"
"2006","regular","2","AP Top 25","4","Notre Dame","FBS Independents","8","0"
"2006","regular","2","AP Top 25","4","Auburn","SEC","3","0"
"2006","regular","2","AP Top 25","6","West Virginia","Big East","5","0"
"2006","regular","2","AP Top 25","7","Florida","SEC","0","0"
"2006","regular","2","AP Top 25","8","LSU","SEC","0","0"
"2006","regular","2","AP Top 25","9","Florida State","ACC","0","0"
"2006","regular","2","AP Top 25","10","Michigan","Big Ten","0","0"
"2006","regular","2","AP Top 25","11","Tennessee","SEC","0","0"
"2006","regular","2","AP Top 25","12","Georgia","SEC","0","0"
"2006","regular","2","AP Top 25","13","Louisville","Big East","0","0"
"2006","regular","2","AP Top 25","14","Iowa","Big Ten","0","0"
"2006","regular","2","AP Top 25","15","Oklahoma","Big 12","0","0"
"2006","regular","2","AP Top 25","16","Virginia Tech","ACC","0","0"
"2006","regular","2","AP Top 25","17","Miami","ACC","0","0"
"2006","regular","2","AP Top 25","18","Clemson","ACC","0","0"
"2006","regular","2","AP Top 25","19","Penn State","Big Ten","0","0"
"2006","regular","2","AP Top 25","20","Oregon","Pac-10","0","0"
"2006","regular","2","AP Top 25","21","Nebraska","Big 12","0","0"
"2006","regular","2","AP Top 25","22","California","Pac-10","0","0"
"2006","regular","2","AP Top 25","23","TCU","Mountain West","0","0"
"2006","regular","2","AP Top 25","24","Texas Tech","Big 12","0","0"
"2006","regular","2","AP Top 25","25","Arizona State","Pac-10","0","0"
"2006","regular","2","Coaches Poll","1","Ohio State","Big Ten","41","1534"
"2006","regular","2","Coaches Poll","2","Texas","Big 12","14","1475"
"2006","regular","2","Coaches Poll","3","USC","Pac-10","4","1436"
"2006","regular","2","Coaches Poll","4","Auburn","SEC","2","1272"
"2006","regular","2","Coaches Poll","5","Notre Dame","FBS Independents","2","1248"
"2006","regular","2","Coaches Poll","5","West Virginia","Big East","0","1248"
"2006","regular","2","Coaches Poll","7","Florida","SEC","0","1112"
"2006","regular","2","Coaches Poll","8","LSU","SEC","0","1096"
"2006","regular","2","Coaches Poll","9","Florida State","ACC","0","1074"
"2006","regular","2","Coaches Poll","10","Oklahoma","Big 12","0","1019"
"2006","regular","2","Coaches Poll","11","Georgia","SEC","0","899"
"2006","regular","2","Coaches Poll","12","Louisville","Big East","0","820"
"2006","regular","2","Coaches Poll","13","Michigan","Big Ten","0","786"
"2006","regular","2","Coaches Poll","14","Virginia Tech","ACC","0","700"
"2006","regular","2","Coaches Poll","15","Iowa","Big Ten","0","647"
"2006","regular","2","Coaches Poll","16","Miami","ACC","0","605"
"2006","regular","2","Coaches Poll","17","Tennessee","SEC","0","579"
"2006","regular","2","Coaches Poll","18","Clemson","ACC","0","570"
"2006","regular","2","Coaches Poll","19","Penn State","Big Ten","0","459"
"2006","regular","2","Coaches Poll","20","Oregon","Pac-10","0","458"
"2006","regular","2","Coaches Poll","21","Nebraska","Big 12","0","313"
"2006","regular","2","Coaches Poll","22","TCU","Mountain West","0","265"
"2006","regular","2","Coaches Poll","23","California","Pac-10","0","194"
"2006","regular","2","Coaches Poll","24","Texas Tech","Big 12","0","178"
"2006","regular","2","Coaches Poll","25","Alabama","SEC","0","156"
"2006","regular","3","AP Top 25","1","Ohio State","Big Ten","56","0"
"2006","regular","3","AP Top 25","2","Notre Dame","FBS Independents","3","0"
"2006","regular","3","AP Top 25","3","Auburn","SEC","2","0"
"2006","regular","3","AP Top 25","4","USC","Pac-10","2","0"
"2006","regular","3","AP Top 25","5","West Virginia","Big East","2","0"
"2006","regular","3","AP Top 25","6","LSU","SEC","0","0"
"2006","regular","3","AP Top 25","7","Florida","SEC","0","0"
"2006","regular","3","AP Top 25","8","Texas","Big 12","0","0"
"2006","regular","3","AP Top 25","9","Florida State","ACC","0","0"
"2006","regular","3","AP Top 25","10","Georgia","SEC","0","0"
"2006","regular","3","AP Top 25","11","Michigan","Big Ten","0","0"
"2006","regular","3","AP Top 25","12","Louisville","Big East","0","0"
"2006","regular","3","AP Top 25","13","Tennessee","SEC","0","0"
"2006","regular","3","AP Top 25","14","Virginia Tech","ACC","0","0"
"2006","regular","3","AP Top 25","15","Oklahoma","Big 12","0","0"
"2006","regular","3","AP Top 25","16","Iowa","Big Ten","0","0"
"2006","regular","3","AP Top 25","17","Miami","ACC","0","0"
"2006","regular","3","AP Top 25","18","Oregon","Pac-10","0","0"
"2006","regular","3","AP Top 25","19","Nebraska","Big 12","0","0"
"2006","regular","3","AP Top 25","20","TCU","Mountain West","0","0"
"2006","regular","3","AP Top 25","21","California","Pac-10","0","0"
"2006","regular","3","AP Top 25","22","Arizona State","Pac-10","0","0"
"2006","regular","3","AP Top 25","23","Boston College","ACC","0","0"
"2006","regular","3","AP Top 25","24","Texas Tech","Big 12","0","0"
"2006","regular","3","AP Top 25","25","Penn State","Big Ten","0","0"
"2006","regular","3","Coaches Poll","1","Ohio State","Big Ten","59","1571"
"2006","regular","3","Coaches Poll","2","USC","Pac-10","2","1471"
"2006","regular","3","Coaches Poll","3","Notre Dame","FBS Independents","1","1391"
"2006","regular","3","Coaches Poll","4","Auburn","SEC","1","1369"
"2006","regular","3","Coaches Poll","5","West Virginia","Big East","0","1293"
"2006","regular","3","Coaches Poll","6","Florida","SEC","0","1177"
"2006","regular","3","Coaches Poll","7","LSU","SEC","0","1159"
"2006","regular","3","Coaches Poll","8","Texas","Big 12","0","1107"
"2006","regular","3","Coaches Poll","9","Georgia","SEC","0","997"
"2006","regular","3","Coaches Poll","10","Florida State","ACC","0","977"
"2006","regular","3","Coaches Poll","11","Oklahoma","Big 12","0","953"
"2006","regular","3","Coaches Poll","12","Louisville","Big East","0","905"
"2006","regular","3","Coaches Poll","13","Michigan","Big Ten","0","820"
"2006","regular","3","Coaches Poll","14","Virginia Tech","ACC","0","770"
"2006","regular","3","Coaches Poll","15","Miami","ACC","0","622"
"2006","regular","3","Coaches Poll","16","Iowa","Big Ten","0","603"
"2006","regular","3","Coaches Poll","17","Tennessee","SEC","0","600"
"2006","regular","3","Coaches Poll","18","Oregon","Pac-10","0","529"
"2006","regular","3","Coaches Poll","19","Nebraska","Big 12","0","431"
"2006","regular","3","Coaches Poll","20","TCU","Mountain West","0","333"
"2006","regular","3","Coaches Poll","21","California","Pac-10","0","248"
"2006","regular","3","Coaches Poll","22","Texas Tech","Big 12","0","231"
"2006","regular","3","Coaches Poll","23","Arizona State","Pac-10","0","159"
"2006","regular","3","Coaches Poll","24","Alabama","SEC","0","150"
"2006","regular","3","Coaches Poll","25","Boston College","ACC","0","146"
"2006","regular","4","AP Top 25","1","Ohio State","Big Ten","59","0"
"2006","regular","4","AP Top 25","2","Auburn","SEC","2","0"
"2006","regular","4","AP Top 25","3","USC","Pac-10","2","0"
"2006","regular","4","AP Top 25","4","West Virginia","Big East","2","0"
"2006","regular","4","AP Top 25","5","Florida","SEC","0","0"
"2006","regular","4","AP Top 25","6","Michigan","Big Ten","0","0"
"2006","regular","4","AP Top 25","7","Texas","Big 12","0","0"
"2006","regular","4","AP Top 25","8","Louisville","Big East","0","0"
"2006","regular","4","AP Top 25","9","Georgia","SEC","0","0"
"2006","regular","4","AP Top 25","10","LSU","SEC","0","0"
"2006","regular","4","AP Top 25","11","Virginia Tech","ACC","0","0"
