"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"1986","regular","14","AP Top 25","1","Miami","FBS Independents","",""
"1986","regular","14","AP Top 25","2","Penn State","FBS Independents","",""
"1986","regular","14","AP Top 25","3","Oklahoma","Big 8","",""
"1986","regular","14","AP Top 25","4","Michigan","Big Ten","",""
"1986","regular","14","AP Top 25","5","LSU","SEC","",""
"1986","regular","14","AP Top 25","6","Nebraska","Big 8","",""
"1986","regular","14","AP Top 25","7","Arizona State","Pac-10","",""
"1986","regular","14","AP Top 25","8","Texas A&M","Southwest","",""
"1986","regular","14","AP Top 25","9","Arkansas","Southwest","",""
"1986","regular","14","AP Top 25","10","Auburn","SEC","",""
"1986","regular","14","AP Top 25","11","Ohio State","Big Ten","",""
"1986","regular","14","AP Top 25","12","Washington","Pac-10","",""
"1986","regular","14","AP Top 25","13","Alabama","SEC","",""
"1986","regular","14","AP Top 25","14","Baylor","Southwest","",""
"1986","regular","14","AP Top 25","15","UCLA","Pac-10","",""
"1986","regular","14","AP Top 25","16","Arizona","Pac-10","",""
"1986","regular","14","AP Top 25","17","Georgia","SEC","",""
"1986","regular","14","AP Top 25","18","NC State","ACC","",""
"1986","regular","14","AP Top 25","19","Iowa","Big Ten","",""
"1986","regular","14","AP Top 25","20","Stanford","Pac-10","",""
"1986","regular","13","AP Top 25","1","Miami","FBS Independents","",""
"1986","regular","13","AP Top 25","2","Penn State","FBS Independents","",""
"1986","regular","13","AP Top 25","3","Oklahoma","Big 8","",""
"1986","regular","13","AP Top 25","4","Michigan","Big Ten","",""
"1986","regular","13","AP Top 25","5","LSU","SEC","",""
"1986","regular","13","AP Top 25","6","Nebraska","Big 8","",""
"1986","regular","13","AP Top 25","7","Alabama","SEC","",""
"1986","regular","13","AP Top 25","8","Arizona State","Pac-10","",""
"1986","regular","13","AP Top 25","9","Arkansas","Southwest","",""
"1986","regular","13","AP Top 25","10","Texas A&M","Southwest","",""
"1986","regular","13","AP Top 25","11","Ohio State","Big Ten","",""
"1986","regular","13","AP Top 25","12","Arizona","Pac-10","",""
"1986","regular","13","AP Top 25","13","Washington","Pac-10","",""
"1986","regular","13","AP Top 25","14","Auburn","SEC","",""
"1986","regular","13","AP Top 25","15","UCLA","Pac-10","",""
"1986","regular","13","AP Top 25","16","Baylor","Southwest","",""
"1986","regular","13","AP Top 25","17","USC","Pac-10","",""
"1986","regular","13","AP Top 25","18","Georgia","SEC","",""
"1986","regular","13","AP Top 25","19","NC State","ACC","",""
"1986","regular","13","AP Top 25","20","Iowa","Big Ten","",""
"1986","regular","12","AP Top 25","1","Miami","FBS Independents","",""
"1986","regular","12","AP Top 25","2","Penn State","FBS Independents","",""
"1986","regular","12","AP Top 25","3","Oklahoma","Big 8","",""
"1986","regular","12","AP Top 25","4","Arizona State","Pac-10","",""
"1986","regular","12","AP Top 25","5","Nebraska","Big 8","",""
"1986","regular","12","AP Top 25","6","Michigan","Big Ten","",""
"1986","regular","12","AP Top 25","7","Ohio State","Big Ten","",""
"1986","regular","12","AP Top 25","8","LSU","SEC","",""
"1986","regular","12","AP Top 25","9","Alabama","SEC","",""
"1986","regular","12","AP Top 25","10","USC","Pac-10","",""
"1986","regular","12","AP Top 25","11","Arkansas","Southwest","",""
"1986","regular","12","AP Top 25","12","Washington","Pac-10","",""
"1986","regular","12","AP Top 25","13","Texas A&M","Southwest","",""
"1986","regular","12","AP Top 25","14","Arizona","Pac-10","",""
"1986","regular","12","AP Top 25","15","Auburn","SEC","",""
"1986","regular","12","AP Top 25","16","Stanford","Pac-10","",""
"1986","regular","12","AP Top 25","17","Baylor","Southwest","",""
"1986","regular","12","AP Top 25","18","UCLA","Pac-10","",""
"1986","regular","12","AP Top 25","19","Clemson","ACC","",""
"1986","regular","12","AP Top 25","20","Georgia","SEC","",""
"1986","regular","11","AP Top 25","1","Miami","FBS Independents","",""
"1986","regular","11","AP Top 25","2","Michigan","Big Ten","",""
"1986","regular","11","AP Top 25","3","Penn State","FBS Independents","",""
"1986","regular","11","AP Top 25","4","Oklahoma","Big 8","",""
"1986","regular","11","AP Top 25","5","Arizona State","Pac-10","",""
"1986","regular","11","AP Top 25","6","Nebraska","Big 8","",""
"1986","regular","11","AP Top 25","7","Texas A&M","Southwest","",""
"1986","regular","11","AP Top 25","8","Auburn","SEC","",""
"1986","regular","11","AP Top 25","9","Ohio State","Big Ten","",""
"1986","regular","11","AP Top 25","10","Washington","Pac-10","",""
"1986","regular","11","AP Top 25","11","Alabama","SEC","",""
"1986","regular","11","AP Top 25","12","LSU","SEC","",""
"1986","regular","11","AP Top 25","13","USC","Pac-10","",""
"1986","regular","11","AP Top 25","14","Arizona","Pac-10","",""
"1986","regular","11","AP Top 25","15","Clemson","ACC","",""
"1986","regular","11","AP Top 25","16","Stanford","Pac-10","",""
"1986","regular","11","AP Top 25","17","Arkansas","Southwest","",""
"1986","regular","11","AP Top 25","18","Baylor","Southwest","",""
"1986","regular","11","AP Top 25","19","UCLA","Pac-10","",""
"1986","regular","11","AP Top 25","20","Ole Miss","SEC","",""
"1986","regular","10","AP Top 25","1","Miami","FBS Independents","",""
"1986","regular","10","AP Top 25","2","Penn State","FBS Independents","",""
"1986","regular","10","AP Top 25","3","Michigan","Big Ten","",""
"1986","regular","10","AP Top 25","4","Oklahoma","Big 8","",""
"1986","regular","10","AP Top 25","5","Arizona State","Pac-10","",""
"1986","regular","10","AP Top 25","6","Alabama","SEC","",""
"1986","regular","10","AP Top 25","7","Nebraska","Big 8","",""
"1986","regular","10","AP Top 25","8","Texas A&M","Southwest","",""
"1986","regular","10","AP Top 25","9","Auburn","SEC","",""
"1986","regular","10","AP Top 25","10","Arkansas","Southwest","",""
"1986","regular","10","AP Top 25","11","Ohio State","Big Ten","",""
"1986","regular","10","AP Top 25","12","UCLA","Pac-10","",""
"1986","regular","10","AP Top 25","13","Washington","Pac-10","",""
"1986","regular","10","AP Top 25","14","USC","Pac-10","",""
"1986","regular","10","AP Top 25","15","NC State","ACC","",""
"1986","regular","10","AP Top 25","16","Iowa","Big Ten","",""
"1986","regular","10","AP Top 25","17","Arizona","Pac-10","",""
"1986","regular","10","AP Top 25","18","LSU","SEC","",""
"1986","regular","10","AP Top 25","19","Georgia","SEC","",""
"1986","regular","10","AP Top 25","20","Clemson","ACC","",""
"1986","regular","9","AP Top 25","1","Miami","FBS Independents","",""
"1986","regular","9","AP Top 25","2","Penn State","FBS Independents","",""
"1986","regular","9","AP Top 25","3","Michigan","Big Ten","",""
"1986","regular","9","AP Top 25","4","Oklahoma","Big 8","",""
"1986","regular","9","AP Top 25","5","Auburn","SEC","",""
"1986","regular","9","AP Top 25","6","Washington","Pac-10","",""
"1986","regular","9","AP Top 25","7","Arizona State","Pac-10","",""
"1986","regular","9","AP Top 25","8","Alabama","SEC","",""
"1986","regular","9","AP Top 25","9","Nebraska","Big 8","",""
"1986","regular","9","AP Top 25","10","Texas A&M","Southwest","",""
"1986","regular","9","AP Top 25","11","Iowa","Big Ten","",""
"1986","regular","9","AP Top 25","12","LSU","SEC","",""
"1986","regular","9","AP Top 25","13","Arkansas","Southwest","",""
"1986","regular","9","AP Top 25","14","Arizona","Pac-10","",""
"1986","regular","9","AP Top 25","15","UCLA","Pac-10","",""
"1986","regular","9","AP Top 25","16","NC State","ACC","",""
"1986","regular","9","AP Top 25","17","Ohio State","Big Ten","",""
"1986","regular","9","AP Top 25","18","USC","Pac-10","",""
"1986","regular","9","AP Top 25","19","Mississippi State","SEC","",""
"1986","regular","9","AP Top 25","20","Florida State","FBS Independents","",""
"1986","regular","8","AP Top 25","1","Miami","FBS Independents","",""
"1986","regular","8","AP Top 25","2","Alabama","SEC","",""
"1986","regular","8","AP Top 25","3","Nebraska","Big 8","",""
"1986","regular","8","AP Top 25","4","Michigan","Big Ten","",""
"1986","regular","8","AP Top 25","5","Oklahoma","Big 8","",""
"1986","regular","8","AP Top 25","6","Penn State","FBS Independents","",""
"1986","regular","8","AP Top 25","7","Auburn","SEC","",""
"1986","regular","8","AP Top 25","8","Washington","Pac-10","",""
"1986","regular","8","AP Top 25","9","Arizona State","Pac-10","",""
"1986","regular","8","AP Top 25","10","Texas A&M","Southwest","",""
"1986","regular","8","AP Top 25","11","Iowa","Big Ten","",""
"1986","regular","8","AP Top 25","12","LSU","SEC","",""
"1986","regular","8","AP Top 25","13","Mississippi State","SEC","",""
"1986","regular","8","AP Top 25","14","Arkansas","Southwest","",""
"1986","regular","8","AP Top 25","15","Arizona","Pac-10","",""
"1986","regular","8","AP Top 25","16","Clemson","ACC","",""
"1986","regular","8","AP Top 25","17","UCLA","Pac-10","",""
"1986","regular","8","AP Top 25","18","SMU","Southwest","",""
"1986","regular","8","AP Top 25","19","Stanford","Pac-10","",""
"1986","regular","8","AP Top 25","20","NC State","ACC","",""
"1986","regular","7","AP Top 25","1","Miami","FBS Independents","",""
"1986","regular","7","AP Top 25","2","Alabama","SEC","",""
"1986","regular","7","AP Top 25","3","Nebraska","Big 8","",""
"1986","regular","7","AP Top 25","4","Michigan","Big Ten","",""
"1986","regular","7","AP Top 25","5","Oklahoma","Big 8","",""
"1986","regular","7","AP Top 25","6","Penn State","FBS Independents","",""
"1986","regular","7","AP Top 25","7","Auburn","SEC","",""
"1986","regular","7","AP Top 25","8","Iowa","Big Ten","",""
"1986","regular","7","AP Top 25","9","Washington","Pac-10","",""
"1986","regular","7","AP Top 25","10","Arizona State","Pac-10","",""
"1986","regular","7","AP Top 25","11","Texas A&M","Southwest","",""
"1986","regular","7","AP Top 25","12","LSU","SEC","",""
"1986","regular","7","AP Top 25","13","Mississippi State","SEC","",""
"1986","regular","7","AP Top 25","14","Arkansas","Southwest","",""
"1986","regular","7","AP Top 25","15","USC","Pac-10","",""
"1986","regular","7","AP Top 25","16","Arizona","Pac-10","",""
"1986","regular","7","AP Top 25","17","Clemson","ACC","",""
"1986","regular","7","AP Top 25","18","North Carolina","ACC","",""
"1986","regular","7","AP Top 25","19","UCLA","Pac-10","",""
"1986","regular","7","AP Top 25","20","Baylor","Southwest","",""
"1986","regular","7","AP Top 25","20","SMU","Southwest","",""
"1986","regular","6","AP Top 25","1","Miami","FBS Independents","",""
"1986","regular","6","AP Top 25","2","Alabama","SEC","",""
"1986","regular","6","AP Top 25","3","Nebraska","Big 8","",""
"1986","regular","6","AP Top 25","4","Michigan","Big Ten","",""
"1986","regular","6","AP Top 25","5","Penn State","FBS Independents","",""
"1986","regular","6","AP Top 25","6","Oklahoma","Big 8","",""
"1986","regular","6","AP Top 25","7","Auburn","SEC","",""
"1986","regular","6","AP Top 25","8","Arkansas","Southwest","",""
"1986","regular","6","AP Top 25","9","USC","Pac-10","",""
"1986","regular","6","AP Top 25","10","Iowa","Big Ten","",""
"1986","regular","6","AP Top 25","11","Arizona","Pac-10","",""
"1986","regular","6","AP Top 25","12","Washington","Pac-10","",""
"1986","regular","6","AP Top 25","13","Baylor","Southwest","",""
"1986","regular","6","AP Top 25","14","Texas A&M","Southwest","",""
"1986","regular","6","AP Top 25","15","Arizona State","Pac-10","",""
"1986","regular","6","AP Top 25","16","LSU","SEC","",""
"1986","regular","6","AP Top 25","17","NC State","ACC","",""
"1986","regular","6","AP Top 25","18","Stanford","Pac-10","",""
"1986","regular","6","AP Top 25","19","Mississippi State","SEC","",""
"1986","regular","6","AP Top 25","20","Clemson","ACC","",""
"1986","regular","5","AP Top 25","1","Miami","FBS Independents","",""
"1986","regular","5","AP Top 25","2","Alabama","SEC","",""
"1986","regular","5","AP Top 25","3","Nebraska","Big 8","",""
"1986","regular","5","AP Top 25","4","Michigan","Big Ten","",""
"1986","regular","5","AP Top 25","5","Penn State","FBS Independents","",""
"1986","regular","5","AP Top 25","6","Oklahoma","Big 8","",""
"1986","regular","5","AP Top 25","7","Auburn","SEC","",""
"1986","regular","5","AP Top 25","8","Arkansas","Southwest","",""
"1986","regular","5","AP Top 25","9","USC","Pac-10","",""
"1986","regular","5","AP Top 25","10","Arizona","Pac-10","",""
"1986","regular","5","AP Top 25","11","Iowa","Big Ten","",""
"1986","regular","5","AP Top 25","12","Washington","Pac-10","",""
"1986","regular","5","AP Top 25","13","Baylor","Southwest","",""
"1986","regular","5","AP Top 25","14","Texas A&M","Southwest","",""
"1986","regular","5","AP Top 25","15","UCLA","Pac-10","",""
"1986","regular","5","AP Top 25","16","Arizona State","Pac-10","",""
